kind	index	file	estimate	walltime	schedule_class	command
attack	76	attack/attack_076_vgg13_gradmatch_dog_bird_b0_001_ours_j.sh	0-02:00:00	0-02:45:00	standard	USE_JACOBIAN_SCORE=1 JACOBIAN_WEIGHT=1.0 JACOBIAN_BATCH_SIZE=64 CLASS_PAIR="dog-bird" MODEL="VGG13BN" ATTACK="gradmatch" BUDGETS=0.001 SELECT="ours" sh sel_dpp.sh
attack	77	attack/attack_077_vgg13_gradmatch_dog_bird_b0_002_ours_j.sh	0-02:15:00	0-03:00:00	standard	USE_JACOBIAN_SCORE=1 JACOBIAN_WEIGHT=1.0 JACOBIAN_BATCH_SIZE=64 CLASS_PAIR="dog-bird" MODEL="VGG13BN" ATTACK="gradmatch" BUDGETS=0.002 SELECT="ours" sh sel_dpp.sh
attack	78	attack/attack_078_vgg13_gradmatch_dog_bird_b0_005_ours_j.sh	0-03:15:00	0-04:00:00	standard	USE_JACOBIAN_SCORE=1 JACOBIAN_WEIGHT=1.0 JACOBIAN_BATCH_SIZE=64 CLASS_PAIR="dog-bird" MODEL="VGG13BN" ATTACK="gradmatch" BUDGETS=0.005 SELECT="ours" sh sel_dpp.sh
attack	79	attack/attack_079_vgg13_sapa_dog_bird_b0_001_ours_std.sh	0-02:00:00	0-02:45:00	standard	USE_JACOBIAN_SCORE=0 CLASS_PAIR="dog-bird" MODEL="VGG13BN" ATTACK="sapa" SHARP_MODE="worst" SHARP_SIGMA="0.05" BUDGETS=0.001 SELECT="ours" sh sel_dpp.sh
attack	80	attack/attack_080_vgg13_sapa_dog_bird_b0_002_ours_std.sh	0-02:15:00	0-03:00:00	standard	USE_JACOBIAN_SCORE=0 CLASS_PAIR="dog-bird" MODEL="VGG13BN" ATTACK="sapa" SHARP_MODE="worst" SHARP_SIGMA="0.05" BUDGETS=0.002 SELECT="ours" sh sel_dpp.sh
attack	81	attack/attack_081_vgg13_sapa_dog_bird_b0_005_ours_std.sh	0-03:00:00	0-03:45:00	standard	USE_JACOBIAN_SCORE=0 CLASS_PAIR="dog-bird" MODEL="VGG13BN" ATTACK="sapa" SHARP_MODE="worst" SHARP_SIGMA="0.05" BUDGETS=0.005 SELECT="ours" sh sel_dpp.sh
attack	82	attack/attack_082_vgg13_sapa_dog_bird_b0_01_ours_std.sh	0-04:15:00	0-05:00:00	standard	USE_JACOBIAN_SCORE=0 CLASS_PAIR="dog-bird" MODEL="VGG13BN" ATTACK="sapa" SHARP_MODE="worst" SHARP_SIGMA="0.05" BUDGETS=0.01 SELECT="ours" sh sel_dpp.sh
attack	83	attack/attack_083_vgg13_sapa_dog_bird_b0_001_ours_j.sh	0-02:00:00	0-02:45:00	standard	USE_JACOBIAN_SCORE=1 JACOBIAN_WEIGHT=1.0 JACOBIAN_BATCH_SIZE=64 CLASS_PAIR="dog-bird" MODEL="VGG13BN" ATTACK="sapa" SHARP_MODE="worst" SHARP_SIGMA="0.05" BUDGETS=0.001 SELECT="ours" sh sel_dpp.sh
attack	84	attack/attack_084_vgg13_sapa_dog_bird_b0_002_ours_j.sh	0-02:15:00	0-03:00:00	standard	USE_JACOBIAN_SCORE=1 JACOBIAN_WEIGHT=1.0 JACOBIAN_BATCH_SIZE=64 CLASS_PAIR="dog-bird" MODEL="VGG13BN" ATTACK="sapa" SHARP_MODE="worst" SHARP_SIGMA="0.05" BUDGETS=0.002 SELECT="ours" sh sel_dpp.sh
attack	85	attack/attack_085_vgg13_sapa_dog_bird_b0_005_ours_j.sh	0-03:00:00	0-03:45:00	standard	USE_JACOBIAN_SCORE=1 JACOBIAN_WEIGHT=1.0 JACOBIAN_BATCH_SIZE=64 CLASS_PAIR="dog-bird" MODEL="VGG13BN" ATTACK="sapa" SHARP_MODE="worst" SHARP_SIGMA="0.05" BUDGETS=0.005 SELECT="ours" sh sel_dpp.sh
attack	86	attack/attack_086_vgg13_fc_frog_airplane_b0_001_ours_std.sh	0-01:45:00	0-02:30:00	standard	USE_JACOBIAN_SCORE=0 CLASS_PAIR="frog-airplane" MODEL="VGG13BN" ATTACK="fc" BUDGETS=0.001 SELECT="ours" sh sel_dpp.sh
attack	87	attack/attack_087_vgg13_fc_frog_airplane_b0_002_ours_std.sh	0-01:45:00	0-02:30:00	standard	USE_JACOBIAN_SCORE=0 CLASS_PAIR="frog-airplane" MODEL="VGG13BN" ATTACK="fc" BUDGETS=0.002 SELECT="ours" sh sel_dpp.sh
attack	88	attack/attack_088_vgg13_fc_frog_airplane_b0_005_ours_std.sh	0-01:45:00	0-02:30:00	standard	USE_JACOBIAN_SCORE=0 CLASS_PAIR="frog-airplane" MODEL="VGG13BN" ATTACK="fc" BUDGETS=0.005 SELECT="ours" sh sel_dpp.sh
attack	89	attack/attack_089_vgg13_fc_frog_airplane_b0_01_ours_std.sh	0-01:45:00	0-02:30:00	standard	USE_JACOBIAN_SCORE=0 CLASS_PAIR="frog-airplane" MODEL="VGG13BN" ATTACK="fc" BUDGETS=0.01 SELECT="ours" sh sel_dpp.sh
attack	90	attack/attack_090_vgg13_fc_frog_airplane_b0_001_ours_j.sh	0-02:00:00	0-02:45:00	standard	USE_JACOBIAN_SCORE=1 JACOBIAN_WEIGHT=1.0 JACOBIAN_BATCH_SIZE=64 CLASS_PAIR="frog-airplane" MODEL="VGG13BN" ATTACK="fc" BUDGETS=0.001 SELECT="ours" sh sel_dpp.sh
attack	91	attack/attack_091_vgg13_fc_frog_airplane_b0_002_ours_j.sh	0-02:15:00	0-03:00:00	standard	USE_JACOBIAN_SCORE=1 JACOBIAN_WEIGHT=1.0 JACOBIAN_BATCH_SIZE=64 CLASS_PAIR="frog-airplane" MODEL="VGG13BN" ATTACK="fc" BUDGETS=0.002 SELECT="ours" sh sel_dpp.sh
attack	92	attack/attack_092_vgg13_fc_frog_airplane_b0_005_ours_j.sh	0-03:00:00	0-03:45:00	standard	USE_JACOBIAN_SCORE=1 JACOBIAN_WEIGHT=1.0 JACOBIAN_BATCH_SIZE=64 CLASS_PAIR="frog-airplane" MODEL="VGG13BN" ATTACK="fc" BUDGETS=0.005 SELECT="ours" sh sel_dpp.sh
attack	93	attack/attack_093_vgg13_fc_frog_airplane_b0_001_dpp_j.sh	0-02:15:00	0-03:00:00	standard	USE_JACOBIAN_SCORE=1 JACOBIAN_WEIGHT=1.0 JACOBIAN_BATCH_SIZE=64 CLASS_PAIR="frog-airplane" MODEL="VGG13BN" ATTACK="fc" BUDGETS=0.001 SELECT="dpp" SEL_ALPHA=2.0 sh sel_dpp.sh
attack	94	attack/attack_094_vgg13_gradmatch_frog_airplane_b0_001_ours_std.sh	0-02:00:00	0-02:45:00	standard	USE_JACOBIAN_SCORE=0 CLASS_PAIR="frog-airplane" MODEL="VGG13BN" ATTACK="gradmatch" BUDGETS=0.001 SELECT="ours" sh sel_dpp.sh
attack	95	attack/attack_095_vgg13_gradmatch_frog_airplane_b0_005_ours_std.sh	0-03:15:00	0-04:00:00	standard	USE_JACOBIAN_SCORE=0 CLASS_PAIR="frog-airplane" MODEL="VGG13BN" ATTACK="gradmatch" BUDGETS=0.005 SELECT="ours" sh sel_dpp.sh
attack	96	attack/attack_096_vgg13_gradmatch_frog_airplane_b0_01_ours_std.sh	0-05:00:00	0-05:45:00	standard	USE_JACOBIAN_SCORE=0 CLASS_PAIR="frog-airplane" MODEL="VGG13BN" ATTACK="gradmatch" BUDGETS=0.01 SELECT="ours" sh sel_dpp.sh
attack	97	attack/attack_097_vgg13_gradmatch_frog_airplane_b0_001_ours_j.sh	0-02:00:00	0-02:45:00	standard	USE_JACOBIAN_SCORE=1 JACOBIAN_WEIGHT=1.0 JACOBIAN_BATCH_SIZE=64 CLASS_PAIR="frog-airplane" MODEL="VGG13BN" ATTACK="gradmatch" BUDGETS=0.001 SELECT="ours" sh sel_dpp.sh
attack	98	attack/attack_098_vgg13_gradmatch_frog_airplane_b0_001_dpp_j.sh	0-02:15:00	0-03:00:00	standard	USE_JACOBIAN_SCORE=1 JACOBIAN_WEIGHT=1.0 JACOBIAN_BATCH_SIZE=64 CLASS_PAIR="frog-airplane" MODEL="VGG13BN" ATTACK="gradmatch" BUDGETS=0.001 SELECT="dpp" SEL_ALPHA=2.0 sh sel_dpp.sh
attack	99	attack/attack_099_vgg13_sapa_frog_airplane_b0_001_ours_std.sh	0-02:00:00	0-02:45:00	standard	USE_JACOBIAN_SCORE=0 CLASS_PAIR="frog-airplane" MODEL="VGG13BN" ATTACK="sapa" SHARP_MODE="worst" SHARP_SIGMA="0.05" BUDGETS=0.001 SELECT="ours" sh sel_dpp.sh
attack	100	attack/attack_100_vgg13_sapa_frog_airplane_b0_002_ours_std.sh	0-02:15:00	0-03:00:00	standard	USE_JACOBIAN_SCORE=0 CLASS_PAIR="frog-airplane" MODEL="VGG13BN" ATTACK="sapa" SHARP_MODE="worst" SHARP_SIGMA="0.05" BUDGETS=0.002 SELECT="ours" sh sel_dpp.sh
attack	101	attack/attack_101_vgg13_sapa_frog_airplane_b0_005_ours_std.sh	0-03:00:00	0-03:45:00	standard	USE_JACOBIAN_SCORE=0 CLASS_PAIR="frog-airplane" MODEL="VGG13BN" ATTACK="sapa" SHARP_MODE="worst" SHARP_SIGMA="0.05" BUDGETS=0.005 SELECT="ours" sh sel_dpp.sh
attack	102	attack/attack_102_vgg13_sapa_frog_airplane_b0_001_ours_j.sh	0-02:00:00	0-02:45:00	standard	USE_JACOBIAN_SCORE=1 JACOBIAN_WEIGHT=1.0 JACOBIAN_BATCH_SIZE=64 CLASS_PAIR="frog-airplane" MODEL="VGG13BN" ATTACK="sapa" SHARP_MODE="worst" SHARP_SIGMA="0.05" BUDGETS=0.001 SELECT="ours" sh sel_dpp.sh
attack	103	attack/attack_103_vgg13_sapa_frog_airplane_b0_001_dpp_j.sh	0-02:15:00	0-03:00:00	standard	USE_JACOBIAN_SCORE=1 JACOBIAN_WEIGHT=1.0 JACOBIAN_BATCH_SIZE=64 CLASS_PAIR="frog-airplane" MODEL="VGG13BN" ATTACK="sapa" SHARP_MODE="worst" SHARP_SIGMA="0.05" BUDGETS=0.001 SELECT="dpp" SEL_ALPHA=2.0 sh sel_dpp.sh
attack	104	attack/attack_104_convnet_gradmatch_dog_bird_b0_04_ours_j.sh	0-12:15:00	0-13:00:00	long_attack	USE_JACOBIAN_SCORE=1 JACOBIAN_WEIGHT=1.0 JACOBIAN_BATCH_SIZE=64 CLASS_PAIR="dog-bird" MODEL="ConvNetBN" ATTACK="gradmatch" BUDGETS=0.04 SELECT="ours" sh sel_dpp.sh
attack	105	attack/attack_105_convnet_gradmatch_dog_bird_b0_04_dpp_j.sh	0-12:30:00	0-13:15:00	long_attack	USE_JACOBIAN_SCORE=1 JACOBIAN_WEIGHT=1.0 JACOBIAN_BATCH_SIZE=64 CLASS_PAIR="dog-bird" MODEL="ConvNetBN" ATTACK="gradmatch" BUDGETS=0.04 SELECT="dpp" SEL_ALPHA=2.0 sh sel_dpp.sh
attack	106	attack/attack_106_convnet_sapa_dog_bird_b0_04_ours_j.sh	0-12:15:00	0-13:00:00	long_attack	USE_JACOBIAN_SCORE=1 JACOBIAN_WEIGHT=1.0 JACOBIAN_BATCH_SIZE=64 CLASS_PAIR="dog-bird" MODEL="ConvNetBN" ATTACK="sapa" SHARP_MODE="worst" SHARP_SIGMA="0.05" BUDGETS=0.04 SELECT="ours" sh sel_dpp.sh
attack	107	attack/attack_107_convnet_sapa_dog_bird_b0_04_dpp_j.sh	0-12:30:00	0-13:15:00	long_attack	USE_JACOBIAN_SCORE=1 JACOBIAN_WEIGHT=1.0 JACOBIAN_BATCH_SIZE=64 CLASS_PAIR="dog-bird" MODEL="ConvNetBN" ATTACK="sapa" SHARP_MODE="worst" SHARP_SIGMA="0.05" BUDGETS=0.04 SELECT="dpp" SEL_ALPHA=2.0 sh sel_dpp.sh
attack	108	attack/attack_108_convnet_gradmatch_frog_airplane_b0_04_ours_j.sh	0-12:15:00	0-13:00:00	long_attack	USE_JACOBIAN_SCORE=1 JACOBIAN_WEIGHT=1.0 JACOBIAN_BATCH_SIZE=64 CLASS_PAIR="frog-airplane" MODEL="ConvNetBN" ATTACK="gradmatch" BUDGETS=0.04 SELECT="ours" sh sel_dpp.sh
attack	109	attack/attack_109_convnet_gradmatch_frog_airplane_b0_04_dpp_j.sh	0-12:30:00	0-13:15:00	long_attack	USE_JACOBIAN_SCORE=1 JACOBIAN_WEIGHT=1.0 JACOBIAN_BATCH_SIZE=64 CLASS_PAIR="frog-airplane" MODEL="ConvNetBN" ATTACK="gradmatch" BUDGETS=0.04 SELECT="dpp" SEL_ALPHA=2.0 sh sel_dpp.sh
attack	110	attack/attack_110_convnet_sapa_frog_airplane_b0_04_ours_j.sh	0-12:15:00	0-13:00:00	long_attack	USE_JACOBIAN_SCORE=1 JACOBIAN_WEIGHT=1.0 JACOBIAN_BATCH_SIZE=64 CLASS_PAIR="frog-airplane" MODEL="ConvNetBN" ATTACK="sapa" SHARP_MODE="worst" SHARP_SIGMA="0.05" BUDGETS=0.04 SELECT="ours" sh sel_dpp.sh
attack	111	attack/attack_111_convnet_sapa_frog_airplane_b0_04_dpp_j.sh	0-12:30:00	0-13:15:00	long_attack	USE_JACOBIAN_SCORE=1 JACOBIAN_WEIGHT=1.0 JACOBIAN_BATCH_SIZE=64 CLASS_PAIR="frog-airplane" MODEL="ConvNetBN" ATTACK="sapa" SHARP_MODE="worst" SHARP_SIGMA="0.05" BUDGETS=0.04 SELECT="dpp" SEL_ALPHA=2.0 sh sel_dpp.sh
attack	112	attack/attack_112_resnet20_fc_dog_bird_b0_01_ours_j.sh	0-12:15:00	0-13:00:00	long_attack	USE_JACOBIAN_SCORE=1 JACOBIAN_WEIGHT=1.0 JACOBIAN_BATCH_SIZE=64 CLASS_PAIR="dog-bird" MODEL="ResNet20BN" ATTACK="fc" BUDGETS=0.01 SELECT="ours" sh sel_dpp.sh
attack	113	attack/attack_113_resnet20_gradmatch_dog_bird_b0_01_ours_j.sh	0-12:15:00	0-13:00:00	long_attack	USE_JACOBIAN_SCORE=1 JACOBIAN_WEIGHT=1.0 JACOBIAN_BATCH_SIZE=64 CLASS_PAIR="dog-bird" MODEL="ResNet20BN" ATTACK="gradmatch" BUDGETS=0.01 SELECT="ours" sh sel_dpp.sh
attack	114	attack/attack_114_resnet20_sapa_dog_bird_b0_01_ours_j.sh	0-12:15:00	0-13:00:00	long_attack	USE_JACOBIAN_SCORE=1 JACOBIAN_WEIGHT=1.0 JACOBIAN_BATCH_SIZE=64 CLASS_PAIR="dog-bird" MODEL="ResNet20BN" ATTACK="sapa" SHARP_MODE="worst" SHARP_SIGMA="0.05" BUDGETS=0.01 SELECT="ours" sh sel_dpp.sh
attack	115	attack/attack_115_resnet20_fc_frog_airplane_b0_01_ours_j.sh	0-12:15:00	0-13:00:00	long_attack	USE_JACOBIAN_SCORE=1 JACOBIAN_WEIGHT=1.0 JACOBIAN_BATCH_SIZE=64 CLASS_PAIR="frog-airplane" MODEL="ResNet20BN" ATTACK="fc" BUDGETS=0.01 SELECT="ours" sh sel_dpp.sh
attack	116	attack/attack_116_resnet20_fc_frog_airplane_b0_01_dpp_j.sh	0-12:30:00	0-13:15:00	long_attack	USE_JACOBIAN_SCORE=1 JACOBIAN_WEIGHT=1.0 JACOBIAN_BATCH_SIZE=64 CLASS_PAIR="frog-airplane" MODEL="ResNet20BN" ATTACK="fc" BUDGETS=0.01 SELECT="dpp" SEL_ALPHA=2.0 sh sel_dpp.sh
attack	117	attack/attack_117_resnet20_gradmatch_frog_airplane_b0_01_ours_j.sh	0-12:15:00	0-13:00:00	long_attack	USE_JACOBIAN_SCORE=1 JACOBIAN_WEIGHT=1.0 JACOBIAN_BATCH_SIZE=64 CLASS_PAIR="frog-airplane" MODEL="ResNet20BN" ATTACK="gradmatch" BUDGETS=0.01 SELECT="ours" sh sel_dpp.sh
attack	118	attack/attack_118_resnet20_gradmatch_frog_airplane_b0_01_dpp_j.sh	0-12:30:00	0-13:15:00	long_attack	USE_JACOBIAN_SCORE=1 JACOBIAN_WEIGHT=1.0 JACOBIAN_BATCH_SIZE=64 CLASS_PAIR="frog-airplane" MODEL="ResNet20BN" ATTACK="gradmatch" BUDGETS=0.01 SELECT="dpp" SEL_ALPHA=2.0 sh sel_dpp.sh
attack	119	attack/attack_119_resnet20_sapa_frog_airplane_b0_01_ours_j.sh	0-12:15:00	0-13:00:00	long_attack	USE_JACOBIAN_SCORE=1 JACOBIAN_WEIGHT=1.0 JACOBIAN_BATCH_SIZE=64 CLASS_PAIR="frog-airplane" MODEL="ResNet20BN" ATTACK="sapa" SHARP_MODE="worst" SHARP_SIGMA="0.05" BUDGETS=0.01 SELECT="ours" sh sel_dpp.sh
attack	120	attack/attack_120_resnet20_sapa_frog_airplane_b0_01_dpp_j.sh	0-12:30:00	0-13:15:00	long_attack	USE_JACOBIAN_SCORE=1 JACOBIAN_WEIGHT=1.0 JACOBIAN_BATCH_SIZE=64 CLASS_PAIR="frog-airplane" MODEL="ResNet20BN" ATTACK="sapa" SHARP_MODE="worst" SHARP_SIGMA="0.05" BUDGETS=0.01 SELECT="dpp" SEL_ALPHA=2.0 sh sel_dpp.sh
attack	121	attack/attack_121_vgg13_gradmatch_dog_bird_b0_01_ours_j.sh	0-11:30:00	0-12:15:00	long_attack	USE_JACOBIAN_SCORE=1 JACOBIAN_WEIGHT=1.0 JACOBIAN_BATCH_SIZE=64 CLASS_PAIR="dog-bird" MODEL="VGG13BN" ATTACK="gradmatch" BUDGETS=0.01 SELECT="ours" sh sel_dpp.sh
attack	122	attack/attack_122_vgg13_gradmatch_dog_bird_b0_01_dpp_j.sh	0-11:30:00	0-12:15:00	long_attack	USE_JACOBIAN_SCORE=1 JACOBIAN_WEIGHT=1.0 JACOBIAN_BATCH_SIZE=64 CLASS_PAIR="dog-bird" MODEL="VGG13BN" ATTACK="gradmatch" BUDGETS=0.01 SELECT="dpp" SEL_ALPHA=2.0 sh sel_dpp.sh
attack	123	attack/attack_123_vgg13_sapa_dog_bird_b0_01_ours_j.sh	0-11:30:00	0-12:15:00	long_attack	USE_JACOBIAN_SCORE=1 JACOBIAN_WEIGHT=1.0 JACOBIAN_BATCH_SIZE=64 CLASS_PAIR="dog-bird" MODEL="VGG13BN" ATTACK="sapa" SHARP_MODE="worst" SHARP_SIGMA="0.05" BUDGETS=0.01 SELECT="ours" sh sel_dpp.sh
attack	124	attack/attack_124_vgg13_sapa_dog_bird_b0_01_dpp_j.sh	0-11:30:00	0-12:15:00	long_attack	USE_JACOBIAN_SCORE=1 JACOBIAN_WEIGHT=1.0 JACOBIAN_BATCH_SIZE=64 CLASS_PAIR="dog-bird" MODEL="VGG13BN" ATTACK="sapa" SHARP_MODE="worst" SHARP_SIGMA="0.05" BUDGETS=0.01 SELECT="dpp" SEL_ALPHA=2.0 sh sel_dpp.sh
attack	125	attack/attack_125_vgg13_fc_frog_airplane_b0_01_ours_j.sh	0-11:30:00	0-12:15:00	long_attack	USE_JACOBIAN_SCORE=1 JACOBIAN_WEIGHT=1.0 JACOBIAN_BATCH_SIZE=64 CLASS_PAIR="frog-airplane" MODEL="VGG13BN" ATTACK="fc" BUDGETS=0.01 SELECT="ours" sh sel_dpp.sh
attack	126	attack/attack_126_vgg13_fc_frog_airplane_b0_01_dpp_j.sh	0-11:30:00	0-12:15:00	long_attack	USE_JACOBIAN_SCORE=1 JACOBIAN_WEIGHT=1.0 JACOBIAN_BATCH_SIZE=64 CLASS_PAIR="frog-airplane" MODEL="VGG13BN" ATTACK="fc" BUDGETS=0.01 SELECT="dpp" SEL_ALPHA=2.0 sh sel_dpp.sh
attack	127	attack/attack_127_vgg13_gradmatch_frog_airplane_b0_01_dpp_j.sh	0-11:30:00	0-12:15:00	long_attack	USE_JACOBIAN_SCORE=1 JACOBIAN_WEIGHT=1.0 JACOBIAN_BATCH_SIZE=64 CLASS_PAIR="frog-airplane" MODEL="VGG13BN" ATTACK="gradmatch" BUDGETS=0.01 SELECT="dpp" SEL_ALPHA=2.0 sh sel_dpp.sh
attack	128	attack/attack_128_vgg13_sapa_frog_airplane_b0_01_ours_j.sh	0-11:30:00	0-12:15:00	long_attack	USE_JACOBIAN_SCORE=1 JACOBIAN_WEIGHT=1.0 JACOBIAN_BATCH_SIZE=64 CLASS_PAIR="frog-airplane" MODEL="VGG13BN" ATTACK="sapa" SHARP_MODE="worst" SHARP_SIGMA="0.05" BUDGETS=0.01 SELECT="ours" sh sel_dpp.sh
attack	129	attack/attack_129_vgg13_sapa_frog_airplane_b0_01_dpp_j.sh	0-11:30:00	0-12:15:00	long_attack	USE_JACOBIAN_SCORE=1 JACOBIAN_WEIGHT=1.0 JACOBIAN_BATCH_SIZE=64 CLASS_PAIR="frog-airplane" MODEL="VGG13BN" ATTACK="sapa" SHARP_MODE="worst" SHARP_SIGMA="0.05" BUDGETS=0.01 SELECT="dpp" SEL_ALPHA=2.0 sh sel_dpp.sh
defense	1	defense/defense_001_convnet_fc_dog_bird_b0_01_epic_random_std.sh	0-01:30:00	0-02:15:00	standard	USE_JACOBIAN_SCORE=0 CLASS_PAIR="dog-bird" MODEL="ConvNetBN" ATTACK="fc" BUDGETS=0.01 SELS=random SEL_ALPHA=2.0 DEFENSES="epic" NUM_TARGETS=7 NUM_VICTIMS=5 sh defense.sh
defense	2	defense/defense_002_convnet_fc_dog_bird_b0_01_epic_ours_std.sh	0-01:30:00	0-02:15:00	standard	USE_JACOBIAN_SCORE=0 CLASS_PAIR="dog-bird" MODEL="ConvNetBN" ATTACK="fc" BUDGETS=0.01 SELS=ours SEL_ALPHA=2.0 DEFENSES="epic" NUM_TARGETS=7 NUM_VICTIMS=5 sh defense.sh
defense	3	defense/defense_003_convnet_fc_dog_bird_b0_01_epic_dpp_std.sh	0-01:30:00	0-02:15:00	standard	USE_JACOBIAN_SCORE=0 CLASS_PAIR="dog-bird" MODEL="ConvNetBN" ATTACK="fc" BUDGETS=0.01 SELS=dpp SEL_ALPHA=2.0 DEFENSES="epic" NUM_TARGETS=7 NUM_VICTIMS=5 sh defense.sh
defense	4	defense/defense_004_convnet_fc_dog_bird_b0_02_epic_random_std.sh	0-01:30:00	0-02:15:00	standard	USE_JACOBIAN_SCORE=0 CLASS_PAIR="dog-bird" MODEL="ConvNetBN" ATTACK="fc" BUDGETS=0.02 SELS=random SEL_ALPHA=2.0 DEFENSES="epic" NUM_TARGETS=7 NUM_VICTIMS=5 sh defense.sh
defense	5	defense/defense_005_convnet_fc_dog_bird_b0_02_epic_ours_std.sh	0-01:30:00	0-02:15:00	standard	USE_JACOBIAN_SCORE=0 CLASS_PAIR="dog-bird" MODEL="ConvNetBN" ATTACK="fc" BUDGETS=0.02 SELS=ours SEL_ALPHA=2.0 DEFENSES="epic" NUM_TARGETS=7 NUM_VICTIMS=5 sh defense.sh
defense	6	defense/defense_006_convnet_fc_dog_bird_b0_02_epic_dpp_std.sh	0-01:30:00	0-02:15:00	standard	USE_JACOBIAN_SCORE=0 CLASS_PAIR="dog-bird" MODEL="ConvNetBN" ATTACK="fc" BUDGETS=0.02 SELS=dpp SEL_ALPHA=2.0 DEFENSES="epic" NUM_TARGETS=7 NUM_VICTIMS=5 sh defense.sh
defense	7	defense/defense_007_convnet_fc_dog_bird_b0_01_epic_ours_j.sh	0-01:30:00	0-02:15:00	standard	USE_JACOBIAN_SCORE=1 JACOBIAN_WEIGHT=1.0 JACOBIAN_BATCH_SIZE=64 CLASS_PAIR="dog-bird" MODEL="ConvNetBN" ATTACK="fc" BUDGETS=0.01 SELS=ours SEL_ALPHA=2.0 DEFENSES="epic" NUM_TARGETS=7 NUM_VICTIMS=5 sh defense.sh
defense	8	defense/defense_008_convnet_fc_dog_bird_b0_01_epic_dpp_j.sh	0-01:30:00	0-02:15:00	standard	USE_JACOBIAN_SCORE=1 JACOBIAN_WEIGHT=1.0 JACOBIAN_BATCH_SIZE=64 CLASS_PAIR="dog-bird" MODEL="ConvNetBN" ATTACK="fc" BUDGETS=0.01 SELS=dpp SEL_ALPHA=2.0 DEFENSES="epic" NUM_TARGETS=7 NUM_VICTIMS=5 sh defense.sh
defense	9	defense/defense_009_convnet_fc_dog_bird_b0_02_epic_ours_j.sh	0-01:30:00	0-02:15:00	standard	USE_JACOBIAN_SCORE=1 JACOBIAN_WEIGHT=1.0 JACOBIAN_BATCH_SIZE=64 CLASS_PAIR="dog-bird" MODEL="ConvNetBN" ATTACK="fc" BUDGETS=0.02 SELS=ours SEL_ALPHA=2.0 DEFENSES="epic" NUM_TARGETS=7 NUM_VICTIMS=5 sh defense.sh
defense	10	defense/defense_010_convnet_fc_dog_bird_b0_02_epic_dpp_j.sh	0-01:30:00	0-02:15:00	standard	USE_JACOBIAN_SCORE=1 JACOBIAN_WEIGHT=1.0 JACOBIAN_BATCH_SIZE=64 CLASS_PAIR="dog-bird" MODEL="ConvNetBN" ATTACK="fc" BUDGETS=0.02 SELS=dpp SEL_ALPHA=2.0 DEFENSES="epic" NUM_TARGETS=7 NUM_VICTIMS=5 sh defense.sh
defense	11	defense/defense_011_convnet_gradmatch_dog_bird_b0_02_epic_random_std.sh	0-01:30:00	0-02:15:00	standard	USE_JACOBIAN_SCORE=0 CLASS_PAIR="dog-bird" MODEL="ConvNetBN" ATTACK="gradmatch" BUDGETS=0.02 SELS=random SEL_ALPHA=2.0 DEFENSES="epic" NUM_TARGETS=7 NUM_VICTIMS=5 sh defense.sh
defense	12	defense/defense_012_convnet_gradmatch_dog_bird_b0_02_epic_dpp_std.sh	0-01:30:00	0-02:15:00	standard	USE_JACOBIAN_SCORE=0 CLASS_PAIR="dog-bird" MODEL="ConvNetBN" ATTACK="gradmatch" BUDGETS=0.02 SELS=dpp SEL_ALPHA=2.0 DEFENSES="epic" NUM_TARGETS=7 NUM_VICTIMS=5 sh defense.sh
defense	13	defense/defense_013_convnet_sapa_dog_bird_b0_02_epic_random_std.sh	0-01:30:00	0-02:15:00	standard	USE_JACOBIAN_SCORE=0 CLASS_PAIR="dog-bird" MODEL="ConvNetBN" ATTACK="sapa" TARGET_SELECT=70 BUDGETS=0.02 SELS=random SEL_ALPHA=2.0 DEFENSES="epic" NUM_TARGETS=7 NUM_VICTIMS=5 sh defense.sh
defense	14	defense/defense_014_convnet_sapa_dog_bird_b0_02_epic_dpp_std.sh	0-01:30:00	0-02:15:00	standard	USE_JACOBIAN_SCORE=0 CLASS_PAIR="dog-bird" MODEL="ConvNetBN" ATTACK="sapa" TARGET_SELECT=70 BUDGETS=0.02 SELS=dpp SEL_ALPHA=2.0 DEFENSES="epic" NUM_TARGETS=7 NUM_VICTIMS=5 sh defense.sh
defense	15	defense/defense_015_convnet_fc_dog_bird_b0_01_friends_random_std.sh	0-01:30:00	0-02:15:00	standard	USE_JACOBIAN_SCORE=0 CLASS_PAIR="dog-bird" MODEL="ConvNetBN" ATTACK="fc" BUDGETS=0.01 SELS=random SEL_ALPHA=2.0 DEFENSES="friends" NUM_TARGETS=7 NUM_VICTIMS=5 sh defense.sh
defense	16	defense/defense_016_convnet_fc_dog_bird_b0_01_friends_ours_std.sh	0-01:30:00	0-02:15:00	standard	USE_JACOBIAN_SCORE=0 CLASS_PAIR="dog-bird" MODEL="ConvNetBN" ATTACK="fc" BUDGETS=0.01 SELS=ours SEL_ALPHA=2.0 DEFENSES="friends" NUM_TARGETS=7 NUM_VICTIMS=5 sh defense.sh
