kind	index	file	estimate	walltime	schedule_class	command
attack	11	attack/attack_011_convnet_sapa_dog_bird_b0_02_ours_std.sh	0-03:30:00	0-04:15:00	standard	USE_JACOBIAN_SCORE=0 CLASS_PAIR="dog-bird" MODEL="ConvNetBN" ATTACK="sapa" SHARP_MODE="worst" SHARP_SIGMA="0.05" BUDGETS=0.02 SELECT="ours" sh sel_dpp.sh
attack	12	attack/attack_012_convnet_sapa_dog_bird_b0_04_ours_std.sh	0-06:00:00	0-06:45:00	standard	USE_JACOBIAN_SCORE=0 CLASS_PAIR="dog-bird" MODEL="ConvNetBN" ATTACK="sapa" SHARP_MODE="worst" SHARP_SIGMA="0.05" BUDGETS=0.04 SELECT="ours" sh sel_dpp.sh
attack	13	attack/attack_013_convnet_sapa_dog_bird_b0_001_ours_j.sh	0-01:15:00	0-02:00:00	standard	USE_JACOBIAN_SCORE=1 JACOBIAN_WEIGHT=1.0 JACOBIAN_BATCH_SIZE=64 CLASS_PAIR="dog-bird" MODEL="ConvNetBN" ATTACK="sapa" SHARP_MODE="worst" SHARP_SIGMA="0.05" BUDGETS=0.001 SELECT="ours" sh sel_dpp.sh
attack	14	attack/attack_014_convnet_sapa_dog_bird_b0_005_ours_j.sh	0-01:45:00	0-02:30:00	standard	USE_JACOBIAN_SCORE=1 JACOBIAN_WEIGHT=1.0 JACOBIAN_BATCH_SIZE=64 CLASS_PAIR="dog-bird" MODEL="ConvNetBN" ATTACK="sapa" SHARP_MODE="worst" SHARP_SIGMA="0.05" BUDGETS=0.005 SELECT="ours" sh sel_dpp.sh
attack	15	attack/attack_015_convnet_sapa_dog_bird_b0_01_ours_j.sh	0-04:30:00	0-05:15:00	standard	USE_JACOBIAN_SCORE=1 JACOBIAN_WEIGHT=1.0 JACOBIAN_BATCH_SIZE=64 CLASS_PAIR="dog-bird" MODEL="ConvNetBN" ATTACK="sapa" SHARP_MODE="worst" SHARP_SIGMA="0.05" BUDGETS=0.01 SELECT="ours" sh sel_dpp.sh
attack	16	attack/attack_016_convnet_sapa_dog_bird_b0_02_ours_j.sh	0-07:00:00	0-07:00:00	standard_7h	USE_JACOBIAN_SCORE=1 JACOBIAN_WEIGHT=1.0 JACOBIAN_BATCH_SIZE=64 CLASS_PAIR="dog-bird" MODEL="ConvNetBN" ATTACK="sapa" SHARP_MODE="worst" SHARP_SIGMA="0.05" BUDGETS=0.02 SELECT="ours" sh sel_dpp.sh
attack	17	attack/attack_017_convnet_sapa_dog_bird_b0_02_dpp_j.sh	0-07:00:00	0-07:00:00	standard_7h	USE_JACOBIAN_SCORE=1 JACOBIAN_WEIGHT=1.0 JACOBIAN_BATCH_SIZE=64 CLASS_PAIR="dog-bird" MODEL="ConvNetBN" ATTACK="sapa" SHARP_MODE="worst" SHARP_SIGMA="0.05" BUDGETS=0.02 SELECT="dpp" SEL_ALPHA=2.0 sh sel_dpp.sh
attack	18	attack/attack_018_convnet_gradmatch_frog_airplane_b0_005_ours_std.sh	0-01:30:00	0-02:15:00	standard	USE_JACOBIAN_SCORE=0 CLASS_PAIR="frog-airplane" MODEL="ConvNetBN" ATTACK="gradmatch" BUDGETS=0.005 SELECT="ours" sh sel_dpp.sh
attack	19	attack/attack_019_convnet_gradmatch_frog_airplane_b0_02_ours_std.sh	0-03:30:00	0-04:15:00	standard	USE_JACOBIAN_SCORE=0 CLASS_PAIR="frog-airplane" MODEL="ConvNetBN" ATTACK="gradmatch" BUDGETS=0.02 SELECT="ours" sh sel_dpp.sh
attack	20	attack/attack_020_convnet_gradmatch_frog_airplane_b0_04_ours_std.sh	0-06:00:00	0-06:45:00	standard	USE_JACOBIAN_SCORE=0 CLASS_PAIR="frog-airplane" MODEL="ConvNetBN" ATTACK="gradmatch" BUDGETS=0.04 SELECT="ours" sh sel_dpp.sh
attack	21	attack/attack_021_convnet_gradmatch_frog_airplane_b0_02_ours_j.sh	0-07:00:00	0-07:00:00	standard_7h	USE_JACOBIAN_SCORE=1 JACOBIAN_WEIGHT=1.0 JACOBIAN_BATCH_SIZE=64 CLASS_PAIR="frog-airplane" MODEL="ConvNetBN" ATTACK="gradmatch" BUDGETS=0.02 SELECT="ours" sh sel_dpp.sh
attack	22	attack/attack_022_convnet_gradmatch_frog_airplane_b0_02_dpp_j.sh	0-07:00:00	0-07:00:00	standard_7h	USE_JACOBIAN_SCORE=1 JACOBIAN_WEIGHT=1.0 JACOBIAN_BATCH_SIZE=64 CLASS_PAIR="frog-airplane" MODEL="ConvNetBN" ATTACK="gradmatch" BUDGETS=0.02 SELECT="dpp" SEL_ALPHA=2.0 sh sel_dpp.sh
attack	23	attack/attack_023_convnet_sapa_frog_airplane_b0_02_ours_std.sh	0-03:30:00	0-04:15:00	standard	USE_JACOBIAN_SCORE=0 CLASS_PAIR="frog-airplane" MODEL="ConvNetBN" ATTACK="sapa" SHARP_MODE="worst" SHARP_SIGMA="0.05" BUDGETS=0.02 SELECT="ours" sh sel_dpp.sh
attack	24	attack/attack_024_convnet_sapa_frog_airplane_b0_04_ours_std.sh	0-06:00:00	0-06:45:00	standard	USE_JACOBIAN_SCORE=0 CLASS_PAIR="frog-airplane" MODEL="ConvNetBN" ATTACK="sapa" SHARP_MODE="worst" SHARP_SIGMA="0.05" BUDGETS=0.04 SELECT="ours" sh sel_dpp.sh
attack	25	attack/attack_025_convnet_sapa_frog_airplane_b0_001_ours_j.sh	0-01:15:00	0-02:00:00	standard	USE_JACOBIAN_SCORE=1 JACOBIAN_WEIGHT=1.0 JACOBIAN_BATCH_SIZE=64 CLASS_PAIR="frog-airplane" MODEL="ConvNetBN" ATTACK="sapa" SHARP_MODE="worst" SHARP_SIGMA="0.05" BUDGETS=0.001 SELECT="ours" sh sel_dpp.sh
attack	26	attack/attack_026_convnet_sapa_frog_airplane_b0_02_ours_j.sh	0-07:00:00	0-07:00:00	standard_7h	USE_JACOBIAN_SCORE=1 JACOBIAN_WEIGHT=1.0 JACOBIAN_BATCH_SIZE=64 CLASS_PAIR="frog-airplane" MODEL="ConvNetBN" ATTACK="sapa" SHARP_MODE="worst" SHARP_SIGMA="0.05" BUDGETS=0.02 SELECT="ours" sh sel_dpp.sh
attack	27	attack/attack_027_convnet_sapa_frog_airplane_b0_02_dpp_j.sh	0-07:00:00	0-07:00:00	standard_7h	USE_JACOBIAN_SCORE=1 JACOBIAN_WEIGHT=1.0 JACOBIAN_BATCH_SIZE=64 CLASS_PAIR="frog-airplane" MODEL="ConvNetBN" ATTACK="sapa" SHARP_MODE="worst" SHARP_SIGMA="0.05" BUDGETS=0.02 SELECT="dpp" SEL_ALPHA=2.0 sh sel_dpp.sh
attack	28	attack/attack_028_resnet20_fc_dog_bird_b0_001_ours_std.sh	0-02:15:00	0-03:00:00	standard	USE_JACOBIAN_SCORE=0 CLASS_PAIR="dog-bird" MODEL="ResNet20BN" ATTACK="fc" BUDGETS=0.001 SELECT="ours" sh sel_dpp.sh
attack	29	attack/attack_029_resnet20_fc_dog_bird_b0_002_ours_std.sh	0-02:15:00	0-03:00:00	standard	USE_JACOBIAN_SCORE=0 CLASS_PAIR="dog-bird" MODEL="ResNet20BN" ATTACK="fc" BUDGETS=0.002 SELECT="ours" sh sel_dpp.sh
attack	30	attack/attack_030_resnet20_fc_dog_bird_b0_005_ours_std.sh	0-02:15:00	0-03:00:00	standard	USE_JACOBIAN_SCORE=0 CLASS_PAIR="dog-bird" MODEL="ResNet20BN" ATTACK="fc" BUDGETS=0.005 SELECT="ours" sh sel_dpp.sh
attack	31	attack/attack_031_resnet20_fc_dog_bird_b0_001_ours_j.sh	0-02:45:00	0-03:30:00	standard	USE_JACOBIAN_SCORE=1 JACOBIAN_WEIGHT=1.0 JACOBIAN_BATCH_SIZE=64 CLASS_PAIR="dog-bird" MODEL="ResNet20BN" ATTACK="fc" BUDGETS=0.001 SELECT="ours" sh sel_dpp.sh
attack	32	attack/attack_032_resnet20_fc_dog_bird_b0_002_ours_j.sh	0-03:00:00	0-03:45:00	standard	USE_JACOBIAN_SCORE=1 JACOBIAN_WEIGHT=1.0 JACOBIAN_BATCH_SIZE=64 CLASS_PAIR="dog-bird" MODEL="ResNet20BN" ATTACK="fc" BUDGETS=0.002 SELECT="ours" sh sel_dpp.sh
attack	33	attack/attack_033_resnet20_fc_dog_bird_b0_005_ours_j.sh	0-03:30:00	0-04:15:00	standard	USE_JACOBIAN_SCORE=1 JACOBIAN_WEIGHT=1.0 JACOBIAN_BATCH_SIZE=64 CLASS_PAIR="dog-bird" MODEL="ResNet20BN" ATTACK="fc" BUDGETS=0.005 SELECT="ours" sh sel_dpp.sh
attack	34	attack/attack_034_resnet20_fc_dog_bird_b0_001_dpp_j.sh	0-02:45:00	0-03:30:00	standard	USE_JACOBIAN_SCORE=1 JACOBIAN_WEIGHT=1.0 JACOBIAN_BATCH_SIZE=64 CLASS_PAIR="dog-bird" MODEL="ResNet20BN" ATTACK="fc" BUDGETS=0.001 SELECT="dpp" SEL_ALPHA=2.0 sh sel_dpp.sh
attack	35	attack/attack_035_resnet20_gradmatch_dog_bird_b0_001_ours_std.sh	0-02:30:00	0-03:15:00	standard	USE_JACOBIAN_SCORE=0 CLASS_PAIR="dog-bird" MODEL="ResNet20BN" ATTACK="gradmatch" BUDGETS=0.001 SELECT="ours" sh sel_dpp.sh
attack	36	attack/attack_036_resnet20_gradmatch_dog_bird_b0_002_ours_std.sh	0-02:45:00	0-03:30:00	standard	USE_JACOBIAN_SCORE=0 CLASS_PAIR="dog-bird" MODEL="ResNet20BN" ATTACK="gradmatch" BUDGETS=0.002 SELECT="ours" sh sel_dpp.sh
attack	37	attack/attack_037_resnet20_gradmatch_dog_bird_b0_005_ours_std.sh	0-03:15:00	0-04:00:00	standard	USE_JACOBIAN_SCORE=0 CLASS_PAIR="dog-bird" MODEL="ResNet20BN" ATTACK="gradmatch" BUDGETS=0.005 SELECT="ours" sh sel_dpp.sh
attack	38	attack/attack_038_resnet20_gradmatch_dog_bird_b0_01_ours_std.sh	0-04:15:00	0-05:00:00	standard	USE_JACOBIAN_SCORE=0 CLASS_PAIR="dog-bird" MODEL="ResNet20BN" ATTACK="gradmatch" BUDGETS=0.01 SELECT="ours" sh sel_dpp.sh
attack	39	attack/attack_039_resnet20_gradmatch_dog_bird_b0_001_ours_j.sh	0-02:45:00	0-03:30:00	standard	USE_JACOBIAN_SCORE=1 JACOBIAN_WEIGHT=1.0 JACOBIAN_BATCH_SIZE=64 CLASS_PAIR="dog-bird" MODEL="ResNet20BN" ATTACK="gradmatch" BUDGETS=0.001 SELECT="ours" sh sel_dpp.sh
attack	40	attack/attack_040_resnet20_gradmatch_dog_bird_b0_002_ours_j.sh	0-03:00:00	0-03:45:00	standard	USE_JACOBIAN_SCORE=1 JACOBIAN_WEIGHT=1.0 JACOBIAN_BATCH_SIZE=64 CLASS_PAIR="dog-bird" MODEL="ResNet20BN" ATTACK="gradmatch" BUDGETS=0.002 SELECT="ours" sh sel_dpp.sh
attack	41	attack/attack_041_resnet20_gradmatch_dog_bird_b0_005_ours_j.sh	0-03:30:00	0-04:15:00	standard	USE_JACOBIAN_SCORE=1 JACOBIAN_WEIGHT=1.0 JACOBIAN_BATCH_SIZE=64 CLASS_PAIR="dog-bird" MODEL="ResNet20BN" ATTACK="gradmatch" BUDGETS=0.005 SELECT="ours" sh sel_dpp.sh
attack	42	attack/attack_042_resnet20_sapa_dog_bird_b0_001_ours_std.sh	0-02:30:00	0-03:15:00	standard	USE_JACOBIAN_SCORE=0 CLASS_PAIR="dog-bird" MODEL="ResNet20BN" ATTACK="sapa" SHARP_MODE="worst" SHARP_SIGMA="0.05" BUDGETS=0.001 SELECT="ours" sh sel_dpp.sh
attack	43	attack/attack_043_resnet20_sapa_dog_bird_b0_002_ours_std.sh	0-02:30:00	0-03:15:00	standard	USE_JACOBIAN_SCORE=0 CLASS_PAIR="dog-bird" MODEL="ResNet20BN" ATTACK="sapa" SHARP_MODE="worst" SHARP_SIGMA="0.05" BUDGETS=0.002 SELECT="ours" sh sel_dpp.sh
attack	44	attack/attack_044_resnet20_sapa_dog_bird_b0_005_ours_std.sh	0-03:00:00	0-03:45:00	standard	USE_JACOBIAN_SCORE=0 CLASS_PAIR="dog-bird" MODEL="ResNet20BN" ATTACK="sapa" SHARP_MODE="worst" SHARP_SIGMA="0.05" BUDGETS=0.005 SELECT="ours" sh sel_dpp.sh
attack	45	attack/attack_045_resnet20_sapa_dog_bird_b0_01_ours_std.sh	0-03:45:00	0-04:30:00	standard	USE_JACOBIAN_SCORE=0 CLASS_PAIR="dog-bird" MODEL="ResNet20BN" ATTACK="sapa" SHARP_MODE="worst" SHARP_SIGMA="0.05" BUDGETS=0.01 SELECT="ours" sh sel_dpp.sh
attack	46	attack/attack_046_resnet20_sapa_dog_bird_b0_001_ours_j.sh	0-02:45:00	0-03:30:00	standard	USE_JACOBIAN_SCORE=1 JACOBIAN_WEIGHT=1.0 JACOBIAN_BATCH_SIZE=64 CLASS_PAIR="dog-bird" MODEL="ResNet20BN" ATTACK="sapa" SHARP_MODE="worst" SHARP_SIGMA="0.05" BUDGETS=0.001 SELECT="ours" sh sel_dpp.sh
attack	47	attack/attack_047_resnet20_sapa_dog_bird_b0_002_ours_j.sh	0-03:00:00	0-03:45:00	standard	USE_JACOBIAN_SCORE=1 JACOBIAN_WEIGHT=1.0 JACOBIAN_BATCH_SIZE=64 CLASS_PAIR="dog-bird" MODEL="ResNet20BN" ATTACK="sapa" SHARP_MODE="worst" SHARP_SIGMA="0.05" BUDGETS=0.002 SELECT="ours" sh sel_dpp.sh
attack	48	attack/attack_048_resnet20_sapa_dog_bird_b0_005_ours_j.sh	0-03:30:00	0-04:15:00	standard	USE_JACOBIAN_SCORE=1 JACOBIAN_WEIGHT=1.0 JACOBIAN_BATCH_SIZE=64 CLASS_PAIR="dog-bird" MODEL="ResNet20BN" ATTACK="sapa" SHARP_MODE="worst" SHARP_SIGMA="0.05" BUDGETS=0.005 SELECT="ours" sh sel_dpp.sh
attack	49	attack/attack_049_resnet20_fc_frog_airplane_b0_001_ours_std.sh	0-02:15:00	0-03:00:00	standard	USE_JACOBIAN_SCORE=0 CLASS_PAIR="frog-airplane" MODEL="ResNet20BN" ATTACK="fc" BUDGETS=0.001 SELECT="ours" sh sel_dpp.sh
attack	50	attack/attack_050_resnet20_fc_frog_airplane_b0_002_ours_std.sh	0-02:15:00	0-03:00:00	standard	USE_JACOBIAN_SCORE=0 CLASS_PAIR="frog-airplane" MODEL="ResNet20BN" ATTACK="fc" BUDGETS=0.002 SELECT="ours" sh sel_dpp.sh
attack	51	attack/attack_051_resnet20_fc_frog_airplane_b0_005_ours_std.sh	0-02:15:00	0-03:00:00	standard	USE_JACOBIAN_SCORE=0 CLASS_PAIR="frog-airplane" MODEL="ResNet20BN" ATTACK="fc" BUDGETS=0.005 SELECT="ours" sh sel_dpp.sh
attack	52	attack/attack_052_resnet20_fc_frog_airplane_b0_001_ours_j.sh	0-02:45:00	0-03:30:00	standard	USE_JACOBIAN_SCORE=1 JACOBIAN_WEIGHT=1.0 JACOBIAN_BATCH_SIZE=64 CLASS_PAIR="frog-airplane" MODEL="ResNet20BN" ATTACK="fc" BUDGETS=0.001 SELECT="ours" sh sel_dpp.sh
attack	53	attack/attack_053_resnet20_fc_frog_airplane_b0_002_ours_j.sh	0-03:00:00	0-03:45:00	standard	USE_JACOBIAN_SCORE=1 JACOBIAN_WEIGHT=1.0 JACOBIAN_BATCH_SIZE=64 CLASS_PAIR="frog-airplane" MODEL="ResNet20BN" ATTACK="fc" BUDGETS=0.002 SELECT="ours" sh sel_dpp.sh
attack	54	attack/attack_054_resnet20_fc_frog_airplane_b0_005_ours_j.sh	0-03:30:00	0-04:15:00	standard	USE_JACOBIAN_SCORE=1 JACOBIAN_WEIGHT=1.0 JACOBIAN_BATCH_SIZE=64 CLASS_PAIR="frog-airplane" MODEL="ResNet20BN" ATTACK="fc" BUDGETS=0.005 SELECT="ours" sh sel_dpp.sh
attack	55	attack/attack_055_resnet20_fc_frog_airplane_b0_001_dpp_j.sh	0-02:45:00	0-03:30:00	standard	USE_JACOBIAN_SCORE=1 JACOBIAN_WEIGHT=1.0 JACOBIAN_BATCH_SIZE=64 CLASS_PAIR="frog-airplane" MODEL="ResNet20BN" ATTACK="fc" BUDGETS=0.001 SELECT="dpp" SEL_ALPHA=2.0 sh sel_dpp.sh
attack	56	attack/attack_056_resnet20_gradmatch_frog_airplane_b0_001_ours_std.sh	0-02:30:00	0-03:15:00	standard	USE_JACOBIAN_SCORE=0 CLASS_PAIR="frog-airplane" MODEL="ResNet20BN" ATTACK="gradmatch" BUDGETS=0.001 SELECT="ours" sh sel_dpp.sh
attack	57	attack/attack_057_resnet20_gradmatch_frog_airplane_b0_01_ours_std.sh	0-04:15:00	0-05:00:00	standard	USE_JACOBIAN_SCORE=0 CLASS_PAIR="frog-airplane" MODEL="ResNet20BN" ATTACK="gradmatch" BUDGETS=0.01 SELECT="ours" sh sel_dpp.sh
attack	58	attack/attack_058_resnet20_gradmatch_frog_airplane_b0_001_ours_j.sh	0-02:45:00	0-03:30:00	standard	USE_JACOBIAN_SCORE=1 JACOBIAN_WEIGHT=1.0 JACOBIAN_BATCH_SIZE=64 CLASS_PAIR="frog-airplane" MODEL="ResNet20BN" ATTACK="gradmatch" BUDGETS=0.001 SELECT="ours" sh sel_dpp.sh
attack	59	attack/attack_059_resnet20_gradmatch_frog_airplane_b0_001_dpp_j.sh	0-02:45:00	0-03:30:00	standard	USE_JACOBIAN_SCORE=1 JACOBIAN_WEIGHT=1.0 JACOBIAN_BATCH_SIZE=64 CLASS_PAIR="frog-airplane" MODEL="ResNet20BN" ATTACK="gradmatch" BUDGETS=0.001 SELECT="dpp" SEL_ALPHA=2.0 sh sel_dpp.sh
attack	60	attack/attack_060_resnet20_sapa_frog_airplane_b0_001_ours_std.sh	0-02:30:00	0-03:15:00	standard	USE_JACOBIAN_SCORE=0 CLASS_PAIR="frog-airplane" MODEL="ResNet20BN" ATTACK="sapa" SHARP_MODE="worst" SHARP_SIGMA="0.05" BUDGETS=0.001 SELECT="ours" sh sel_dpp.sh
attack	61	attack/attack_061_resnet20_sapa_frog_airplane_b0_002_ours_std.sh	0-02:30:00	0-03:15:00	standard	USE_JACOBIAN_SCORE=0 CLASS_PAIR="frog-airplane" MODEL="ResNet20BN" ATTACK="sapa" SHARP_MODE="worst" SHARP_SIGMA="0.05" BUDGETS=0.002 SELECT="ours" sh sel_dpp.sh
attack	62	attack/attack_062_resnet20_sapa_frog_airplane_b0_005_ours_std.sh	0-03:00:00	0-03:45:00	standard	USE_JACOBIAN_SCORE=0 CLASS_PAIR="frog-airplane" MODEL="ResNet20BN" ATTACK="sapa" SHARP_MODE="worst" SHARP_SIGMA="0.05" BUDGETS=0.005 SELECT="ours" sh sel_dpp.sh
attack	63	attack/attack_063_resnet20_sapa_frog_airplane_b0_01_ours_std.sh	0-03:45:00	0-04:30:00	standard	USE_JACOBIAN_SCORE=0 CLASS_PAIR="frog-airplane" MODEL="ResNet20BN" ATTACK="sapa" SHARP_MODE="worst" SHARP_SIGMA="0.05" BUDGETS=0.01 SELECT="ours" sh sel_dpp.sh
attack	64	attack/attack_064_resnet20_sapa_frog_airplane_b0_001_ours_j.sh	0-02:45:00	0-03:30:00	standard	USE_JACOBIAN_SCORE=1 JACOBIAN_WEIGHT=1.0 JACOBIAN_BATCH_SIZE=64 CLASS_PAIR="frog-airplane" MODEL="ResNet20BN" ATTACK="sapa" SHARP_MODE="worst" SHARP_SIGMA="0.05" BUDGETS=0.001 SELECT="ours" sh sel_dpp.sh
attack	65	attack/attack_065_resnet20_sapa_frog_airplane_b0_001_dpp_j.sh	0-02:45:00	0-03:30:00	standard	USE_JACOBIAN_SCORE=1 JACOBIAN_WEIGHT=1.0 JACOBIAN_BATCH_SIZE=64 CLASS_PAIR="frog-airplane" MODEL="ResNet20BN" ATTACK="sapa" SHARP_MODE="worst" SHARP_SIGMA="0.05" BUDGETS=0.001 SELECT="dpp" SEL_ALPHA=2.0 sh sel_dpp.sh
attack	66	attack/attack_066_vgg13_fc_dog_bird_b0_001_ours_std.sh	0-01:45:00	0-02:30:00	standard	USE_JACOBIAN_SCORE=0 CLASS_PAIR="dog-bird" MODEL="VGG13BN" ATTACK="fc" BUDGETS=0.001 SELECT="ours" sh sel_dpp.sh
attack	67	attack/attack_067_vgg13_fc_dog_bird_b0_002_ours_std.sh	0-01:45:00	0-02:30:00	standard	USE_JACOBIAN_SCORE=0 CLASS_PAIR="dog-bird" MODEL="VGG13BN" ATTACK="fc" BUDGETS=0.002 SELECT="ours" sh sel_dpp.sh
attack	68	attack/attack_068_vgg13_fc_dog_bird_b0_001_ours_j.sh	0-02:00:00	0-02:45:00	standard	USE_JACOBIAN_SCORE=1 JACOBIAN_WEIGHT=1.0 JACOBIAN_BATCH_SIZE=64 CLASS_PAIR="dog-bird" MODEL="VGG13BN" ATTACK="fc" BUDGETS=0.001 SELECT="ours" sh sel_dpp.sh
attack	69	attack/attack_069_vgg13_fc_dog_bird_b0_002_ours_j.sh	0-02:15:00	0-03:00:00	standard	USE_JACOBIAN_SCORE=1 JACOBIAN_WEIGHT=1.0 JACOBIAN_BATCH_SIZE=64 CLASS_PAIR="dog-bird" MODEL="VGG13BN" ATTACK="fc" BUDGETS=0.002 SELECT="ours" sh sel_dpp.sh
attack	70	attack/attack_070_vgg13_fc_dog_bird_b0_005_ours_j.sh	0-03:00:00	0-03:45:00	standard	USE_JACOBIAN_SCORE=1 JACOBIAN_WEIGHT=1.0 JACOBIAN_BATCH_SIZE=64 CLASS_PAIR="dog-bird" MODEL="VGG13BN" ATTACK="fc" BUDGETS=0.005 SELECT="ours" sh sel_dpp.sh
attack	71	attack/attack_071_vgg13_fc_dog_bird_b0_001_dpp_j.sh	0-02:15:00	0-03:00:00	standard	USE_JACOBIAN_SCORE=1 JACOBIAN_WEIGHT=1.0 JACOBIAN_BATCH_SIZE=64 CLASS_PAIR="dog-bird" MODEL="VGG13BN" ATTACK="fc" BUDGETS=0.001 SELECT="dpp" SEL_ALPHA=2.0 sh sel_dpp.sh
attack	72	attack/attack_072_vgg13_gradmatch_dog_bird_b0_001_ours_std.sh	0-02:00:00	0-02:45:00	standard	USE_JACOBIAN_SCORE=0 CLASS_PAIR="dog-bird" MODEL="VGG13BN" ATTACK="gradmatch" BUDGETS=0.001 SELECT="ours" sh sel_dpp.sh
attack	73	attack/attack_073_vgg13_gradmatch_dog_bird_b0_002_ours_std.sh	0-02:15:00	0-03:00:00	standard	USE_JACOBIAN_SCORE=0 CLASS_PAIR="dog-bird" MODEL="VGG13BN" ATTACK="gradmatch" BUDGETS=0.002 SELECT="ours" sh sel_dpp.sh
attack	74	attack/attack_074_vgg13_gradmatch_dog_bird_b0_005_ours_std.sh	0-03:15:00	0-04:00:00	standard	USE_JACOBIAN_SCORE=0 CLASS_PAIR="dog-bird" MODEL="VGG13BN" ATTACK="gradmatch" BUDGETS=0.005 SELECT="ours" sh sel_dpp.sh
attack	75	attack/attack_075_vgg13_gradmatch_dog_bird_b0_01_ours_std.sh	0-05:00:00	0-05:45:00	standard	USE_JACOBIAN_SCORE=0 CLASS_PAIR="dog-bird" MODEL="VGG13BN" ATTACK="gradmatch" BUDGETS=0.01 SELECT="ours" sh sel_dpp.sh
