2026-08-10 22:10:21,349 === run start: CIFAR10_ConvNetBN_FC_ours_frog-airplane_budget0.002_seed42_K5_coef1.0 on cuda ===
2026-08-10 22:10:25,632 [budget] budget=0.002 -> num_poisons=100 (full_train_len=50000)
2026-08-10 22:10:42,169 [clean baseline ConvNetBN v0] test acc = 0.8310
2026-08-10 22:10:43,194 [clean baseline ConvNetBN v1] test acc = 0.8320
2026-08-10 22:10:44,189 [clean baseline ConvNetBN v2] test acc = 0.8401
2026-08-10 22:10:45,197 [clean baseline ConvNetBN v3] test acc = 0.8390
2026-08-10 22:10:46,341 [clean baseline ConvNetBN v4] test acc = 0.8403
2026-08-10 22:10:47,194 [clean baseline ConvNetBN v5] test acc = 0.8330
2026-08-10 22:10:47,195 [clean baseline] ConvNetBN CTA = 0.8359 +/- 0.0040
2026-08-10 22:10:47,313 [targets] 10 fixed targets: [8804, 9513, 7, 7117, 476, 9705, 2275, 1757, 9969, 4786]
2026-08-10 22:10:48,206 [resume] 57 (target, victim) trials already in ours_result/CIFAR10_ConvNetBN_FC_ours_frog-airplane_budget0.002_seed42_K5_coef1.0/results.csv; skipping those.
2026-08-10 22:10:48,707 [target 8804 | victim 0] already in results.csv, skipping
2026-08-10 22:10:48,707 [target 8804 | victim 1] already in results.csv, skipping
2026-08-10 22:10:48,707 [target 8804 | victim 2] already in results.csv, skipping
2026-08-10 22:10:48,707 [target 8804 | victim 3] already in results.csv, skipping
2026-08-10 22:10:48,707 [target 8804 | victim 4] already in results.csv, skipping
2026-08-10 22:10:48,707 [target 8804 | victim 5] already in results.csv, skipping
2026-08-10 22:10:49,281 [target 9513 | victim 0] already in results.csv, skipping
2026-08-10 22:10:49,281 [target 9513 | victim 1] already in results.csv, skipping
2026-08-10 22:10:49,281 [target 9513 | victim 2] already in results.csv, skipping
2026-08-10 22:10:49,282 [target 9513 | victim 3] already in results.csv, skipping
2026-08-10 22:10:49,282 [target 9513 | victim 4] already in results.csv, skipping
2026-08-10 22:10:49,282 [target 9513 | victim 5] already in results.csv, skipping
2026-08-10 22:10:49,970 [target 7 | victim 0] already in results.csv, skipping
2026-08-10 22:10:49,977 [target 7 | victim 1] already in results.csv, skipping
2026-08-10 22:10:49,977 [target 7 | victim 2] already in results.csv, skipping
2026-08-10 22:10:49,977 [target 7 | victim 3] already in results.csv, skipping
2026-08-10 22:10:49,977 [target 7 | victim 4] already in results.csv, skipping
2026-08-10 22:10:49,977 [target 7 | victim 5] already in results.csv, skipping
2026-08-10 22:10:50,578 [target 7117 | victim 0] already in results.csv, skipping
2026-08-10 22:10:50,578 [target 7117 | victim 1] already in results.csv, skipping
2026-08-10 22:10:50,578 [target 7117 | victim 2] already in results.csv, skipping
2026-08-10 22:10:50,578 [target 7117 | victim 3] already in results.csv, skipping
2026-08-10 22:10:50,578 [target 7117 | victim 4] already in results.csv, skipping
2026-08-10 22:10:50,578 [target 7117 | victim 5] already in results.csv, skipping
2026-08-10 22:10:51,367 [target 476 | victim 0] already in results.csv, skipping
2026-08-10 22:10:51,367 [target 476 | victim 1] already in results.csv, skipping
2026-08-10 22:10:51,367 [target 476 | victim 2] already in results.csv, skipping
2026-08-10 22:10:51,367 [target 476 | victim 3] already in results.csv, skipping
2026-08-10 22:10:51,367 [target 476 | victim 4] already in results.csv, skipping
2026-08-10 22:10:51,367 [target 476 | victim 5] already in results.csv, skipping
2026-08-10 22:10:52,069 [target 9705 | victim 0] already in results.csv, skipping
2026-08-10 22:10:52,069 [target 9705 | victim 1] already in results.csv, skipping
2026-08-10 22:10:52,069 [target 9705 | victim 2] already in results.csv, skipping
2026-08-10 22:10:52,069 [target 9705 | victim 3] already in results.csv, skipping
2026-08-10 22:10:52,069 [target 9705 | victim 4] already in results.csv, skipping
2026-08-10 22:10:52,069 [target 9705 | victim 5] already in results.csv, skipping
2026-08-10 22:10:52,915 [target 2275 | victim 0] already in results.csv, skipping
2026-08-10 22:10:52,915 [target 2275 | victim 1] already in results.csv, skipping
2026-08-10 22:10:52,915 [target 2275 | victim 2] already in results.csv, skipping
2026-08-10 22:10:52,915 [target 2275 | victim 3] already in results.csv, skipping
2026-08-10 22:10:52,915 [target 2275 | victim 4] already in results.csv, skipping
2026-08-10 22:10:52,915 [target 2275 | victim 5] already in results.csv, skipping
2026-08-10 22:10:53,540 [target 1757 | victim 0] already in results.csv, skipping
2026-08-10 22:10:53,540 [target 1757 | victim 1] already in results.csv, skipping
2026-08-10 22:10:53,540 [target 1757 | victim 2] already in results.csv, skipping
2026-08-10 22:10:53,540 [target 1757 | victim 3] already in results.csv, skipping
2026-08-10 22:10:53,540 [target 1757 | victim 4] already in results.csv, skipping
2026-08-10 22:10:53,540 [target 1757 | victim 5] already in results.csv, skipping
2026-08-10 22:10:54,087 [target 9969 | victim 0] already in results.csv, skipping
2026-08-10 22:10:54,087 [target 9969 | victim 1] already in results.csv, skipping
2026-08-10 22:10:54,087 [target 9969 | victim 2] already in results.csv, skipping
2026-08-10 22:10:54,087 [target 9969 | victim 3] already in results.csv, skipping
2026-08-10 22:10:54,087 [target 9969 | victim 4] already in results.csv, skipping
2026-08-10 22:10:54,087 [target 9969 | victim 5] already in results.csv, skipping
2026-08-10 22:10:54,460 [target 4786 | victim 0] already in results.csv, skipping
2026-08-10 22:10:54,461 [target 4786 | victim 1] already in results.csv, skipping
2026-08-10 22:10:54,461 [target 4786 | victim 2] already in results.csv, skipping
