index	account	attack	budget	K	selection_model	craft_model	victim_model	targets	victims	craft_ensemble	num_surrogates	craft_steps	time_limit	run_name	job_file
15	aip-yiweilu	gradmatch	0.002	20	ResNet20BN	ResNet20BN	VGG13BN	10	6	5	20	250	0-02:30:00	CIFAR10_ResNet20BN_gradmatch_ours_dog-bird_b0.002_eps8_seed42_lam1_cosine_victimarchVGG13BN_K20_ce5_tgt14	job_015_gm_b0002_k20_ar20_vvgg.sh
16	aip-boyuwang	gradmatch	0.002	20	VGG13BN	VGG13BN	ConvNetBN	10	6	5	20	250	0-02:30:00	CIFAR10_VGG13BN_gradmatch_ours_dog-bird_b0.002_eps8_seed42_lam1_cosine_victimarchConvNetBN_K20_ce5_tgt50	job_016_gm_b0002_k20_avgg_vconv.sh
17	aip-boyuwang	gradmatch	0.002	20	VGG13BN	VGG13BN	ResNet20BN	10	6	5	20	250	0-02:30:00	CIFAR10_VGG13BN_gradmatch_ours_dog-bird_b0.002_eps8_seed42_lam1_cosine_victimarchResNet20BN_K20_ce5_tgt50	job_017_gm_b0002_k20_avgg_vr20.sh
18	aip-yiweilu	gradmatch	0.002	20	VGG13BN	VGG13BN	VGG13BN	10	6	5	20	250	0-02:30:00	CIFAR10_VGG13BN_gradmatch_ours_dog-bird_b0.002_eps8_seed42_lam1_cosine_K20_ce5_tgt50	job_018_gm_b0002_k20_avgg_vvgg.sh
19	aip-boyuwang	gradmatch	0.005	10	ConvNetBN	ConvNetBN	ConvNetBN	10	6	5	20	250	0-02:30:00	CIFAR10_ConvNetBN_gradmatch_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_K10_ce5_tgt70	job_019_gm_b0005_k10_aconv_vconv.sh
20	aip-boyuwang	gradmatch	0.005	10	ConvNetBN	ConvNetBN	ResNet20BN	10	6	5	20	250	0-02:30:00	CIFAR10_ConvNetBN_gradmatch_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_victimarchResNet20BN_K10_ce5_tgt70	job_020_gm_b0005_k10_aconv_vr20.sh
21	aip-yiweilu	gradmatch	0.005	10	ConvNetBN	ConvNetBN	VGG13BN	10	6	5	20	250	0-02:30:00	CIFAR10_ConvNetBN_gradmatch_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_victimarchVGG13BN_K10_ce5_tgt70	job_021_gm_b0005_k10_aconv_vvgg.sh
22	aip-boyuwang	gradmatch	0.005	10	ResNet20BN	ResNet20BN	ConvNetBN	10	6	5	20	250	0-02:30:00	CIFAR10_ResNet20BN_gradmatch_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_victimarchConvNetBN_K10_ce5_tgt14	job_022_gm_b0005_k10_ar20_vconv.sh
23	aip-boyuwang	gradmatch	0.005	10	ResNet20BN	ResNet20BN	ResNet20BN	10	6	5	20	250	0-02:30:00	CIFAR10_ResNet20BN_gradmatch_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_K10_ce5_tgt14	job_023_gm_b0005_k10_ar20_vr20.sh
24	aip-yiweilu	gradmatch	0.005	10	ResNet20BN	ResNet20BN	VGG13BN	10	6	5	20	250	0-02:30:00	CIFAR10_ResNet20BN_gradmatch_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_victimarchVGG13BN_K10_ce5_tgt14	job_024_gm_b0005_k10_ar20_vvgg.sh
