index	job_file	account	attack	rho	selector	victim	K	targets	victims	old_ASR	configuration
11	job_11_bp_b0002_vr20_sr20_k20.sh	aip-boyuwang	BP	0.002	ResNet20	ResNet20	20	8	6	25.0	attack=fc budget=0.002 V=ResNet20BN S=ResNet20BN K=20 base=ours base_dist=cosine_norm lambda_margin=10 jacobian=off craft_steps=250 victim_epochs=50 victim_decay=40 targets=8 victims=6; green-table-ASR=25
12	job_12_bp_b0002_vr20_sr20_k30.sh	aip-yiweilu	BP	0.002	ResNet20	ResNet20	30	8	6	31.7	attack=fc budget=0.002 V=ResNet20BN S=ResNet20BN K=30 base=ours base_dist=cosine_norm lambda_margin=10 jacobian=off craft_steps=250 victim_epochs=50 victim_decay=40 targets=8 victims=6; green-table-ASR=31.7
13	job_13_bp_b0002_vr20_svgg_k1.sh	aip-boyuwang	BP	0.002	VGG13	ResNet20	1	8	6	20.0	attack=fc budget=0.002 V=ResNet20BN S=VGG13BN K=1 base=ours base_dist=cosine_norm lambda_margin=10 jacobian=off craft_steps=250 victim_epochs=50 victim_decay=40 targets=8 victims=6; green-table-ASR=20
14	job_14_bp_b0002_vr20_svgg_k10.sh	aip-boyuwang	BP	0.002	VGG13	ResNet20	10	8	6	25.0	attack=fc budget=0.002 V=ResNet20BN S=VGG13BN K=10 base=ours base_dist=cosine_norm lambda_margin=10 jacobian=off craft_steps=250 victim_epochs=50 victim_decay=40 targets=8 victims=6; green-table-ASR=25
15	job_15_bp_b0002_vr20_svgg_k20.sh	aip-yiweilu	BP	0.002	VGG13	ResNet20	20	8	6	40.0	attack=fc budget=0.002 V=ResNet20BN S=VGG13BN K=20 base=ours base_dist=cosine_norm lambda_margin=10 jacobian=off craft_steps=250 victim_epochs=50 victim_decay=40 targets=8 victims=6; green-table-ASR=40
16	job_16_bp_b0002_vr20_svgg_k30.sh	aip-boyuwang	BP	0.002	VGG13	ResNet20	30	8	6	23.3	attack=fc budget=0.002 V=ResNet20BN S=VGG13BN K=30 base=ours base_dist=cosine_norm lambda_margin=10 jacobian=off craft_steps=250 victim_epochs=50 victim_decay=40 targets=8 victims=6; green-table-ASR=23.3
17	job_17_bp_b0002_vvgg_svgg_k1.sh	aip-boyuwang	BP	0.002	VGG13	VGG13	1	8	6	46.7	attack=fc budget=0.002 V=VGG13BN S=VGG13BN K=1 base=ours base_dist=cosine_norm lambda_margin=10 jacobian=off craft_steps=250 victim_epochs=50 victim_decay=40 targets=8 victims=6; green-table-ASR=46.7
18	job_18_bp_b0005_vr20_sconv_k10.sh	aip-yiweilu	BP	0.005	ConvNet	ResNet20	10	8	6	43.3	attack=fc budget=0.005 V=ResNet20BN S=ConvNetBN K=10 base=ours base_dist=cosine_norm lambda_margin=10 jacobian=off craft_steps=250 victim_epochs=50 victim_decay=40 targets=8 victims=6; green-table-ASR=43.3
19	job_19_bp_b0005_vr20_sconv_k20.sh	aip-boyuwang	BP	0.005	ConvNet	ResNet20	20	8	6	65.0	attack=fc budget=0.005 V=ResNet20BN S=ConvNetBN K=20 base=ours base_dist=cosine_norm lambda_margin=10 jacobian=off craft_steps=250 victim_epochs=50 victim_decay=40 targets=8 victims=6; green-table-ASR=65
20	job_20_bp_b0005_vr20_sconv_k30.sh	aip-boyuwang	BP	0.005	ConvNet	ResNet20	30	8	6	58.3	attack=fc budget=0.005 V=ResNet20BN S=ConvNetBN K=30 base=ours base_dist=cosine_norm lambda_margin=10 jacobian=off craft_steps=250 victim_epochs=50 victim_decay=40 targets=8 victims=6; green-table-ASR=58.3
21	job_21_bp_b0005_vvgg_sconv_k3.sh	aip-yiweilu	BP	0.005	ConvNet	VGG13	3	8	6	85.0	attack=fc budget=0.005 V=VGG13BN S=ConvNetBN K=3 base=ours base_dist=cosine_norm lambda_margin=10 jacobian=off craft_steps=250 victim_epochs=50 victim_decay=40 targets=8 victims=6; green-table-ASR=85
22	job_22_bp_b0005_vr20_sr20_k1.sh	aip-boyuwang	BP	0.005	ResNet20	ResNet20	1	8	6	45.0	attack=fc budget=0.005 V=ResNet20BN S=ResNet20BN K=1 base=ours base_dist=cosine_norm lambda_margin=10 jacobian=off craft_steps=250 victim_epochs=50 victim_decay=40 targets=8 victims=6; green-table-ASR=45
23	job_23_bp_b0005_vr20_sr20_k3.sh	aip-boyuwang	BP	0.005	ResNet20	ResNet20	3	8	6	36.7	attack=fc budget=0.005 V=ResNet20BN S=ResNet20BN K=3 base=ours base_dist=cosine_norm lambda_margin=10 jacobian=off craft_steps=250 victim_epochs=50 victim_decay=40 targets=8 victims=6; green-table-ASR=36.7
24	job_24_bp_b0005_vvgg_sr20_k20.sh	aip-yiweilu	BP	0.005	ResNet20	VGG13	20	8	6	65.0	attack=fc budget=0.005 V=VGG13BN S=ResNet20BN K=20 base=ours base_dist=cosine_norm lambda_margin=10 jacobian=off craft_steps=250 victim_epochs=50 victim_decay=40 targets=8 victims=6; green-table-ASR=65
25	job_25_bp_b0005_vvgg_sr20_k30.sh	aip-boyuwang	BP	0.005	ResNet20	VGG13	30	8	6	48.3	attack=fc budget=0.005 V=VGG13BN S=ResNet20BN K=30 base=ours base_dist=cosine_norm lambda_margin=10 jacobian=off craft_steps=250 victim_epochs=50 victim_decay=40 targets=8 victims=6; green-table-ASR=48.3
26	job_26_bp_b0005_vconv_svgg_k1.sh	aip-boyuwang	BP	0.005	VGG13	ConvNet	1	8	6	56.7	attack=fc budget=0.005 V=ConvNetBN S=VGG13BN K=1 base=ours base_dist=cosine_norm lambda_margin=10 jacobian=off craft_steps=250 victim_epochs=50 victim_decay=40 targets=8 victims=6; green-table-ASR=56.7
