clean_test_acc,method,num_poisons,prediction,realized_linf,success,target_idx,victim_id
0.529,random,8,13,0.03137257695198059,0,693,0
0.516,random,8,13,0.03137257695198059,0,693,1
0.511,random,8,14,0.03137257695198059,0,693,2
0.547,random,8,13,0.03137257695198059,0,693,3
0.533,random,8,13,0.03137257695198059,0,693,4
0.574,random,8,13,0.03137257695198059,0,693,5
0.578,random,8,13,0.03137257695198059,0,651,0
0.454,random,8,13,0.03137257695198059,0,651,1
0.539,random,8,13,0.03137257695198059,0,651,2
0.563,random,8,13,0.03137257695198059,0,651,3
0.549,random,8,13,0.03137257695198059,0,651,4
0.563,random,8,13,0.03137257695198059,0,651,5
0.551,random,8,13,0.03137257695198059,0,664,0
0.522,random,8,13,0.03137257695198059,0,664,1
0.567,random,8,13,0.03137257695198059,0,664,2
0.567,random,8,13,0.03137257695198059,0,664,3
0.509,random,8,13,0.03137257695198059,0,664,4
0.527,random,8,13,0.03137257695198059,0,664,5
0.499,random,8,13,0.03137257695198059,0,686,0
0.532,random,8,13,0.03137257695198059,0,686,1
0.552,random,8,13,0.03137257695198059,0,686,2
0.536,random,8,13,0.03137257695198059,0,686,3
0.542,random,8,13,0.03137257695198059,0,686,4
0.419,random,8,13,0.03137257695198059,0,686,5
0.554,random,8,13,0.03137257695198059,0,662,0
0.517,random,8,13,0.03137257695198059,0,662,1
0.545,random,8,13,0.03137257695198059,0,662,2
0.517,random,8,13,0.03137257695198059,0,662,3
0.51,random,8,13,0.03137257695198059,0,662,4
0.543,random,8,13,0.03137257695198059,0,662,5
0.544,random,8,13,0.03137257695198059,0,650,0
0.515,random,8,13,0.03137257695198059,0,650,1
0.561,random,8,13,0.03137257695198059,0,650,2
0.57,random,8,13,0.03137257695198059,0,650,3
0.517,random,8,13,0.03137257695198059,0,650,4
0.521,random,8,13,0.03137257695198059,0,650,5
0.574,random,8,13,0.03137257695198059,0,677,0
0.537,random,8,13,0.03137257695198059,0,677,1
0.533,random,8,13,0.03137257695198059,0,677,2
0.542,random,8,13,0.03137257695198059,0,677,3
0.535,random,8,13,0.03137257695198059,0,677,4
0.519,random,8,13,0.03137257695198059,0,677,5
0.554,random,8,13,0.03137257695198059,0,657,0
0.546,random,8,13,0.03137257695198059,0,657,1
0.546,random,8,13,0.03137257695198059,0,657,2
0.532,random,8,13,0.03137257695198059,0,657,3
0.549,random,8,13,0.03137257695198059,0,657,4
0.586,random,8,12,0.03137257695198059,1,657,5
