rho,n_units,m_min,m_max,mean_overlap_add_exact,std_overlap_add_exact,mean_overlap_mult_exact,std_overlap_mult_exact,mean_overlap_graft_exact,std_overlap_graft_exact,mean_overlap_add_mult,std_overlap_add_mult,mean_spearman_add,std_spearman_add,mean_spearman_mult,std_spearman_mult,mean_spearman_graft,std_spearman_graft
0.001,2400,50,50,0.054141666666666664,0.046534025404597265,0.05466666666666666,0.04730561609826651,0.08475833333333334,0.050592404834949936,0.9342333333333332,0.027338439997822095,0.41575567590913903,0.08123101467184608,0.4063164149154564,0.0669755105645356,0.608018507016181,0.05671312187265011
0.002,2400,100,100,0.07860833333333335,0.0451284666804957,0.07813333333333335,0.04457402166032507,0.11755,0.04688457530379536,0.9347333333333334,0.02270962589998868,0.41575567590913903,0.08123101467184608,0.4063164149154564,0.0669755105645356,0.608018507016181,0.05671312187265011
0.005,2400,250,250,0.13520333333333334,0.04431414614658447,0.13366666666666668,0.044461435314605176,0.18870333333333333,0.042536641749715214,0.9349666666666667,0.019636349367412657,0.41575567590913903,0.08123101467184608,0.4063164149154564,0.0669755105645356,0.608018507016181,0.05671312187265011
0.01,2400,500,500,0.21258416666666666,0.04398234231279949,0.20758916666666663,0.04387924863946936,0.2779891666666667,0.04153826120516923,0.9257074999999999,0.020386333939793912,0.41575567590913903,0.08123101467184608,0.4063164149154564,0.0669755105645356,0.608018507016181,0.05671312187265011
0.02,2400,1000,1000,0.34285541666666663,0.0399416562286252,0.33378375,0.040383430945051035,0.41868208333333334,0.03992610112828574,0.9157075000000001,0.018665979345064625,0.41575567590913903,0.08123101467184608,0.4063164149154564,0.0669755105645356,0.608018507016181,0.05671312187265011
0.04,2400,2000,2000,0.5560170833333332,0.033910278103550906,0.5450756250000001,0.03282639687554775,0.6312450000000001,0.031992375081568,0.9042483333333333,0.021589688008800748,0.41575567590913903,0.08123101467184608,0.4063164149154564,0.0669755105645356,0.608018507016181,0.05671312187265011
