dataset,model,class_pair,target_id,surrogate_id,y_adv,num_classes,n_candidates,u_t,spearman_neg_margin_vs_u,spearman_u_vs_normalized_residual_dot,spearman_neg_margin_vs_residual_dot,fraction_margin_bounds_satisfied,fraction_residual_dot_bounds_satisfied,margin_bound_violation_count,margin_bound_max_violation,residual_dot_bound_violation_count,residual_dot_bound_max_violation,checkpoint
CIFAR10,ConvNetBN,dog-bird,843,1,5,10,5000,0.99999999645895121,0.99850387822011921,0.99879957390398311,0.99693925834949693,1,1,0,0,0,0,/scratch/mmoslem3/attack_if/cache/surrogates/ConvNetBN_60ep_lr0.1_bs128_seed42/net_1.pt
CIFAR10,ConvNetBN,dog-bird,1257,1,5,10,5000,0.99999999968124886,0.99850387822011921,0.9987717989908721,0.99691195777240416,1,1,0,0,0,0,/scratch/mmoslem3/attack_if/cache/surrogates/ConvNetBN_60ep_lr0.1_bs128_seed42/net_1.pt
CIFAR10,ConvNetBN,dog-bird,8252,1,5,10,5000,0.9999999999770941,0.99850387822011921,0.99879687630387526,0.9969473258058198,1,1,0,0,0,0,/scratch/mmoslem3/attack_if/cache/surrogates/ConvNetBN_60ep_lr0.1_bs128_seed42/net_1.pt
CIFAR10,ConvNetBN,dog-bird,8730,1,5,10,5000,0.99999999999996703,0.99850387822011921,0.99944754320990192,0.99759690848781868,1,1,0,0,0,0,/scratch/mmoslem3/attack_if/cache/surrogates/ConvNetBN_60ep_lr0.1_bs128_seed42/net_1.pt
CIFAR10,ConvNetBN,dog-bird,8055,1,5,10,5000,0.99999999954831609,0.99850387822011921,0.99877198503887954,0.99691213719641136,1,1,0,0,0,0,/scratch/mmoslem3/attack_if/cache/surrogates/ConvNetBN_60ep_lr0.1_bs128_seed42/net_1.pt
CIFAR10,ConvNetBN,dog-bird,5859,1,5,10,5000,0.99999999991819544,0.99850387822011921,0.99877494414299794,0.99691498945252555,1,1,0,0,0,0,/scratch/mmoslem3/attack_if/cache/surrogates/ConvNetBN_60ep_lr0.1_bs128_seed42/net_1.pt
CIFAR10,ConvNetBN,dog-bird,8954,1,5,10,5000,0.99999999755682367,0.99850387822011921,0.99885824584232996,0.99700009532793177,1,1,0,0,0,0,/scratch/mmoslem3/attack_if/cache/surrogates/ConvNetBN_60ep_lr0.1_bs128_seed42/net_1.pt
CIFAR10,ConvNetBN,dog-bird,821,1,5,10,5000,0.99999998667096102,0.99850387822011921,0.99878639195145591,0.99692763956503183,1,1,0,0,0,0,/scratch/mmoslem3/attack_if/cache/surrogates/ConvNetBN_60ep_lr0.1_bs128_seed42/net_1.pt
CIFAR10,ConvNetBN,dog-bird,1547,1,5,10,5000,0.99999999993469524,0.99850387822011921,0.99887856645114281,0.99703421406529735,1,1,0,0,0,0,/scratch/mmoslem3/attack_if/cache/surrogates/ConvNetBN_60ep_lr0.1_bs128_seed42/net_1.pt
CIFAR10,ConvNetBN,dog-bird,4427,1,5,10,5000,0.99999999624361935,0.99850387822011921,0.9987717989908721,0.99691195777240416,1,1,0,0,0,0,/scratch/mmoslem3/attack_if/cache/surrogates/ConvNetBN_60ep_lr0.1_bs128_seed42/net_1.pt
CIFAR10,ConvNetBN,dog-bird,843,2,5,10,5000,0.99999999999943046,0.998299096579923,0.99888945937957851,0.99678765336742903,1,1,0,0,0,0,/scratch/mmoslem3/attack_if/cache/surrogates/ConvNetBN_60ep_lr0.1_bs128_seed42/net_2.pt
CIFAR10,ConvNetBN,dog-bird,1257,2,5,10,5000,0.99999979734667122,0.998299096579923,0.99888945937957851,0.99678765336742903,1,1,0,0,0,0,/scratch/mmoslem3/attack_if/cache/surrogates/ConvNetBN_60ep_lr0.1_bs128_seed42/net_2.pt
CIFAR10,ConvNetBN,dog-bird,8252,2,5,10,5000,0.99999824002417237,0.998299096579923,0.99938364483934594,0.99775060079797007,1,1,0,0,0,0,/scratch/mmoslem3/attack_if/cache/surrogates/ConvNetBN_60ep_lr0.1_bs128_seed42/net_2.pt
CIFAR10,ConvNetBN,dog-bird,8730,2,5,10,5000,0.99999513366968285,0.998299096579923,0.99895089784603608,0.99687137065077969,1,1,0,0,0,0,/scratch/mmoslem3/attack_if/cache/surrogates/ConvNetBN_60ep_lr0.1_bs128_seed42/net_2.pt
CIFAR10,ConvNetBN,dog-bird,8055,2,5,10,5000,0.99999999955988739,0.998299096579923,0.99888945937957851,0.99678765336742903,1,1,0,0,0,0,/scratch/mmoslem3/attack_if/cache/surrogates/ConvNetBN_60ep_lr0.1_bs128_seed42/net_2.pt
CIFAR10,ConvNetBN,dog-bird,5859,2,5,10,5000,0.99999998260411282,0.998299096579923,0.99888945937957851,0.99678765336742903,1,1,0,0,0,0,/scratch/mmoslem3/attack_if/cache/surrogates/ConvNetBN_60ep_lr0.1_bs128_seed42/net_2.pt
CIFAR10,ConvNetBN,dog-bird,8954,2,5,10,5000,0.99999978876141959,0.998299096579923,0.99892031896481293,0.99681710352860775,1,1,0,0,0,0,/scratch/mmoslem3/attack_if/cache/surrogates/ConvNetBN_60ep_lr0.1_bs128_seed42/net_2.pt
CIFAR10,ConvNetBN,dog-bird,821,2,5,10,5000,0.99999999546967444,0.998299096579923,0.99889106949164297,0.9967893133994955,1,1,0,0,0,0,/scratch/mmoslem3/attack_if/cache/surrogates/ConvNetBN_60ep_lr0.1_bs128_seed42/net_2.pt
CIFAR10,ConvNetBN,dog-bird,1547,2,5,10,5000,0.99999935186705424,0.998299096579923,0.99975235387809436,0.99781273833645701,1,1,0,0,0,0,/scratch/mmoslem3/attack_if/cache/surrogates/ConvNetBN_60ep_lr0.1_bs128_seed42/net_2.pt
CIFAR10,ConvNetBN,dog-bird,4427,2,5,10,5000,0.99999999832118158,0.998299096579923,0.99888945937957851,0.99678765336742903,1,1,0,0,0,0,/scratch/mmoslem3/attack_if/cache/surrogates/ConvNetBN_60ep_lr0.1_bs128_seed42/net_2.pt
CIFAR10,ConvNetBN,dog-bird,843,3,5,10,5000,0.99999995895534988,0.99806852732269469,0.9986119922964799,0.99622910868907388,1,1,0,0,0,0,/scratch/mmoslem3/attack_if/cache/surrogates/ConvNetBN_60ep_lr0.1_bs128_seed42/net_3.pt
CIFAR10,ConvNetBN,dog-bird,1257,3,5,10,5000,0.99999999119910732,0.99806852732269469,0.9986118374484737,0.99622904984107152,1,1,0,0,0,0,/scratch/mmoslem3/attack_if/cache/surrogates/ConvNetBN_60ep_lr0.1_bs128_seed42/net_3.pt
CIFAR10,ConvNetBN,dog-bird,8252,3,5,10,5000,0.99999999999048728,0.99806852732269469,0.99861206909648292,0.99622946998508832,1,1,0,0,0,0,/scratch/mmoslem3/attack_if/cache/surrogates/ConvNetBN_60ep_lr0.1_bs128_seed42/net_3.pt
CIFAR10,ConvNetBN,dog-bird,8730,3,5,10,5000,0.99999999999273737,0.99806852732269469,0.99861311021652455,0.99623017769711664,1,1,0,0,0,0,/scratch/mmoslem3/attack_if/cache/surrogates/ConvNetBN_60ep_lr0.1_bs128_seed42/net_3.pt
CIFAR10,ConvNetBN,dog-bird,8055,3,5,10,5000,0.99988865947539229,0.99806852732269469,0.99861606394464275,0.99623364387325541,1,1,0,0,0,0,/scratch/mmoslem3/attack_if/cache/surrogates/ConvNetBN_60ep_lr0.1_bs128_seed42/net_3.pt
CIFAR10,ConvNetBN,dog-bird,5859,3,5,10,5000,0.99999966034435628,0.99806852732269469,0.99866942938677739,0.9962879141154275,1,1,0,0,0,0,/scratch/mmoslem3/attack_if/cache/surrogates/ConvNetBN_60ep_lr0.1_bs128_seed42/net_3.pt
CIFAR10,ConvNetBN,dog-bird,8954,3,5,10,5000,0.99999999982494803,0.99806852732269469,0.99892382066095298,0.99653993783751449,1,1,0,0,0,0,/scratch/mmoslem3/attack_if/cache/surrogates/ConvNetBN_60ep_lr0.1_bs128_seed42/net_3.pt
CIFAR10,ConvNetBN,dog-bird,821,3,5,10,5000,0.99999999999549738,0.99806852732269469,0.99861332429653316,0.99623040185712564,1,1,0,0,0,0,/scratch/mmoslem3/attack_if/cache/surrogates/ConvNetBN_60ep_lr0.1_bs128_seed42/net_3.pt
CIFAR10,ConvNetBN,dog-bird,1547,3,5,10,5000,0.99999996286132498,0.99806852732269469,0.99878526807941093,0.99642897647307338,1,1,0,0,0,0,/scratch/mmoslem3/attack_if/cache/surrogates/ConvNetBN_60ep_lr0.1_bs128_seed42/net_3.pt
CIFAR10,ConvNetBN,dog-bird,4427,3,5,10,5000,0.99999999989202559,0.99806852732269469,0.9986118374484737,0.99622904984107152,1,1,0,0,0,0,/scratch/mmoslem3/attack_if/cache/surrogates/ConvNetBN_60ep_lr0.1_bs128_seed42/net_3.pt
CIFAR10,ConvNetBN,dog-bird,843,4,5,10,5000,0.9999929181111904,0.99835856179034266,0.9987279099011166,0.99677063081482542,1,1,0,0,0,0,/scratch/mmoslem3/attack_if/cache/surrogates/ConvNetBN_60ep_lr0.1_bs128_seed42/net_4.pt
CIFAR10,ConvNetBN,dog-bird,1257,4,5,10,5000,0.99999999998039035,0.99835856179034266,0.99872684814107415,0.99676939068677584,1,1,0,0,0,0,/scratch/mmoslem3/attack_if/cache/surrogates/ConvNetBN_60ep_lr0.1_bs128_seed42/net_4.pt
CIFAR10,ConvNetBN,dog-bird,8252,4,5,10,5000,0.999993701608198,0.99835856179034266,0.99885406379416275,0.99798655409546233,1,1,0,0,0,0,/scratch/mmoslem3/attack_if/cache/surrogates/ConvNetBN_60ep_lr0.1_bs128_seed42/net_4.pt
CIFAR10,ConvNetBN,dog-bird,8730,4,5,10,5000,0.99999953155014887,0.99835856179034266,0.99887819848312809,0.99692377011695099,1,1,0,0,0,0,/scratch/mmoslem3/attack_if/cache/surrogates/ConvNetBN_60ep_lr0.1_bs128_seed42/net_4.pt
CIFAR10,ConvNetBN,dog-bird,8055,4,5,10,5000,0.99999998111215083,0.99835856179034266,0.99872685140507422,0.99676939692677602,1,1,0,0,0,0,/scratch/mmoslem3/attack_if/cache/surrogates/ConvNetBN_60ep_lr0.1_bs128_seed42/net_4.pt
CIFAR10,ConvNetBN,dog-bird,5859,4,5,10,5000,0.99999999937233686,0.99835856179034266,0.99872687818907535,0.9967693917427759,1,1,0,0,0,0,/scratch/mmoslem3/attack_if/cache/surrogates/ConvNetBN_60ep_lr0.1_bs128_seed42/net_4.pt
CIFAR10,ConvNetBN,dog-bird,8954,4,5,10,5000,0.99999998402796708,0.99835856179034266,0.99873051726122086,0.99677301315092071,1,1,0,0,0,0,/scratch/mmoslem3/attack_if/cache/surrogates/ConvNetBN_60ep_lr0.1_bs128_seed42/net_4.pt
CIFAR10,ConvNetBN,dog-bird,821,4,5,10,5000,0.99999958648200016,0.99835856179034266,0.99878449479938003,0.99682895619315848,1,1,0,0,0,0,/scratch/mmoslem3/attack_if/cache/surrogates/ConvNetBN_60ep_lr0.1_bs128_seed42/net_4.pt
CIFAR10,ConvNetBN,dog-bird,1547,4,5,10,5000,0.99999999594391153,0.99835856179034266,0.9998659590346386,0.99807458101098345,1,1,0,0,0,0,/scratch/mmoslem3/attack_if/cache/surrogates/ConvNetBN_60ep_lr0.1_bs128_seed42/net_4.pt
CIFAR10,ConvNetBN,dog-bird,4427,4,5,10,5000,0.99999999998430611,0.99835856179034266,0.99872684814107415,0.99676939068677584,1,1,0,0,0,0,/scratch/mmoslem3/attack_if/cache/surrogates/ConvNetBN_60ep_lr0.1_bs128_seed42/net_4.pt
CIFAR10,ConvNetBN,dog-bird,843,5,5,10,5000,0.99999999999999711,0.99838632153545304,0.99865590087423617,0.99681079894443214,1,1,0,0,0,0,/scratch/mmoslem3/attack_if/cache/surrogates/ConvNetBN_60ep_lr0.1_bs128_seed42/net_5.pt
CIFAR10,ConvNetBN,dog-bird,1257,5,5,10,5000,0.99900176839157051,0.99838632153545304,0.99865621469824872,0.99681111363244468,1,1,0,0,0,0,/scratch/mmoslem3/attack_if/cache/surrogates/ConvNetBN_60ep_lr0.1_bs128_seed42/net_5.pt
CIFAR10,ConvNetBN,dog-bird,8252,5,5,10,5000,0.99999996369145239,0.99838632153545304,0.99757052847882133,0.99684006857760288,1,1,0,0,0,0,/scratch/mmoslem3/attack_if/cache/surrogates/ConvNetBN_60ep_lr0.1_bs128_seed42/net_5.pt
CIFAR10,ConvNetBN,dog-bird,8730,5,5,10,5000,0.9999996152856786,0.99838632153545304,0.99868272548330916,0.99684820832192855,1,1,0,0,0,0,/scratch/mmoslem3/attack_if/cache/surrogates/ConvNetBN_60ep_lr0.1_bs128_seed42/net_5.pt
CIFAR10,ConvNetBN,dog-bird,8055,5,5,10,5000,0.99998811293487133,0.99838632153545304,0.99865597143423901,0.99681094054443775,1,1,0,0,0,0,/scratch/mmoslem3/attack_if/cache/surrogates/ConvNetBN_60ep_lr0.1_bs128_seed42/net_5.pt
CIFAR10,ConvNetBN,dog-bird,5859,5,5,10,5000,0.99999999707603582,0.99838632153545304,0.99865622065024906,0.99681117344044712,1,1,0,0,0,0,/scratch/mmoslem3/attack_if/cache/surrogates/ConvNetBN_60ep_lr0.1_bs128_seed42/net_5.pt
CIFAR10,ConvNetBN,dog-bird,8954,5,5,10,5000,0.99999999923628868,0.99838632153545304,0.99874950538998042,0.99690206528408276,1,1,0,0,0,0,/scratch/mmoslem3/attack_if/cache/surrogates/ConvNetBN_60ep_lr0.1_bs128_seed42/net_5.pt
CIFAR10,ConvNetBN,dog-bird,821,5,5,10,5000,0.99997630570435947,0.99838632153545304,0.99865779188231185,0.99681253232050149,1,1,0,0,0,0,/scratch/mmoslem3/attack_if/cache/surrogates/ConvNetBN_60ep_lr0.1_bs128_seed42/net_5.pt
CIFAR10,ConvNetBN,dog-bird,1547,5,5,10,5000,0.99999999916588456,0.99838632153545304,0.99987074943483012,0.99810318805212772,1,1,0,0,0,0,/scratch/mmoslem3/attack_if/cache/surrogates/ConvNetBN_60ep_lr0.1_bs128_seed42/net_5.pt
CIFAR10,ConvNetBN,dog-bird,4427,5,5,10,5000,0.99999999999905154,0.99838632153545304,0.99865590087423617,0.99681079894443214,1,1,0,0,0,0,/scratch/mmoslem3/attack_if/cache/surrogates/ConvNetBN_60ep_lr0.1_bs128_seed42/net_5.pt
CIFAR10,ConvNetBN,dog-bird,843,6,5,10,5000,0.99999999737622591,0.99727703717108163,0.9982558097222326,0.99462321047292857,1,1,0,0,0,0,/scratch/mmoslem3/attack_if/cache/surrogates/ConvNetBN_60ep_lr0.1_bs128_seed42/net_6.pt
CIFAR10,ConvNetBN,dog-bird,1257,6,5,10,5000,0.99999742737617803,0.99727703717108163,0.99825562204222507,0.9946227989209121,1,1,0,0,0,0,/scratch/mmoslem3/attack_if/cache/surrogates/ConvNetBN_60ep_lr0.1_bs128_seed42/net_6.pt
CIFAR10,ConvNetBN,dog-bird,8252,6,5,10,5000,0.99993797811773899,0.99727703717108163,0.99910485382019432,0.99715476158219063,1,1,0,0,0,0,/scratch/mmoslem3/attack_if/cache/surrogates/ConvNetBN_60ep_lr0.1_bs128_seed42/net_6.pt
CIFAR10,ConvNetBN,dog-bird,8730,6,5,10,5000,0.99999932753482601,0.99727703717108163,0.99826749906670009,0.99463878071355138,1,1,0,0,0,0,/scratch/mmoslem3/attack_if/cache/surrogates/ConvNetBN_60ep_lr0.1_bs128_seed42/net_6.pt
CIFAR10,ConvNetBN,dog-bird,8055,6,5,10,5000,0.99999476504595619,0.99727703717108163,0.99916492649459721,0.99568142936325732,1,1,0,0,0,0,/scratch/mmoslem3/attack_if/cache/surrogates/ConvNetBN_60ep_lr0.1_bs128_seed42/net_6.pt
CIFAR10,ConvNetBN,dog-bird,5859,6,5,10,5000,0.99995443349068869,0.99727703717108163,0.99926923366676956,0.99582512111300503,1,1,0,0,0,0,/scratch/mmoslem3/attack_if/cache/surrogates/ConvNetBN_60ep_lr0.1_bs128_seed42/net_6.pt
CIFAR10,ConvNetBN,dog-bird,8954,6,5,10,5000,0.99995600685795205,0.99727703717108163,0.99923718646548765,0.99600690988827656,1,1,0,0,0,0,/scratch/mmoslem3/attack_if/cache/surrogates/ConvNetBN_60ep_lr0.1_bs128_seed42/net_6.pt
CIFAR10,ConvNetBN,dog-bird,821,6,5,10,5000,0.99999090820251813,0.99727703717108163,0.9983794685751789,0.99490453272418145,1,1,0,0,0,0,/scratch/mmoslem3/attack_if/cache/surrogates/ConvNetBN_60ep_lr0.1_bs128_seed42/net_6.pt
CIFAR10,ConvNetBN,dog-bird,1547,6,5,10,5000,0.999999360786337,0.99727703717108163,0.99923481036939255,0.99588899615556004,1,1,0,0,0,0,/scratch/mmoslem3/attack_if/cache/surrogates/ConvNetBN_60ep_lr0.1_bs128_seed42/net_6.pt
CIFAR10,ConvNetBN,dog-bird,4427,6,5,10,5000,0.99849577767320263,0.99727703717108163,0.99850722461228913,0.9948626973625081,1,1,0,0,0,0,/scratch/mmoslem3/attack_if/cache/surrogates/ConvNetBN_60ep_lr0.1_bs128_seed42/net_6.pt
CIFAR10,ConvNetBN,dog-bird,843,7,5,10,5000,0.99999999999995681,0.99845150966606055,0.99877886459115472,0.99689826445193075,1,1,0,0,0,0,/scratch/mmoslem3/attack_if/cache/surrogates/ConvNetBN_60ep_lr0.1_bs128_seed42/net_7.pt
CIFAR10,ConvNetBN,dog-bird,1257,7,5,10,5000,0.99999999999999156,0.99845150966606055,0.99877886459115472,0.99689826445193075,1,1,0,0,0,0,/scratch/mmoslem3/attack_if/cache/surrogates/ConvNetBN_60ep_lr0.1_bs128_seed42/net_7.pt
