# Reproducible random sample without replacement, seed 20260903.
# Excludes all ten configurations from the first exact/A-MR batch.
# VGG13BN/ResNet20BN gradmatch or sapa are restricted to 0.001/0.002.
# All other rows are restricted to 0.001/0.002/0.005/0.01.
# id	model	attack	class_pair	budget
01	ResNet20BN	gradmatch	dog-bird	0.001
02	ConvNetBN	sapa	dog-bird	0.01
03	ConvNetBN	gradmatch	dog-bird	0.005
04	VGG13BN	gradmatch	dog-bird	0.001
05	ConvNetBN	gradmatch	frog-airplane	0.01
06	ResNet20BN	gradmatch	dog-bird	0.002
07	ResNet20BN	fc	dog-bird	0.001
08	ConvNetBN	sapa	dog-bird	0.001
09	ResNet20BN	fc	frog-airplane	0.01
10	ConvNetBN	sapa	frog-airplane	0.01
11	ConvNetBN	gradmatch	dog-bird	0.002
12	ResNet20BN	gradmatch	frog-airplane	0.002
13	ResNet20BN	sapa	frog-airplane	0.002
14	ConvNetBN	gradmatch	dog-bird	0.001
15	ConvNetBN	gradmatch	frog-airplane	0.005
16	VGG13BN	gradmatch	frog-airplane	0.001
17	VGG13BN	fc	frog-airplane	0.001
18	ResNet20BN	sapa	frog-airplane	0.001
19	ConvNetBN	fc	dog-bird	0.001
20	ResNet20BN	fc	frog-airplane	0.001
