train_idx,x_rm,y_a,d_raw,m_raw,a_raw
342,-1.0006370544433594,-0.3778902590274811,0.008121696300804615,6.286056041717529,4.72847318649292
360,-0.9690468907356262,0.1027427464723587,0.007592063397169113,5.900071144104004,16.718093872070312
383,-0.20462282001972198,-0.23267877101898193,0.009495100937783718,5.62068510055542,7.785412788391113
386,1.2473558187484741,0.00715062627568841,0.01334496308118105,5.334545612335205,13.423212051391602
395,0.09586901217699051,-0.2849080562591553,0.011986571364104748,6.463916301727295,7.5934038162231445
612,0.9444401860237122,0.6211476922035217,0.011746369302272797,4.718092918395996,28.945770263671875
679,-1.4220987558364868,-0.4931565821170807,0.009078599512577057,7.6908721923828125,1.7233322858810425
744,-1.6052387952804565,-0.4444383680820465,0.007536505814641714,7.073273658752441,3.088783025741577
939,0.7773787379264832,0.010409602895379066,0.012969652190804482,5.939807415008545,12.945816040039062
943,0.5895801782608032,0.9227910041809082,0.01050494983792305,4.6356587409973145,32.35688018798828
1174,-0.758443295955658,-0.19141346216201782,0.009479431435465813,6.840306758880615,8.61706256866455
1283,0.12745876610279083,0.503764271736145,0.010023948736488819,5.154753684997559,26.73847770690918
1324,0.7586108446121216,-0.08012839406728745,0.011941912584006786,5.16335391998291,12.354522705078125
1338,0.35130491852760315,-0.2522389590740204,0.012444490566849709,6.499538421630859,7.526483058929443
1350,-3.1245555877685547,-0.49306559562683105,0.005888416897505522,9.114657402038574,1.4982833862304688
1421,-0.004642728250473738,-0.2126181423664093,0.01096245739609003,6.139632701873779,10.385769844055176
1637,1.2024495601654053,0.5154330134391785,0.012472904287278652,4.79760217666626,26.351327896118164
1650,-0.8028131723403931,-0.19417671859264374,0.008726297877728939,6.320859909057617,7.472241401672363
1653,0.12914057075977325,0.13071388006210327,0.01037756260484457,5.41085147857666,17.541040420532227
1925,-1.1919280290603638,-0.406149685382843,0.007898423820734024,6.591108798980713,4.242224216461182
1961,2.4869160652160645,0.9713039398193359,0.015619875863194466,4.159126281738281,35.68515396118164
1995,0.5310011506080627,0.6448168158531189,0.009798219427466393,4.409858703613281,26.155378341674805
2085,-0.09945936501026154,-0.21943755447864532,0.010937178507447243,6.294975280761719,9.005805015563965
2227,-1.485322117805481,-0.3243282437324524,0.006979537196457386,6.494564056396484,5.071920871734619
2241,-0.5407695174217224,-0.2635825276374817,0.009430109523236752,6.214108943939209,7.17116117477417
2380,-0.05035565048456192,0.2547750771045685,0.010339995846152306,5.925600051879883,15.154131889343262
2412,-0.9056722521781921,-0.3156622648239136,0.008364868350327015,6.236529350280762,7.182092189788818
2421,-0.5322018265724182,-0.2541967034339905,0.010037493892014027,6.504433631896973,9.311474800109863
2459,0.21620598435401917,0.44201064109802246,0.0109117915853858,5.715729713439941,22.365798950195312
2549,0.2946449816226959,0.07808592170476913,0.01060146652162075,5.33612585067749,14.968032836914062
2698,2.393930196762085,0.3055230379104614,0.017121538519859314,5.354297161102295,19.555683135986328
2710,1.3093737363815308,0.5585342049598694,0.013630272820591927,5.4193644523620605,25.53077507019043
2773,-0.7691742777824402,0.05715878680348396,0.007974625565111637,5.7177605628967285,14.319842338562012
2898,1.0839513540267944,0.40206480026245117,0.011864843778312206,4.476205348968506,24.678089141845703
3074,-1.8236839771270752,-0.4505794644355774,0.007026399951428175,7.176671504974365,2.4870941638946533
3083,0.1225181370973587,0.37728118896484375,0.010153011418879032,5.510878562927246,22.247278213500977
3124,-1.3910441398620605,-0.43266358971595764,0.00816693902015686,7.117192268371582,3.5230653285980225
3145,-0.046464379876852036,0.1177818551659584,0.010398807935416698,5.897409439086914,15.466522216796875
3193,-0.15600375831127167,-0.2370232790708542,0.00945912767201662,5.471862316131592,6.764733791351318
3585,-0.4982635974884033,0.07111377269029617,0.007506478112190962,4.788275241851807,14.838943481445312
3643,-0.1737804263830185,0.2744443118572235,0.0088820094242692,5.145659923553467,20.866744995117188
3661,0.7571861147880554,0.11600127071142197,0.011450576595962048,4.956972599029541,16.772733688354492
3678,-0.3167226016521454,-0.3236514627933502,0.009685040451586246,5.886582851409912,5.25429105758667
3729,0.19344750046730042,-0.0021159681491553783,0.010027776472270489,5.209463596343994,12.37668514251709
3835,0.15022879838943481,-0.3004542887210846,0.011087986640632153,5.927274227142334,6.84627103805542
3887,-1.1774367094039917,-0.3670293986797333,0.007151949685066938,6.021309852600098,4.0110297203063965
3966,-0.5088194012641907,-0.1325273960828781,0.009572644717991352,6.36981201171875,11.644007682800293
4049,2.0858850479125977,0.6063371896743774,0.015430532395839691,4.752401351928711,26.217575073242188
4353,-1.1401324272155762,-0.15205249190330505,0.007944676093757153,6.468771457672119,9.142600059509277
4364,1.4830349683761597,0.07597815245389938,0.014196711592376232,5.161611080169678,14.711847305297852
4410,-1.2182118892669678,-0.19077003002166748,0.0075454809702932835,6.375733852386475,8.779162406921387
4456,0.983253002166748,0.2466655820608139,0.011378257535398006,4.600762367248535,17.259702682495117
4585,0.16162490844726562,-0.0929723009467125,0.010044700466096401,5.195109844207764,11.92281723022461
5173,0.1894100308418274,-0.06039387732744217,0.011870439164340496,6.294137954711914,11.083849906921387
5292,0.19428442418575287,-0.041000839322805405,0.011454100720584393,6.091466903686523,12.120501518249512
5321,-1.4377654790878296,-0.45033618807792664,0.007721355650573969,6.782711982727051,2.789724826812744
5360,0.864141583442688,0.6692608594894409,0.011297031305730343,4.642102241516113,29.873504638671875
5646,0.7983653545379639,0.5442394614219666,0.011508463881909847,4.954209804534912,32.49848937988281
5687,0.26256877183914185,-0.13479237258434296,0.011261860840022564,5.705716133117676,9.521201133728027
5964,1.4135991334915161,0.4776681363582611,0.013707670383155346,5.1500444412231445,23.52593994140625
5973,0.3312302529811859,-0.15469713509082794,0.011623360216617584,5.767604351043701,8.68278694152832
