index	account	attack	budget	victim_model	selector_model	K	targets	victims	craft_ensemble	num_surrogates	craft_steps	time_limit	run_name	job_file
11	aip-boyuwang	fc	0.002	ConvNetBN	VGG13BN	10	10	6	5	30	250	0-03:10:00	CIFAR10_ConvNetBN_fc_ours_dog-bird_b0.002_eps8_seed42_lam1_cosine_selarchVGG13BN_K10_ce5_tgt50	job_011_bp_b0002_vconv_svgg_k10.sh
12	aip-yiweilu	fc	0.002	ConvNetBN	VGG13BN	30	10	6	5	30	250	0-03:10:00	CIFAR10_ConvNetBN_fc_ours_dog-bird_b0.002_eps8_seed42_lam1_cosine_selarchVGG13BN_K30_ce5_tgt50	job_012_bp_b0002_vconv_svgg_k30.sh
13	aip-boyuwang	fc	0.002	ResNet20BN	ConvNetBN	1	10	6	5	30	250	0-03:50:00	CIFAR10_ResNet20BN_fc_ours_dog-bird_b0.002_eps8_seed42_lam1_cosine_selarchConvNetBN_K1_ce5_tgt10	job_013_bp_b0002_vr20_sconv_k1.sh
14	aip-boyuwang	fc	0.002	ResNet20BN	ConvNetBN	3	10	6	5	30	250	0-03:50:00	CIFAR10_ResNet20BN_fc_ours_dog-bird_b0.002_eps8_seed42_lam1_cosine_selarchConvNetBN_K3_ce5_tgt10	job_014_bp_b0002_vr20_sconv_k3.sh
15	aip-yiweilu	fc	0.002	ResNet20BN	ConvNetBN	10	10	6	5	30	250	0-03:50:00	CIFAR10_ResNet20BN_fc_ours_dog-bird_b0.002_eps8_seed42_lam1_cosine_selarchConvNetBN_K10_ce5_tgt10	job_015_bp_b0002_vr20_sconv_k10.sh
16	aip-boyuwang	fc	0.002	ResNet20BN	ConvNetBN	30	10	6	5	30	250	0-03:50:00	CIFAR10_ResNet20BN_fc_ours_dog-bird_b0.002_eps8_seed42_lam1_cosine_selarchConvNetBN_K30_ce5_tgt10	job_016_bp_b0002_vr20_sconv_k30.sh
17	aip-boyuwang	fc	0.002	ResNet20BN	ResNet20BN	1	10	6	5	30	250	0-03:50:00	CIFAR10_ResNet20BN_fc_ours_dog-bird_b0.002_eps8_seed42_lam1_cosine_K1_ce5_tgt10	job_017_bp_b0002_vr20_sr20_k1.sh
18	aip-yiweilu	fc	0.002	ResNet20BN	ResNet20BN	3	10	6	5	30	250	0-03:50:00	CIFAR10_ResNet20BN_fc_ours_dog-bird_b0.002_eps8_seed42_lam1_cosine_K3_ce5_tgt10	job_018_bp_b0002_vr20_sr20_k3.sh
19	aip-boyuwang	fc	0.002	ResNet20BN	ResNet20BN	10	10	6	5	30	250	0-03:50:00	CIFAR10_ResNet20BN_fc_ours_dog-bird_b0.002_eps8_seed42_lam1_cosine_K10_ce5_tgt10	job_019_bp_b0002_vr20_sr20_k10.sh
20	aip-boyuwang	fc	0.002	ResNet20BN	ResNet20BN	30	10	6	5	30	250	0-03:50:00	CIFAR10_ResNet20BN_fc_ours_dog-bird_b0.002_eps8_seed42_lam1_cosine_K30_ce5_tgt10	job_020_bp_b0002_vr20_sr20_k30.sh
21	aip-yiweilu	fc	0.002	ResNet20BN	VGG13BN	1	10	6	5	30	250	0-03:50:00	CIFAR10_ResNet20BN_fc_ours_dog-bird_b0.002_eps8_seed42_lam1_cosine_selarchVGG13BN_K1_ce5_tgt10	job_021_bp_b0002_vr20_svgg_k1.sh
22	aip-boyuwang	fc	0.002	ResNet20BN	VGG13BN	3	10	6	5	30	250	0-03:50:00	CIFAR10_ResNet20BN_fc_ours_dog-bird_b0.002_eps8_seed42_lam1_cosine_selarchVGG13BN_K3_ce5_tgt10	job_022_bp_b0002_vr20_svgg_k3.sh
23	aip-boyuwang	fc	0.002	ResNet20BN	VGG13BN	10	10	6	5	30	250	0-03:50:00	CIFAR10_ResNet20BN_fc_ours_dog-bird_b0.002_eps8_seed42_lam1_cosine_selarchVGG13BN_K10_ce5_tgt10	job_023_bp_b0002_vr20_svgg_k10.sh
24	aip-yiweilu	fc	0.002	ResNet20BN	VGG13BN	30	10	6	5	30	250	0-03:50:00	CIFAR10_ResNet20BN_fc_ours_dog-bird_b0.002_eps8_seed42_lam1_cosine_selarchVGG13BN_K30_ce5_tgt10	job_024_bp_b0002_vr20_svgg_k30.sh
