index	account	attack	budget	victim_model	selector_model	K	targets	victims	craft_ensemble	num_surrogates	craft_steps	time_limit	run_name	job_file
87	aip-yiweilu	gradmatch	0.002	ResNet20BN	ConvNetBN	10	10	6	5	30	250	0-03:50:00	CIFAR10_ResNet20BN_gradmatch_ours_dog-bird_b0.002_eps8_seed42_lam1_cosine_selarchConvNetBN_K10_ce5_tgt14	job_087_gm_b0002_vr20_sconv_k10.sh
88	aip-boyuwang	gradmatch	0.002	ResNet20BN	ConvNetBN	30	10	6	5	30	250	0-03:50:00	CIFAR10_ResNet20BN_gradmatch_ours_dog-bird_b0.002_eps8_seed42_lam1_cosine_selarchConvNetBN_K30_ce5_tgt14	job_088_gm_b0002_vr20_sconv_k30.sh
89	aip-boyuwang	gradmatch	0.002	ResNet20BN	ResNet20BN	1	10	6	5	30	250	0-03:50:00	CIFAR10_ResNet20BN_gradmatch_ours_dog-bird_b0.002_eps8_seed42_lam1_cosine_K1_ce5_tgt14	job_089_gm_b0002_vr20_sr20_k1.sh
90	aip-yiweilu	gradmatch	0.002	ResNet20BN	ResNet20BN	3	10	6	5	30	250	0-03:50:00	CIFAR10_ResNet20BN_gradmatch_ours_dog-bird_b0.002_eps8_seed42_lam1_cosine_K3_ce5_tgt14	job_090_gm_b0002_vr20_sr20_k3.sh
91	aip-boyuwang	gradmatch	0.002	ResNet20BN	ResNet20BN	10	10	6	5	30	250	0-03:50:00	CIFAR10_ResNet20BN_gradmatch_ours_dog-bird_b0.002_eps8_seed42_lam1_cosine_K10_ce5_tgt14	job_091_gm_b0002_vr20_sr20_k10.sh
92	aip-boyuwang	gradmatch	0.002	ResNet20BN	ResNet20BN	30	10	6	5	30	250	0-03:50:00	CIFAR10_ResNet20BN_gradmatch_ours_dog-bird_b0.002_eps8_seed42_lam1_cosine_K30_ce5_tgt14	job_092_gm_b0002_vr20_sr20_k30.sh
93	aip-yiweilu	gradmatch	0.002	ResNet20BN	VGG13BN	1	10	6	5	30	250	0-03:50:00	CIFAR10_ResNet20BN_gradmatch_ours_dog-bird_b0.002_eps8_seed42_lam1_cosine_selarchVGG13BN_K1_ce5_tgt14	job_093_gm_b0002_vr20_svgg_k1.sh
94	aip-boyuwang	gradmatch	0.002	ResNet20BN	VGG13BN	3	10	6	5	30	250	0-03:50:00	CIFAR10_ResNet20BN_gradmatch_ours_dog-bird_b0.002_eps8_seed42_lam1_cosine_selarchVGG13BN_K3_ce5_tgt14	job_094_gm_b0002_vr20_svgg_k3.sh
95	aip-boyuwang	gradmatch	0.002	ResNet20BN	VGG13BN	10	10	6	5	30	250	0-03:50:00	CIFAR10_ResNet20BN_gradmatch_ours_dog-bird_b0.002_eps8_seed42_lam1_cosine_selarchVGG13BN_K10_ce5_tgt14	job_095_gm_b0002_vr20_svgg_k10.sh
96	aip-yiweilu	gradmatch	0.002	ResNet20BN	VGG13BN	30	10	6	5	30	250	0-03:50:00	CIFAR10_ResNet20BN_gradmatch_ours_dog-bird_b0.002_eps8_seed42_lam1_cosine_selarchVGG13BN_K30_ce5_tgt14	job_096_gm_b0002_vr20_svgg_k30.sh
97	aip-boyuwang	gradmatch	0.002	VGG13BN	ConvNetBN	1	10	6	5	30	250	0-03:50:00	CIFAR10_VGG13BN_gradmatch_ours_dog-bird_b0.002_eps8_seed42_lam1_cosine_selarchConvNetBN_K1_ce5_tgt50	job_097_gm_b0002_vvgg_sconv_k1.sh
98	aip-boyuwang	gradmatch	0.002	VGG13BN	ConvNetBN	3	10	6	5	30	250	0-03:50:00	CIFAR10_VGG13BN_gradmatch_ours_dog-bird_b0.002_eps8_seed42_lam1_cosine_selarchConvNetBN_K3_ce5_tgt50	job_098_gm_b0002_vvgg_sconv_k3.sh
99	aip-yiweilu	gradmatch	0.002	VGG13BN	ConvNetBN	10	10	6	5	30	250	0-03:50:00	CIFAR10_VGG13BN_gradmatch_ours_dog-bird_b0.002_eps8_seed42_lam1_cosine_selarchConvNetBN_K10_ce5_tgt50	job_099_gm_b0002_vvgg_sconv_k10.sh
100	aip-boyuwang	gradmatch	0.002	VGG13BN	ConvNetBN	30	10	6	5	30	250	0-03:50:00	CIFAR10_VGG13BN_gradmatch_ours_dog-bird_b0.002_eps8_seed42_lam1_cosine_selarchConvNetBN_K30_ce5_tgt50	job_100_gm_b0002_vvgg_sconv_k30.sh
101	aip-boyuwang	gradmatch	0.002	VGG13BN	ResNet20BN	1	10	6	5	30	250	0-03:50:00	CIFAR10_VGG13BN_gradmatch_ours_dog-bird_b0.002_eps8_seed42_lam1_cosine_selarchResNet20BN_K1_ce5_tgt50	job_101_gm_b0002_vvgg_sr20_k1.sh
102	aip-yiweilu	gradmatch	0.002	VGG13BN	ResNet20BN	3	10	6	5	30	250	0-03:50:00	CIFAR10_VGG13BN_gradmatch_ours_dog-bird_b0.002_eps8_seed42_lam1_cosine_selarchResNet20BN_K3_ce5_tgt50	job_102_gm_b0002_vvgg_sr20_k3.sh
103	aip-boyuwang	gradmatch	0.002	VGG13BN	ResNet20BN	10	10	6	5	30	250	0-03:50:00	CIFAR10_VGG13BN_gradmatch_ours_dog-bird_b0.002_eps8_seed42_lam1_cosine_selarchResNet20BN_K10_ce5_tgt50	job_103_gm_b0002_vvgg_sr20_k10.sh
104	aip-boyuwang	gradmatch	0.002	VGG13BN	ResNet20BN	30	10	6	5	30	250	0-03:50:00	CIFAR10_VGG13BN_gradmatch_ours_dog-bird_b0.002_eps8_seed42_lam1_cosine_selarchResNet20BN_K30_ce5_tgt50	job_104_gm_b0002_vvgg_sr20_k30.sh
105	aip-yiweilu	gradmatch	0.002	VGG13BN	VGG13BN	1	10	6	5	30	250	0-03:50:00	CIFAR10_VGG13BN_gradmatch_ours_dog-bird_b0.002_eps8_seed42_lam1_cosine_K1_ce5_tgt50	job_105_gm_b0002_vvgg_svgg_k1.sh
106	aip-boyuwang	gradmatch	0.002	VGG13BN	VGG13BN	3	10	6	5	30	250	0-03:50:00	CIFAR10_VGG13BN_gradmatch_ours_dog-bird_b0.002_eps8_seed42_lam1_cosine_K3_ce5_tgt50	job_106_gm_b0002_vvgg_svgg_k3.sh
107	aip-boyuwang	gradmatch	0.002	VGG13BN	VGG13BN	10	10	6	5	30	250	0-03:50:00	CIFAR10_VGG13BN_gradmatch_ours_dog-bird_b0.002_eps8_seed42_lam1_cosine_K10_ce5_tgt50	job_107_gm_b0002_vvgg_svgg_k10.sh
108	aip-yiweilu	gradmatch	0.002	VGG13BN	VGG13BN	30	10	6	5	30	250	0-03:50:00	CIFAR10_VGG13BN_gradmatch_ours_dog-bird_b0.002_eps8_seed42_lam1_cosine_K30_ce5_tgt50	job_108_gm_b0002_vvgg_svgg_k30.sh
109	aip-boyuwang	gradmatch	0.005	ConvNetBN	ConvNetBN	1	10	6	5	30	250	0-03:10:00	CIFAR10_ConvNetBN_gradmatch_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_K1_ce5_tgt70	job_109_gm_b0005_vconv_sconv_k1.sh
110	aip-boyuwang	gradmatch	0.005	ConvNetBN	ConvNetBN	3	10	6	5	30	250	0-03:10:00	CIFAR10_ConvNetBN_gradmatch_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_K3_ce5_tgt70	job_110_gm_b0005_vconv_sconv_k3.sh
111	aip-yiweilu	gradmatch	0.005	ConvNetBN	ConvNetBN	10	10	6	5	30	250	0-03:10:00	CIFAR10_ConvNetBN_gradmatch_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_K10_ce5_tgt70	job_111_gm_b0005_vconv_sconv_k10.sh
112	aip-boyuwang	gradmatch	0.005	ConvNetBN	ConvNetBN	30	10	6	5	30	250	0-03:10:00	CIFAR10_ConvNetBN_gradmatch_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_K30_ce5_tgt70	job_112_gm_b0005_vconv_sconv_k30.sh
113	aip-boyuwang	gradmatch	0.005	ConvNetBN	ResNet20BN	1	10	6	5	30	250	0-03:10:00	CIFAR10_ConvNetBN_gradmatch_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_selarchResNet20BN_K1_ce5_tgt70	job_113_gm_b0005_vconv_sr20_k1.sh
114	aip-yiweilu	gradmatch	0.005	ConvNetBN	ResNet20BN	3	10	6	5	30	250	0-03:10:00	CIFAR10_ConvNetBN_gradmatch_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_selarchResNet20BN_K3_ce5_tgt70	job_114_gm_b0005_vconv_sr20_k3.sh
115	aip-boyuwang	gradmatch	0.005	ConvNetBN	ResNet20BN	10	10	6	5	30	250	0-03:10:00	CIFAR10_ConvNetBN_gradmatch_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_selarchResNet20BN_K10_ce5_tgt70	job_115_gm_b0005_vconv_sr20_k10.sh
116	aip-boyuwang	gradmatch	0.005	ConvNetBN	ResNet20BN	30	10	6	5	30	250	0-03:10:00	CIFAR10_ConvNetBN_gradmatch_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_selarchResNet20BN_K30_ce5_tgt70	job_116_gm_b0005_vconv_sr20_k30.sh
117	aip-yiweilu	gradmatch	0.005	ConvNetBN	VGG13BN	1	10	6	5	30	250	0-03:10:00	CIFAR10_ConvNetBN_gradmatch_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_selarchVGG13BN_K1_ce5_tgt70	job_117_gm_b0005_vconv_svgg_k1.sh
118	aip-boyuwang	gradmatch	0.005	ConvNetBN	VGG13BN	3	10	6	5	30	250	0-03:10:00	CIFAR10_ConvNetBN_gradmatch_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_selarchVGG13BN_K3_ce5_tgt70	job_118_gm_b0005_vconv_svgg_k3.sh
119	aip-boyuwang	gradmatch	0.005	ConvNetBN	VGG13BN	10	10	6	5	30	250	0-03:10:00	CIFAR10_ConvNetBN_gradmatch_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_selarchVGG13BN_K10_ce5_tgt70	job_119_gm_b0005_vconv_svgg_k10.sh
120	aip-yiweilu	gradmatch	0.005	ConvNetBN	VGG13BN	30	10	6	5	30	250	0-03:10:00	CIFAR10_ConvNetBN_gradmatch_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_selarchVGG13BN_K30_ce5_tgt70	job_120_gm_b0005_vconv_svgg_k30.sh
121	aip-boyuwang	gradmatch	0.005	ResNet20BN	ConvNetBN	1	10	6	5	30	250	0-03:50:00	CIFAR10_ResNet20BN_gradmatch_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_selarchConvNetBN_K1_ce5_tgt14	job_121_gm_b0005_vr20_sconv_k1.sh
122	aip-boyuwang	gradmatch	0.005	ResNet20BN	ConvNetBN	3	10	6	5	30	250	0-03:50:00	CIFAR10_ResNet20BN_gradmatch_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_selarchConvNetBN_K3_ce5_tgt14	job_122_gm_b0005_vr20_sconv_k3.sh
123	aip-yiweilu	gradmatch	0.005	ResNet20BN	ConvNetBN	10	10	6	5	30	250	0-03:50:00	CIFAR10_ResNet20BN_gradmatch_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_selarchConvNetBN_K10_ce5_tgt14	job_123_gm_b0005_vr20_sconv_k10.sh
124	aip-boyuwang	gradmatch	0.005	ResNet20BN	ConvNetBN	30	10	6	5	30	250	0-03:50:00	CIFAR10_ResNet20BN_gradmatch_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_selarchConvNetBN_K30_ce5_tgt14	job_124_gm_b0005_vr20_sconv_k30.sh
125	aip-boyuwang	gradmatch	0.005	ResNet20BN	ResNet20BN	1	10	6	5	30	250	0-03:50:00	CIFAR10_ResNet20BN_gradmatch_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_K1_ce5_tgt14	job_125_gm_b0005_vr20_sr20_k1.sh
126	aip-yiweilu	gradmatch	0.005	ResNet20BN	ResNet20BN	3	10	6	5	30	250	0-03:50:00	CIFAR10_ResNet20BN_gradmatch_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_K3_ce5_tgt14	job_126_gm_b0005_vr20_sr20_k3.sh
127	aip-boyuwang	gradmatch	0.005	ResNet20BN	ResNet20BN	10	10	6	5	30	250	0-03:50:00	CIFAR10_ResNet20BN_gradmatch_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_K10_ce5_tgt14	job_127_gm_b0005_vr20_sr20_k10.sh
128	aip-boyuwang	gradmatch	0.005	ResNet20BN	ResNet20BN	30	10	6	5	30	250	0-03:50:00	CIFAR10_ResNet20BN_gradmatch_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_K30_ce5_tgt14	job_128_gm_b0005_vr20_sr20_k30.sh
129	aip-yiweilu	gradmatch	0.005	ResNet20BN	VGG13BN	1	10	6	5	30	250	0-03:50:00	CIFAR10_ResNet20BN_gradmatch_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_selarchVGG13BN_K1_ce5_tgt14	job_129_gm_b0005_vr20_svgg_k1.sh
130	aip-boyuwang	gradmatch	0.005	ResNet20BN	VGG13BN	3	10	6	5	30	250	0-03:50:00	CIFAR10_ResNet20BN_gradmatch_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_selarchVGG13BN_K3_ce5_tgt14	job_130_gm_b0005_vr20_svgg_k3.sh
131	aip-boyuwang	gradmatch	0.005	ResNet20BN	VGG13BN	10	10	6	5	30	250	0-03:50:00	CIFAR10_ResNet20BN_gradmatch_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_selarchVGG13BN_K10_ce5_tgt14	job_131_gm_b0005_vr20_svgg_k10.sh
132	aip-yiweilu	gradmatch	0.005	ResNet20BN	VGG13BN	30	10	6	5	30	250	0-03:50:00	CIFAR10_ResNet20BN_gradmatch_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_selarchVGG13BN_K30_ce5_tgt14	job_132_gm_b0005_vr20_svgg_k30.sh
133	aip-boyuwang	gradmatch	0.005	VGG13BN	ConvNetBN	1	10	6	5	30	250	0-03:50:00	CIFAR10_VGG13BN_gradmatch_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_selarchConvNetBN_K1_ce5_tgt50	job_133_gm_b0005_vvgg_sconv_k1.sh
134	aip-boyuwang	gradmatch	0.005	VGG13BN	ConvNetBN	3	10	6	5	30	250	0-03:50:00	CIFAR10_VGG13BN_gradmatch_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_selarchConvNetBN_K3_ce5_tgt50	job_134_gm_b0005_vvgg_sconv_k3.sh
135	aip-yiweilu	gradmatch	0.005	VGG13BN	ConvNetBN	10	10	6	5	30	250	0-03:50:00	CIFAR10_VGG13BN_gradmatch_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_selarchConvNetBN_K10_ce5_tgt50	job_135_gm_b0005_vvgg_sconv_k10.sh
136	aip-boyuwang	gradmatch	0.005	VGG13BN	ConvNetBN	30	10	6	5	30	250	0-03:50:00	CIFAR10_VGG13BN_gradmatch_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_selarchConvNetBN_K30_ce5_tgt50	job_136_gm_b0005_vvgg_sconv_k30.sh
137	aip-boyuwang	gradmatch	0.005	VGG13BN	ResNet20BN	1	10	6	5	30	250	0-03:50:00	CIFAR10_VGG13BN_gradmatch_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_selarchResNet20BN_K1_ce5_tgt50	job_137_gm_b0005_vvgg_sr20_k1.sh
138	aip-yiweilu	gradmatch	0.005	VGG13BN	ResNet20BN	3	10	6	5	30	250	0-03:50:00	CIFAR10_VGG13BN_gradmatch_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_selarchResNet20BN_K3_ce5_tgt50	job_138_gm_b0005_vvgg_sr20_k3.sh
139	aip-boyuwang	gradmatch	0.005	VGG13BN	ResNet20BN	10	10	6	5	30	250	0-03:50:00	CIFAR10_VGG13BN_gradmatch_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_selarchResNet20BN_K10_ce5_tgt50	job_139_gm_b0005_vvgg_sr20_k10.sh
140	aip-boyuwang	gradmatch	0.005	VGG13BN	ResNet20BN	30	10	6	5	30	250	0-03:50:00	CIFAR10_VGG13BN_gradmatch_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_selarchResNet20BN_K30_ce5_tgt50	job_140_gm_b0005_vvgg_sr20_k30.sh
141	aip-yiweilu	gradmatch	0.005	VGG13BN	VGG13BN	1	10	6	5	30	250	0-03:50:00	CIFAR10_VGG13BN_gradmatch_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_K1_ce5_tgt50	job_141_gm_b0005_vvgg_svgg_k1.sh
142	aip-boyuwang	gradmatch	0.005	VGG13BN	VGG13BN	3	10	6	5	30	250	0-03:50:00	CIFAR10_VGG13BN_gradmatch_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_K3_ce5_tgt50	job_142_gm_b0005_vvgg_svgg_k3.sh
143	aip-boyuwang	gradmatch	0.005	VGG13BN	VGG13BN	10	10	6	5	30	250	0-03:50:00	CIFAR10_VGG13BN_gradmatch_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_K10_ce5_tgt50	job_143_gm_b0005_vvgg_svgg_k10.sh
144	aip-yiweilu	gradmatch	0.005	VGG13BN	VGG13BN	30	10	6	5	30	250	0-03:50:00	CIFAR10_VGG13BN_gradmatch_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_K30_ce5_tgt50	job_144_gm_b0005_vvgg_svgg_k30.sh
145	aip-boyuwang	sapa	0.002	ConvNetBN	ConvNetBN	1	10	6	5	30	250	0-03:10:00	CIFAR10_ConvNetBN_sapa_ours_dog-bird_b0.002_eps8_seed42_lam1_cosine_K1_worst0.05_ce5_tgt70	job_145_sapa_b0002_vconv_sconv_k1.sh
146	aip-boyuwang	sapa	0.002	ConvNetBN	ConvNetBN	3	10	6	5	30	250	0-03:10:00	CIFAR10_ConvNetBN_sapa_ours_dog-bird_b0.002_eps8_seed42_lam1_cosine_K3_worst0.05_ce5_tgt70	job_146_sapa_b0002_vconv_sconv_k3.sh
147	aip-yiweilu	sapa	0.002	ConvNetBN	ConvNetBN	10	10	6	5	30	250	0-03:10:00	CIFAR10_ConvNetBN_sapa_ours_dog-bird_b0.002_eps8_seed42_lam1_cosine_K10_worst0.05_ce5_tgt70	job_147_sapa_b0002_vconv_sconv_k10.sh
148	aip-boyuwang	sapa	0.002	ConvNetBN	ConvNetBN	30	10	6	5	30	250	0-03:10:00	CIFAR10_ConvNetBN_sapa_ours_dog-bird_b0.002_eps8_seed42_lam1_cosine_K30_worst0.05_ce5_tgt70	job_148_sapa_b0002_vconv_sconv_k30.sh
149	aip-boyuwang	sapa	0.002	ConvNetBN	ResNet20BN	1	10	6	5	30	250	0-03:10:00	CIFAR10_ConvNetBN_sapa_ours_dog-bird_b0.002_eps8_seed42_lam1_cosine_selarchResNet20BN_K1_worst0.05_ce5_tgt70	job_149_sapa_b0002_vconv_sr20_k1.sh
150	aip-yiweilu	sapa	0.002	ConvNetBN	ResNet20BN	3	10	6	5	30	250	0-03:10:00	CIFAR10_ConvNetBN_sapa_ours_dog-bird_b0.002_eps8_seed42_lam1_cosine_selarchResNet20BN_K3_worst0.05_ce5_tgt70	job_150_sapa_b0002_vconv_sr20_k3.sh
151	aip-boyuwang	sapa	0.002	ConvNetBN	ResNet20BN	10	10	6	5	30	250	0-03:10:00	CIFAR10_ConvNetBN_sapa_ours_dog-bird_b0.002_eps8_seed42_lam1_cosine_selarchResNet20BN_K10_worst0.05_ce5_tgt70	job_151_sapa_b0002_vconv_sr20_k10.sh
152	aip-boyuwang	sapa	0.002	ConvNetBN	ResNet20BN	30	10	6	5	30	250	0-03:10:00	CIFAR10_ConvNetBN_sapa_ours_dog-bird_b0.002_eps8_seed42_lam1_cosine_selarchResNet20BN_K30_worst0.05_ce5_tgt70	job_152_sapa_b0002_vconv_sr20_k30.sh
153	aip-yiweilu	sapa	0.002	ConvNetBN	VGG13BN	1	10	6	5	30	250	0-03:10:00	CIFAR10_ConvNetBN_sapa_ours_dog-bird_b0.002_eps8_seed42_lam1_cosine_selarchVGG13BN_K1_worst0.05_ce5_tgt70	job_153_sapa_b0002_vconv_svgg_k1.sh
154	aip-boyuwang	sapa	0.002	ConvNetBN	VGG13BN	3	10	6	5	30	250	0-03:10:00	CIFAR10_ConvNetBN_sapa_ours_dog-bird_b0.002_eps8_seed42_lam1_cosine_selarchVGG13BN_K3_worst0.05_ce5_tgt70	job_154_sapa_b0002_vconv_svgg_k3.sh
155	aip-boyuwang	sapa	0.002	ConvNetBN	VGG13BN	10	10	6	5	30	250	0-03:10:00	CIFAR10_ConvNetBN_sapa_ours_dog-bird_b0.002_eps8_seed42_lam1_cosine_selarchVGG13BN_K10_worst0.05_ce5_tgt70	job_155_sapa_b0002_vconv_svgg_k10.sh
156	aip-yiweilu	sapa	0.002	ConvNetBN	VGG13BN	30	10	6	5	30	250	0-03:10:00	CIFAR10_ConvNetBN_sapa_ours_dog-bird_b0.002_eps8_seed42_lam1_cosine_selarchVGG13BN_K30_worst0.05_ce5_tgt70	job_156_sapa_b0002_vconv_svgg_k30.sh
157	aip-boyuwang	sapa	0.002	ResNet20BN	ConvNetBN	1	10	6	5	30	250	0-03:50:00	CIFAR10_ResNet20BN_sapa_ours_dog-bird_b0.002_eps8_seed42_lam1_cosine_selarchConvNetBN_K1_worst0.05_ce5_tgt14	job_157_sapa_b0002_vr20_sconv_k1.sh
158	aip-boyuwang	sapa	0.002	ResNet20BN	ConvNetBN	3	10	6	5	30	250	0-03:50:00	CIFAR10_ResNet20BN_sapa_ours_dog-bird_b0.002_eps8_seed42_lam1_cosine_selarchConvNetBN_K3_worst0.05_ce5_tgt14	job_158_sapa_b0002_vr20_sconv_k3.sh
159	aip-yiweilu	sapa	0.002	ResNet20BN	ConvNetBN	10	10	6	5	30	250	0-03:50:00	CIFAR10_ResNet20BN_sapa_ours_dog-bird_b0.002_eps8_seed42_lam1_cosine_selarchConvNetBN_K10_worst0.05_ce5_tgt14	job_159_sapa_b0002_vr20_sconv_k10.sh
160	aip-boyuwang	sapa	0.002	ResNet20BN	ConvNetBN	30	10	6	5	30	250	0-03:50:00	CIFAR10_ResNet20BN_sapa_ours_dog-bird_b0.002_eps8_seed42_lam1_cosine_selarchConvNetBN_K30_worst0.05_ce5_tgt14	job_160_sapa_b0002_vr20_sconv_k30.sh
161	aip-boyuwang	sapa	0.002	ResNet20BN	ResNet20BN	1	10	6	5	30	250	0-03:50:00	CIFAR10_ResNet20BN_sapa_ours_dog-bird_b0.002_eps8_seed42_lam1_cosine_K1_worst0.05_ce5_tgt14	job_161_sapa_b0002_vr20_sr20_k1.sh
162	aip-yiweilu	sapa	0.002	ResNet20BN	ResNet20BN	3	10	6	5	30	250	0-03:50:00	CIFAR10_ResNet20BN_sapa_ours_dog-bird_b0.002_eps8_seed42_lam1_cosine_K3_worst0.05_ce5_tgt14	job_162_sapa_b0002_vr20_sr20_k3.sh
163	aip-boyuwang	sapa	0.002	ResNet20BN	ResNet20BN	10	10	6	5	30	250	0-03:50:00	CIFAR10_ResNet20BN_sapa_ours_dog-bird_b0.002_eps8_seed42_lam1_cosine_K10_worst0.05_ce5_tgt14	job_163_sapa_b0002_vr20_sr20_k10.sh
164	aip-boyuwang	sapa	0.002	ResNet20BN	ResNet20BN	30	10	6	5	30	250	0-03:50:00	CIFAR10_ResNet20BN_sapa_ours_dog-bird_b0.002_eps8_seed42_lam1_cosine_K30_worst0.05_ce5_tgt14	job_164_sapa_b0002_vr20_sr20_k30.sh
165	aip-yiweilu	sapa	0.002	ResNet20BN	VGG13BN	1	10	6	5	30	250	0-03:50:00	CIFAR10_ResNet20BN_sapa_ours_dog-bird_b0.002_eps8_seed42_lam1_cosine_selarchVGG13BN_K1_worst0.05_ce5_tgt14	job_165_sapa_b0002_vr20_svgg_k1.sh
166	aip-boyuwang	sapa	0.002	ResNet20BN	VGG13BN	3	10	6	5	30	250	0-03:50:00	CIFAR10_ResNet20BN_sapa_ours_dog-bird_b0.002_eps8_seed42_lam1_cosine_selarchVGG13BN_K3_worst0.05_ce5_tgt14	job_166_sapa_b0002_vr20_svgg_k3.sh
167	aip-boyuwang	sapa	0.002	ResNet20BN	VGG13BN	10	10	6	5	30	250	0-03:50:00	CIFAR10_ResNet20BN_sapa_ours_dog-bird_b0.002_eps8_seed42_lam1_cosine_selarchVGG13BN_K10_worst0.05_ce5_tgt14	job_167_sapa_b0002_vr20_svgg_k10.sh
168	aip-yiweilu	sapa	0.002	ResNet20BN	VGG13BN	30	10	6	5	30	250	0-03:50:00	CIFAR10_ResNet20BN_sapa_ours_dog-bird_b0.002_eps8_seed42_lam1_cosine_selarchVGG13BN_K30_worst0.05_ce5_tgt14	job_168_sapa_b0002_vr20_svgg_k30.sh
169	aip-boyuwang	sapa	0.002	VGG13BN	ConvNetBN	1	10	6	5	30	250	0-03:50:00	CIFAR10_VGG13BN_sapa_ours_dog-bird_b0.002_eps8_seed42_lam1_cosine_selarchConvNetBN_K1_worst0.05_ce5_tgt50	job_169_sapa_b0002_vvgg_sconv_k1.sh
170	aip-boyuwang	sapa	0.002	VGG13BN	ConvNetBN	3	10	6	5	30	250	0-03:50:00	CIFAR10_VGG13BN_sapa_ours_dog-bird_b0.002_eps8_seed42_lam1_cosine_selarchConvNetBN_K3_worst0.05_ce5_tgt50	job_170_sapa_b0002_vvgg_sconv_k3.sh
171	aip-yiweilu	sapa	0.002	VGG13BN	ConvNetBN	10	10	6	5	30	250	0-03:50:00	CIFAR10_VGG13BN_sapa_ours_dog-bird_b0.002_eps8_seed42_lam1_cosine_selarchConvNetBN_K10_worst0.05_ce5_tgt50	job_171_sapa_b0002_vvgg_sconv_k10.sh
172	aip-boyuwang	sapa	0.002	VGG13BN	ConvNetBN	30	10	6	5	30	250	0-03:50:00	CIFAR10_VGG13BN_sapa_ours_dog-bird_b0.002_eps8_seed42_lam1_cosine_selarchConvNetBN_K30_worst0.05_ce5_tgt50	job_172_sapa_b0002_vvgg_sconv_k30.sh
173	aip-boyuwang	sapa	0.002	VGG13BN	ResNet20BN	1	10	6	5	30	250	0-03:50:00	CIFAR10_VGG13BN_sapa_ours_dog-bird_b0.002_eps8_seed42_lam1_cosine_selarchResNet20BN_K1_worst0.05_ce5_tgt50	job_173_sapa_b0002_vvgg_sr20_k1.sh
174	aip-yiweilu	sapa	0.002	VGG13BN	ResNet20BN	3	10	6	5	30	250	0-03:50:00	CIFAR10_VGG13BN_sapa_ours_dog-bird_b0.002_eps8_seed42_lam1_cosine_selarchResNet20BN_K3_worst0.05_ce5_tgt50	job_174_sapa_b0002_vvgg_sr20_k3.sh
175	aip-boyuwang	sapa	0.002	VGG13BN	ResNet20BN	10	10	6	5	30	250	0-03:50:00	CIFAR10_VGG13BN_sapa_ours_dog-bird_b0.002_eps8_seed42_lam1_cosine_selarchResNet20BN_K10_worst0.05_ce5_tgt50	job_175_sapa_b0002_vvgg_sr20_k10.sh
176	aip-boyuwang	sapa	0.002	VGG13BN	ResNet20BN	30	10	6	5	30	250	0-03:50:00	CIFAR10_VGG13BN_sapa_ours_dog-bird_b0.002_eps8_seed42_lam1_cosine_selarchResNet20BN_K30_worst0.05_ce5_tgt50	job_176_sapa_b0002_vvgg_sr20_k30.sh
177	aip-yiweilu	sapa	0.002	VGG13BN	VGG13BN	1	10	6	5	30	250	0-03:50:00	CIFAR10_VGG13BN_sapa_ours_dog-bird_b0.002_eps8_seed42_lam1_cosine_K1_worst0.05_ce5_tgt50	job_177_sapa_b0002_vvgg_svgg_k1.sh
