train_idx,x_rm,y_a,d_raw,m_raw,a_raw
40,0.06012643128633499,-0.18012700974941254,0.019077841192483902,14.839268684387207,0.013446045108139515
51,-0.12278089672327042,-0.138673797249794,0.016967367380857468,14.330981254577637,0.04396362230181694
70,0.2428525686264038,-0.18662619590759277,0.02022385410964489,15.1144437789917,0.005428767297416925
107,1.3836028575897217,-0.12344491481781006,0.02406836859881878,12.361462593078613,0.06844635307788849
128,0.3467332422733307,-0.16000962257385254,0.01801866479218006,12.786932945251465,0.03455047681927681
173,0.21967577934265137,-0.17233924567699432,0.01873653195798397,14.038591384887695,0.02906341664493084
195,0.22949786484241486,0.10797508805990219,0.019103145226836205,14.401926040649414,0.3142189085483551
217,-0.7647373676300049,-0.176692396402359,0.014243965037167072,15.611166954040527,0.02316589467227459
239,-2.0618138313293457,-0.1913551390171051,0.012694981880486012,20.932296752929688,0.0002380371151957661
260,1.1905460357666016,0.11086995899677277,0.02365899085998535,12.502358436584473,0.3427108824253082
277,0.36967000365257263,0.05398133397102356,0.020607762038707733,14.302011489868164,0.2429153472185135
285,0.23024426400661469,-0.14409101009368896,0.017444657161831856,13.210745811462402,0.04388732835650444
297,-1.8212778568267822,-0.19140778481960297,0.013163930736482143,20.1463565826416,0.0003295898495707661
305,0.7857049107551575,0.0017873529577627778,0.019327664747834206,11.87860107421875,0.12037048488855362
324,-1.513861060142517,-0.19008950889110565,0.012482505291700363,18.059314727783203,0.002035522600635886
339,0.12796349823474884,-0.16685441136360168,0.017451150342822075,13.598528861999512,0.022611236199736595
462,-0.9807747006416321,-0.1900150626897812,0.014276757836341858,16.381105422973633,0.00342731480486691
491,-0.4124142825603485,0.0052496506832540035,0.016481449827551842,15.284929275512695,0.30423280596733093
515,-1.1868265867233276,-0.17799027264118195,0.013127468526363373,16.744815826416016,0.01110687293112278
542,0.2887960374355316,-0.1597476452589035,0.019069774076342583,13.491766929626465,0.03931579738855362
573,1.8024581670761108,0.6938791871070862,0.024975594133138657,10.898392677307129,0.6045181155204773
607,-1.2235339879989624,-0.19130977988243103,0.014638641849160194,18.099260330200195,0.00021972657123114914
624,-0.16086021065711975,-0.14407508075237274,0.018184227868914604,15.979763984680176,0.05960693582892418
670,1.4567426443099976,0.059184134006500244,0.023749003186821938,12.01659870147705,0.2703384459018707
726,-0.6943984627723694,-0.12273665517568588,0.01545055489987135,16.019620895385742,0.11540603637695312
732,1.6189346313476562,1.5648187398910522,0.022717434912919998,9.6848783493042,1.9262573719024658
734,0.952899158000946,0.4972477853298187,0.01999053917825222,10.912331581115723,0.52410888671875
750,1.8935365676879883,0.01663021929562092,0.02645714394748211,11.420320510864258,0.18182526528835297
762,2.464869737625122,0.44396692514419556,0.028687894344329834,9.49404239654541,0.7824295163154602
767,1.062449336051941,-0.017444128170609474,0.022769324481487274,12.529532432556152,0.1755416840314865
814,0.049100954085588455,-0.17918641865253448,0.01957852952182293,15.115470886230469,0.01946105994284153
817,-0.5216037631034851,-0.17558340728282928,0.015659213066101074,15.4676513671875,0.00947418250143528
852,-0.55792635679245,-0.15221832692623138,0.013708183541893959,14.014129638671875,0.04554443433880806
875,-1.224270224571228,-0.19098754227161407,0.014332522638142109,17.98859405517578,0.0004074096796102822
908,-1.42794930934906,-0.1898188441991806,0.01452590525150299,19.146291732788086,0.00162506103515625
918,-0.7811235785484314,-0.18492618203163147,0.016243955120444298,16.82513999938965,0.004376220982521772
984,0.43310990929603577,0.02085317112505436,0.018130721524357796,12.745696067810059,0.1146240234375
993,0.5447887182235718,-0.14530423283576965,0.01953703910112381,12.65543270111084,0.07688293606042862
999,0.5946000218391418,-0.08695584535598755,0.020696721971035004,13.528587341308594,0.05979156494140625
1015,-1.387081503868103,-0.1836588829755783,0.01385484915226698,19.027755737304688,0.0049224854446947575
