2026-08-10 17:32:23,787 === run start: CIFAR10_ResNet20BN_FC_ours_dog-bird_budget0.05_seed42_K5_coef1.0 on cuda ===
2026-08-10 17:32:27,715 [budget] budget=0.05 -> num_poisons=2500 (full_train_len=50000)
2026-08-10 17:32:30,163 [clean baseline ResNet20BN v0] test acc = 0.8489
2026-08-10 17:32:31,102 [clean baseline ResNet20BN v1] test acc = 0.8573
2026-08-10 17:32:32,042 [clean baseline ResNet20BN v2] test acc = 0.8592
2026-08-10 17:32:32,045 [clean baseline] ResNet20BN CTA = 0.8551 +/- 0.0045
2026-08-10 17:32:32,075 [targets] 10 fixed targets: [8469, 24, 2755, 2573, 1636, 7393, 1527, 2151, 598, 7493]
2026-08-10 17:34:15,339 [target 8469 | victim 0] success=0 cta=0.8417
2026-08-10 17:35:56,976 [target 8469 | victim 1] success=0 cta=0.8438
2026-08-10 17:37:38,690 [target 8469 | victim 2] success=0 cta=0.8438
2026-08-10 17:39:37,586 [target 24 | victim 0] success=0 cta=0.8443
2026-08-10 17:41:19,439 [target 24 | victim 1] success=0 cta=0.8417
2026-08-10 17:43:01,354 [target 24 | victim 2] success=0 cta=0.8499
2026-08-10 17:44:59,836 [target 2755 | victim 0] success=0 cta=0.8393
2026-08-10 17:46:41,689 [target 2755 | victim 1] success=0 cta=0.8442
2026-08-10 17:48:23,642 [target 2755 | victim 2] success=0 cta=0.8478
2026-08-10 17:50:22,354 [target 2573 | victim 0] success=0 cta=0.8472
2026-08-10 17:52:04,582 [target 2573 | victim 1] success=0 cta=0.8474
2026-08-10 17:53:46,631 [target 2573 | victim 2] success=0 cta=0.8397
2026-08-10 17:55:45,421 [target 1636 | victim 0] success=0 cta=0.8444
2026-08-10 17:57:27,324 [target 1636 | victim 1] success=0 cta=0.8411
2026-08-10 17:59:09,740 [target 1636 | victim 2] success=0 cta=0.8355
2026-08-10 18:01:08,938 [target 7393 | victim 0] success=0 cta=0.8443
2026-08-10 18:02:51,153 [target 7393 | victim 1] success=0 cta=0.8428
2026-08-10 18:04:33,665 [target 7393 | victim 2] success=0 cta=0.8441
2026-08-10 18:06:33,288 [target 1527 | victim 0] success=0 cta=0.8413
2026-08-10 18:08:15,397 [target 1527 | victim 1] success=0 cta=0.8415
2026-08-10 18:09:57,896 [target 1527 | victim 2] success=0 cta=0.8397
2026-08-10 18:11:57,630 [target 2151 | victim 0] success=0 cta=0.8506
2026-08-10 18:13:39,800 [target 2151 | victim 1] success=0 cta=0.8401
2026-08-10 18:15:22,252 [target 2151 | victim 2] success=0 cta=0.8402
2026-08-10 18:17:21,881 [target 598 | victim 0] success=0 cta=0.8439
2026-08-10 18:19:04,076 [target 598 | victim 1] success=0 cta=0.8501
2026-08-10 18:20:46,598 [target 598 | victim 2] success=0 cta=0.8441
2026-08-10 18:22:46,671 [target 7493 | victim 0] success=0 cta=0.8416
2026-08-10 18:24:28,869 [target 7493 | victim 1] success=0 cta=0.8433
[2026-08-10T18:24:46.496] error: *** JOB 445709 ON rack04-13 CANCELLED AT 2026-08-10T18:24:46 DUE to SIGNAL Terminated ***
