2026-08-10 17:56:03,471 === run start: CIFAR10_ResNet20BN_FC_random_dog-bird_budget0.05_seed42 on cuda ===
2026-08-10 17:56:06,996 [budget] budget=0.05 -> num_poisons=2500 (full_train_len=50000)
2026-08-10 17:56:08,442 [clean baseline ResNet20BN v0] test acc = 0.8489
2026-08-10 17:56:09,380 [clean baseline ResNet20BN v1] test acc = 0.8573
2026-08-10 17:56:10,318 [clean baseline ResNet20BN v2] test acc = 0.8592
2026-08-10 17:56:10,319 [clean baseline] ResNet20BN CTA = 0.8551 +/- 0.0045
2026-08-10 17:56:10,343 [targets] 10 fixed targets: [8469, 24, 2755, 2573, 1636, 7393, 1527, 2151, 598, 7493]
2026-08-10 17:57:53,550 [target 8469 | victim 0] success=0 cta=0.8489
2026-08-10 17:59:35,835 [target 8469 | victim 1] success=0 cta=0.8471
2026-08-10 18:01:18,115 [target 8469 | victim 2] success=0 cta=0.8458
2026-08-10 18:03:16,342 [target 24 | victim 0] success=0 cta=0.8522
2026-08-10 18:04:58,731 [target 24 | victim 1] success=0 cta=0.8476
2026-08-10 18:06:41,201 [target 24 | victim 2] success=0 cta=0.8478
2026-08-10 18:08:39,549 [target 2755 | victim 0] success=0 cta=0.8523
2026-08-10 18:10:21,905 [target 2755 | victim 1] success=0 cta=0.8483
2026-08-10 18:12:04,330 [target 2755 | victim 2] success=0 cta=0.8469
2026-08-10 18:14:02,838 [target 2573 | victim 0] success=0 cta=0.8512
2026-08-10 18:15:45,184 [target 2573 | victim 1] success=0 cta=0.8485
2026-08-10 18:17:27,659 [target 2573 | victim 2] success=0 cta=0.8511
2026-08-10 18:19:26,315 [target 1636 | victim 0] success=0 cta=0.8515
2026-08-10 18:21:08,693 [target 1636 | victim 1] success=0 cta=0.8456
2026-08-10 18:22:51,112 [target 1636 | victim 2] success=0 cta=0.8508
[2026-08-10T18:24:46.497] error: *** JOB 447071 ON rack04-13 CANCELLED AT 2026-08-10T18:24:46 DUE to SIGNAL Terminated ***
