dataset,model,attack,base,class_pair,seed,num_surrogate,coef,budget,num_poisons,epsilon,target_margin_low,target_margin_high,target_id,victim_id,success,clean_test_acc
CIFAR10,ConvNetBN,FC,random,dog-bird,42,,,0.05,2500,0.0313,0.05,0.5,5112,0,1,0.8263263263263263
CIFAR10,ConvNetBN,FC,random,dog-bird,42,,,0.05,2500,0.0313,0.05,0.5,5112,1,1,0.829029029029029
CIFAR10,ConvNetBN,FC,random,dog-bird,42,,,0.05,2500,0.0313,0.05,0.5,5112,2,1,0.8302302302302302
CIFAR10,ConvNetBN,FC,random,dog-bird,42,,,0.05,2500,0.0313,0.05,0.5,5112,3,1,0.8277277277277277
CIFAR10,ConvNetBN,FC,random,dog-bird,42,,,0.05,2500,0.0313,0.05,0.5,5112,4,1,0.8321321321321321
CIFAR10,ConvNetBN,FC,random,dog-bird,42,,,0.05,2500,0.0313,0.05,0.5,5112,5,1,0.8136136136136136
CIFAR10,ConvNetBN,FC,random,dog-bird,42,,,0.05,2500,0.0313,0.05,0.5,2890,0,1,0.8274274274274275
CIFAR10,ConvNetBN,FC,random,dog-bird,42,,,0.05,2500,0.0313,0.05,0.5,2890,1,1,0.8365365365365366
CIFAR10,ConvNetBN,FC,random,dog-bird,42,,,0.05,2500,0.0313,0.05,0.5,2890,2,1,0.8341341341341342
CIFAR10,ConvNetBN,FC,random,dog-bird,42,,,0.05,2500,0.0313,0.05,0.5,2890,3,1,0.8301301301301302
CIFAR10,ConvNetBN,FC,random,dog-bird,42,,,0.05,2500,0.0313,0.05,0.5,2890,4,1,0.8221221221221221
CIFAR10,ConvNetBN,FC,random,dog-bird,42,,,0.05,2500,0.0313,0.05,0.5,2890,5,1,0.8326326326326327
CIFAR10,ConvNetBN,FC,random,dog-bird,42,,,0.05,2500,0.0313,0.05,0.5,6206,0,1,0.8340340340340341
CIFAR10,ConvNetBN,FC,random,dog-bird,42,,,0.05,2500,0.0313,0.05,0.5,6206,1,1,0.8291291291291292
CIFAR10,ConvNetBN,FC,random,dog-bird,42,,,0.05,2500,0.0313,0.05,0.5,6206,2,1,0.8247247247247247
CIFAR10,ConvNetBN,FC,random,dog-bird,42,,,0.05,2500,0.0313,0.05,0.5,6206,3,1,0.8295295295295295
CIFAR10,ConvNetBN,FC,random,dog-bird,42,,,0.05,2500,0.0313,0.05,0.5,6206,4,1,0.8344344344344344
CIFAR10,ConvNetBN,FC,random,dog-bird,42,,,0.05,2500,0.0313,0.05,0.5,6206,5,1,0.8304304304304304
CIFAR10,ConvNetBN,FC,random,dog-bird,42,,,0.05,2500,0.0313,0.05,0.5,7795,0,1,0.8311311311311311
CIFAR10,ConvNetBN,FC,random,dog-bird,42,,,0.05,2500,0.0313,0.05,0.5,7795,1,1,0.8313313313313313
CIFAR10,ConvNetBN,FC,random,dog-bird,42,,,0.05,2500,0.0313,0.05,0.5,7795,2,1,0.8346346346346346
CIFAR10,ConvNetBN,FC,random,dog-bird,42,,,0.05,2500,0.0313,0.05,0.5,7795,3,1,0.8247247247247247
CIFAR10,ConvNetBN,FC,random,dog-bird,42,,,0.05,2500,0.0313,0.05,0.5,7795,4,1,0.8324324324324325
CIFAR10,ConvNetBN,FC,random,dog-bird,42,,,0.05,2500,0.0313,0.05,0.5,7795,5,1,0.8353353353353353
CIFAR10,ConvNetBN,FC,random,dog-bird,42,,,0.05,2500,0.0313,0.05,0.5,148,0,1,0.8366366366366367
CIFAR10,ConvNetBN,FC,random,dog-bird,42,,,0.05,2500,0.0313,0.05,0.5,148,1,1,0.8327327327327327
CIFAR10,ConvNetBN,FC,random,dog-bird,42,,,0.05,2500,0.0313,0.05,0.5,148,2,1,0.8353353353353353
CIFAR10,ConvNetBN,FC,random,dog-bird,42,,,0.05,2500,0.0313,0.05,0.5,148,3,1,0.833033033033033
CIFAR10,ConvNetBN,FC,random,dog-bird,42,,,0.05,2500,0.0313,0.05,0.5,148,4,1,0.8345345345345345
CIFAR10,ConvNetBN,FC,random,dog-bird,42,,,0.05,2500,0.0313,0.05,0.5,148,5,1,0.8332332332332333
CIFAR10,ConvNetBN,FC,random,dog-bird,42,,,0.05,2500,0.0313,0.05,0.5,3083,0,1,0.8375375375375376
CIFAR10,ConvNetBN,FC,random,dog-bird,42,,,0.05,2500,0.0313,0.05,0.5,3083,1,1,0.8362362362362362
CIFAR10,ConvNetBN,FC,random,dog-bird,42,,,0.05,2500,0.0313,0.05,0.5,3083,2,1,0.8366366366366367
CIFAR10,ConvNetBN,FC,random,dog-bird,42,,,0.05,2500,0.0313,0.05,0.5,3083,3,1,0.837037037037037
CIFAR10,ConvNetBN,FC,random,dog-bird,42,,,0.05,2500,0.0313,0.05,0.5,3083,4,1,0.8318318318318318
CIFAR10,ConvNetBN,FC,random,dog-bird,42,,,0.05,2500,0.0313,0.05,0.5,3083,5,1,0.8392392392392393
CIFAR10,ConvNetBN,FC,random,dog-bird,42,,,0.05,2500,0.0313,0.05,0.5,4964,0,1,0.8296296296296296
CIFAR10,ConvNetBN,FC,random,dog-bird,42,,,0.05,2500,0.0313,0.05,0.5,4964,1,1,0.8325325325325326
