dataset,model,class_pair,poison_rho,train_set_size,candidate_count,requested_m,candidate_fraction,selector,selector_label,targets,budget_valid,invalid_reason,mean_overlap_at_m,median_overlap_at_m,q25_overlap_at_m,q75_overlap_at_m,mean_jaccard_at_m,median_jaccard_at_m,q25_jaccard_at_m,q75_jaccard_at_m,mean_spearman_exact_top_m,median_spearman_exact_top_m,q25_spearman_exact_top_m,q75_spearman_exact_top_m,mean_spearman_selected_union,median_spearman_selected_union,q25_spearman_selected_union,q75_spearman_selected_union
CIFAR10,ConvNetBN,dog-bird,0.001,50000,5000,50,0.01,A,Backbone alignment A,10,True,,0.9720000000000001,0.98,0.96,0.98,0.9459944790688409,0.9607843137254902,0.9230769230769231,0.9607843137254902,0.9887923169267706,0.9906362545018006,0.9878511404561824,0.9929171668667467,0.9881209513316696,0.9906129941091095,0.984850877941888,0.9927601809954751
CIFAR10,ConvNetBN,dog-bird,0.001,50000,5000,50,0.01,beta0,GRAFT (\beta=0),10,True,,0.082,0.08,0.06,0.1,0.04317476436706521,0.041666666666666664,0.030927835051546393,0.05263157894736842,0.10548859543817526,0.12076830732292915,-0.03719087635054022,0.19286914765906363,-0.6300036481676804,-0.6572354579379227,-0.6739311415756555,-0.6331017088812181
CIFAR10,ConvNetBN,dog-bird,0.001,50000,5000,50,0.01,beta1,GRAFT+ (\beta=1),10,True,,0.728,0.73,0.7,0.755,0.573279001904729,0.5749007936507937,0.5384615384615384,0.6065028161802355,0.7494741896758703,0.7555342136854741,0.6498199279711885,0.8361824729891956,0.5772254500112599,0.5728068891491023,0.5023211163836163,0.6710585431960914
CIFAR10,ConvNetBN,dog-bird,0.001,50000,5000,50,0.01,product_neg_MRA_high,Product (-M)RA · high first,10,True,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.20439855942376953,-0.2503241296518607,-0.29956782713085234,-0.058031212484993995,-0.812914112967787,-0.79502922819841,-0.846987839632376,-0.7800155762676935
CIFAR10,ConvNetBN,dog-bird,0.001,50000,5000,50,0.01,product_neg_MRA_low,Product (-M)RA · low first,10,True,,0.4960000000000001,0.47,0.445,0.55,0.333620673441711,0.3072453861927546,0.28621378621378624,0.3795045045045045,0.20439855942376953,0.2503241296518607,0.058031212484993995,0.29956782713085234,-0.050052150082341776,-0.08414819690635812,-0.1932071751492594,0.14389460122499087
CIFAR10,ConvNetBN,dog-bird,0.002,50000,5000,100,0.02,A,Backbone alignment A,10,True,,0.97,0.98,0.9524999999999999,0.98,0.9425094885809348,0.9607843137254902,0.9093406593406593,0.9607843137254902,0.9927164716471648,0.9932913291329132,0.9919981998199818,0.994155415541554,0.9919110965875818,0.9929133595657398,0.9904202850637945,0.9940257900718683
CIFAR10,ConvNetBN,dog-bird,0.002,50000,5000,100,0.02,beta0,GRAFT (\beta=0),10,True,,0.10800000000000001,0.11,0.0825,0.1175,0.0574699805800832,0.0582010582010582,0.04303010471204188,0.062422604975796464,0.07538673867386739,0.05530753075307531,-0.03524452445244523,0.20136813681368135,-0.613528513754369,-0.6227879593929262,-0.6722476368759431,-0.5910754766462559
CIFAR10,ConvNetBN,dog-bird,0.002,50000,5000,100,0.02,beta1,GRAFT+ (\beta=1),10,True,,0.7339999999999999,0.725,0.705,0.76,0.5808820127867306,0.5686515748031495,0.5444711538461539,0.6129032258064516,0.7543438343834383,0.7344794479447945,0.702190219021902,0.8133213321332132,0.5824129844663873,0.5903288272080347,0.5443808025177025,0.6032821616601032
CIFAR10,ConvNetBN,dog-bird,0.002,50000,5000,100,0.02,product_neg_MRA_high,Product (-M)RA · high first,10,True,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.33644044404440443,-0.2853945394539454,-0.4625502550255025,-0.2504380438043804,-0.849330403917128,-0.846954783433581,-0.8683720965611277,-0.8386338822963171
CIFAR10,ConvNetBN,dog-bird,0.002,50000,5000,100,0.02,product_neg_MRA_low,Product (-M)RA · low first,10,True,,0.6199999999999999,0.62,0.595,0.6275,0.4506289813326151,0.4492753623188406,0.42354201744986986,0.45720935152861525,0.33644044404440443,0.2853945394539454,0.2504380438043804,0.4625502550255025,0.1442210356625941,0.10022358420412082,0.05178896446583312,0.23741920459189608
