dataset,model,class_pair,poison_rho,train_set_size,candidate_count,requested_m,candidate_fraction,selector,selector_label,targets,budget_valid,invalid_reason,mean_overlap_at_m,median_overlap_at_m,q25_overlap_at_m,q75_overlap_at_m,mean_jaccard_at_m,median_jaccard_at_m,q25_jaccard_at_m,q75_jaccard_at_m,mean_spearman_exact_top_m,median_spearman_exact_top_m,q25_spearman_exact_top_m,q75_spearman_exact_top_m,mean_spearman_selected_union,median_spearman_selected_union,q25_spearman_selected_union,q75_spearman_selected_union
CIFAR10,ConvNetBN,dog-bird,0.005,50000,5000,250,0.05,A,Backbone alignment A,10,True,,0.9768000000000001,0.976,0.972,0.986,0.9548000071524744,0.953125,0.9455252918287937,0.9724095171665504,0.9937206547304755,0.9938052128834061,0.9923694139106225,0.9947905726491624,0.9934067200863428,0.9936588288162042,0.9915711126529927,0.9946875444610045
CIFAR10,ConvNetBN,dog-bird,0.005,50000,5000,250,0.05,beta0,GRAFT (\beta=0),10,True,,0.17160000000000003,0.162,0.14300000000000002,0.179,0.0944679424280828,0.08814057023775694,0.07701438346599637,0.09829863119336803,0.1185969183506936,0.10156924110785771,0.051500024000384004,0.13825603609657752,-0.553291440268709,-0.5662002406492899,-0.5908743763423903,-0.5474241912499196
CIFAR10,ConvNetBN,dog-bird,0.005,50000,5000,250,0.05,beta1,GRAFT+ (\beta=1),10,True,,0.7156,0.716,0.691,0.739,0.5581147457434154,0.5577684602841835,0.5279080675422139,0.586045810729355,0.7586504488071808,0.7646030816493063,0.7512339077425239,0.7766850669610713,0.5561339222077133,0.5537588697505285,0.5091684224123546,0.6013025675987401
CIFAR10,ConvNetBN,dog-bird,0.005,50000,5000,250,0.05,product_neg_MRA_high,Product (-M)RA · high first,10,True,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.535504708875342,-0.537715355445687,-0.5903533816541064,-0.5057132434118945,-0.9062221805529557,-0.9076225982681239,-0.9146044293299707,-0.893921668004358
CIFAR10,ConvNetBN,dog-bird,0.005,50000,5000,250,0.05,product_neg_MRA_low,Product (-M)RA · low first,10,True,,0.7228,0.724,0.701,0.746,0.5664522532347888,0.5674135220125787,0.5396486229819563,0.5950048379293662,0.535504708875342,0.537715355445687,0.5057132434118945,0.5903533816541064,0.4196718828274797,0.39942388494678854,0.38008672091478235,0.4640107960593617
CIFAR10,ConvNetBN,dog-bird,0.01,50000,5000,500,0.1,A,Backbone alignment A,10,True,,0.9816,0.98,0.9784999999999999,0.9855,0.9639237675072229,0.9607843137254902,0.9579064502513335,0.9714159250803709,0.9949849471334898,0.9950303001212004,0.993630686522746,0.9961085764343056,0.9948654741650014,0.9948887492901164,0.9935619089266319,0.9960672127830054
CIFAR10,ConvNetBN,dog-bird,0.01,50000,5000,500,0.1,beta0,GRAFT (\beta=0),10,True,,0.23680000000000004,0.228,0.209,0.24,0.13482864326174837,0.12867392279156986,0.11669562959411953,0.13636802863338215,0.14127197628790514,0.13200216000864,0.10690000360001438,0.16629731318925273,-0.48066676109439344,-0.5118817668208375,-0.5206864770370508,-0.46265125569019055
CIFAR10,ConvNetBN,dog-bird,0.01,50000,5000,500,0.1,beta1,GRAFT+ (\beta=1),10,True,,0.6883999999999999,0.695,0.681,0.701,0.5253635106680828,0.5325679497176787,0.5163238673765171,0.5396486145529338,0.7415017724070896,0.7416107424429698,0.7288410353641415,0.7495999423997696,0.5066952849189763,0.5016820775644502,0.48315223849533034,0.5488515996755166
CIFAR10,ConvNetBN,dog-bird,0.01,50000,5000,500,0.1,product_neg_MRA_high,Product (-M)RA · high first,10,True,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6609813831255325,-0.6532824691298764,-0.675317029268117,-0.630324193296773,-0.9384676543141653,-0.9403928474748418,-0.9434035977364148,-0.9331316244510839
CIFAR10,ConvNetBN,dog-bird,0.01,50000,5000,500,0.1,product_neg_MRA_low,Product (-M)RA · low first,10,True,,0.7914,0.795,0.782,0.8095000000000001,0.6553340059052473,0.6597613249440777,0.642049450846724,0.6799672889289945,0.6609813831255325,0.6532824691298764,0.630324193296773,0.675317029268117,0.5858677409587573,0.5699340458454836,0.5566346388458734,0.6172361317026583
CIFAR10,ConvNetBN,dog-bird,0.02,50000,5000,1000,0.2,A,Backbone alignment A,10,True,,0.9846,0.9835,0.983,0.98725,0.9696939359807908,0.9675361376288141,0.9665683382497542,0.9748242761736016,0.9960436902422787,0.9964765864765865,0.9954803094803095,0.9968813536243423,0.9960016525981636,0.9964273070475878,0.995461998611547,0.9968401145624464
CIFAR10,ConvNetBN,dog-bird,0.02,50000,5000,1000,0.2,beta0,GRAFT (\beta=0),10,True,,0.36829999999999996,0.3545,0.353,0.36575,0.22617804873708008,0.21543614990009863,0.2143290831815422,0.22380305361226835,0.14682107322107324,0.1352938292938293,0.11578470478470479,0.17470905070905074,-0.35357368840550707,-0.38041698233430327,-0.38942579425743185,-0.3426984301226973
CIFAR10,ConvNetBN,dog-bird,0.02,50000,5000,1000,0.2,beta1,GRAFT+ (\beta=1),10,True,,0.6763999999999999,0.6755,0.66925,0.6837500000000001,0.5111172484597019,0.5100057116863839,0.5029120509764268,0.5194722894342666,0.7099921051921052,0.7111374931374932,0.7073943653943654,0.7141731781731783,0.4625842290692441,0.4663456699356238,0.4549163581708724,0.4839385193856462
CIFAR10,ConvNetBN,dog-bird,0.02,50000,5000,1000,0.2,product_neg_MRA_high,Product (-M)RA · high first,10,True,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7536371976371976,-0.7485636345636346,-0.777893430893431,-0.7344075804075805,-0.9605185397595101,-0.9614144864827243,-0.9633162441172524,-0.9599822122516087
CIFAR10,ConvNetBN,dog-bird,0.02,50000,5000,1000,0.2,product_neg_MRA_low,Product (-M)RA · low first,10,True,,0.8588999999999999,0.858,0.8525,0.8645,0.7529795015129304,0.7513255709635741,0.7429203835793032,0.7613396409904727,0.7536371976371976,0.7485636345636346,0.7344075804075805,0.777893430893431,0.7288598252989054,0.7286340908044562,0.7088200281908652,0.7522399740155319
CIFAR10,ConvNetBN,dog-bird,0.04,50000,5000,2000,0.4,A,Backbone alignment A,10,True,,0.9896500000000001,0.9895,0.98775,0.99275,0.9795395275675493,0.9792186933826914,0.9757968546895883,0.9856047351082107,0.9975007446747262,0.997694008173502,0.9973388332097084,0.9982679982230621,0.9975032626703546,0.9976868991577581,0.9973367768057866,0.9982780948006206
CIFAR10,ConvNetBN,dog-bird,0.04,50000,5000,2000,0.4,beta0,GRAFT (\beta=0),10,True,,0.5908,0.58925,0.57675,0.5958749999999999,0.41967150791805513,0.41769849474738063,0.4052377560655123,0.42437464438176437,0.14770179032544756,0.12765667541416884,0.10871096530274131,0.15980482670120666,-0.1085124245012975,-0.13558427184348568,-0.14023497938093313,-0.10365666807326378
CIFAR10,ConvNetBN,dog-bird,0.04,50000,5000,2000,0.4,beta1,GRAFT+ (\beta=1),10,True,,0.7318999999999999,0.7302500000000001,0.7264999999999999,0.735625,0.5772224063982733,0.5751137608004147,0.570475795543181,0.5818096114509199,0.6636475534618883,0.6646433599108399,0.6559275229818807,0.6693150499537625,0.4842654682834725,0.4794890981081153,0.4751620974605384,0.49156052175570436
CIFAR10,ConvNetBN,dog-bird,0.04,50000,5000,2000,0.4,product_neg_MRA_high,Product (-M)RA · high first,10,True,,0.0013,0.0015,0.001,0.0015,0.0006504878972151454,0.0007505629221916438,0.0005002501250625312,0.0007505629221916438,-0.8700583174645795,-0.8679113634778408,-0.8811556092889024,-0.8592378595594649,-0.978700208249023,-0.9795718218052858,-0.9804770423306483,-0.9775322496683709
CIFAR10,ConvNetBN,dog-bird,0.04,50000,5000,2000,0.4,product_neg_MRA_low,Product (-M)RA · low first,10,True,,0.9284000000000001,0.92825,0.925625,0.933,0.8664607195974039,0.8661069361545051,0.8615474869000609,0.8744191755361119,0.8700583174645795,0.8679113634778408,0.8592378595594649,0.8811556092889024,0.8735613934928204,0.8719308563817438,0.8654084302519226,0.8854599047151533
CIFAR10,ConvNetBN,frog-airplane,0.001,50000,5000,50,0.01,A,Backbone alignment A,10,True,,0.9800000000000001,0.98,0.965,0.995,0.9612368024132729,0.9607843137254902,0.9325037707390649,0.9901960784313726,0.9896662665066025,0.9896278511404561,0.9884993997599039,0.9932292917166867,0.989070486830436,0.9891402714932127,0.986569675765807,0.9934356819650936
CIFAR10,ConvNetBN,frog-airplane,0.001,50000,5000,50,0.01,beta0,GRAFT (\beta=0),10,True,,0.052000000000000005,0.04,0.04,0.075,0.02687274205954928,0.02040816326530612,0.02040816326530612,0.0389819587628866,-0.022136854741896757,-0.05536614645858343,-0.12667466986794715,0.06146458583433372,-0.7131185041526483,-0.7310335099363081,-0.7414974689871016,-0.6946999980873323
CIFAR10,ConvNetBN,frog-airplane,0.001,50000,5000,50,0.01,beta1,GRAFT+ (\beta=1),10,True,,0.8260000000000002,0.83,0.785,0.855,0.7053705106199019,0.7095265926358855,0.6461748633879781,0.7468239564428312,0.827812725090036,0.8537334933973589,0.7833373349339736,0.8646338535414164,0.7432243016406119,0.7427393112258429,0.701622251339278,0.7810646481024115
CIFAR10,ConvNetBN,frog-airplane,0.001,50000,5000,50,0.01,product_neg_MRA_high,Product (-M)RA · high first,10,True,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.30065786314525805,-0.34050420168067225,-0.35872749099639856,-0.20182472989195677,-0.8457492865210108,-0.8533440639173042,-0.8662526252625262,-0.8168577992795386
CIFAR10,ConvNetBN,frog-airplane,0.001,50000,5000,50,0.01,product_neg_MRA_low,Product (-M)RA · low first,10,True,,0.5940000000000001,0.6,0.5650000000000001,0.635,0.4244688568821748,0.42886303327209635,0.3937793427230047,0.4652600170502984,0.30065786314525805,0.34050420168067225,0.20182472989195677,0.35872749099639856,0.08383376619323774,0.0629293745480613,0.018295273926665016,0.157409381663113
CIFAR10,ConvNetBN,frog-airplane,0.002,50000,5000,100,0.02,A,Backbone alignment A,10,True,,0.983,0.98,0.98,0.99,0.9666461220650906,0.9607843137254902,0.9607843137254902,0.9801980198019802,0.9938481848184818,0.9937593759375937,0.9929372937293729,0.9958115811581156,0.993828923348338,0.9938957653618017,0.9929347303662405,0.9958153756552126
CIFAR10,ConvNetBN,frog-airplane,0.002,50000,5000,100,0.02,beta0,GRAFT (\beta=0),10,True,,0.078,0.07500000000000001,0.06,0.09,0.04074649513248678,0.038968048359240066,0.030927835051546393,0.04712041884816754,0.07522832283228323,0.08175817581758175,0.027008700870087006,0.11256525652565254,-0.6561114257089061,-0.668620008275159,-0.6779476946321665,-0.6490757964768553
CIFAR10,ConvNetBN,frog-airplane,0.002,50000,5000,100,0.02,beta1,GRAFT+ (\beta=1),10,True,,0.781,0.775,0.7625,0.8075000000000001,0.6414912842558569,0.6326802612288418,0.6161814843954891,0.677170868347339,0.8450237023702369,0.8478187818781877,0.8333723372337233,0.8657125712571256,0.7197621208928559,0.7290957423482219,0.6842848924946151,0.7615466092262974
CIFAR10,ConvNetBN,frog-airplane,0.002,50000,5000,100,0.02,product_neg_MRA_high,Product (-M)RA · high first,10,True,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4794827482748275,-0.4596819681968196,-0.4935433543354335,-0.43762376237623757,-0.858836757359559,-0.8576614292763842,-0.8744224074064415,-0.8371146909483874
CIFAR10,ConvNetBN,frog-airplane,0.002,50000,5000,100,0.02,product_neg_MRA_low,Product (-M)RA · low first,10,True,,0.659,0.655,0.6275,0.67,0.49330959382250616,0.48700939745715865,0.4573268921095008,0.5037593984962406,0.4794827482748275,0.4596819681968196,0.43762376237623757,0.4935433543354335,0.2608846361087144,0.25195792378223875,0.21705016002612515,0.30166967510364484
CIFAR10,ConvNetBN,frog-airplane,0.005,50000,5000,250,0.05,A,Backbone alignment A,10,True,,0.9843999999999999,0.984,0.981,0.988,0.9693186177542298,0.968503937007874,0.9627142195460862,0.9762845849802372,0.996015859453751,0.996336197379158,0.9954739115825851,0.9967691643066289,0.9960170726613071,0.9963399831938002,0.9954338415344197,0.9967375853974455
CIFAR10,ConvNetBN,frog-airplane,0.005,50000,5000,250,0.05,beta0,GRAFT (\beta=0),10,True,,0.12840000000000001,0.118,0.105,0.147,0.06881320113405301,0.06271005746087963,0.05540985361415153,0.07933175690772325,0.0009207699323189135,-0.016945039120625928,-0.054148898382374105,0.023749243987903804,-0.6268101080720173,-0.6364545970385245,-0.6564677068645748,-0.6160879356385904
CIFAR10,ConvNetBN,frog-airplane,0.005,50000,5000,250,0.05,beta1,GRAFT+ (\beta=1),10,True,,0.6876,0.692,0.685,0.706,0.5244583488711658,0.5290519877675841,0.520915190154941,0.5456060966896881,0.7924887630202082,0.792949647194355,0.7724441031056497,0.8059843517496279,0.5428755502599871,0.5461781168058261,0.5126505048966166,0.5764594231601243
CIFAR10,ConvNetBN,frog-airplane,0.005,50000,5000,250,0.05,product_neg_MRA_high,Product (-M)RA · high first,10,True,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5707968703499255,-0.5634933038928622,-0.5893684058944942,-0.5193617817885086,-0.8808854220915604,-0.8811017541284203,-0.8963742878949651,-0.8698011619207422
CIFAR10,ConvNetBN,frog-airplane,0.005,50000,5000,250,0.05,product_neg_MRA_low,Product (-M)RA · low first,10,True,,0.7527999999999999,0.752,0.735,0.756,0.6044855279620378,0.6025641025641025,0.5810544716590649,0.6077170418006431,0.5707968703499255,0.5634933038928622,0.5193617817885086,0.5893684058944942,0.45934634923731965,0.4551465120560998,0.4257356526455458,0.46400175030916074
CIFAR10,ConvNetBN,frog-airplane,0.01,50000,5000,500,0.1,A,Backbone alignment A,10,True,,0.9856,0.985,0.984,0.989,0.9716376637747952,0.9704452623895385,0.968503937007874,0.9782451617942859,0.9962384745538981,0.9958752955011819,0.9952383089532357,0.9975619982479929,0.9961754185425876,0.9957818851595202,0.9951994140949543,0.997531509013873
CIFAR10,ConvNetBN,frog-airplane,0.01,50000,5000,500,0.1,beta0,GRAFT (\beta=0),10,True,,0.22880000000000003,0.22,0.206,0.254,0.1298346466409832,0.1236082722818464,0.1148313677423855,0.14549332622787872,0.04120745442981773,0.027139356557426227,0.0006151704606818429,0.06474798699194798,-0.5325013960851253,-0.5406652964984642,-0.5794037247833497,-0.5086283844268726
CIFAR10,ConvNetBN,frog-airplane,0.01,50000,5000,500,0.1,beta1,GRAFT+ (\beta=1),10,True,,0.6408,0.638,0.6255,0.655,0.4717765346064683,0.4684287812041116,0.45507978271940247,0.4870109429036228,0.7433915015660062,0.7429619958479834,0.7313473413893655,0.7568249792999172,0.4355565795663067,0.42978234646163416,0.4136886661131683,0.4632167329448088
CIFAR10,ConvNetBN,frog-airplane,0.01,50000,5000,500,0.1,product_neg_MRA_high,Product (-M)RA · high first,10,True,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6948056400225602,-0.6895858303433213,-0.7129385717542871,-0.6779143916575667,-0.9294880275042651,-0.9341300846966587,-0.9407266939174503,-0.9180267689682966
CIFAR10,ConvNetBN,frog-airplane,0.01,50000,5000,500,0.1,product_neg_MRA_low,Product (-M)RA · low first,10,True,,0.8198000000000001,0.812,0.808,0.83,0.6951042998178797,0.6835016835016835,0.6778523489932886,0.7094612439885881,0.6948056400225602,0.6895858303433213,0.6779143916575667,0.7129385717542871,0.6543692281525846,0.6473754436541581,0.6302237084041452,0.6779796107378355
CIFAR10,ConvNetBN,frog-airplane,0.02,50000,5000,1000,0.2,A,Backbone alignment A,10,True,,0.9882,0.989,0.9875,0.99,0.9766985788748055,0.9782393669634025,0.9753100885325584,0.9801980198019802,0.9971437928428839,0.9974052974052975,0.9966197518674793,0.9982852162852164,0.9971330639222515,0.9974159197806935,0.9965603061756948,0.9982892512577282
CIFAR10,ConvNetBN,frog-airplane,0.02,50000,5000,1000,0.2,beta0,GRAFT (\beta=0),10,True,,0.3811,0.371,0.35375,0.40875,0.2359506982580407,0.22775448678694238,0.21488306542751917,0.2570280090875696,0.07441983481983483,0.06936399936399937,0.04072816672816673,0.10912854712854714,-0.3769075793517692,-0.39540338373871775,-0.428135799880462,-0.341364976889695
CIFAR10,ConvNetBN,frog-airplane,0.02,50000,5000,1000,0.2,beta1,GRAFT+ (\beta=1),10,True,,0.6283,0.631,0.61825,0.63575,0.4582237761730479,0.46092037983929873,0.4474399829817735,0.4660071111684015,0.6759558387558388,0.6696719916719918,0.6644203754203755,0.6825395235395235,0.35333346081954736,0.35197195564544415,0.3355511922439247,0.3757219908297904
CIFAR10,ConvNetBN,frog-airplane,0.02,50000,5000,1000,0.2,product_neg_MRA_high,Product (-M)RA · high first,10,True,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8101494973494974,-0.8081756381756383,-0.8184202524202525,-0.7961727791727792,-0.9605363195779567,-0.9643379065811752,-0.9681523199135595,-0.9561120992963995
CIFAR10,ConvNetBN,frog-airplane,0.02,50000,5000,1000,0.2,product_neg_MRA_low,Product (-M)RA · low first,10,True,,0.8869,0.8845000000000001,0.8785000000000001,0.8955,0.7970382338845239,0.7929212159397205,0.7833269671504965,0.8108018122706917,0.8101494973494974,0.8081756381756383,0.7961727791727792,0.8184202524202525,0.8000396267031686,0.7995987426171947,0.7893064643883156,0.8034513681316406
CIFAR10,ConvNetBN,frog-airplane,0.04,50000,5000,2000,0.4,A,Backbone alignment A,10,True,,0.9914,0.992,0.990375,0.993375,0.9829827550535717,0.9841274723165746,0.9809343353770181,0.9868372954149567,0.9975146137158262,0.9984396761715328,0.9971143541215041,0.998906633695119,0.9975122918450408,0.9984401319306146,0.9971248954111039,0.9989069413726109
CIFAR10,ConvNetBN,frog-airplane,0.04,50000,5000,2000,0.4,beta0,GRAFT (\beta=0),10,True,,0.6165999999999999,0.6092500000000001,0.5958749999999999,0.62675,0.44631477844476164,0.4380897576884678,0.4243925991173273,0.456423410442759,0.14510020460728196,0.14997671024417755,0.08261341465335366,0.18849648587412146,-0.08710682060039944,-0.11653038117264003,-0.12826064235354706,-0.05169907625765724
CIFAR10,ConvNetBN,frog-airplane,0.04,50000,5000,2000,0.4,beta1,GRAFT+ (\beta=1),10,True,,0.70845,0.7095,0.699375,0.7170000000000001,0.5487123202658912,0.5497952796093988,0.5377243396412933,0.5588471633215646,0.6120304096576025,0.6163619628404906,0.5930915127728782,0.6225361567590391,0.39548142899749406,0.39606348233259814,0.37991106374381794,0.41008187607195057
CIFAR10,ConvNetBN,frog-airplane,0.04,50000,5000,2000,0.4,product_neg_MRA_high,Product (-M)RA · high first,10,True,,0.0006500000000000001,0.00025,0.0,0.000875,0.0003253693150153225,0.00012503125781445363,0.0,0.0004377032227041252,-0.9095444305361076,-0.9107018636754658,-0.9149535824883955,-0.9042212774303194,-0.9825457276244771,-0.9844679988889216,-0.9857607261457011,-0.9810180263292989
CIFAR10,ConvNetBN,frog-airplane,0.04,50000,5000,2000,0.4,product_neg_MRA_low,Product (-M)RA · low first,10,True,,0.9425000000000001,0.9432499999999999,0.9357500000000001,0.94875,0.8913454879959228,0.8925961745110681,0.8792604970690433,0.9024973499799214,0.9095444305361076,0.9107018636754658,0.9042212774303194,0.9149535824883955,0.9117015518116061,0.9133416887031705,0.9070415865668627,0.9183466490801164
CIFAR10,ResNet20BN,dog-bird,0.001,50000,5000,50,0.01,A,Backbone alignment A,10,True,,0.9960000000000001,1.0,1.0,1.0,0.9921568627450981,1.0,1.0,1.0,0.9991836734693876,0.9993757503001199,0.9990396158463385,0.9995918367346939,0.9991737002493306,0.9993757503001199,0.999004063163727,0.9995918367346939
CIFAR10,ResNet20BN,dog-bird,0.001,50000,5000,50,0.01,beta0,GRAFT (\beta=0),10,True,,0.014000000000000002,0.02,0.0,0.02,0.0070913213770356625,0.010101010101010102,0.0,0.010101010101010102,-0.020004801920768304,-0.014165666266506602,-0.09133253301320529,0.055174069627851145,-0.7394860255644752,-0.736542980828695,-0.7564836483648364,-0.7233254913961835
CIFAR10,ResNet20BN,dog-bird,0.001,50000,5000,50,0.01,beta1,GRAFT+ (\beta=1),10,True,,0.75,0.73,0.72,0.78,0.6011823445225085,0.5749007936507937,0.5625,0.639344262295082,0.7300840336134453,0.7303241296518607,0.701032412965186,0.7871548619447778,0.603520887195844,0.6182004041701292,0.5799715364056154,0.6300286118091412
CIFAR10,ResNet20BN,dog-bird,0.001,50000,5000,50,0.01,product_neg_MRA_high,Product (-M)RA · high first,10,True,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.46947418967587035,-0.4495078031212485,-0.5609363745498199,-0.42554621848739493,-0.8713114659405677,-0.864008593389483,-0.8798984886838264,-0.8586944538042494
CIFAR10,ResNet20BN,dog-bird,0.001,50000,5000,50,0.01,product_neg_MRA_low,Product (-M)RA · low first,10,True,,0.604,0.59,0.58,0.635,0.4346601401551822,0.4185110663983903,0.4084507042253521,0.4652600170502984,0.46947418967587035,0.4495078031212485,0.42554621848739493,0.5609363745498199,0.13287103759320526,0.10232853009955752,0.035820508340515214,0.24862708270855627
CIFAR10,ResNet20BN,dog-bird,0.002,50000,5000,100,0.02,A,Backbone alignment A,10,True,,0.9960000000000001,1.0,0.9924999999999999,1.0,0.9921180353329451,1.0,0.9851485148514851,1.0,0.9995559555955594,0.9996039603960395,0.9993579357935793,0.9997089708970897,0.9995474810759202,0.9996039603960395,0.9993596124318314,0.999693696953933
CIFAR10,ResNet20BN,dog-bird,0.002,50000,5000,100,0.02,beta0,GRAFT (\beta=0),10,True,,0.027000000000000003,0.03,0.02,0.03,0.013721516594838973,0.015228426395939087,0.010101010101010102,0.015228426395939087,-0.059963996399639966,-0.05975997599759975,-0.09925292529252926,-0.0007140714071407137,-0.7434233213446476,-0.7417941673055167,-0.7572977336536431,-0.7351171516555178
CIFAR10,ResNet20BN,dog-bird,0.002,50000,5000,100,0.02,beta1,GRAFT+ (\beta=1),10,True,,0.726,0.735,0.6975,0.7575000000000001,0.5709286842263894,0.5810523684539433,0.5356631679389313,0.6096774193548387,0.7619861986198619,0.7658985898589858,0.7542784278427842,0.7799339933993398,0.5855758325026141,0.5758270879575976,0.5524500724376303,0.6233238133754867
CIFAR10,ResNet20BN,dog-bird,0.002,50000,5000,100,0.02,product_neg_MRA_high,Product (-M)RA · high first,10,True,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5685232523252324,-0.5676207620762075,-0.6034263426342633,-0.5344674467446744,-0.8815867355955304,-0.8776448949555525,-0.8879497371420608,-0.8732149528540706
CIFAR10,ResNet20BN,dog-bird,0.002,50000,5000,100,0.02,product_neg_MRA_low,Product (-M)RA · low first,10,True,,0.636,0.63,0.605,0.6775,0.4677655594223018,0.4599317988064791,0.43374741200828154,0.5126852267624606,0.5685232523252324,0.5676207620762075,0.5344674467446744,0.6034263426342633,0.28135831552117213,0.253549448976671,0.2447551988804094,0.34334925681455064
CIFAR10,ResNet20BN,dog-bird,0.005,50000,5000,250,0.05,A,Backbone alignment A,10,True,,0.998,1.0,0.996,1.0,0.9960222601656865,1.0,0.9920318725099602,1.0,0.9998162146594346,0.9998248931982912,0.9997901406422502,0.9998498535976577,0.9998133429143335,0.9998136750944651,0.9997901406422502,0.99984804785448
CIFAR10,ResNet20BN,dog-bird,0.005,50000,5000,250,0.05,beta0,GRAFT (\beta=0),10,True,,0.068,0.056,0.052,0.076,0.03539619151368326,0.02880658436213992,0.026694045174537988,0.0395010395010395,-0.05822577641242259,-0.05950213603417655,-0.08358546536744588,-0.03839274228387654,-0.7026050999454425,-0.7093783765861326,-0.7181170424884766,-0.6909572575288343
