dataset,model,class_pair,target_idx,selector,selector_label,poison_rho,train_set_size,candidate_count,requested_m,candidate_fraction,budget_valid,invalid_reason,overlap,overlap_at_m,jaccard_at_m,spearman_exact_top_m,spearman_selected_union,random_expected_overlap_at_m
CIFAR10,ConvNetBN,dog-bird,843,beta0,GRAFT (\beta=0),0.005,50000,5000,250,0.05,True,,40,0.16,0.08695652173913043,0.08843392694283109,-0.5929633924052818,0.05
CIFAR10,ConvNetBN,dog-bird,843,beta1,GRAFT+ (\beta=1),0.005,50000,5000,250,0.05,True,,182,0.728,0.5723270440251572,0.7783040368645897,0.5635279957025995,0.05
CIFAR10,ConvNetBN,dog-bird,843,A,Backbone alignment A,0.005,50000,5000,250,0.05,True,,243,0.972,0.9455252918287937,0.9937107473719579,0.9933695197267215,0.05
CIFAR10,ConvNetBN,dog-bird,843,product_neg_MRA_high,Product (-M)RA · high first,0.005,50000,5000,250,0.05,True,,0,0.0,0.0,-0.5370537128594057,-0.9169723447490449,0.05
CIFAR10,ConvNetBN,dog-bird,843,product_neg_MRA_low,Product (-M)RA · low first,0.005,50000,5000,250,0.05,True,,175,0.7,0.5384615384615384,0.5370537128594057,0.37779945117368435,0.05
CIFAR10,ConvNetBN,dog-bird,843,beta0,GRAFT (\beta=0),0.01,50000,5000,500,0.1,True,,104,0.208,0.11607142857142858,0.12626709706838826,-0.5198314346571572,0.1
CIFAR10,ConvNetBN,dog-bird,843,beta1,GRAFT+ (\beta=1),0.01,50000,5000,500,0.1,True,,347,0.694,0.5313935681470138,0.750131928527714,0.5113894756965937,0.1
CIFAR10,ConvNetBN,dog-bird,843,A,Backbone alignment A,0.01,50000,5000,500,0.1,True,,493,0.986,0.9723865877712031,0.9967692990771962,0.9967283526259642,0.1
CIFAR10,ConvNetBN,dog-bird,843,product_neg_MRA_high,Product (-M)RA · high first,0.01,50000,5000,500,0.1,True,,0,0.0,0.0,-0.6397459829839319,-0.9410739974798057,0.1
CIFAR10,ConvNetBN,dog-bird,843,product_neg_MRA_low,Product (-M)RA · low first,0.01,50000,5000,500,0.1,True,,394,0.788,0.6501650165016502,0.6397459829839319,0.5548561116408182,0.1
CIFAR10,ConvNetBN,dog-bird,843,beta0,GRAFT (\beta=0),0.02,50000,5000,1000,0.2,True,,353,0.353,0.2143290831815422,0.12422064422064423,-0.3885098425956957,0.2
CIFAR10,ConvNetBN,dog-bird,843,beta1,GRAFT+ (\beta=1),0.02,50000,5000,1000,0.2,True,,685,0.685,0.5209125475285171,0.714987402987403,0.4843934268570746,0.2
CIFAR10,ConvNetBN,dog-bird,843,A,Backbone alignment A,0.02,50000,5000,1000,0.2,True,,983,0.983,0.9665683382497542,0.9976439536439538,0.9975002597657193,0.2
CIFAR10,ConvNetBN,dog-bird,843,product_neg_MRA_high,Product (-M)RA · high first,0.02,50000,5000,1000,0.2,True,,0,0.0,0.0,-0.7456519936519937,-0.9621422906247632,0.2
CIFAR10,ConvNetBN,dog-bird,843,product_neg_MRA_low,Product (-M)RA · low first,0.02,50000,5000,1000,0.2,True,,855,0.855,0.7467248908296943,0.7456519936519937,0.7201569721346123,0.2
CIFAR10,ConvNetBN,dog-bird,843,beta0,GRAFT (\beta=0),0.04,50000,5000,2000,0.4,True,,1170,0.585,0.4134275618374558,0.1302115780528945,-0.13711889719005974,0.4
CIFAR10,ConvNetBN,dog-bird,843,beta1,GRAFT+ (\beta=1),0.04,50000,5000,2000,0.4,True,,1462,0.731,0.5760441292356187,0.6697518879379719,0.4835296307916651,0.4
CIFAR10,ConvNetBN,dog-bird,843,A,Backbone alignment A,0.04,50000,5000,2000,0.4,True,,1986,0.993,0.9860973187686196,0.9988176877044219,0.9988104069331353,0.4
CIFAR10,ConvNetBN,dog-bird,843,product_neg_MRA_high,Product (-M)RA · high first,0.04,50000,5000,2000,0.4,True,,3,0.0015,0.0007505629221916438,-0.8659884139971035,-0.9791537973707223,0.4
CIFAR10,ConvNetBN,dog-bird,843,product_neg_MRA_low,Product (-M)RA · low first,0.04,50000,5000,2000,0.4,True,,1868,0.934,0.8761726078799249,0.8659884139971035,0.8685209481732789,0.4
CIFAR10,ConvNetBN,dog-bird,1257,beta0,GRAFT (\beta=0),0.001,50000,5000,50,0.01,True,,5,0.1,0.05263157894736842,-0.053061224489795916,-0.6764137737961926,0.01
CIFAR10,ConvNetBN,dog-bird,1257,beta1,GRAFT+ (\beta=1),0.001,50000,5000,50,0.01,True,,35,0.7,0.5384615384615384,0.6887394957983193,0.5098339160839161,0.01
CIFAR10,ConvNetBN,dog-bird,1257,A,Backbone alignment A,0.001,50000,5000,50,0.01,True,,47,0.94,0.8867924528301887,0.9874189675870347,0.9838735687792292,0.01
CIFAR10,ConvNetBN,dog-bird,1257,product_neg_MRA_high,Product (-M)RA · high first,0.001,50000,5000,50,0.01,True,,0,0.0,0.0,-0.05997599039615846,-0.7791352752941271,0.01
CIFAR10,ConvNetBN,dog-bird,1257,product_neg_MRA_low,Product (-M)RA · low first,0.001,50000,5000,50,0.01,True,,22,0.44,0.28205128205128205,0.05997599039615846,-0.1211067413599059,0.01
CIFAR10,ConvNetBN,dog-bird,1257,beta0,GRAFT (\beta=0),0.002,50000,5000,100,0.02,True,,12,0.12,0.06382978723404255,-0.0011041104110411039,-0.633407199114333,0.02
CIFAR10,ConvNetBN,dog-bird,1257,beta1,GRAFT+ (\beta=1),0.002,50000,5000,100,0.02,True,,76,0.76,0.6129032258064516,0.7264206420642063,0.5622344610542879,0.02
CIFAR10,ConvNetBN,dog-bird,1257,A,Backbone alignment A,0.002,50000,5000,100,0.02,True,,98,0.98,0.9607843137254902,0.9933753375337532,0.9935086598322882,0.02
CIFAR10,ConvNetBN,dog-bird,1257,product_neg_MRA_high,Product (-M)RA · high first,0.002,50000,5000,100,0.02,True,,0,0.0,0.0,-0.24177617761776177,-0.8360327311183143,0.02
CIFAR10,ConvNetBN,dog-bird,1257,product_neg_MRA_low,Product (-M)RA · low first,0.002,50000,5000,100,0.02,True,,58,0.58,0.4084507042253521,0.24177617761776177,0.04538434295701302,0.02
CIFAR10,ConvNetBN,dog-bird,1257,beta0,GRAFT (\beta=0),0.005,50000,5000,250,0.05,True,,38,0.152,0.08225108225108226,0.061655642490279834,-0.5639357714103664,0.05
CIFAR10,ConvNetBN,dog-bird,1257,beta1,GRAFT+ (\beta=1),0.005,50000,5000,250,0.05,True,,170,0.68,0.5151515151515151,0.7497846685546968,0.5159371193825137,0.05
CIFAR10,ConvNetBN,dog-bird,1257,A,Backbone alignment A,0.005,50000,5000,250,0.05,True,,245,0.98,0.9607843137254902,0.9950639850237604,0.9951634147753591,0.05
CIFAR10,ConvNetBN,dog-bird,1257,product_neg_MRA_high,Product (-M)RA · high first,0.005,50000,5000,250,0.05,True,,0,0.0,0.0,-0.5055997695963135,-0.9082525214479393,0.05
CIFAR10,ConvNetBN,dog-bird,1257,product_neg_MRA_low,Product (-M)RA · low first,0.005,50000,5000,250,0.05,True,,172,0.688,0.524390243902439,0.5055997695963135,0.3664140879996682,0.05
CIFAR10,ConvNetBN,dog-bird,1257,beta0,GRAFT (\beta=0),0.01,50000,5000,500,0.1,True,,112,0.224,0.12612612612612611,0.11537825351301403,-0.5148459058480453,0.1
CIFAR10,ConvNetBN,dog-bird,1257,beta1,GRAFT+ (\beta=1),0.01,50000,5000,500,0.1,True,,348,0.696,0.5337423312883436,0.748003984015936,0.4713284859768882,0.1
CIFAR10,ConvNetBN,dog-bird,1257,A,Backbone alignment A,0.01,50000,5000,500,0.1,True,,492,0.984,0.968503937007874,0.9962209448837794,0.9962035456092163,0.1
CIFAR10,ConvNetBN,dog-bird,1257,product_neg_MRA_high,Product (-M)RA · high first,0.01,50000,5000,500,0.1,True,,0,0.0,0.0,-0.6192797571190284,-0.9368513157698348,0.1
