dataset,model,class_pair,targets,candidates_per_target,median_backbone_abs_share,median_classifier_weight_abs_share,median_classifier_bias_abs_share,median_spearman_neg_M_vs_exact,q25_spearman_neg_M_vs_exact,q75_spearman_neg_M_vs_exact,median_spearman_R_vs_exact,q25_spearman_R_vs_exact,q75_spearman_R_vs_exact,median_spearman_A_vs_exact,q25_spearman_A_vs_exact,q75_spearman_A_vs_exact,median_spearman_head_vs_exact,q25_spearman_head_vs_exact,q75_spearman_head_vs_exact,median_spearman_beta0_vs_exact,q25_spearman_beta0_vs_exact,q75_spearman_beta0_vs_exact,median_spearman_beta1_vs_exact,q25_spearman_beta1_vs_exact,q75_spearman_beta1_vs_exact
CIFAR10,ConvNetBN,dog-bird,10,5000,0.8958245007173056,0.1020437864212167,0.002109630045701023,0.8659792338247362,0.8626414057430628,0.872547548075784,-0.07905352293306894,-0.12961448690578475,-0.05457454837317381,0.9987884117574792,0.9982900479481014,0.9993800012895703,0.9787916485756658,0.9749509115740362,0.9823207725408307,0.5361217982833724,0.52099525265581,0.5628372614414904,0.7761927964717117,0.7681477740299109,0.7817256933330275
CIFAR10,ConvNetBN,frog-airplane,10,5000,0.9153163412399101,0.08309001155114526,0.00160281581860957,0.9100373175054925,0.9044802528089175,0.9128459666978386,-0.21130710384690676,-0.26014561491831156,-0.12029342418144544,0.9982503751858857,0.9964419364047293,0.9986275630262631,0.9831520425858666,0.9702596859798283,0.9866476072899042,0.5652701538575655,0.5522780852991234,0.6037384925730584,0.7394221669528867,0.7345817427444892,0.7520802166687492
CIFAR10,ResNet20BN,dog-bird,10,5000,0.9896612817160203,0.009955820209770315,0.00038200609869851437,0.9034008133770773,0.902042616572065,0.9081374123228824,-0.5071960859777767,-0.5762658026339507,-0.4418050315974078,0.9999703747781491,0.9999689947537596,0.9999711148267622,0.9906423316096932,0.9901145161005804,0.9915455528778221,0.36487349078693954,0.31818462298338485,0.4107069884476755,0.7694318896412755,0.7675987579039502,0.7714707322693446
CIFAR10,ResNet20BN,frog-airplane,10,5000,0.9910232848947647,0.008558714450773316,0.0003577847451542274,0.908050061444898,0.9060869558249218,0.908282352691294,-0.49889390563786606,-0.5209698039291966,-0.44569081785306475,0.9998489501428314,0.9997859244867081,0.9998524965217443,0.9906500150298897,0.9857110270941807,0.9936969801398792,0.4347686410384839,0.41099679230387165,0.45250606744295524,0.736278450923973,0.729937878157515,0.7388666473635129
CIFAR10,VGG13BN,dog-bird,10,5000,0.9843944623211368,0.014719404772657589,0.0009915312758885485,0.8587923648043057,0.8512359743418686,0.869257722248365,-0.47109841304000033,-0.5061716853122165,-0.3786082804720606,0.9996901448509903,0.9995077846383689,0.9998328892506554,0.944171527346295,0.9260032054641282,0.9627600009503999,0.457982376271295,0.43497826350685154,0.48552482330899294,0.7481037976041518,0.74510068831391,0.7593043945801757
CIFAR10,VGG13BN,frog-airplane,10,5000,0.9827061863768496,0.016384934362156153,0.0010706513562363906,0.8601097655680211,0.7415297342247826,0.885677340333606,-0.5959497011758796,-0.6305390179749643,-0.42465364209062273,0.9981461890204437,0.995720791833084,0.9985256727843648,0.9174270255241483,0.7887348833468143,0.9500212576408501,0.35994097890963905,0.3283535851540954,0.3721360580641647,0.6166733891949355,0.603848439101311,0.6337796637671864
CIFAR100,ResNet18BN,sea-willow_tree,10,500,0.9577563199130976,0.04167119992703535,0.0005882551414104986,0.9173269173076692,0.9124299377197507,0.9281257125028499,0.1340870003480014,0.11264980259921038,0.1804821619286477,0.9998724754846848,0.9998105312307549,0.9999304057170356,0.968752979011916,0.9627330109320436,0.9772702050808202,0.6760965283861136,0.6640534242136968,0.6907241548966195,0.8515784623138491,0.8425962583850335,0.8652694130776524
SVHN,ConvNetBN,9-2,10,4659,0.8453806168344806,0.14466639159454392,0.009574654820001163,0.8234282246008736,0.7996802544240871,0.8486785116746458,-0.36981650787346354,-0.4394203577648734,-0.3197734703833778,0.9612699471967009,0.9567401255379229,0.9672599289252168,0.8501312459027994,0.8263902248352318,0.8785298659284394,0.467875587909643,0.45138923459557573,0.492837791906369,0.6347368590330826,0.6208877389589021,0.6429352117013923
