dataset,model,class_pair,target_idx,selector,selector_label,fraction,candidate_count,k,overlap,overlap_at_k,random_expected_overlap_at_k
CIFAR10,ConvNetBN,dog-bird,4427,A,Backbone alignment A,0.1,5000,500,490,0.98,0.1
CIFAR10,ConvNetBN,dog-bird,4427,beta0,GRAFT (\beta=0),0.2,5000,1000,353,0.353,0.2
CIFAR10,ConvNetBN,dog-bird,4427,beta1,GRAFT+ (\beta=1),0.2,5000,1000,669,0.669,0.2
CIFAR10,ConvNetBN,dog-bird,4427,A,Backbone alignment A,0.2,5000,1000,985,0.985,0.2
CIFAR10,ConvNetBN,frog-airplane,496,beta0,GRAFT (\beta=0),0.001,5000,5,0,0.0,0.001
CIFAR10,ConvNetBN,frog-airplane,496,beta1,GRAFT+ (\beta=1),0.001,5000,5,5,1.0,0.001
CIFAR10,ConvNetBN,frog-airplane,496,A,Backbone alignment A,0.001,5000,5,5,1.0,0.001
CIFAR10,ConvNetBN,frog-airplane,496,beta0,GRAFT (\beta=0),0.002,5000,10,0,0.0,0.002
CIFAR10,ConvNetBN,frog-airplane,496,beta1,GRAFT+ (\beta=1),0.002,5000,10,8,0.8,0.002
CIFAR10,ConvNetBN,frog-airplane,496,A,Backbone alignment A,0.002,5000,10,10,1.0,0.002
CIFAR10,ConvNetBN,frog-airplane,496,beta0,GRAFT (\beta=0),0.005,5000,25,0,0.0,0.005
CIFAR10,ConvNetBN,frog-airplane,496,beta1,GRAFT+ (\beta=1),0.005,5000,25,20,0.8,0.005
CIFAR10,ConvNetBN,frog-airplane,496,A,Backbone alignment A,0.005,5000,25,24,0.96,0.005
CIFAR10,ConvNetBN,frog-airplane,496,beta0,GRAFT (\beta=0),0.01,5000,50,2,0.04,0.01
CIFAR10,ConvNetBN,frog-airplane,496,beta1,GRAFT+ (\beta=1),0.01,5000,50,39,0.78,0.01
CIFAR10,ConvNetBN,frog-airplane,496,A,Backbone alignment A,0.01,5000,50,48,0.96,0.01
CIFAR10,ConvNetBN,frog-airplane,496,beta0,GRAFT (\beta=0),0.02,5000,100,9,0.09,0.02
CIFAR10,ConvNetBN,frog-airplane,496,beta1,GRAFT+ (\beta=1),0.02,5000,100,73,0.73,0.02
CIFAR10,ConvNetBN,frog-airplane,496,A,Backbone alignment A,0.02,5000,100,98,0.98,0.02
CIFAR10,ConvNetBN,frog-airplane,496,beta0,GRAFT (\beta=0),0.05,5000,250,26,0.104,0.05
CIFAR10,ConvNetBN,frog-airplane,496,beta1,GRAFT+ (\beta=1),0.05,5000,250,172,0.688,0.05
CIFAR10,ConvNetBN,frog-airplane,496,A,Backbone alignment A,0.05,5000,250,246,0.984,0.05
CIFAR10,ConvNetBN,frog-airplane,496,beta0,GRAFT (\beta=0),0.1,5000,500,102,0.204,0.1
CIFAR10,ConvNetBN,frog-airplane,496,beta1,GRAFT+ (\beta=1),0.1,5000,500,329,0.658,0.1
CIFAR10,ConvNetBN,frog-airplane,496,A,Backbone alignment A,0.1,5000,500,493,0.986,0.1
CIFAR10,ConvNetBN,frog-airplane,496,beta0,GRAFT (\beta=0),0.2,5000,1000,353,0.353,0.2
CIFAR10,ConvNetBN,frog-airplane,496,beta1,GRAFT+ (\beta=1),0.2,5000,1000,631,0.631,0.2
CIFAR10,ConvNetBN,frog-airplane,496,A,Backbone alignment A,0.2,5000,1000,991,0.991,0.2
CIFAR10,ConvNetBN,frog-airplane,2087,beta0,GRAFT (\beta=0),0.001,5000,5,0,0.0,0.001
CIFAR10,ConvNetBN,frog-airplane,2087,beta1,GRAFT+ (\beta=1),0.001,5000,5,4,0.8,0.001
CIFAR10,ConvNetBN,frog-airplane,2087,A,Backbone alignment A,0.001,5000,5,5,1.0,0.001
CIFAR10,ConvNetBN,frog-airplane,2087,beta0,GRAFT (\beta=0),0.002,5000,10,0,0.0,0.002
CIFAR10,ConvNetBN,frog-airplane,2087,beta1,GRAFT+ (\beta=1),0.002,5000,10,9,0.9,0.002
CIFAR10,ConvNetBN,frog-airplane,2087,A,Backbone alignment A,0.002,5000,10,10,1.0,0.002
CIFAR10,ConvNetBN,frog-airplane,2087,beta0,GRAFT (\beta=0),0.005,5000,25,0,0.0,0.005
CIFAR10,ConvNetBN,frog-airplane,2087,beta1,GRAFT+ (\beta=1),0.005,5000,25,19,0.76,0.005
CIFAR10,ConvNetBN,frog-airplane,2087,A,Backbone alignment A,0.005,5000,25,25,1.0,0.005
CIFAR10,ConvNetBN,frog-airplane,2087,beta0,GRAFT (\beta=0),0.01,5000,50,2,0.04,0.01
CIFAR10,ConvNetBN,frog-airplane,2087,beta1,GRAFT+ (\beta=1),0.01,5000,50,42,0.84,0.01
CIFAR10,ConvNetBN,frog-airplane,2087,A,Backbone alignment A,0.01,5000,50,49,0.98,0.01
CIFAR10,ConvNetBN,frog-airplane,2087,beta0,GRAFT (\beta=0),0.02,5000,100,10,0.1,0.02
CIFAR10,ConvNetBN,frog-airplane,2087,beta1,GRAFT+ (\beta=1),0.02,5000,100,77,0.77,0.02
CIFAR10,ConvNetBN,frog-airplane,2087,A,Backbone alignment A,0.02,5000,100,97,0.97,0.02
CIFAR10,ConvNetBN,frog-airplane,2087,beta0,GRAFT (\beta=0),0.05,5000,250,38,0.152,0.05
CIFAR10,ConvNetBN,frog-airplane,2087,beta1,GRAFT+ (\beta=1),0.05,5000,250,179,0.716,0.05
CIFAR10,ConvNetBN,frog-airplane,2087,A,Backbone alignment A,0.05,5000,250,248,0.992,0.05
CIFAR10,ConvNetBN,frog-airplane,2087,beta0,GRAFT (\beta=0),0.1,5000,500,129,0.258,0.1
CIFAR10,ConvNetBN,frog-airplane,2087,beta1,GRAFT+ (\beta=1),0.1,5000,500,331,0.662,0.1
CIFAR10,ConvNetBN,frog-airplane,2087,A,Backbone alignment A,0.1,5000,500,495,0.99,0.1
CIFAR10,ConvNetBN,frog-airplane,2087,beta0,GRAFT (\beta=0),0.2,5000,1000,419,0.419,0.2
CIFAR10,ConvNetBN,frog-airplane,2087,beta1,GRAFT+ (\beta=1),0.2,5000,1000,635,0.635,0.2
CIFAR10,ConvNetBN,frog-airplane,2087,A,Backbone alignment A,0.2,5000,1000,989,0.989,0.2
CIFAR10,ConvNetBN,frog-airplane,8941,beta0,GRAFT (\beta=0),0.001,5000,5,0,0.0,0.001
CIFAR10,ConvNetBN,frog-airplane,8941,beta1,GRAFT+ (\beta=1),0.001,5000,5,4,0.8,0.001
CIFAR10,ConvNetBN,frog-airplane,8941,A,Backbone alignment A,0.001,5000,5,5,1.0,0.001
CIFAR10,ConvNetBN,frog-airplane,8941,beta0,GRAFT (\beta=0),0.002,5000,10,0,0.0,0.002
CIFAR10,ConvNetBN,frog-airplane,8941,beta1,GRAFT+ (\beta=1),0.002,5000,10,9,0.9,0.002
CIFAR10,ConvNetBN,frog-airplane,8941,A,Backbone alignment A,0.002,5000,10,10,1.0,0.002
CIFAR10,ConvNetBN,frog-airplane,8941,beta0,GRAFT (\beta=0),0.005,5000,25,0,0.0,0.005
CIFAR10,ConvNetBN,frog-airplane,8941,beta1,GRAFT+ (\beta=1),0.005,5000,25,21,0.84,0.005
CIFAR10,ConvNetBN,frog-airplane,8941,A,Backbone alignment A,0.005,5000,25,23,0.92,0.005
CIFAR10,ConvNetBN,frog-airplane,8941,beta0,GRAFT (\beta=0),0.01,5000,50,1,0.02,0.01
CIFAR10,ConvNetBN,frog-airplane,8941,beta1,GRAFT+ (\beta=1),0.01,5000,50,41,0.82,0.01
CIFAR10,ConvNetBN,frog-airplane,8941,A,Backbone alignment A,0.01,5000,50,50,1.0,0.01
CIFAR10,ConvNetBN,frog-airplane,8941,beta0,GRAFT (\beta=0),0.02,5000,100,7,0.07,0.02
CIFAR10,ConvNetBN,frog-airplane,8941,beta1,GRAFT+ (\beta=1),0.02,5000,100,76,0.76,0.02
CIFAR10,ConvNetBN,frog-airplane,8941,A,Backbone alignment A,0.02,5000,100,99,0.99,0.02
CIFAR10,ConvNetBN,frog-airplane,8941,beta0,GRAFT (\beta=0),0.05,5000,250,37,0.148,0.05
CIFAR10,ConvNetBN,frog-airplane,8941,beta1,GRAFT+ (\beta=1),0.05,5000,250,171,0.684,0.05
CIFAR10,ConvNetBN,frog-airplane,8941,A,Backbone alignment A,0.05,5000,250,246,0.984,0.05
CIFAR10,ConvNetBN,frog-airplane,8941,beta0,GRAFT (\beta=0),0.1,5000,500,137,0.274,0.1
CIFAR10,ConvNetBN,frog-airplane,8941,beta1,GRAFT+ (\beta=1),0.1,5000,500,323,0.646,0.1
CIFAR10,ConvNetBN,frog-airplane,8941,A,Backbone alignment A,0.1,5000,500,490,0.98,0.1
CIFAR10,ConvNetBN,frog-airplane,8941,beta0,GRAFT (\beta=0),0.2,5000,1000,421,0.421,0.2
CIFAR10,ConvNetBN,frog-airplane,8941,beta1,GRAFT+ (\beta=1),0.2,5000,1000,640,0.64,0.2
CIFAR10,ConvNetBN,frog-airplane,8941,A,Backbone alignment A,0.2,5000,1000,990,0.99,0.2
CIFAR10,ConvNetBN,frog-airplane,9820,beta0,GRAFT (\beta=0),0.001,5000,5,0,0.0,0.001
CIFAR10,ConvNetBN,frog-airplane,9820,beta1,GRAFT+ (\beta=1),0.001,5000,5,4,0.8,0.001
CIFAR10,ConvNetBN,frog-airplane,9820,A,Backbone alignment A,0.001,5000,5,5,1.0,0.001
CIFAR10,ConvNetBN,frog-airplane,9820,beta0,GRAFT (\beta=0),0.002,5000,10,0,0.0,0.002
CIFAR10,ConvNetBN,frog-airplane,9820,beta1,GRAFT+ (\beta=1),0.002,5000,10,9,0.9,0.002
CIFAR10,ConvNetBN,frog-airplane,9820,A,Backbone alignment A,0.002,5000,10,10,1.0,0.002
CIFAR10,ConvNetBN,frog-airplane,9820,beta0,GRAFT (\beta=0),0.005,5000,25,2,0.08,0.005
CIFAR10,ConvNetBN,frog-airplane,9820,beta1,GRAFT+ (\beta=1),0.005,5000,25,17,0.68,0.005
CIFAR10,ConvNetBN,frog-airplane,9820,A,Backbone alignment A,0.005,5000,25,24,0.96,0.005
CIFAR10,ConvNetBN,frog-airplane,9820,beta0,GRAFT (\beta=0),0.01,5000,50,2,0.04,0.01
CIFAR10,ConvNetBN,frog-airplane,9820,beta1,GRAFT+ (\beta=1),0.01,5000,50,42,0.84,0.01
CIFAR10,ConvNetBN,frog-airplane,9820,A,Backbone alignment A,0.01,5000,50,49,0.98,0.01
CIFAR10,ConvNetBN,frog-airplane,9820,beta0,GRAFT (\beta=0),0.02,5000,100,8,0.08,0.02
CIFAR10,ConvNetBN,frog-airplane,9820,beta1,GRAFT+ (\beta=1),0.02,5000,100,80,0.8,0.02
CIFAR10,ConvNetBN,frog-airplane,9820,A,Backbone alignment A,0.02,5000,100,98,0.98,0.02
CIFAR10,ConvNetBN,frog-airplane,9820,beta0,GRAFT (\beta=0),0.05,5000,250,26,0.104,0.05
CIFAR10,ConvNetBN,frog-airplane,9820,beta1,GRAFT+ (\beta=1),0.05,5000,250,173,0.692,0.05
CIFAR10,ConvNetBN,frog-airplane,9820,A,Backbone alignment A,0.05,5000,250,247,0.988,0.05
CIFAR10,ConvNetBN,frog-airplane,9820,beta0,GRAFT (\beta=0),0.1,5000,500,82,0.164,0.1
CIFAR10,ConvNetBN,frog-airplane,9820,beta1,GRAFT+ (\beta=1),0.1,5000,500,319,0.638,0.1
CIFAR10,ConvNetBN,frog-airplane,9820,A,Backbone alignment A,0.1,5000,500,495,0.99,0.1
CIFAR10,ConvNetBN,frog-airplane,9820,beta0,GRAFT (\beta=0),0.2,5000,1000,356,0.356,0.2
CIFAR10,ConvNetBN,frog-airplane,9820,beta1,GRAFT+ (\beta=1),0.2,5000,1000,636,0.636,0.2
CIFAR10,ConvNetBN,frog-airplane,9820,A,Backbone alignment A,0.2,5000,1000,992,0.992,0.2
CIFAR10,ConvNetBN,frog-airplane,3825,beta0,GRAFT (\beta=0),0.001,5000,5,0,0.0,0.001
CIFAR10,ConvNetBN,frog-airplane,3825,beta1,GRAFT+ (\beta=1),0.001,5000,5,4,0.8,0.001
CIFAR10,ConvNetBN,frog-airplane,3825,A,Backbone alignment A,0.001,5000,5,5,1.0,0.001
CIFAR10,ConvNetBN,frog-airplane,3825,beta0,GRAFT (\beta=0),0.002,5000,10,1,0.1,0.002
CIFAR10,ConvNetBN,frog-airplane,3825,beta1,GRAFT+ (\beta=1),0.002,5000,10,8,0.8,0.002
CIFAR10,ConvNetBN,frog-airplane,3825,A,Backbone alignment A,0.002,5000,10,10,1.0,0.002
CIFAR10,ConvNetBN,frog-airplane,3825,beta0,GRAFT (\beta=0),0.005,5000,25,3,0.12,0.005
CIFAR10,ConvNetBN,frog-airplane,3825,beta1,GRAFT+ (\beta=1),0.005,5000,25,19,0.76,0.005
CIFAR10,ConvNetBN,frog-airplane,3825,A,Backbone alignment A,0.005,5000,25,24,0.96,0.005
CIFAR10,ConvNetBN,frog-airplane,3825,beta0,GRAFT (\beta=0),0.01,5000,50,5,0.1,0.01
CIFAR10,ConvNetBN,frog-airplane,3825,beta1,GRAFT+ (\beta=1),0.01,5000,50,40,0.8,0.01
CIFAR10,ConvNetBN,frog-airplane,3825,A,Backbone alignment A,0.01,5000,50,49,0.98,0.01
CIFAR10,ConvNetBN,frog-airplane,3825,beta0,GRAFT (\beta=0),0.02,5000,100,13,0.13,0.02
CIFAR10,ConvNetBN,frog-airplane,3825,beta1,GRAFT+ (\beta=1),0.02,5000,100,81,0.81,0.02
CIFAR10,ConvNetBN,frog-airplane,3825,A,Backbone alignment A,0.02,5000,100,98,0.98,0.02
CIFAR10,ConvNetBN,frog-airplane,3825,beta0,GRAFT (\beta=0),0.05,5000,250,46,0.184,0.05
CIFAR10,ConvNetBN,frog-airplane,3825,beta1,GRAFT+ (\beta=1),0.05,5000,250,157,0.628,0.05
CIFAR10,ConvNetBN,frog-airplane,3825,A,Backbone alignment A,0.05,5000,250,245,0.98,0.05
CIFAR10,ConvNetBN,frog-airplane,3825,beta0,GRAFT (\beta=0),0.1,5000,500,157,0.314,0.1
CIFAR10,ConvNetBN,frog-airplane,3825,beta1,GRAFT+ (\beta=1),0.1,5000,500,305,0.61,0.1
CIFAR10,ConvNetBN,frog-airplane,3825,A,Backbone alignment A,0.1,5000,500,490,0.98,0.1
CIFAR10,ConvNetBN,frog-airplane,3825,beta0,GRAFT (\beta=0),0.2,5000,1000,447,0.447,0.2
CIFAR10,ConvNetBN,frog-airplane,3825,beta1,GRAFT+ (\beta=1),0.2,5000,1000,619,0.619,0.2
CIFAR10,ConvNetBN,frog-airplane,3825,A,Backbone alignment A,0.2,5000,1000,979,0.979,0.2
CIFAR10,ConvNetBN,frog-airplane,1796,beta0,GRAFT (\beta=0),0.001,5000,5,0,0.0,0.001
CIFAR10,ConvNetBN,frog-airplane,1796,beta1,GRAFT+ (\beta=1),0.001,5000,5,5,1.0,0.001
CIFAR10,ConvNetBN,frog-airplane,1796,A,Backbone alignment A,0.001,5000,5,5,1.0,0.001
CIFAR10,ConvNetBN,frog-airplane,1796,beta0,GRAFT (\beta=0),0.002,5000,10,0,0.0,0.002
CIFAR10,ConvNetBN,frog-airplane,1796,beta1,GRAFT+ (\beta=1),0.002,5000,10,7,0.7,0.002
CIFAR10,ConvNetBN,frog-airplane,1796,A,Backbone alignment A,0.002,5000,10,10,1.0,0.002
CIFAR10,ConvNetBN,frog-airplane,1796,beta0,GRAFT (\beta=0),0.005,5000,25,2,0.08,0.005
CIFAR10,ConvNetBN,frog-airplane,1796,beta1,GRAFT+ (\beta=1),0.005,5000,25,22,0.88,0.005
CIFAR10,ConvNetBN,frog-airplane,1796,A,Backbone alignment A,0.005,5000,25,25,1.0,0.005
CIFAR10,ConvNetBN,frog-airplane,1796,beta0,GRAFT (\beta=0),0.01,5000,50,4,0.08,0.01
CIFAR10,ConvNetBN,frog-airplane,1796,beta1,GRAFT+ (\beta=1),0.01,5000,50,39,0.78,0.01
CIFAR10,ConvNetBN,frog-airplane,1796,A,Backbone alignment A,0.01,5000,50,48,0.96,0.01
CIFAR10,ConvNetBN,frog-airplane,1796,beta0,GRAFT (\beta=0),0.02,5000,100,9,0.09,0.02
CIFAR10,ConvNetBN,frog-airplane,1796,beta1,GRAFT+ (\beta=1),0.02,5000,100,77,0.77,0.02
CIFAR10,ConvNetBN,frog-airplane,1796,A,Backbone alignment A,0.02,5000,100,99,0.99,0.02
CIFAR10,ConvNetBN,frog-airplane,1796,beta0,GRAFT (\beta=0),0.05,5000,250,36,0.144,0.05
CIFAR10,ConvNetBN,frog-airplane,1796,beta1,GRAFT+ (\beta=1),0.05,5000,250,175,0.7,0.05
CIFAR10,ConvNetBN,frog-airplane,1796,A,Backbone alignment A,0.05,5000,250,247,0.988,0.05
CIFAR10,ConvNetBN,frog-airplane,1796,beta0,GRAFT (\beta=0),0.1,5000,500,113,0.226,0.1
CIFAR10,ConvNetBN,frog-airplane,1796,beta1,GRAFT+ (\beta=1),0.1,5000,500,312,0.624,0.1
CIFAR10,ConvNetBN,frog-airplane,1796,A,Backbone alignment A,0.1,5000,500,496,0.992,0.1
CIFAR10,ConvNetBN,frog-airplane,1796,beta0,GRAFT (\beta=0),0.2,5000,1000,375,0.375,0.2
CIFAR10,ConvNetBN,frog-airplane,1796,beta1,GRAFT+ (\beta=1),0.2,5000,1000,615,0.615,0.2
CIFAR10,ConvNetBN,frog-airplane,1796,A,Backbone alignment A,0.2,5000,1000,990,0.99,0.2
CIFAR10,ConvNetBN,frog-airplane,2548,beta0,GRAFT (\beta=0),0.001,5000,5,0,0.0,0.001
CIFAR10,ConvNetBN,frog-airplane,2548,beta1,GRAFT+ (\beta=1),0.001,5000,5,5,1.0,0.001
CIFAR10,ConvNetBN,frog-airplane,2548,A,Backbone alignment A,0.001,5000,5,5,1.0,0.001
CIFAR10,ConvNetBN,frog-airplane,2548,beta0,GRAFT (\beta=0),0.002,5000,10,0,0.0,0.002
CIFAR10,ConvNetBN,frog-airplane,2548,beta1,GRAFT+ (\beta=1),0.002,5000,10,8,0.8,0.002
CIFAR10,ConvNetBN,frog-airplane,2548,A,Backbone alignment A,0.002,5000,10,10,1.0,0.002
CIFAR10,ConvNetBN,frog-airplane,2548,beta0,GRAFT (\beta=0),0.005,5000,25,1,0.04,0.005
CIFAR10,ConvNetBN,frog-airplane,2548,beta1,GRAFT+ (\beta=1),0.005,5000,25,21,0.84,0.005
CIFAR10,ConvNetBN,frog-airplane,2548,A,Backbone alignment A,0.005,5000,25,24,0.96,0.005
CIFAR10,ConvNetBN,frog-airplane,2548,beta0,GRAFT (\beta=0),0.01,5000,50,3,0.06,0.01
CIFAR10,ConvNetBN,frog-airplane,2548,beta1,GRAFT+ (\beta=1),0.01,5000,50,43,0.86,0.01
CIFAR10,ConvNetBN,frog-airplane,2548,A,Backbone alignment A,0.01,5000,50,50,1.0,0.01
CIFAR10,ConvNetBN,frog-airplane,2548,beta0,GRAFT (\beta=0),0.02,5000,100,6,0.06,0.02
CIFAR10,ConvNetBN,frog-airplane,2548,beta1,GRAFT+ (\beta=1),0.02,5000,100,81,0.81,0.02
CIFAR10,ConvNetBN,frog-airplane,2548,A,Backbone alignment A,0.02,5000,100,99,0.99,0.02
CIFAR10,ConvNetBN,frog-airplane,2548,beta0,GRAFT (\beta=0),0.05,5000,250,26,0.104,0.05
CIFAR10,ConvNetBN,frog-airplane,2548,beta1,GRAFT+ (\beta=1),0.05,5000,250,177,0.708,0.05
CIFAR10,ConvNetBN,frog-airplane,2548,A,Backbone alignment A,0.05,5000,250,246,0.984,0.05
CIFAR10,ConvNetBN,frog-airplane,2548,beta0,GRAFT (\beta=0),0.1,5000,500,90,0.18,0.1
CIFAR10,ConvNetBN,frog-airplane,2548,beta1,GRAFT+ (\beta=1),0.1,5000,500,311,0.622,0.1
CIFAR10,ConvNetBN,frog-airplane,2548,A,Backbone alignment A,0.1,5000,500,493,0.986,0.1
CIFAR10,ConvNetBN,frog-airplane,2548,beta0,GRAFT (\beta=0),0.2,5000,1000,367,0.367,0.2
CIFAR10,ConvNetBN,frog-airplane,2548,beta1,GRAFT+ (\beta=1),0.2,5000,1000,631,0.631,0.2
CIFAR10,ConvNetBN,frog-airplane,2548,A,Backbone alignment A,0.2,5000,1000,989,0.989,0.2
CIFAR10,ConvNetBN,frog-airplane,6437,beta0,GRAFT (\beta=0),0.001,5000,5,0,0.0,0.001
CIFAR10,ConvNetBN,frog-airplane,6437,beta1,GRAFT+ (\beta=1),0.001,5000,5,5,1.0,0.001
CIFAR10,ConvNetBN,frog-airplane,6437,A,Backbone alignment A,0.001,5000,5,4,0.8,0.001
CIFAR10,ConvNetBN,frog-airplane,6437,beta0,GRAFT (\beta=0),0.002,5000,10,0,0.0,0.002
CIFAR10,ConvNetBN,frog-airplane,6437,beta1,GRAFT+ (\beta=1),0.002,5000,10,8,0.8,0.002
CIFAR10,ConvNetBN,frog-airplane,6437,A,Backbone alignment A,0.002,5000,10,10,1.0,0.002
CIFAR10,ConvNetBN,frog-airplane,6437,beta0,GRAFT (\beta=0),0.005,5000,25,0,0.0,0.005
CIFAR10,ConvNetBN,frog-airplane,6437,beta1,GRAFT+ (\beta=1),0.005,5000,25,22,0.88,0.005
CIFAR10,ConvNetBN,frog-airplane,6437,A,Backbone alignment A,0.005,5000,25,25,1.0,0.005
CIFAR10,ConvNetBN,frog-airplane,6437,beta0,GRAFT (\beta=0),0.01,5000,50,1,0.02,0.01
CIFAR10,ConvNetBN,frog-airplane,6437,beta1,GRAFT+ (\beta=1),0.01,5000,50,44,0.88,0.01
CIFAR10,ConvNetBN,frog-airplane,6437,A,Backbone alignment A,0.01,5000,50,49,0.98,0.01
CIFAR10,ConvNetBN,frog-airplane,6437,beta0,GRAFT (\beta=0),0.02,5000,100,5,0.05,0.02
CIFAR10,ConvNetBN,frog-airplane,6437,beta1,GRAFT+ (\beta=1),0.02,5000,100,78,0.78,0.02
CIFAR10,ConvNetBN,frog-airplane,6437,A,Backbone alignment A,0.02,5000,100,98,0.98,0.02
CIFAR10,ConvNetBN,frog-airplane,6437,beta0,GRAFT (\beta=0),0.05,5000,250,27,0.108,0.05
CIFAR10,ConvNetBN,frog-airplane,6437,beta1,GRAFT+ (\beta=1),0.05,5000,250,177,0.708,0.05
CIFAR10,ConvNetBN,frog-airplane,6437,A,Backbone alignment A,0.05,5000,250,244,0.976,0.05
CIFAR10,ConvNetBN,frog-airplane,6437,beta0,GRAFT (\beta=0),0.1,5000,500,121,0.242,0.1
CIFAR10,ConvNetBN,frog-airplane,6437,beta1,GRAFT+ (\beta=1),0.1,5000,500,340,0.68,0.1
CIFAR10,ConvNetBN,frog-airplane,6437,A,Backbone alignment A,0.1,5000,500,492,0.984,0.1
CIFAR10,ConvNetBN,frog-airplane,6437,beta0,GRAFT (\beta=0),0.2,5000,1000,378,0.378,0.2
CIFAR10,ConvNetBN,frog-airplane,6437,beta1,GRAFT+ (\beta=1),0.2,5000,1000,658,0.658,0.2
CIFAR10,ConvNetBN,frog-airplane,6437,A,Backbone alignment A,0.2,5000,1000,989,0.989,0.2
CIFAR10,ConvNetBN,frog-airplane,3336,beta0,GRAFT (\beta=0),0.001,5000,5,1,0.2,0.001
CIFAR10,ConvNetBN,frog-airplane,3336,beta1,GRAFT+ (\beta=1),0.001,5000,5,5,1.0,0.001
CIFAR10,ConvNetBN,frog-airplane,3336,A,Backbone alignment A,0.001,5000,5,5,1.0,0.001
CIFAR10,ConvNetBN,frog-airplane,3336,beta0,GRAFT (\beta=0),0.002,5000,10,1,0.1,0.002
CIFAR10,ConvNetBN,frog-airplane,3336,beta1,GRAFT+ (\beta=1),0.002,5000,10,10,1.0,0.002
CIFAR10,ConvNetBN,frog-airplane,3336,A,Backbone alignment A,0.002,5000,10,10,1.0,0.002
CIFAR10,ConvNetBN,frog-airplane,3336,beta0,GRAFT (\beta=0),0.005,5000,25,1,0.04,0.005
CIFAR10,ConvNetBN,frog-airplane,3336,beta1,GRAFT+ (\beta=1),0.005,5000,25,22,0.88,0.005
CIFAR10,ConvNetBN,frog-airplane,3336,A,Backbone alignment A,0.005,5000,25,25,1.0,0.005
CIFAR10,ConvNetBN,frog-airplane,3336,beta0,GRAFT (\beta=0),0.01,5000,50,2,0.04,0.01
CIFAR10,ConvNetBN,frog-airplane,3336,beta1,GRAFT+ (\beta=1),0.01,5000,50,39,0.78,0.01
CIFAR10,ConvNetBN,frog-airplane,3336,A,Backbone alignment A,0.01,5000,50,48,0.96,0.01
CIFAR10,ConvNetBN,frog-airplane,3336,beta0,GRAFT (\beta=0),0.02,5000,100,6,0.06,0.02
CIFAR10,ConvNetBN,frog-airplane,3336,beta1,GRAFT+ (\beta=1),0.02,5000,100,82,0.82,0.02
CIFAR10,ConvNetBN,frog-airplane,3336,A,Backbone alignment A,0.02,5000,100,98,0.98,0.02
CIFAR10,ConvNetBN,frog-airplane,3336,beta0,GRAFT (\beta=0),0.05,5000,250,31,0.124,0.05
CIFAR10,ConvNetBN,frog-airplane,3336,beta1,GRAFT+ (\beta=1),0.05,5000,250,173,0.692,0.05
CIFAR10,ConvNetBN,frog-airplane,3336,A,Backbone alignment A,0.05,5000,250,245,0.98,0.05
CIFAR10,ConvNetBN,frog-airplane,3336,beta0,GRAFT (\beta=0),0.1,5000,500,106,0.212,0.1
CIFAR10,ConvNetBN,frog-airplane,3336,beta1,GRAFT+ (\beta=1),0.1,5000,500,319,0.638,0.1
CIFAR10,ConvNetBN,frog-airplane,3336,A,Backbone alignment A,0.1,5000,500,492,0.984,0.1
CIFAR10,ConvNetBN,frog-airplane,3336,beta0,GRAFT (\beta=0),0.2,5000,1000,342,0.342,0.2
CIFAR10,ConvNetBN,frog-airplane,3336,beta1,GRAFT+ (\beta=1),0.2,5000,1000,618,0.618,0.2
CIFAR10,ConvNetBN,frog-airplane,3336,A,Backbone alignment A,0.2,5000,1000,986,0.986,0.2
CIFAR10,ConvNetBN,frog-airplane,2603,beta0,GRAFT (\beta=0),0.001,5000,5,0,0.0,0.001
CIFAR10,ConvNetBN,frog-airplane,2603,beta1,GRAFT+ (\beta=1),0.001,5000,5,4,0.8,0.001
CIFAR10,ConvNetBN,frog-airplane,2603,A,Backbone alignment A,0.001,5000,5,5,1.0,0.001
CIFAR10,ConvNetBN,frog-airplane,2603,beta0,GRAFT (\beta=0),0.002,5000,10,0,0.0,0.002
CIFAR10,ConvNetBN,frog-airplane,2603,beta1,GRAFT+ (\beta=1),0.002,5000,10,9,0.9,0.002
CIFAR10,ConvNetBN,frog-airplane,2603,A,Backbone alignment A,0.002,5000,10,10,1.0,0.002
CIFAR10,ConvNetBN,frog-airplane,2603,beta0,GRAFT (\beta=0),0.005,5000,25,1,0.04,0.005
CIFAR10,ConvNetBN,frog-airplane,2603,beta1,GRAFT+ (\beta=1),0.005,5000,25,19,0.76,0.005
CIFAR10,ConvNetBN,frog-airplane,2603,A,Backbone alignment A,0.005,5000,25,24,0.96,0.005
CIFAR10,ConvNetBN,frog-airplane,2603,beta0,GRAFT (\beta=0),0.01,5000,50,4,0.08,0.01
CIFAR10,ConvNetBN,frog-airplane,2603,beta1,GRAFT+ (\beta=1),0.01,5000,50,44,0.88,0.01
CIFAR10,ConvNetBN,frog-airplane,2603,A,Backbone alignment A,0.01,5000,50,50,1.0,0.01
CIFAR10,ConvNetBN,frog-airplane,2603,beta0,GRAFT (\beta=0),0.02,5000,100,5,0.05,0.02
CIFAR10,ConvNetBN,frog-airplane,2603,beta1,GRAFT+ (\beta=1),0.02,5000,100,76,0.76,0.02
CIFAR10,ConvNetBN,frog-airplane,2603,A,Backbone alignment A,0.02,5000,100,99,0.99,0.02
CIFAR10,ConvNetBN,frog-airplane,2603,beta0,GRAFT (\beta=0),0.05,5000,250,28,0.112,0.05
