dataset,model,class_pair,target_idx,selector,selector_label,fraction,candidate_count,k,overlap,overlap_at_k,random_expected_overlap_at_k
CIFAR10,ConvNetBN,dog-bird,1257,A,Backbone alignment A,0.2,5000,1000,988,0.988,0.2
CIFAR10,ConvNetBN,dog-bird,8252,beta0,GRAFT (\beta=0),0.001,5000,5,0,0.0,0.001
CIFAR10,ConvNetBN,dog-bird,8252,beta1,GRAFT+ (\beta=1),0.001,5000,5,3,0.6,0.001
CIFAR10,ConvNetBN,dog-bird,8252,A,Backbone alignment A,0.001,5000,5,5,1.0,0.001
CIFAR10,ConvNetBN,dog-bird,8252,beta0,GRAFT (\beta=0),0.002,5000,10,0,0.0,0.002
CIFAR10,ConvNetBN,dog-bird,8252,beta1,GRAFT+ (\beta=1),0.002,5000,10,7,0.7,0.002
CIFAR10,ConvNetBN,dog-bird,8252,A,Backbone alignment A,0.002,5000,10,10,1.0,0.002
CIFAR10,ConvNetBN,dog-bird,8252,beta0,GRAFT (\beta=0),0.005,5000,25,1,0.04,0.005
CIFAR10,ConvNetBN,dog-bird,8252,beta1,GRAFT+ (\beta=1),0.005,5000,25,20,0.8,0.005
CIFAR10,ConvNetBN,dog-bird,8252,A,Backbone alignment A,0.005,5000,25,24,0.96,0.005
CIFAR10,ConvNetBN,dog-bird,8252,beta0,GRAFT (\beta=0),0.01,5000,50,1,0.02,0.01
CIFAR10,ConvNetBN,dog-bird,8252,beta1,GRAFT+ (\beta=1),0.01,5000,50,37,0.74,0.01
CIFAR10,ConvNetBN,dog-bird,8252,A,Backbone alignment A,0.01,5000,50,49,0.98,0.01
CIFAR10,ConvNetBN,dog-bird,8252,beta0,GRAFT (\beta=0),0.02,5000,100,8,0.08,0.02
CIFAR10,ConvNetBN,dog-bird,8252,beta1,GRAFT+ (\beta=1),0.02,5000,100,73,0.73,0.02
CIFAR10,ConvNetBN,dog-bird,8252,A,Backbone alignment A,0.02,5000,100,95,0.95,0.02
CIFAR10,ConvNetBN,dog-bird,8252,beta0,GRAFT (\beta=0),0.05,5000,250,41,0.164,0.05
CIFAR10,ConvNetBN,dog-bird,8252,beta1,GRAFT+ (\beta=1),0.05,5000,250,176,0.704,0.05
CIFAR10,ConvNetBN,dog-bird,8252,A,Backbone alignment A,0.05,5000,250,240,0.96,0.05
CIFAR10,ConvNetBN,dog-bird,8252,beta0,GRAFT (\beta=0),0.1,5000,500,104,0.208,0.1
CIFAR10,ConvNetBN,dog-bird,8252,beta1,GRAFT+ (\beta=1),0.1,5000,500,333,0.666,0.1
CIFAR10,ConvNetBN,dog-bird,8252,A,Backbone alignment A,0.1,5000,500,487,0.974,0.1
CIFAR10,ConvNetBN,dog-bird,8252,beta0,GRAFT (\beta=0),0.2,5000,1000,350,0.35,0.2
CIFAR10,ConvNetBN,dog-bird,8252,beta1,GRAFT+ (\beta=1),0.2,5000,1000,662,0.662,0.2
CIFAR10,ConvNetBN,dog-bird,8252,A,Backbone alignment A,0.2,5000,1000,983,0.983,0.2
CIFAR10,ConvNetBN,dog-bird,8730,beta0,GRAFT (\beta=0),0.001,5000,5,0,0.0,0.001
CIFAR10,ConvNetBN,dog-bird,8730,beta1,GRAFT+ (\beta=1),0.001,5000,5,2,0.4,0.001
CIFAR10,ConvNetBN,dog-bird,8730,A,Backbone alignment A,0.001,5000,5,5,1.0,0.001
CIFAR10,ConvNetBN,dog-bird,8730,beta0,GRAFT (\beta=0),0.002,5000,10,0,0.0,0.002
CIFAR10,ConvNetBN,dog-bird,8730,beta1,GRAFT+ (\beta=1),0.002,5000,10,6,0.6,0.002
CIFAR10,ConvNetBN,dog-bird,8730,A,Backbone alignment A,0.002,5000,10,10,1.0,0.002
CIFAR10,ConvNetBN,dog-bird,8730,beta0,GRAFT (\beta=0),0.005,5000,25,1,0.04,0.005
CIFAR10,ConvNetBN,dog-bird,8730,beta1,GRAFT+ (\beta=1),0.005,5000,25,17,0.68,0.005
CIFAR10,ConvNetBN,dog-bird,8730,A,Backbone alignment A,0.005,5000,25,25,1.0,0.005
CIFAR10,ConvNetBN,dog-bird,8730,beta0,GRAFT (\beta=0),0.01,5000,50,2,0.04,0.01
CIFAR10,ConvNetBN,dog-bird,8730,beta1,GRAFT+ (\beta=1),0.01,5000,50,35,0.7,0.01
CIFAR10,ConvNetBN,dog-bird,8730,A,Backbone alignment A,0.01,5000,50,49,0.98,0.01
CIFAR10,ConvNetBN,dog-bird,8730,beta0,GRAFT (\beta=0),0.02,5000,100,7,0.07,0.02
CIFAR10,ConvNetBN,dog-bird,8730,beta1,GRAFT+ (\beta=1),0.02,5000,100,76,0.76,0.02
CIFAR10,ConvNetBN,dog-bird,8730,A,Backbone alignment A,0.02,5000,100,98,0.98,0.02
CIFAR10,ConvNetBN,dog-bird,8730,beta0,GRAFT (\beta=0),0.05,5000,250,35,0.14,0.05
CIFAR10,ConvNetBN,dog-bird,8730,beta1,GRAFT+ (\beta=1),0.05,5000,250,185,0.74,0.05
CIFAR10,ConvNetBN,dog-bird,8730,A,Backbone alignment A,0.05,5000,250,247,0.988,0.05
CIFAR10,ConvNetBN,dog-bird,8730,beta0,GRAFT (\beta=0),0.1,5000,500,116,0.232,0.1
CIFAR10,ConvNetBN,dog-bird,8730,beta1,GRAFT+ (\beta=1),0.1,5000,500,345,0.69,0.1
CIFAR10,ConvNetBN,dog-bird,8730,A,Backbone alignment A,0.1,5000,500,490,0.98,0.1
CIFAR10,ConvNetBN,dog-bird,8730,beta0,GRAFT (\beta=0),0.2,5000,1000,355,0.355,0.2
CIFAR10,ConvNetBN,dog-bird,8730,beta1,GRAFT+ (\beta=1),0.2,5000,1000,680,0.68,0.2
CIFAR10,ConvNetBN,dog-bird,8730,A,Backbone alignment A,0.2,5000,1000,989,0.989,0.2
CIFAR10,ConvNetBN,dog-bird,8055,beta0,GRAFT (\beta=0),0.001,5000,5,0,0.0,0.001
CIFAR10,ConvNetBN,dog-bird,8055,beta1,GRAFT+ (\beta=1),0.001,5000,5,3,0.6,0.001
CIFAR10,ConvNetBN,dog-bird,8055,A,Backbone alignment A,0.001,5000,5,5,1.0,0.001
CIFAR10,ConvNetBN,dog-bird,8055,beta0,GRAFT (\beta=0),0.002,5000,10,0,0.0,0.002
CIFAR10,ConvNetBN,dog-bird,8055,beta1,GRAFT+ (\beta=1),0.002,5000,10,7,0.7,0.002
CIFAR10,ConvNetBN,dog-bird,8055,A,Backbone alignment A,0.002,5000,10,10,1.0,0.002
CIFAR10,ConvNetBN,dog-bird,8055,beta0,GRAFT (\beta=0),0.005,5000,25,1,0.04,0.005
