dataset,model,attack,base,class_pair,seed,num_surrogate,coef,craft_ensemble,budget,num_poisons,epsilon,target_difficulty,target_margin_low,target_margin_high,target_id,target_diff,victim_id,success,clean_test_acc
CIFAR10,ResNet20BN,FC,ours,dog-bird,42,5,10.0,5,0.02,250,0.0313,1e-05,0.05,0.5,3355,0.017468541860580444,0,0,0.7336200860258077
CIFAR10,ResNet20BN,FC,ours,dog-bird,42,5,10.0,5,0.02,250,0.0313,1e-05,0.05,0.5,3355,0.017468541860580444,1,0,0.7380214064219266
CIFAR10,ResNet20BN,FC,ours,dog-bird,42,5,10.0,5,0.02,250,0.0313,1e-05,0.05,0.5,3355,0.017468541860580444,2,0,0.740222066619986
CIFAR10,ResNet20BN,FC,ours,dog-bird,42,5,10.0,5,0.02,250,0.0313,1e-05,0.05,0.5,6072,0.0453454852104187,0,0,0.7342202660798239
CIFAR10,ResNet20BN,FC,ours,dog-bird,42,5,10.0,5,0.02,250,0.0313,1e-05,0.05,0.5,6072,0.0453454852104187,1,0,0.7311193358007402
CIFAR10,ResNet20BN,FC,ours,dog-bird,42,5,10.0,5,0.02,250,0.0313,1e-05,0.05,0.5,6072,0.0453454852104187,2,0,0.7262178653596079
CIFAR10,ResNet20BN,FC,ours,dog-bird,42,5,10.0,5,0.02,250,0.0313,1e-05,0.05,0.5,5853,0.05801460146903992,0,1,0.7311193358007402
CIFAR10,ResNet20BN,FC,ours,dog-bird,42,5,10.0,5,0.02,250,0.0313,1e-05,0.05,0.5,5853,0.05801460146903992,1,1,0.73221966589977
CIFAR10,ResNet20BN,FC,ours,dog-bird,42,5,10.0,5,0.02,250,0.0313,1e-05,0.05,0.5,5853,0.05801460146903992,2,0,0.7399219765929779
