dataset,margin_group,candidate_count,residual_norm_median,abs_head_interaction_median,abs_backbone_interaction_median
CIFAR100,13,850,4.70647937618196e-05,0.0027772700414061546,0.06719970703125
CIFAR100,14,850,3.8920123188290745e-05,0.00235182314645499,0.056640625
CIFAR100,15,800,2.9335363251448143e-05,0.001734512159600854,0.03814697265625
CIFAR100,16,850,2.1585648937616497e-05,0.0012702070525847375,0.02825927734375
CIFAR100,17,850,1.642664210521616e-05,0.0010311900987289846,0.02496337890625
CIFAR100,18,800,1.3093738289171597e-05,0.0008005989075172693,0.0189208984375
CIFAR100,19,850,1.0621130968502257e-05,0.0005984097952023149,0.014404296875
CIFAR100,20,850,7.835840733605437e-06,0.0004748452047351748,0.010986328125
CIFAR100,21,800,5.482335382112069e-06,0.00032421005016658455,0.0079345703125
CIFAR100,22,850,3.6632332012231927e-06,0.00021966393251204863,0.005126953125
CIFAR100,23,850,2.575947064542561e-06,0.00014803226804360747,0.00341796875
CIFAR100,24,800,1.7703340517982724e-06,0.00010284386007697321,0.0023193359375
CIFAR100,25,850,1.0761546036519576e-06,6.088740337872878e-05,0.00146484375
CIFAR100,26,850,5.43400460628618e-07,3.1135446988628246e-05,0.000732421875
CIFAR100,27,800,3.0279137774869014e-07,1.7168837075587362e-05,0.0003662109375
CIFAR100,28,850,1.414683481471002e-07,8.088543836493045e-06,0.000244140625
CIFAR100,29,850,2.0690086088848147e-08,9.058118668927705e-15,0.0
CIFAR100,30,800,2.4226542993943667e-09,3.5276980694807825e-16,0.0
TinyImageNet,1,850,0.0005784070817753673,0.05906546488404274,0.6749267578125
TinyImageNet,2,850,0.0002966774336528033,0.03268958814442158,0.4523277282714844
TinyImageNet,3,800,0.000206246244488284,0.02255171351134777,0.30096435546875
TinyImageNet,4,850,0.00014444217958953232,0.0159255750477314,0.204071044921875
TinyImageNet,5,850,0.00011181852460140362,0.013256685342639685,0.19403076171875
TinyImageNet,6,800,9.485383634455502e-05,0.010337573941797018,0.14227294921875
TinyImageNet,7,850,7.811046089045703e-05,0.008443959057331085,0.114013671875
TinyImageNet,8,850,6.0754984588129446e-05,0.007067761849611998,0.1026611328125
TinyImageNet,9,800,4.725358303403482e-05,0.005337855778634548,0.0712890625
TinyImageNet,10,850,3.592323264456354e-05,0.003938040230423212,0.05596923828125
TinyImageNet,11,850,2.802168091875501e-05,0.003133179387077689,0.045654296875
TinyImageNet,12,800,2.02830660782638e-05,0.00235864648129791,0.0341796875
TinyImageNet,13,850,1.4905626812833361e-05,0.0018233483424410224,0.028564453125
TinyImageNet,14,850,9.613021575205494e-06,0.0012200393248349428,0.01806640625
TinyImageNet,15,800,8.599642114859307e-06,0.0010148591245524585,0.014404296875
TinyImageNet,16,850,5.934738965152064e-06,0.0007102657982613891,0.0098876953125
TinyImageNet,17,850,4.308129518904025e-06,0.0005571251094806939,0.0081787109375
TinyImageNet,18,800,2.6061144353661803e-06,0.00034487349330447614,0.0047607421875
TinyImageNet,19,850,1.851689489740238e-06,0.00023459340445697308,0.003173828125
TinyImageNet,20,850,1.1440630487413728e-06,0.000146148115163669,0.001953125
TinyImageNet,21,800,6.579863054412272e-07,7.942350202938542e-05,0.0009765625
TinyImageNet,22,850,3.4897664136224193e-07,4.41293086623773e-05,0.00048828125
TinyImageNet,23,850,1.6929205060023378e-07,2.352672800043365e-05,0.0003662109375
TinyImageNet,24,800,1.0018966278835251e-07,5.244541569027206e-06,6.103515625e-05
TinyImageNet,25,850,3.0559561992049566e-08,4.582134842455281e-14,0.0
TinyImageNet,26,850,1.0684908069436005e-08,2.53659050890114e-15,0.0
TinyImageNet,27,800,4.4041692515151e-09,1.2918132830497633e-15,0.0
TinyImageNet,28,850,1.1824914381008966e-09,2.85131857064548e-16,0.0
TinyImageNet,29,850,1.9967885678262576e-10,1.3582024416712446e-17,0.0
TinyImageNet,30,800,5.139025056194457e-12,5.493864277890247e-19,0.0
SVHN,1,7800,0.13375955820083618,9.597458362579346,34.64912796020508
SVHN,2,7750,0.03649458661675453,3.2267863750457764,11.944671630859375
SVHN,3,7750,0.018450230360031128,1.758269190788269,6.0208282470703125
SVHN,4,7800,0.009530648123472929,0.930608719587326,3.2435455322265625
SVHN,5,7750,0.004748201929032803,0.4615921974182129,1.608642578125
SVHN,6,7750,0.0025643042754381895,0.24823874980211258,0.8453788757324219
SVHN,7,7800,0.0012505825143307447,0.12482795119285583,0.4454803466796875
SVHN,8,7750,0.0006131398840807378,0.06264070048928261,0.201568603515625
SVHN,9,7750,0.00025751127395778894,0.029135677963495255,0.0957183837890625
SVHN,10,7750,0.00012704773689620197,0.013688862323760986,0.043426513671875
SVHN,11,7800,6.445220424211584e-05,0.006967067252844572,0.021942138671875
SVHN,12,7750,3.0834024073556066e-05,0.003300818963907659,0.0098876953125
SVHN,13,7750,1.2724614862236194e-05,0.0013438882306218147,0.004150390625
SVHN,14,7800,5.510776873052237e-06,0.0005914607609156519,0.001800537109375
SVHN,15,7750,2.521596343285637e-06,0.0002791558508761227,0.00079345703125
SVHN,16,7750,1.113049279410916e-06,0.00011812231605290435,0.000335693359375
SVHN,17,7800,4.6694533750724077e-07,5.1212793550803326e-05,0.0001373291015625
SVHN,18,7750,1.7564177312578977e-07,2.2403963157557882e-05,6.103515625e-05
SVHN,19,7750,5.064334018811678e-08,3.7967209891576204e-06,1.9073486328125e-05
SVHN,20,7750,2.037491064754704e-08,5.198674557505001e-07,3.814697265625e-06
SVHN,21,7800,8.6949003552661e-09,3.914211816891111e-07,0.0
SVHN,22,7750,2.9834903436665172e-09,1.2366776047656458e-07,0.0
SVHN,23,7750,1.0814928952385117e-09,5.2163841246510856e-08,0.0
SVHN,24,7800,3.972720347134029e-10,1.6900261634589242e-08,0.0
SVHN,25,7750,1.339870714378577e-10,5.239192857331432e-09,0.0
SVHN,26,7750,4.0802597411904173e-11,2.0586082838391917e-09,0.0
SVHN,27,7800,1.0789837339569841e-11,4.244783136098107e-10,0.0
SVHN,28,7750,2.368143658601496e-12,7.708841898157459e-11,0.0
SVHN,29,7750,2.6226503607729157e-13,4.264902667139303e-12,0.0
SVHN,30,7750,9.153378535274766e-15,3.1560122354043485e-14,0.0
