dataset,margin_group,candidate_count,residual_norm_median,abs_head_interaction_median,abs_backbone_interaction_median
CIFAR10,1,8350,0.031532902270555496,1.50421541929245,10.919998168945312
CIFAR10,2,8350,0.0153652373701334,0.7380923330783844,5.376800537109375
CIFAR10,3,8300,0.009224676992744207,0.45161962509155273,3.56182861328125
CIFAR10,4,8350,0.006026997230947018,0.3069249242544174,2.365020751953125
CIFAR10,5,8350,0.00413511274382472,0.20758416503667831,1.6845550537109375
CIFAR10,6,8300,0.0029234735993668437,0.14618170261383057,1.1403656005859375
CIFAR10,7,8350,0.0020464244298636913,0.10321938246488571,0.84100341796875
CIFAR10,8,8350,0.001460463390685618,0.07511398941278458,0.617462158203125
CIFAR10,9,8300,0.0010521581280045211,0.055090321227908134,0.46337890625
CIFAR10,10,8350,0.0007391492836177349,0.03984224610030651,0.33966064453125
CIFAR10,11,8350,0.0005496927769854665,0.029123689979314804,0.2382354736328125
CIFAR10,12,8300,0.0003672758466564119,0.019977468997240067,0.167388916015625
CIFAR10,13,8350,0.00025590576115064323,0.0141139542683959,0.1165008544921875
CIFAR10,14,8350,0.00017224061593879014,0.009904009755700827,0.083648681640625
CIFAR10,15,8300,0.00012092235192540102,0.006929746130481362,0.05901336669921875
CIFAR10,16,8350,7.972839375725016e-05,0.004584356909617782,0.03775787353515625
CIFAR10,17,8350,5.376601257012226e-05,0.003137914347462356,0.0258941650390625
CIFAR10,18,8300,3.4178770874859765e-05,0.0019616716308519244,0.01605224609375
CIFAR10,19,8350,2.030549330811482e-05,0.0012699012295342982,0.01043701171875
CIFAR10,20,8350,1.1538547369127627e-05,0.0007309275970328599,0.0059814453125
CIFAR10,21,8300,6.690457439617603e-06,0.00040264920971821994,0.00341796875
CIFAR10,22,8350,3.6336043649498606e-06,0.00020523148850770667,0.001708984375
CIFAR10,23,8350,1.5969219475664431e-06,8.946753951022401e-05,0.000732421875
CIFAR10,24,8300,7.068445313507254e-07,3.8256739571806975e-05,0.00030517578125
CIFAR10,25,8350,2.938789407380682e-07,1.4439321148529416e-05,0.0001220703125
CIFAR10,26,8350,4.480442683529873e-08,1.0185895007452928e-06,0.0
CIFAR10,27,8300,8.192027056708184e-09,3.024826167319361e-09,0.0
CIFAR10,28,8350,1.0956837659392704e-09,2.5837522399374535e-10,0.0
CIFAR10,29,8350,6.164904697847362e-11,1.0164795654493686e-11,0.0
CIFAR10,30,8300,1.7352096051258953e-13,1.1812241638243853e-14,0.0
CIFAR100,1,850,0.0006368646863847971,0.036149002611637115,0.784423828125
CIFAR100,2,850,0.000411658373195678,0.023562329821288586,0.56939697265625
CIFAR100,3,800,0.0003011322842212394,0.01816036645323038,0.41925048828125
CIFAR100,4,850,0.00026304181665182114,0.015267475508153439,0.346435546875
CIFAR100,5,850,0.0002125066821463406,0.012647263705730438,0.2818603515625
CIFAR100,6,800,0.00017533698701299727,0.010090076830238104,0.248291015625
CIFAR100,7,850,0.0001540129742352292,0.009053656831383705,0.2078857421875
CIFAR100,8,850,0.00012942693138029426,0.0077336919493973255,0.18243408203125
CIFAR100,9,800,0.00011438599904067814,0.0066533503122627735,0.15399169921875
CIFAR100,10,850,8.544798038201407e-05,0.005020437994971871,0.115478515625
CIFAR100,11,850,6.941843457752839e-05,0.004251529928296804,0.093505859375
CIFAR100,12,800,5.802658597531263e-05,0.003404508111998439,0.079345703125
