dataset,model,class_pair,target_idx,model_id,margin_group,candidate_count,residual_norm_median,abs_head_interaction_median,abs_backbone_interaction_median
CIFAR10,ConvNetBN,dog-bird,1257,0,17,167,3.220084909116849e-05,0.0023548488970845938,0.0262451171875
CIFAR10,ConvNetBN,dog-bird,1257,0,18,166,2.1766568352177273e-05,0.0016412551049143076,0.01708984375
CIFAR10,ConvNetBN,dog-bird,1257,0,19,167,1.243271617568098e-05,0.000989018240943551,0.0106201171875
CIFAR10,ConvNetBN,dog-bird,1257,0,20,167,7.401125913020223e-06,0.0005696074804291129,0.0059814453125
CIFAR10,ConvNetBN,dog-bird,1257,0,21,166,3.984641807619482e-06,0.00030439354304689914,0.003173828125
CIFAR10,ConvNetBN,dog-bird,1257,0,22,167,1.9661238184198737e-06,0.000158674010890536,0.001708984375
CIFAR10,ConvNetBN,dog-bird,1257,0,23,167,7.545261837549333e-07,6.326858419924974e-05,0.0006103515625
CIFAR10,ConvNetBN,dog-bird,1257,0,24,166,3.084224005078795e-07,2.304112058482133e-05,0.000244140625
CIFAR10,ConvNetBN,dog-bird,1257,0,25,167,1.35530044076404e-07,1.000039901555283e-05,6.103515625e-05
CIFAR10,ConvNetBN,dog-bird,1257,0,26,167,1.7324644829841418e-08,6.319133549759215e-10,0.0
CIFAR10,ConvNetBN,dog-bird,1257,0,27,166,3.2447018405434846e-09,1.3236704787811249e-10,0.0
CIFAR10,ConvNetBN,dog-bird,1257,0,28,167,4.0749942309403764e-10,7.37855887500416e-11,0.0
CIFAR10,ConvNetBN,dog-bird,1257,0,29,167,2.87224011935594e-11,2.480243224342593e-12,0.0
CIFAR10,ConvNetBN,dog-bird,1257,0,30,166,3.55318598437189e-14,2.1791457815333775e-15,0.0
CIFAR10,ConvNetBN,dog-bird,1257,1,1,167,0.0345894992351532,1.3315069675445557,14.2755126953125
CIFAR10,ConvNetBN,dog-bird,1257,1,2,167,0.01699952967464924,0.625899612903595,6.7255706787109375
CIFAR10,ConvNetBN,dog-bird,1257,1,3,166,0.009594802744686604,0.3688962161540985,4.066375732421875
CIFAR10,ConvNetBN,dog-bird,1257,1,4,167,0.0063081830739974976,0.2613328993320465,2.76263427734375
CIFAR10,ConvNetBN,dog-bird,1257,1,5,167,0.004210468381643295,0.16857531666755676,2.1072998046875
CIFAR10,ConvNetBN,dog-bird,1257,1,6,166,0.0029518280643969774,0.11672835424542427,1.2843017578125
CIFAR10,ConvNetBN,dog-bird,1257,1,7,167,0.002105144551023841,0.08513197302818298,0.959197998046875
CIFAR10,ConvNetBN,dog-bird,1257,1,8,167,0.0014512171037495136,0.06121017038822174,0.686279296875
CIFAR10,ConvNetBN,dog-bird,1257,1,9,166,0.001018960087094456,0.04259142838418484,0.5104217529296875
CIFAR10,ConvNetBN,dog-bird,1257,1,10,167,0.0007095997571013868,0.03059225156903267,0.35577392578125
CIFAR10,ConvNetBN,dog-bird,1257,1,11,167,0.000538573251105845,0.021760916337370872,0.2706298828125
CIFAR10,ConvNetBN,dog-bird,1257,1,12,166,0.0003619474737206474,0.01526980847120285,0.1428985595703125
CIFAR10,ConvNetBN,dog-bird,1257,1,13,167,0.00024077326816041023,0.011023416183888912,0.13458251953125
CIFAR10,ConvNetBN,dog-bird,1257,1,14,167,0.00016096372564788908,0.007037651259452105,0.08807373046875
CIFAR10,ConvNetBN,dog-bird,1257,1,15,166,0.00011724547584890388,0.004994220100343227,0.061798095703125
CIFAR10,ConvNetBN,dog-bird,1257,1,16,167,7.606262806802988e-05,0.003293761517852545,0.03302001953125
CIFAR10,ConvNetBN,dog-bird,1257,1,17,167,5.1751176215475425e-05,0.0022722419817000628,0.0230712890625
CIFAR10,ConvNetBN,dog-bird,1257,1,18,166,3.261231722717639e-05,0.0013465284137055278,0.014617919921875
CIFAR10,ConvNetBN,dog-bird,1257,1,19,167,1.9216875443817116e-05,0.0008442786638624966,0.01019287109375
CIFAR10,ConvNetBN,dog-bird,1257,1,20,167,1.0859524991246872e-05,0.00047994230408221483,0.00543212890625
CIFAR10,ConvNetBN,dog-bird,1257,1,21,166,6.3684383349027485e-06,0.00028589162684511393,0.00286865234375
CIFAR10,ConvNetBN,dog-bird,1257,1,22,167,3.365669272170635e-06,0.00015081054880283773,0.001708984375
CIFAR10,ConvNetBN,dog-bird,1257,1,23,167,1.5675109352741856e-06,7.030766573734581e-05,0.00079345703125
CIFAR10,ConvNetBN,dog-bird,1257,1,24,166,7.045354948331806e-07,3.100626963714603e-05,0.00030517578125
CIFAR10,ConvNetBN,dog-bird,1257,1,25,167,2.938789407380682e-07,1.1591549082368147e-05,0.0001220703125
CIFAR10,ConvNetBN,dog-bird,1257,1,26,167,4.522953034324928e-08,3.3064829096929316e-08,0.0
CIFAR10,ConvNetBN,dog-bird,1257,1,27,166,8.951350327635055e-09,9.50267142751926e-10,0.0
CIFAR10,ConvNetBN,dog-bird,1257,1,28,167,9.877081375009311e-10,3.7239940298139373e-11,0.0
CIFAR10,ConvNetBN,dog-bird,1257,1,29,167,4.097795019974981e-11,8.242864398856631e-13,0.0
CIFAR10,ConvNetBN,dog-bird,1257,1,30,166,1.923834897811505e-13,1.842153194072662e-15,0.0
CIFAR10,ConvNetBN,dog-bird,1257,2,1,167,0.0966937467455864,4.6543354988098145,46.21124267578125
CIFAR10,ConvNetBN,dog-bird,1257,2,2,167,0.04677526652812958,2.3030319213867188,23.18292236328125
CIFAR10,ConvNetBN,dog-bird,1257,2,3,166,0.028639492578804493,1.3143056631088257,15.48736572265625
CIFAR10,ConvNetBN,dog-bird,1257,2,4,167,0.018836425617337227,0.9456341862678528,12.2493896484375
CIFAR10,ConvNetBN,dog-bird,1257,2,5,167,0.013129270635545254,0.6812251210212708,8.88507080078125
CIFAR10,ConvNetBN,dog-bird,1257,2,6,166,0.009162434376776218,0.46304337680339813,5.2659149169921875
CIFAR10,ConvNetBN,dog-bird,1257,2,7,167,0.006889537908136845,0.36099573969841003,4.23419189453125
CIFAR10,ConvNetBN,dog-bird,1257,2,8,167,0.005030390806496143,0.25990578532218933,3.0394287109375
CIFAR10,ConvNetBN,dog-bird,1257,2,9,166,0.003618637565523386,0.18222469836473465,2.491790771484375
CIFAR10,ConvNetBN,dog-bird,1257,2,10,167,0.0025818683207035065,0.1347133368253708,1.77362060546875
CIFAR10,ConvNetBN,dog-bird,1257,2,11,167,0.0018394520739093423,0.09477773308753967,1.31689453125
CIFAR10,ConvNetBN,dog-bird,1257,2,12,166,0.0013372914982028306,0.0730944313108921,1.024169921875
CIFAR10,ConvNetBN,dog-bird,1257,2,13,167,0.0009349276660941541,0.0516342930495739,0.70013427734375
CIFAR10,ConvNetBN,dog-bird,1257,2,14,167,0.000690160202793777,0.03747118264436722,0.52734375
CIFAR10,ConvNetBN,dog-bird,1257,2,15,166,0.0004680296406149864,0.026326834224164486,0.328887939453125
CIFAR10,ConvNetBN,dog-bird,1257,2,16,167,0.00032421009382233024,0.017644744366407394,0.24114990234375
CIFAR10,ConvNetBN,dog-bird,1257,2,17,167,0.00021705303515773267,0.012092235498130322,0.1688232421875
CIFAR10,ConvNetBN,dog-bird,1257,2,18,166,0.00013808700896333903,0.007688556797802448,0.12249755859375
CIFAR10,ConvNetBN,dog-bird,1257,2,19,167,8.405000698985532e-05,0.004556190688163042,0.059814453125
CIFAR10,ConvNetBN,dog-bird,1257,2,20,167,5.224471533438191e-05,0.0028999459464102983,0.0394287109375
CIFAR10,ConvNetBN,dog-bird,1257,2,21,166,2.6208170311292633e-05,0.0013789047370664775,0.0225830078125
CIFAR10,ConvNetBN,dog-bird,1257,2,22,167,1.2448889719962608e-05,0.0007195674697868526,0.01019287109375
CIFAR10,ConvNetBN,dog-bird,1257,2,23,167,6.229656719369814e-06,0.0003444271278567612,0.00439453125
CIFAR10,ConvNetBN,dog-bird,1257,2,24,166,2.6613919317242107e-06,0.000160294133820571,0.0020751953125
CIFAR10,ConvNetBN,dog-bird,1257,2,25,167,9.206789286508865e-07,5.590245564235374e-05,0.000732421875
CIFAR10,ConvNetBN,dog-bird,1257,2,26,167,3.0403356277020066e-07,1.5711737432866357e-05,0.000244140625
CIFAR10,ConvNetBN,dog-bird,1257,2,27,166,3.938772863421036e-08,1.138472889294917e-07,0.0
CIFAR10,ConvNetBN,dog-bird,1257,2,28,167,6.346453584882283e-09,1.0955923945843438e-09,0.0
CIFAR10,ConvNetBN,dog-bird,1257,2,29,167,4.1082681700999046e-10,5.043845549557169e-11,0.0
CIFAR10,ConvNetBN,dog-bird,1257,2,30,166,2.8596711587267065e-12,2.4258755099918882e-14,0.0
CIFAR10,ConvNetBN,dog-bird,1257,3,1,167,0.03161977231502533,1.695643663406372,15.420806884765625
CIFAR10,ConvNetBN,dog-bird,1257,3,2,167,0.015652336180210114,0.8447885513305664,8.6722412109375
CIFAR10,ConvNetBN,dog-bird,1257,3,3,166,0.009963707998394966,0.5470010042190552,5.4410400390625
CIFAR10,ConvNetBN,dog-bird,1257,3,4,167,0.006948090624064207,0.3746269643306732,3.6143798828125
CIFAR10,ConvNetBN,dog-bird,1257,3,5,167,0.0048634884878993034,0.2765868008136749,2.59100341796875
CIFAR10,ConvNetBN,dog-bird,1257,3,6,166,0.0035189882619306445,0.19010667502880096,1.667083740234375
CIFAR10,ConvNetBN,dog-bird,1257,3,7,167,0.0024836992379277945,0.14833450317382812,1.3115234375
CIFAR10,ConvNetBN,dog-bird,1257,3,8,167,0.0017857409548014402,0.10154359042644501,1.071807861328125
CIFAR10,ConvNetBN,dog-bird,1257,3,9,166,0.0012290217564441264,0.07215134426951408,0.616363525390625
CIFAR10,ConvNetBN,dog-bird,1257,3,10,167,0.0009231477743014693,0.05712280422449112,0.53485107421875
CIFAR10,ConvNetBN,dog-bird,1257,3,11,167,0.0006536722648888826,0.03876597434282303,0.37941837310791016
CIFAR10,ConvNetBN,dog-bird,1257,3,12,166,0.00046226332779042423,0.029133054427802563,0.2571868896484375
CIFAR10,ConvNetBN,dog-bird,1257,3,13,167,0.0003243151877541095,0.01896950602531433,0.170166015625
CIFAR10,ConvNetBN,dog-bird,1257,3,14,167,0.00024536289856769145,0.014328510500490665,0.133209228515625
CIFAR10,ConvNetBN,dog-bird,1257,3,15,166,0.00017039632803061977,0.010069191921502352,0.09796142578125
