run,attack_dir,defense,defense_tag,aug,model,attack,base,sel,class_pair,seed,budget,epsilon,use_jacobian_score,jacobian_weight,jacobian_batch_size,num_targets,num_trials,asr_mean,asr_std,cta_post_mean,cta_post_std,cta_baseline_mean,cta_baseline_std,frac_poison_dropped_mean,frac_clean_dropped_mean,cta_drop_mean
CIFAR10_ResNet20BN_gradmatch_ours_dog-bird_b0.002_eps8_seed42_lam1_cosine_seldpp2_ce5_tgt14,/tmp/toy_defense_if/ours_result/CIFAR10_ResNet20BN_gradmatch_ours_dog-bird_b0.002_eps8_seed42_lam1_cosine_seldpp2_ce5_tgt14,friends,friends-friendly.bernoulli-e8-p0-clp16,none,ResNet20BN,gradmatch,ours,dpp2,dog-bird,42,0.002,0.0313725,False,1.0,64,1,1,1.0,0.0,0.5091,0.0,0.4922,0.0,,,0.01689999999999997
CIFAR10_ResNet20BN_gradmatch_ours_dog-bird_b0.002_eps8_seed42_lam1_cosine_seldpp2_ce5_tgt14,/tmp/toy_defense_if/ours_result/CIFAR10_ResNet20BN_gradmatch_ours_dog-bird_b0.002_eps8_seed42_lam1_cosine_seldpp2_ce5_tgt14,friends,friends-friendly.bernoulli-e8-p0-clp16,none,ResNet20BN,gradmatch,ours,dpp2,dog-bird,42,0.002,0.0313725,False,1.0,64,1,1,1.0,0.0,0.5091,0.0,0.4922,0.0,,,0.01689999999999997
