train_idx,x_rm,y_a,d_raw,m_raw,a_raw
78,nan,-0.160426065325737,inf,11.924410820007324,0.09922084957361221
79,nan,-0.1624394804239273,inf,17.21114158630371,0.018610740080475807
105,nan,1.230894923210144,inf,4.3747076988220215,44.89432907104492
111,nan,-0.15428516268730164,inf,13.12785816192627,0.38456711173057556
151,nan,-0.05556834489107132,inf,7.019723415374756,3.8405404090881348
193,nan,-0.16273778676986694,inf,22.448169708251953,0.0018744468688964844
213,nan,0.00402007345110178,inf,6.518908977508545,4.278416633605957
250,nan,-0.15747074782848358,inf,9.723398208618164,0.14686031639575958
262,nan,-0.15818649530410767,inf,13.481767654418945,0.3496559262275696
277,nan,0.6176010966300964,inf,3.8261940479278564,26.750532150268555
305,nan,-0.1624390035867691,inf,18.599777221679688,0.022704316303133965
329,nan,-0.16153280436992645,inf,17.276153564453125,0.09884472191333771
467,nan,-0.16192446649074554,inf,12.564818382263184,0.034624211490154266
473,nan,-0.1627073734998703,inf,16.85088539123535,0.0025375366676598787
478,nan,1.851387858390808,inf,2.8342912197113037,43.011268615722656
546,nan,-0.1611412763595581,inf,12.321623802185059,0.04098119959235191
555,nan,-0.15124090015888214,inf,11.690752983093262,0.32310888171195984
565,nan,1.8934681415557861,inf,2.148787260055542,105.2986068725586
601,nan,-0.15334764122962952,inf,10.726938247680664,0.10846872627735138
613,nan,-0.025109773501753807,inf,7.302989482879639,2.6781013011932373
614,nan,-0.09930193424224854,inf,9.545129776000977,1.489532470703125
616,nan,-0.15615853667259216,inf,11.07971477508545,0.06630640476942062
625,nan,-0.16236670315265656,inf,16.347929000854492,0.031466104090213776
673,nan,-0.1624261438846588,inf,14.357866287231445,0.02060561254620552
675,nan,-0.09020968526601791,inf,4.648129940032959,2.8832948207855225
714,nan,0.32003214955329895,inf,4.609170436859131,16.49661636352539
728,nan,0.07915890961885452,inf,3.673225164413452,12.425285339355469
733,nan,0.3996576964855194,inf,5.104842185974121,9.475971221923828
745,nan,-0.16267113387584686,inf,15.903193473815918,0.004324579145759344
796,nan,-0.16229943931102753,inf,18.556596755981445,0.020687485113739967
799,nan,-0.011181707493960857,inf,7.32867431640625,5.91162109375
806,nan,-0.14587126672267914,inf,8.919478416442871,0.3242003619670868
818,nan,0.33914613723754883,inf,5.2091569900512695,7.179112911224365
829,nan,-0.12133818119764328,inf,10.174177169799805,0.3874008357524872
