dataset,model,attack,base,class_pair,seed,num_surrogate,coef,budget,num_poisons,epsilon,target_margin_low,target_margin_high,target_id,victim_id,success,clean_test_acc
CIFAR10,ConvNetBN,FC,ours,dog-bird,42,5,1.0,0.02,1000,0.0313,0.05,0.5,4964,2,1,0.8382382382382383
CIFAR10,ConvNetBN,FC,ours,dog-bird,42,5,1.0,0.02,1000,0.0313,0.05,0.5,4964,3,1,0.8397397397397397
CIFAR10,ConvNetBN,FC,ours,dog-bird,42,5,1.0,0.02,1000,0.0313,0.05,0.5,4964,4,1,0.8407407407407408
CIFAR10,ConvNetBN,FC,ours,dog-bird,42,5,1.0,0.02,1000,0.0313,0.05,0.5,4964,5,1,0.8326326326326327
CIFAR10,ConvNetBN,FC,ours,dog-bird,42,5,1.0,0.02,1000,0.0313,0.05,0.5,7184,0,1,0.8351351351351352
CIFAR10,ConvNetBN,FC,ours,dog-bird,42,5,1.0,0.02,1000,0.0313,0.05,0.5,7184,1,1,0.8300300300300301
CIFAR10,ConvNetBN,FC,ours,dog-bird,42,5,1.0,0.02,1000,0.0313,0.05,0.5,7184,2,1,0.8437437437437437
CIFAR10,ConvNetBN,FC,ours,dog-bird,42,5,1.0,0.02,1000,0.0313,0.05,0.5,7184,3,1,0.8395395395395395
CIFAR10,ConvNetBN,FC,ours,dog-bird,42,5,1.0,0.02,1000,0.0313,0.05,0.5,7184,4,1,0.8294294294294294
CIFAR10,ConvNetBN,FC,ours,dog-bird,42,5,1.0,0.02,1000,0.0313,0.05,0.5,7184,5,1,0.8348348348348348
CIFAR10,ConvNetBN,FC,ours,dog-bird,42,5,1.0,0.02,1000,0.0313,0.05,0.5,1244,0,1,0.8373373373373373
CIFAR10,ConvNetBN,FC,ours,dog-bird,42,5,1.0,0.02,1000,0.0313,0.05,0.5,1244,1,1,0.8315315315315316
CIFAR10,ConvNetBN,FC,ours,dog-bird,42,5,1.0,0.02,1000,0.0313,0.05,0.5,1244,2,1,0.8395395395395395
CIFAR10,ConvNetBN,FC,ours,dog-bird,42,5,1.0,0.02,1000,0.0313,0.05,0.5,1244,3,1,0.8391391391391392
CIFAR10,ConvNetBN,FC,ours,dog-bird,42,5,1.0,0.02,1000,0.0313,0.05,0.5,1244,4,1,0.8412412412412412
CIFAR10,ConvNetBN,FC,ours,dog-bird,42,5,1.0,0.02,1000,0.0313,0.05,0.5,1244,5,1,0.8390390390390391
CIFAR10,ConvNetBN,FC,ours,dog-bird,42,5,1.0,0.02,1000,0.0313,0.05,0.5,5617,0,1,0.8361361361361361
CIFAR10,ConvNetBN,FC,ours,dog-bird,42,5,1.0,0.02,1000,0.0313,0.05,0.5,5617,1,1,0.8413413413413413
CIFAR10,ConvNetBN,FC,ours,dog-bird,42,5,1.0,0.02,1000,0.0313,0.05,0.5,5617,2,1,0.837037037037037
CIFAR10,ConvNetBN,FC,ours,dog-bird,42,5,1.0,0.02,1000,0.0313,0.05,0.5,5617,3,1,0.82992992992993
CIFAR10,ConvNetBN,FC,ours,dog-bird,42,5,1.0,0.02,1000,0.0313,0.05,0.5,5617,4,1,0.8388388388388388
CIFAR10,ConvNetBN,FC,ours,dog-bird,42,5,1.0,0.02,1000,0.0313,0.05,0.5,5617,5,1,0.8382382382382383
