model,class_pair,target_idx,model_id,margin_decile,candidate_count,residual_norm_median,residual_norm_p90,abs_head_interaction_median,abs_head_interaction_p90,abs_backbone_interaction_median,abs_backbone_interaction_p90
ConvNetBN,dog-bird,1257,0,1,500,0.005091406870633364,0.01326289214193821,0.3346882164478302,0.8927679657936096,3.272216796875,8.943050384521484
ConvNetBN,dog-bird,1257,0,2,500,0.0016042455099523067,0.0024153883568942547,0.11564695835113525,0.19815471768379211,1.0849761962890625,2.529912233352661
ConvNetBN,dog-bird,1257,0,3,500,0.0006449781940318644,0.0009464410250075161,0.04752877354621887,0.08720401674509048,0.474029541015625,1.0835692882537842
ConvNetBN,dog-bird,1257,0,4,500,0.00028489960823208094,0.0004346034547779709,0.020497241988778114,0.03792940452694893,0.203857421875,0.46676021814346313
ConvNetBN,dog-bird,1257,0,5,500,0.0001079448702512309,0.00016405903443228453,0.007975064218044281,0.014849475584924221,0.079193115234375,0.17958980798721313
ConvNetBN,dog-bird,1257,0,6,500,3.4319898986723274e-05,5.5031650845194235e-05,0.002535504288971424,0.005357366055250168,0.02642822265625,0.05908811837434769
ConvNetBN,dog-bird,1257,0,7,500,7.624278623552527e-06,1.4459536032518372e-05,0.000595891906414181,0.00136289291549474,0.005859375,0.0174560546875
ConvNetBN,dog-bird,1257,0,8,500,7.625135367561597e-07,2.1921557618043153e-06,6.753944035153836e-05,0.000208454264793545,0.0006103515625,0.00244140625
ConvNetBN,dog-bird,1257,0,9,500,1.740096067237573e-08,1.4384049507043528e-07,1.4145673077337051e-08,1.2594062354764901e-05,0.0,0.0001220703125
ConvNetBN,dog-bird,1257,0,10,500,2.968262788338727e-11,5.5435100954071e-10,5.511821467990563e-13,9.26674115220294e-09,0.0,0.0
ConvNetBN,dog-bird,1257,1,1,500,0.017205340787768364,0.04680579528212547,0.6575589179992676,1.8524268865585327,6.741691589355469,23.005224227905273
ConvNetBN,dog-bird,1257,1,2,500,0.004323799163103104,0.007087504491209984,0.180228129029274,0.3747137188911438,2.0098114013671875,5.561527729034424
