margin_decile,candidate_count,residual_norm_median,residual_norm_p90,abs_head_interaction_median,abs_head_interaction_p90,abs_backbone_interaction_median,abs_backbone_interaction_p90
1,12500,0.016372956335544586,0.05981266126036644,0.8509272336959839,2.804039716720581,6.5330810546875,29.70863151550293
2,12500,0.004242142662405968,0.013649667613208294,0.2281581610441208,0.6861532926559448,1.841064453125,8.010605812072754
3,12500,0.0014519470278173685,0.005196914076805115,0.08262428641319275,0.2618017792701721,0.6834869384765625,3.006197690963745
4,12500,0.0005428625736385584,0.0019194463966414332,0.031760938465595245,0.09721684455871582,0.2635040283203125,1.1981444358825684
5,12500,0.00017724980716593564,0.0007098549976944923,0.01095033809542656,0.03638756275177002,0.0922698974609375,0.4246947765350342
6,12500,5.4329208069248125e-05,0.00022389063087757677,0.0034206092823296785,0.011857098899781704,0.0279998779296875,0.1394103765487671
7,12500,1.3184060662752017e-05,5.470228643389419e-05,0.0008112075738608837,0.002979065291583538,0.00665283203125,0.0341796875
8,12500,1.7915914440891356e-06,7.744409231236205e-06,0.00010380256571806967,0.00045279692858457565,0.0008544921875,0.00518798828125
9,12500,4.578721046755163e-08,5.066887069915538e-07,9.283551207772689e-07,3.0248733310145326e-05,0.0,0.00030517578125
10,12500,6.228643989469873e-11,2.455003089707475e-09,6.068672474268677e-12,1.9270162354700915e-08,0.0,0.0
