attack,selector,target_idx,selected_count,completed_victims,expected_victims,asr,selected_mean_margin,selected_mean_residual_norm,selected_mean_abs_head_interaction,selected_mean_abs_backbone_interaction
gradmatch,full,1257,100,5,5,0.2,5.561259746551514,0.027638301253318787,1.54765784740448,20.02072525024414
gradmatch,full,8055,100,5,5,0.2,5.27717924118042,0.03171396255493164,1.3747549057006836,12.096476554870605
gradmatch,full,8252,100,5,5,0.8,5.215332984924316,0.031483244150877,1.669721245765686,19.12455940246582
gradmatch,full,843,100,5,5,0.2,5.2604875564575195,0.030026499181985855,1.9216371774673462,18.91289520263672
gradmatch,full,8730,100,5,5,0.2,5.423675060272217,0.02680353634059429,1.6001275777816772,20.818702697753906
gradmatch,no-margin,1257,100,5,5,0.4,6.181332111358643,0.023296745494008064,1.388607382774353,18.02620506286621
gradmatch,no-margin,8055,100,5,5,0.4,5.61284875869751,0.029197556897997856,1.300051212310791,11.593135833740234
gradmatch,no-margin,8252,100,5,5,0.6,5.369690418243408,0.02896207943558693,1.5774657726287842,18.631980895996094
gradmatch,no-margin,843,100,5,5,0.0,5.696441173553467,0.02700236439704895,1.7886247634887695,17.48508644104004
gradmatch,no-margin,8730,100,5,5,0.4,5.74481725692749,0.02559247426688671,1.5492044687271118,20.361543655395508
gradmatch,high-margin,1257,100,5,5,0.0,17.82095718383789,0.00021608725364785641,0.017644310370087624,0.16394729912281036
gradmatch,high-margin,8055,100,5,5,0.0,17.48403549194336,0.00020164936722721905,0.013981318101286888,0.09901335090398788
gradmatch,high-margin,8252,100,5,5,0.0,16.19306182861328,0.00018282134260516614,0.012117774225771427,0.10856536775827408
gradmatch,high-margin,843,100,5,5,0.0,17.403648376464844,0.00019362446619197726,0.018594475463032722,0.1962970346212387
gradmatch,high-margin,8730,100,5,5,0.0,16.648948669433594,0.00019657803932204843,0.013558956794440746,0.1691860407590866
sapa,full,1257,100,5,5,0.2,5.561259746551514,0.027638301253318787,1.54765784740448,20.02072525024414
sapa,full,8055,100,5,5,0.4,5.27717924118042,0.03171396255493164,1.3747549057006836,12.096476554870605
sapa,full,8252,100,5,5,0.6,5.215332984924316,0.031483244150877,1.669721245765686,19.12455940246582
sapa,full,843,100,5,5,0.2,5.2604875564575195,0.030026499181985855,1.9216371774673462,18.91289520263672
sapa,full,8730,100,5,5,0.0,5.423675060272217,0.02680353634059429,1.6001275777816772,20.818702697753906
sapa,no-margin,1257,100,5,5,0.4,6.181332111358643,0.023296745494008064,1.388607382774353,18.02620506286621
sapa,no-margin,8055,100,5,5,0.4,5.61284875869751,0.029197556897997856,1.300051212310791,11.593135833740234
sapa,no-margin,8252,100,5,5,0.8,5.369690418243408,0.02896207943558693,1.5774657726287842,18.631980895996094
sapa,no-margin,843,100,5,5,0.2,5.696441173553467,0.02700236439704895,1.7886247634887695,17.48508644104004
sapa,no-margin,8730,100,5,5,0.0,5.74481725692749,0.02559247426688671,1.5492044687271118,20.361543655395508
sapa,high-margin,1257,100,5,5,0.0,17.82095718383789,0.00021608725364785641,0.017644310370087624,0.16394729912281036
sapa,high-margin,8055,100,5,5,0.0,17.48403549194336,0.00020164936722721905,0.013981318101286888,0.09901335090398788
sapa,high-margin,8252,100,5,5,0.0,16.19306182861328,0.00018282134260516614,0.012117774225771427,0.10856536775827408
sapa,high-margin,843,100,5,5,0.0,17.403648376464844,0.00019362446619197726,0.018594475463032722,0.1962970346212387
sapa,high-margin,8730,100,5,5,0.0,16.648948669433594,0.00019657803932204843,0.013558956794440746,0.1691860407590866
