timestamp	item	phase	state	rc	detail
2026-08-26T06:02:09+00:00	pre_VGG13BN_surrogate_9	precompute	complete	0	physical_gpu=4
2026-08-26T06:02:58+00:00	pre_ResNet20BN_victim_2	precompute	complete	0	physical_gpu=4
2026-08-26T06:02:58+00:00	pre_ResNet20BN_victim_1	precompute	complete	0	physical_gpu=5
2026-08-26T06:03:01+00:00	pre_ResNet20BN_victim_3	precompute	complete	0	physical_gpu=5
2026-08-26T06:03:02+00:00	pre_ResNet20BN_victim_0	precompute	complete	0	physical_gpu=4
2026-08-26T06:03:02+00:00	precompute_batch_4	scheduler	complete	0	children=8
2026-08-26T06:03:02+00:00	precompute_batch_5	scheduler	started	-	up to 8 jobs; four per physical GPU
2026-08-26T06:03:02+00:00	pre_VGG13BN_surrogate_11	precompute	running	-	physical_gpu=4
2026-08-26T06:03:02+00:00	pre_VGG13BN_surrogate_12	precompute	running	-	physical_gpu=5
2026-08-26T06:03:02+00:00	pre_VGG13BN_surrogate_13	precompute	running	-	physical_gpu=4
2026-08-26T06:03:02+00:00	pre_VGG13BN_surrogate_14	precompute	running	-	physical_gpu=5
2026-08-26T06:03:02+00:00	pre_VGG13BN_surrogate_16	precompute	running	-	physical_gpu=5
2026-08-26T06:03:02+00:00	pre_VGG13BN_surrogate_15	precompute	running	-	physical_gpu=4
2026-08-26T06:03:02+00:00	pre_VGG13BN_surrogate_17	precompute	running	-	physical_gpu=4
2026-08-26T06:03:02+00:00	pre_VGG13BN_surrogate_18	precompute	running	-	physical_gpu=5
2026-08-26T06:09:56+00:00	pre_VGG13BN_surrogate_14	precompute	complete	0	physical_gpu=5
2026-08-26T06:09:56+00:00	pre_VGG13BN_surrogate_13	precompute	complete	0	physical_gpu=4
2026-08-26T06:09:56+00:00	pre_VGG13BN_surrogate_15	precompute	complete	0	physical_gpu=4
2026-08-26T06:09:57+00:00	pre_VGG13BN_surrogate_12	precompute	complete	0	physical_gpu=5
2026-08-26T06:09:58+00:00	pre_VGG13BN_surrogate_17	precompute	complete	0	physical_gpu=4
2026-08-26T06:09:58+00:00	pre_VGG13BN_surrogate_11	precompute	complete	0	physical_gpu=4
2026-08-26T06:09:59+00:00	pre_VGG13BN_surrogate_16	precompute	complete	0	physical_gpu=5
2026-08-26T06:09:59+00:00	pre_VGG13BN_surrogate_18	precompute	complete	0	physical_gpu=5
2026-08-26T06:09:59+00:00	precompute_batch_5	scheduler	complete	0	children=8
2026-08-26T06:09:59+00:00	precompute_batch_6	scheduler	started	-	up to 8 jobs; four per physical GPU
2026-08-26T06:09:59+00:00	pre_VGG13BN_surrogate_19	precompute	running	-	physical_gpu=4
2026-08-26T06:09:59+00:00	pre_VGG13BN_victim_0	precompute	running	-	physical_gpu=5
2026-08-26T06:09:59+00:00	pre_VGG13BN_victim_1	precompute	running	-	physical_gpu=4
2026-08-26T06:09:59+00:00	pre_VGG13BN_victim_2	precompute	running	-	physical_gpu=5
2026-08-26T06:09:59+00:00	pre_VGG13BN_victim_3	precompute	running	-	physical_gpu=4
2026-08-26T06:13:24+00:00	pre_VGG13BN_victim_0	precompute	complete	0	physical_gpu=5
2026-08-26T06:13:25+00:00	pre_VGG13BN_victim_2	precompute	complete	0	physical_gpu=5
2026-08-26T06:14:35+00:00	pre_VGG13BN_victim_3	precompute	complete	0	physical_gpu=4
2026-08-26T06:14:36+00:00	pre_VGG13BN_victim_1	precompute	complete	0	physical_gpu=4
2026-08-26T06:15:03+00:00	pre_VGG13BN_surrogate_19	precompute	complete	0	physical_gpu=4
2026-08-26T06:15:03+00:00	precompute_batch_6	scheduler	complete	0	children=5
2026-08-26T06:15:03+00:00	cache	precompute	complete	0	networks=72
2026-08-26T06:15:03+00:00	experiment_wave_1	scheduler	started	-	physical_gpus=4,5; configurations<=3
2026-08-26T06:15:03+00:00	x01_K1_fc_AConvNetBN_SResNet20BN	experiment	running	-	physical_gpus=4,5
