index	file	model	attack	pair	budget	method	estimate	walltime	command
11	b2040_attack_011_vgg13_fc_frog_airplane_b0_02_ours_j.sh	VGG13BN	fc	frog-airplane	0.02	greedy_j	1080	1125	USE_JACOBIAN_SCORE=1 JACOBIAN_WEIGHT=1.0 JACOBIAN_BATCH_SIZE=64 CLASS_PAIR=frog-airplane MODEL=VGG13BN ATTACK=fc BUDGETS=0.02 SELECT=ours SEL_ALPHA=2.0 NUM_TARGETS=8 NUM_VICTIMS=6 sh sel_dpp.sh
12	b2040_attack_012_vgg13_fc_frog_airplane_b0_02_dpp_j.sh	VGG13BN	fc	frog-airplane	0.02	dpp_j	1080	1125	USE_JACOBIAN_SCORE=1 JACOBIAN_WEIGHT=1.0 JACOBIAN_BATCH_SIZE=64 CLASS_PAIR=frog-airplane MODEL=VGG13BN ATTACK=fc BUDGETS=0.02 SELECT=dpp SEL_ALPHA=2.0 NUM_TARGETS=8 NUM_VICTIMS=6 sh sel_dpp.sh
13	b2040_attack_013_resnet20_fc_dog_bird_b0_04_ours_std.sh	ResNet20BN	fc	dog-bird	0.04	greedy	150	195	USE_JACOBIAN_SCORE=0 JACOBIAN_WEIGHT=1.0 JACOBIAN_BATCH_SIZE=64 CLASS_PAIR=dog-bird MODEL=ResNet20BN ATTACK=fc BUDGETS=0.04 SELECT=ours SEL_ALPHA=2.0 NUM_TARGETS=8 NUM_VICTIMS=6 sh sel_dpp.sh
14	b2040_attack_014_resnet20_fc_dog_bird_b0_04_ours_j.sh	ResNet20BN	fc	dog-bird	0.04	greedy_j	1725	1770	USE_JACOBIAN_SCORE=1 JACOBIAN_WEIGHT=1.0 JACOBIAN_BATCH_SIZE=64 CLASS_PAIR=dog-bird MODEL=ResNet20BN ATTACK=fc BUDGETS=0.04 SELECT=ours SEL_ALPHA=2.0 NUM_TARGETS=8 NUM_VICTIMS=6 sh sel_dpp.sh
15	b2040_attack_015_resnet20_fc_dog_bird_b0_04_dpp_j.sh	ResNet20BN	fc	dog-bird	0.04	dpp_j	1725	1770	USE_JACOBIAN_SCORE=1 JACOBIAN_WEIGHT=1.0 JACOBIAN_BATCH_SIZE=64 CLASS_PAIR=dog-bird MODEL=ResNet20BN ATTACK=fc BUDGETS=0.04 SELECT=dpp SEL_ALPHA=2.0 NUM_TARGETS=8 NUM_VICTIMS=6 sh sel_dpp.sh
16	b2040_attack_016_resnet20_fc_frog_airplane_b0_04_ours_std.sh	ResNet20BN	fc	frog-airplane	0.04	greedy	150	195	USE_JACOBIAN_SCORE=0 JACOBIAN_WEIGHT=1.0 JACOBIAN_BATCH_SIZE=64 CLASS_PAIR=frog-airplane MODEL=ResNet20BN ATTACK=fc BUDGETS=0.04 SELECT=ours SEL_ALPHA=2.0 NUM_TARGETS=8 NUM_VICTIMS=6 sh sel_dpp.sh
17	b2040_attack_017_resnet20_fc_frog_airplane_b0_04_ours_j.sh	ResNet20BN	fc	frog-airplane	0.04	greedy_j	1725	1770	USE_JACOBIAN_SCORE=1 JACOBIAN_WEIGHT=1.0 JACOBIAN_BATCH_SIZE=64 CLASS_PAIR=frog-airplane MODEL=ResNet20BN ATTACK=fc BUDGETS=0.04 SELECT=ours SEL_ALPHA=2.0 NUM_TARGETS=8 NUM_VICTIMS=6 sh sel_dpp.sh
18	b2040_attack_018_resnet20_fc_frog_airplane_b0_04_dpp_j.sh	ResNet20BN	fc	frog-airplane	0.04	dpp_j	1725	1770	USE_JACOBIAN_SCORE=1 JACOBIAN_WEIGHT=1.0 JACOBIAN_BATCH_SIZE=64 CLASS_PAIR=frog-airplane MODEL=ResNet20BN ATTACK=fc BUDGETS=0.04 SELECT=dpp SEL_ALPHA=2.0 NUM_TARGETS=8 NUM_VICTIMS=6 sh sel_dpp.sh
19	b2040_attack_019_vgg13_fc_dog_bird_b0_04_ours_std.sh	VGG13BN	fc	dog-bird	0.04	greedy	120	165	USE_JACOBIAN_SCORE=0 JACOBIAN_WEIGHT=1.0 JACOBIAN_BATCH_SIZE=64 CLASS_PAIR=dog-bird MODEL=VGG13BN ATTACK=fc BUDGETS=0.04 SELECT=ours SEL_ALPHA=2.0 NUM_TARGETS=8 NUM_VICTIMS=6 sh sel_dpp.sh
20	b2040_attack_020_vgg13_fc_dog_bird_b0_04_ours_j.sh	VGG13BN	fc	dog-bird	0.04	greedy_j	1710	1755	USE_JACOBIAN_SCORE=1 JACOBIAN_WEIGHT=1.0 JACOBIAN_BATCH_SIZE=64 CLASS_PAIR=dog-bird MODEL=VGG13BN ATTACK=fc BUDGETS=0.04 SELECT=ours SEL_ALPHA=2.0 NUM_TARGETS=8 NUM_VICTIMS=6 sh sel_dpp.sh
21	b2040_attack_021_vgg13_fc_dog_bird_b0_04_dpp_j.sh	VGG13BN	fc	dog-bird	0.04	dpp_j	1725	1770	USE_JACOBIAN_SCORE=1 JACOBIAN_WEIGHT=1.0 JACOBIAN_BATCH_SIZE=64 CLASS_PAIR=dog-bird MODEL=VGG13BN ATTACK=fc BUDGETS=0.04 SELECT=dpp SEL_ALPHA=2.0 NUM_TARGETS=8 NUM_VICTIMS=6 sh sel_dpp.sh
22	b2040_attack_022_vgg13_fc_frog_airplane_b0_04_ours_std.sh	VGG13BN	fc	frog-airplane	0.04	greedy	120	165	USE_JACOBIAN_SCORE=0 JACOBIAN_WEIGHT=1.0 JACOBIAN_BATCH_SIZE=64 CLASS_PAIR=frog-airplane MODEL=VGG13BN ATTACK=fc BUDGETS=0.04 SELECT=ours SEL_ALPHA=2.0 NUM_TARGETS=8 NUM_VICTIMS=6 sh sel_dpp.sh
23	b2040_attack_023_vgg13_fc_frog_airplane_b0_04_ours_j.sh	VGG13BN	fc	frog-airplane	0.04	greedy_j	1710	1755	USE_JACOBIAN_SCORE=1 JACOBIAN_WEIGHT=1.0 JACOBIAN_BATCH_SIZE=64 CLASS_PAIR=frog-airplane MODEL=VGG13BN ATTACK=fc BUDGETS=0.04 SELECT=ours SEL_ALPHA=2.0 NUM_TARGETS=8 NUM_VICTIMS=6 sh sel_dpp.sh
24	b2040_attack_024_vgg13_fc_frog_airplane_b0_04_dpp_j.sh	VGG13BN	fc	frog-airplane	0.04	dpp_j	1725	1770	USE_JACOBIAN_SCORE=1 JACOBIAN_WEIGHT=1.0 JACOBIAN_BATCH_SIZE=64 CLASS_PAIR=frog-airplane MODEL=VGG13BN ATTACK=fc BUDGETS=0.04 SELECT=dpp SEL_ALPHA=2.0 NUM_TARGETS=8 NUM_VICTIMS=6 sh sel_dpp.sh
25	b2040_attack_025_resnet20_gradmatch_dog_bird_b0_02_ours_std.sh	ResNet20BN	gradmatch	dog-bird	0.02	greedy	405	420	USE_JACOBIAN_SCORE=0 JACOBIAN_WEIGHT=1.0 JACOBIAN_BATCH_SIZE=64 CLASS_PAIR=dog-bird MODEL=ResNet20BN ATTACK=gradmatch BUDGETS=0.02 SELECT=ours SEL_ALPHA=2.0 NUM_TARGETS=8 NUM_VICTIMS=6 sh sel_dpp.sh
26	b2040_attack_026_resnet20_gradmatch_dog_bird_b0_02_ours_j.sh	ResNet20BN	gradmatch	dog-bird	0.02	greedy_j	1080	1125	USE_JACOBIAN_SCORE=1 JACOBIAN_WEIGHT=1.0 JACOBIAN_BATCH_SIZE=64 CLASS_PAIR=dog-bird MODEL=ResNet20BN ATTACK=gradmatch BUDGETS=0.02 SELECT=ours SEL_ALPHA=2.0 NUM_TARGETS=8 NUM_VICTIMS=6 sh sel_dpp.sh
27	b2040_attack_027_resnet20_gradmatch_dog_bird_b0_02_dpp_j.sh	ResNet20BN	gradmatch	dog-bird	0.02	dpp_j	1080	1125	USE_JACOBIAN_SCORE=1 JACOBIAN_WEIGHT=1.0 JACOBIAN_BATCH_SIZE=64 CLASS_PAIR=dog-bird MODEL=ResNet20BN ATTACK=gradmatch BUDGETS=0.02 SELECT=dpp SEL_ALPHA=2.0 NUM_TARGETS=8 NUM_VICTIMS=6 sh sel_dpp.sh
28	b2040_attack_028_resnet20_gradmatch_frog_airplane_b0_02_ours_std.sh	ResNet20BN	gradmatch	frog-airplane	0.02	greedy	405	420	USE_JACOBIAN_SCORE=0 JACOBIAN_WEIGHT=1.0 JACOBIAN_BATCH_SIZE=64 CLASS_PAIR=frog-airplane MODEL=ResNet20BN ATTACK=gradmatch BUDGETS=0.02 SELECT=ours SEL_ALPHA=2.0 NUM_TARGETS=8 NUM_VICTIMS=6 sh sel_dpp.sh
29	b2040_attack_029_resnet20_gradmatch_frog_airplane_b0_02_ours_j.sh	ResNet20BN	gradmatch	frog-airplane	0.02	greedy_j	1080	1125	USE_JACOBIAN_SCORE=1 JACOBIAN_WEIGHT=1.0 JACOBIAN_BATCH_SIZE=64 CLASS_PAIR=frog-airplane MODEL=ResNet20BN ATTACK=gradmatch BUDGETS=0.02 SELECT=ours SEL_ALPHA=2.0 NUM_TARGETS=8 NUM_VICTIMS=6 sh sel_dpp.sh
30	b2040_attack_030_resnet20_gradmatch_frog_airplane_b0_02_dpp_j.sh	ResNet20BN	gradmatch	frog-airplane	0.02	dpp_j	1080	1125	USE_JACOBIAN_SCORE=1 JACOBIAN_WEIGHT=1.0 JACOBIAN_BATCH_SIZE=64 CLASS_PAIR=frog-airplane MODEL=ResNet20BN ATTACK=gradmatch BUDGETS=0.02 SELECT=dpp SEL_ALPHA=2.0 NUM_TARGETS=8 NUM_VICTIMS=6 sh sel_dpp.sh
