index	file	model	attack	pair	budget	method	estimate	walltime	command
41	b2040_attack_041_resnet20_sapa_frog_airplane_b0_02_ours_j.sh	ResNet20BN	sapa	frog-airplane	0.02	greedy_j	1080	1125	USE_JACOBIAN_SCORE=1 JACOBIAN_WEIGHT=1.0 JACOBIAN_BATCH_SIZE=64 CLASS_PAIR=frog-airplane MODEL=ResNet20BN ATTACK=sapa SHARP_MODE=worst SHARP_SIGMA=0.05 BUDGETS=0.02 SELECT=ours SEL_ALPHA=2.0 NUM_TARGETS=8 NUM_VICTIMS=6 sh sel_dpp.sh
42	b2040_attack_042_resnet20_sapa_frog_airplane_b0_02_dpp_j.sh	ResNet20BN	sapa	frog-airplane	0.02	dpp_j	1080	1125	USE_JACOBIAN_SCORE=1 JACOBIAN_WEIGHT=1.0 JACOBIAN_BATCH_SIZE=64 CLASS_PAIR=frog-airplane MODEL=ResNet20BN ATTACK=sapa SHARP_MODE=worst SHARP_SIGMA=0.05 BUDGETS=0.02 SELECT=dpp SEL_ALPHA=2.0 NUM_TARGETS=8 NUM_VICTIMS=6 sh sel_dpp.sh
43	b2040_attack_043_vgg13_sapa_dog_bird_b0_02_ours_std.sh	VGG13BN	sapa	dog-bird	0.02	greedy	435	480	USE_JACOBIAN_SCORE=0 JACOBIAN_WEIGHT=1.0 JACOBIAN_BATCH_SIZE=64 CLASS_PAIR=dog-bird MODEL=VGG13BN ATTACK=sapa SHARP_MODE=worst SHARP_SIGMA=0.05 BUDGETS=0.02 SELECT=ours SEL_ALPHA=2.0 NUM_TARGETS=8 NUM_VICTIMS=6 sh sel_dpp.sh
44	b2040_attack_044_vgg13_sapa_dog_bird_b0_02_ours_j.sh	VGG13BN	sapa	dog-bird	0.02	greedy_j	1080	1125	USE_JACOBIAN_SCORE=1 JACOBIAN_WEIGHT=1.0 JACOBIAN_BATCH_SIZE=64 CLASS_PAIR=dog-bird MODEL=VGG13BN ATTACK=sapa SHARP_MODE=worst SHARP_SIGMA=0.05 BUDGETS=0.02 SELECT=ours SEL_ALPHA=2.0 NUM_TARGETS=8 NUM_VICTIMS=6 sh sel_dpp.sh
45	b2040_attack_045_vgg13_sapa_dog_bird_b0_02_dpp_j.sh	VGG13BN	sapa	dog-bird	0.02	dpp_j	1080	1125	USE_JACOBIAN_SCORE=1 JACOBIAN_WEIGHT=1.0 JACOBIAN_BATCH_SIZE=64 CLASS_PAIR=dog-bird MODEL=VGG13BN ATTACK=sapa SHARP_MODE=worst SHARP_SIGMA=0.05 BUDGETS=0.02 SELECT=dpp SEL_ALPHA=2.0 NUM_TARGETS=8 NUM_VICTIMS=6 sh sel_dpp.sh
46	b2040_attack_046_vgg13_sapa_frog_airplane_b0_02_ours_std.sh	VGG13BN	sapa	frog-airplane	0.02	greedy	435	480	USE_JACOBIAN_SCORE=0 JACOBIAN_WEIGHT=1.0 JACOBIAN_BATCH_SIZE=64 CLASS_PAIR=frog-airplane MODEL=VGG13BN ATTACK=sapa SHARP_MODE=worst SHARP_SIGMA=0.05 BUDGETS=0.02 SELECT=ours SEL_ALPHA=2.0 NUM_TARGETS=8 NUM_VICTIMS=6 sh sel_dpp.sh
47	b2040_attack_047_vgg13_sapa_frog_airplane_b0_02_ours_j.sh	VGG13BN	sapa	frog-airplane	0.02	greedy_j	1080	1125	USE_JACOBIAN_SCORE=1 JACOBIAN_WEIGHT=1.0 JACOBIAN_BATCH_SIZE=64 CLASS_PAIR=frog-airplane MODEL=VGG13BN ATTACK=sapa SHARP_MODE=worst SHARP_SIGMA=0.05 BUDGETS=0.02 SELECT=ours SEL_ALPHA=2.0 NUM_TARGETS=8 NUM_VICTIMS=6 sh sel_dpp.sh
48	b2040_attack_048_vgg13_sapa_frog_airplane_b0_02_dpp_j.sh	VGG13BN	sapa	frog-airplane	0.02	dpp_j	1080	1125	USE_JACOBIAN_SCORE=1 JACOBIAN_WEIGHT=1.0 JACOBIAN_BATCH_SIZE=64 CLASS_PAIR=frog-airplane MODEL=VGG13BN ATTACK=sapa SHARP_MODE=worst SHARP_SIGMA=0.05 BUDGETS=0.02 SELECT=dpp SEL_ALPHA=2.0 NUM_TARGETS=8 NUM_VICTIMS=6 sh sel_dpp.sh
49	b2040_attack_049_resnet20_gradmatch_dog_bird_b0_04_ours_std.sh	ResNet20BN	gradmatch	dog-bird	0.04	greedy	660	705	USE_JACOBIAN_SCORE=0 JACOBIAN_WEIGHT=1.0 JACOBIAN_BATCH_SIZE=64 CLASS_PAIR=dog-bird MODEL=ResNet20BN ATTACK=gradmatch BUDGETS=0.04 SELECT=ours SEL_ALPHA=2.0 NUM_TARGETS=8 NUM_VICTIMS=6 sh sel_dpp.sh
50	b2040_attack_050_resnet20_gradmatch_dog_bird_b0_04_ours_j.sh	ResNet20BN	gradmatch	dog-bird	0.04	greedy_j	1725	1770	USE_JACOBIAN_SCORE=1 JACOBIAN_WEIGHT=1.0 JACOBIAN_BATCH_SIZE=64 CLASS_PAIR=dog-bird MODEL=ResNet20BN ATTACK=gradmatch BUDGETS=0.04 SELECT=ours SEL_ALPHA=2.0 NUM_TARGETS=8 NUM_VICTIMS=6 sh sel_dpp.sh
51	b2040_attack_051_resnet20_gradmatch_dog_bird_b0_04_dpp_j.sh	ResNet20BN	gradmatch	dog-bird	0.04	dpp_j	1725	1770	USE_JACOBIAN_SCORE=1 JACOBIAN_WEIGHT=1.0 JACOBIAN_BATCH_SIZE=64 CLASS_PAIR=dog-bird MODEL=ResNet20BN ATTACK=gradmatch BUDGETS=0.04 SELECT=dpp SEL_ALPHA=2.0 NUM_TARGETS=8 NUM_VICTIMS=6 sh sel_dpp.sh
52	b2040_attack_052_resnet20_gradmatch_frog_airplane_b0_04_ours_std.sh	ResNet20BN	gradmatch	frog-airplane	0.04	greedy	660	705	USE_JACOBIAN_SCORE=0 JACOBIAN_WEIGHT=1.0 JACOBIAN_BATCH_SIZE=64 CLASS_PAIR=frog-airplane MODEL=ResNet20BN ATTACK=gradmatch BUDGETS=0.04 SELECT=ours SEL_ALPHA=2.0 NUM_TARGETS=8 NUM_VICTIMS=6 sh sel_dpp.sh
53	b2040_attack_053_resnet20_gradmatch_frog_airplane_b0_04_ours_j.sh	ResNet20BN	gradmatch	frog-airplane	0.04	greedy_j	1725	1770	USE_JACOBIAN_SCORE=1 JACOBIAN_WEIGHT=1.0 JACOBIAN_BATCH_SIZE=64 CLASS_PAIR=frog-airplane MODEL=ResNet20BN ATTACK=gradmatch BUDGETS=0.04 SELECT=ours SEL_ALPHA=2.0 NUM_TARGETS=8 NUM_VICTIMS=6 sh sel_dpp.sh
54	b2040_attack_054_resnet20_gradmatch_frog_airplane_b0_04_dpp_j.sh	ResNet20BN	gradmatch	frog-airplane	0.04	dpp_j	1725	1770	USE_JACOBIAN_SCORE=1 JACOBIAN_WEIGHT=1.0 JACOBIAN_BATCH_SIZE=64 CLASS_PAIR=frog-airplane MODEL=ResNet20BN ATTACK=gradmatch BUDGETS=0.04 SELECT=dpp SEL_ALPHA=2.0 NUM_TARGETS=8 NUM_VICTIMS=6 sh sel_dpp.sh
55	b2040_attack_055_vgg13_gradmatch_dog_bird_b0_04_ours_std.sh	VGG13BN	gradmatch	dog-bird	0.04	greedy	885	930	USE_JACOBIAN_SCORE=0 JACOBIAN_WEIGHT=1.0 JACOBIAN_BATCH_SIZE=64 CLASS_PAIR=dog-bird MODEL=VGG13BN ATTACK=gradmatch BUDGETS=0.04 SELECT=ours SEL_ALPHA=2.0 NUM_TARGETS=8 NUM_VICTIMS=6 sh sel_dpp.sh
56	b2040_attack_056_vgg13_gradmatch_dog_bird_b0_04_ours_j.sh	VGG13BN	gradmatch	dog-bird	0.04	greedy_j	1710	1755	USE_JACOBIAN_SCORE=1 JACOBIAN_WEIGHT=1.0 JACOBIAN_BATCH_SIZE=64 CLASS_PAIR=dog-bird MODEL=VGG13BN ATTACK=gradmatch BUDGETS=0.04 SELECT=ours SEL_ALPHA=2.0 NUM_TARGETS=8 NUM_VICTIMS=6 sh sel_dpp.sh
