model,num_checkpoints,mean_acc,std_acc
ConvNetBN,6,0.8359,0.004341428336388861
ResNet20BN,6,0.8551666666666666,0.004892306885986061
VGG13BN,6,0.8784166666666666,0.004213035327013839
