dataset,model,attack,base,class_pair,seed,num_surrogate,coef,budget,num_poisons,epsilon,target_margin_low,target_margin_high,target_id,victim_id,success,clean_test_acc
CIFAR10,ConvNetBN,FC,random,frog-airplane,42,,,0.02,1000,0.0313,0.05,0.5,8804,0,1,0.8427427427427427
CIFAR10,ConvNetBN,FC,random,frog-airplane,42,,,0.02,1000,0.0313,0.05,0.5,8804,1,1,0.838038038038038
CIFAR10,ConvNetBN,FC,random,frog-airplane,42,,,0.02,1000,0.0313,0.05,0.5,8804,2,1,0.8444444444444444
CIFAR10,ConvNetBN,FC,random,frog-airplane,42,,,0.02,1000,0.0313,0.05,0.5,8804,3,1,0.8389389389389389
CIFAR10,ConvNetBN,FC,random,frog-airplane,42,,,0.02,1000,0.0313,0.05,0.5,8804,4,1,0.8407407407407408
CIFAR10,ConvNetBN,FC,random,frog-airplane,42,,,0.02,1000,0.0313,0.05,0.5,8804,5,1,0.8432432432432433
CIFAR10,ConvNetBN,FC,random,frog-airplane,42,,,0.02,1000,0.0313,0.05,0.5,9513,0,1,0.8414414414414414
CIFAR10,ConvNetBN,FC,random,frog-airplane,42,,,0.02,1000,0.0313,0.05,0.5,9513,1,0,0.8374374374374375
CIFAR10,ConvNetBN,FC,random,frog-airplane,42,,,0.02,1000,0.0313,0.05,0.5,9513,2,0,0.8421421421421421
CIFAR10,ConvNetBN,FC,random,frog-airplane,42,,,0.02,1000,0.0313,0.05,0.5,9513,3,1,0.8283283283283284
CIFAR10,ConvNetBN,FC,random,frog-airplane,42,,,0.02,1000,0.0313,0.05,0.5,9513,4,0,0.8397397397397397
CIFAR10,ConvNetBN,FC,random,frog-airplane,42,,,0.02,1000,0.0313,0.05,0.5,9513,5,0,0.8333333333333334
CIFAR10,ConvNetBN,FC,random,frog-airplane,42,,,0.02,1000,0.0313,0.05,0.5,7,0,1,0.8208208208208209
CIFAR10,ConvNetBN,FC,random,frog-airplane,42,,,0.02,1000,0.0313,0.05,0.5,7,1,1,0.8258258258258259
CIFAR10,ConvNetBN,FC,random,frog-airplane,42,,,0.02,1000,0.0313,0.05,0.5,7,2,1,0.8350350350350351
CIFAR10,ConvNetBN,FC,random,frog-airplane,42,,,0.02,1000,0.0313,0.05,0.5,7,3,1,0.8361361361361361
CIFAR10,ConvNetBN,FC,random,frog-airplane,42,,,0.02,1000,0.0313,0.05,0.5,7,4,1,0.8451451451451452
CIFAR10,ConvNetBN,FC,random,frog-airplane,42,,,0.02,1000,0.0313,0.05,0.5,7,5,1,0.8408408408408409
CIFAR10,ConvNetBN,FC,random,frog-airplane,42,,,0.02,1000,0.0313,0.05,0.5,7117,0,1,0.8377377377377377
CIFAR10,ConvNetBN,FC,random,frog-airplane,42,,,0.02,1000,0.0313,0.05,0.5,7117,1,1,0.8331331331331331
CIFAR10,ConvNetBN,FC,random,frog-airplane,42,,,0.02,1000,0.0313,0.05,0.5,7117,2,1,0.8376376376376377
CIFAR10,ConvNetBN,FC,random,frog-airplane,42,,,0.02,1000,0.0313,0.05,0.5,7117,3,1,0.8376376376376377
CIFAR10,ConvNetBN,FC,random,frog-airplane,42,,,0.02,1000,0.0313,0.05,0.5,7117,4,1,0.8405405405405405
CIFAR10,ConvNetBN,FC,random,frog-airplane,42,,,0.02,1000,0.0313,0.05,0.5,7117,5,1,0.8395395395395395
CIFAR10,ConvNetBN,FC,random,frog-airplane,42,,,0.02,1000,0.0313,0.05,0.5,476,0,0,0.8417417417417418
CIFAR10,ConvNetBN,FC,random,frog-airplane,42,,,0.02,1000,0.0313,0.05,0.5,476,1,0,0.8338338338338338
CIFAR10,ConvNetBN,FC,random,frog-airplane,42,,,0.02,1000,0.0313,0.05,0.5,476,2,0,0.8421421421421421
CIFAR10,ConvNetBN,FC,random,frog-airplane,42,,,0.02,1000,0.0313,0.05,0.5,476,3,0,0.8413413413413413
CIFAR10,ConvNetBN,FC,random,frog-airplane,42,,,0.02,1000,0.0313,0.05,0.5,476,4,0,0.8414414414414414
CIFAR10,ConvNetBN,FC,random,frog-airplane,42,,,0.02,1000,0.0313,0.05,0.5,476,5,0,0.838038038038038
CIFAR10,ConvNetBN,FC,random,frog-airplane,42,,,0.02,1000,0.0313,0.05,0.5,9705,0,0,0.8358358358358359
CIFAR10,ConvNetBN,FC,random,frog-airplane,42,,,0.02,1000,0.0313,0.05,0.5,9705,1,0,0.8404404404404404
CIFAR10,ConvNetBN,FC,random,frog-airplane,42,,,0.02,1000,0.0313,0.05,0.5,9705,2,1,0.8391391391391392
