clean_test_acc,method,num_poisons,prediction,realized_linf,success,target_idx,victim_id
0.495,minus-m,8,14,0.03137257695198059,0,693,0
0.534,minus-m,8,13,0.03137257695198059,0,693,1
0.523,minus-m,8,13,0.03137257695198059,0,693,2
0.544,minus-m,8,14,0.03137257695198059,0,693,3
0.556,minus-m,8,13,0.03137257695198059,0,693,4
0.562,minus-m,8,13,0.03137257695198059,0,693,5
0.564,minus-m,8,13,0.03137257695198059,0,651,0
0.48,minus-m,8,13,0.03137257695198059,0,651,1
0.528,minus-m,8,13,0.03137257695198059,0,651,2
0.571,minus-m,8,13,0.03137257695198059,0,651,3
0.54,minus-m,8,13,0.03137257695198059,0,651,4
0.537,minus-m,8,13,0.03137257695198059,0,651,5
0.54,minus-m,8,13,0.03137257695198059,0,664,0
0.518,minus-m,8,13,0.03137257695198059,0,664,1
0.582,minus-m,8,13,0.03137257695198059,0,664,2
0.568,minus-m,8,13,0.03137257695198059,0,664,3
0.467,minus-m,8,13,0.03137257695198059,0,664,4
0.523,minus-m,8,13,0.03137257695198059,0,664,5
0.443,minus-m,8,13,0.03137257695198059,0,686,0
0.524,minus-m,8,13,0.03137257695198059,0,686,1
0.547,minus-m,8,13,0.03137257695198059,0,686,2
0.509,minus-m,8,13,0.03137257695198059,0,686,3
0.565,minus-m,8,13,0.03137257695198059,0,686,4
0.466,minus-m,8,13,0.03137257695198059,0,686,5
0.57,minus-m,8,13,0.03137257695198059,0,662,0
0.523,minus-m,8,13,0.03137257695198059,0,662,1
0.545,minus-m,8,13,0.03137257695198059,0,662,2
0.474,minus-m,8,13,0.03137257695198059,0,662,3
0.527,minus-m,8,13,0.03137257695198059,0,662,4
0.54,minus-m,8,13,0.03137257695198059,0,662,5
0.534,minus-m,8,13,0.03137257695198059,0,650,0
0.553,minus-m,8,13,0.03137257695198059,0,650,1
0.524,minus-m,8,13,0.03137257695198059,0,650,2
0.564,minus-m,8,13,0.03137257695198059,0,650,3
0.565,minus-m,8,13,0.03137257695198059,0,650,4
0.515,minus-m,8,13,0.03137257695198059,0,650,5
0.565,minus-m,8,13,0.03137257695198059,0,677,0
0.498,minus-m,8,13,0.03137257695198059,0,677,1
0.542,minus-m,8,13,0.03137257695198059,0,677,2
0.521,minus-m,8,13,0.03137257695198059,0,677,3
0.536,minus-m,8,13,0.03137257695198059,0,677,4
0.522,minus-m,8,13,0.03137257695198059,0,677,5
0.571,minus-m,8,13,0.03137257695198059,0,657,0
0.522,minus-m,8,13,0.03137257695198059,0,657,1
0.547,minus-m,8,13,0.03137257695198059,0,657,2
0.569,minus-m,8,13,0.03137257695198059,0,657,3
0.572,minus-m,8,13,0.03137257695198059,0,657,4
0.595,minus-m,8,13,0.03137257695198059,0,657,5
