run,attack_dir,defense,defense_tag,aug,model,attack,base,sel,class_pair,seed,budget,epsilon,num_targets,num_trials,asr_mean,asr_std,cta_post_mean,cta_post_std,cta_baseline_mean,cta_baseline_std,frac_poison_dropped_mean,frac_clean_dropped_mean,cta_drop_mean
CIFAR10_ResNet20BN_fc_random_frog-airplane_b0.01_eps8_seed42_ce5_tgt2,ours_result/CIFAR10_ResNet20BN_fc_random_frog-airplane_b0.01_eps8_seed42_ce5_tgt2,none,none+aug-cutout,cutout,ResNet20BN,fc,random,random,frog-airplane,42,0.01,0.0313725,5,20,0.0,0.0,0.8995150000000001,0.0024226586635347483,0.8991250000000001,0.002016649448962297,,,0.00039000000000000146
CIFAR10_ResNet20BN_gradmatch_random_dog-bird_b0.02_eps8_seed42_ce5_tgt14,ours_result/CIFAR10_ResNet20BN_gradmatch_random_dog-bird_b0.02_eps8_seed42_ce5_tgt14,none,none+aug-cutout,cutout,ResNet20BN,gradmatch,random,random,dog-bird,42,0.02,0.0313725,5,20,0.4,0.3391164991562634,0.8991199999999999,0.0024549134404292243,0.8991250000000001,0.002016649448962297,,,-5.000000000143778e-06
CIFAR10_ResNet20BN_gradmatch_ours_frog-airplane_b0.002_eps8_seed42_lam1_cosine_seldpp2_ce5_tgt10,ours_result/CIFAR10_ResNet20BN_gradmatch_ours_frog-airplane_b0.002_eps8_seed42_lam1_cosine_seldpp2_ce5_tgt10,none,none+aug-cutout,cutout,ResNet20BN,gradmatch,ours,dpp2,frog-airplane,42,0.002,0.0313725,5,20,0.0,0.0,0.899775,0.001897070109405546,0.8991250000000001,0.002016649448962297,,,0.0006499999999999284
CIFAR10_ResNet20BN_fc_ours_frog-airplane_b0.01_eps8_seed42_lam1_cosine_seldpp2_ce5_tgt2,ours_result/CIFAR10_ResNet20BN_fc_ours_frog-airplane_b0.01_eps8_seed42_lam1_cosine_seldpp2_ce5_tgt2,none,none+aug-cutout,cutout,ResNet20BN,fc,ours,dpp2,frog-airplane,42,0.01,0.0313725,5,20,0.0,0.0,0.89826,0.002472326839234666,0.8991250000000001,0.002016649448962297,,,-0.0008650000000001157
CIFAR10_ResNet20BN_gradmatch_ours_dog-bird_b0.02_eps8_seed42_lam1_cosine_seldpp2_ce5_tgt14,ours_result/CIFAR10_ResNet20BN_gradmatch_ours_dog-bird_b0.02_eps8_seed42_lam1_cosine_seldpp2_ce5_tgt14,none,none+aug-cutout,cutout,ResNet20BN,gradmatch,ours,dpp2,dog-bird,42,0.02,0.0313725,5,20,0.7,0.4,0.896495,0.00255489236563892,0.8991250000000001,0.002016649448962297,,,-0.002630000000000021
CIFAR10_ResNet20BN_gradmatch_random_frog-airplane_b0.02_eps8_seed42_ce5_tgt10,ours_result/CIFAR10_ResNet20BN_gradmatch_random_frog-airplane_b0.02_eps8_seed42_ce5_tgt10,none,none+aug-cutout,cutout,ResNet20BN,gradmatch,random,random,frog-airplane,42,0.02,0.0313725,5,20,0.0,0.0,0.89955,0.002245996438109382,0.8991250000000001,0.002016649448962297,,,0.0004249999999998977
CIFAR10_ResNet20BN_fc_random_dog-bird_b0.002_eps8_seed42_ce5_tgt10,ours_result/CIFAR10_ResNet20BN_fc_random_dog-bird_b0.002_eps8_seed42_ce5_tgt10,none,none+aug-cutout,cutout,ResNet20BN,fc,random,random,dog-bird,42,0.002,0.0313725,5,20,0.0,0.0,0.9004300000000001,0.0025256880250735646,0.8991250000000001,0.002016649448962297,,,0.0013050000000000006
CIFAR10_ResNet20BN_gradmatch_random_frog-airplane_b0.002_eps8_seed42_ce5_tgt10,ours_result/CIFAR10_ResNet20BN_gradmatch_random_frog-airplane_b0.002_eps8_seed42_ce5_tgt10,none,none+aug-randaug,randaug,ResNet20BN,gradmatch,random,random,frog-airplane,42,0.002,0.0313725,5,20,0.0,0.0,0.9025949999999998,0.003299768931304136,0.9015249999999999,0.0011605494388435313,,,0.0010699999999999044
CIFAR10_ResNet20BN_fc_random_dog-bird_b0.01_eps8_seed42_ce5_tgt10,ours_result/CIFAR10_ResNet20BN_fc_random_dog-bird_b0.01_eps8_seed42_ce5_tgt10,none,none+aug-randaug,randaug,ResNet20BN,fc,random,random,dog-bird,42,0.01,0.0313725,5,20,0.0,0.0,0.9036249999999999,0.002410990460370994,0.9042749999999999,0.002122940178149176,,,-0.0006500000000000394
CIFAR10_ResNet20BN_fc_random_frog-airplane_b0.002_eps8_seed42_ce5_tgt2,ours_result/CIFAR10_ResNet20BN_fc_random_frog-airplane_b0.002_eps8_seed42_ce5_tgt2,none,none+aug-randaug,randaug,ResNet20BN,fc,random,random,frog-airplane,42,0.002,0.0313725,5,20,0.0,0.0,0.9019250000000001,0.001959304723620099,0.9025000000000001,0.0011640446726822965,,,-0.0005749999999999922
