run,attack_dir,defense,defense_tag,aug,model,attack,base,sel,class_pair,seed,budget,epsilon,num_targets,num_trials,asr_mean,asr_std,cta_post_mean,cta_post_std,cta_baseline_mean,cta_baseline_std,frac_poison_dropped_mean,frac_clean_dropped_mean,cta_drop_mean
CIFAR10_ResNet20BN_gradmatch_ours_dog-bird_b0.02_eps8_seed42_lam1_cosine_seldpp2_ce5_tgt14,ours_result/CIFAR10_ResNet20BN_gradmatch_ours_dog-bird_b0.02_eps8_seed42_lam1_cosine_seldpp2_ce5_tgt14,friends,friends-friendly.bernoulli-e8-p5-clp16,none,ResNet20BN,gradmatch,ours,dpp2,dog-bird,42,0.02,0.0313725,10,40,0.35,0.25495097567963926,0.74555,0.00998706663640531,0.7488999999999999,0.010102722405371727,,,-0.003349999999999853
CIFAR10_ResNet20BN_fc_random_frog-airplane_b0.002_eps8_seed42_ce5_tgt2,ours_result/CIFAR10_ResNet20BN_fc_random_frog-airplane_b0.002_eps8_seed42_ce5_tgt2,epic,epic-s0.1-f2-d10,none,ResNet20BN,fc,random,random,frog-airplane,42,0.002,0.0313725,10,40,0.05,0.10000000000000002,0.80002,0.023075432823676356,0.7873249999999999,0.047147342183838974,0.937,0.684996993987976,0.012695000000000012
CIFAR10_ResNet20BN_fc_random_frog-airplane_b0.01_eps8_seed42_ce5_tgt2,ours_result/CIFAR10_ResNet20BN_fc_random_frog-airplane_b0.01_eps8_seed42_ce5_tgt2,epic,epic-s0.1-f2-d10,none,ResNet20BN,fc,random,random,frog-airplane,42,0.01,0.0313725,10,40,0.1,0.16583123951777,0.8025675,0.024309168923474126,0.8046,0.019981491435826303,0.84465,0.6841116161616161,-0.0020324999999999926
CIFAR10_ResNet20BN_fc_random_dog-bird_b0.01_eps8_seed42_ce5_tgt10,ours_result/CIFAR10_ResNet20BN_fc_random_dog-bird_b0.01_eps8_seed42_ce5_tgt10,epic,epic-s0.1-f2-d10,none,ResNet20BN,fc,random,random,dog-bird,42,0.01,0.0313725,10,40,0.325,0.25124689052802224,0.8045375,0.01990020964085555,0.826375,0.005662320637335898,0.81845,0.6673979797979799,-0.021837499999999954
CIFAR10_ResNet20BN_fc_random_dog-bird_b0.002_eps8_seed42_ce5_tgt10,ours_result/CIFAR10_ResNet20BN_fc_random_dog-bird_b0.002_eps8_seed42_ce5_tgt10,epic,epic-s0.1-f2-d10,none,ResNet20BN,fc,random,random,dog-bird,42,0.002,0.0313725,10,40,0.175,0.25124689052802224,0.8007325,0.022901052241108916,0.7884,0.04616270139409087,0.93825,0.6889564128256513,0.012332499999999968
CIFAR10_ResNet20BN_gradmatch_random_frog-airplane_b0.002_eps8_seed42_ce5_tgt10,ours_result/CIFAR10_ResNet20BN_gradmatch_random_frog-airplane_b0.002_eps8_seed42_ce5_tgt10,friends,friends-friendly.bernoulli-e8-p5-clp16,none,ResNet20BN,gradmatch,random,random,frog-airplane,42,0.002,0.0313725,10,40,0.0,0.0,0.741955,0.012685187227628921,0.7488999999999999,0.010102722405371727,,,-0.006944999999999868
CIFAR10_ResNet20BN_gradmatch_random_frog-airplane_b0.02_eps8_seed42_ce5_tgt10,ours_result/CIFAR10_ResNet20BN_gradmatch_random_frog-airplane_b0.02_eps8_seed42_ce5_tgt10,friends,friends-friendly.bernoulli-e8-p5-clp16,none,ResNet20BN,gradmatch,random,random,frog-airplane,42,0.02,0.0313725,10,40,0.0,0.0,0.7416225,0.012017996661257645,0.7488999999999999,0.010102722405371727,,,-0.007277499999999937
CIFAR10_ResNet20BN_gradmatch_ours_frog-airplane_b0.02_eps8_seed42_lam1_cosine_seldpp2_ce5_tgt10,ours_result/CIFAR10_ResNet20BN_gradmatch_ours_frog-airplane_b0.02_eps8_seed42_lam1_cosine_seldpp2_ce5_tgt10,friends,friends-friendly.bernoulli-e8-p5-clp16,none,ResNet20BN,gradmatch,ours,dpp2,frog-airplane,42,0.02,0.0313725,10,40,0.1,0.1224744871391589,0.7397225000000001,0.009011339731138764,0.7488999999999999,0.010102722405371727,,,-0.009177499999999839
CIFAR10_ResNet20BN_fc_ours_frog-airplane_b0.002_eps8_seed42_lam1_cosine_seldpp2_ce5_tgt2,ours_result/CIFAR10_ResNet20BN_fc_ours_frog-airplane_b0.002_eps8_seed42_lam1_cosine_seldpp2_ce5_tgt2,epic,epic-s0.1-f2-d10,none,ResNet20BN,fc,ours,dpp2,frog-airplane,42,0.002,0.0313725,10,40,0.025,0.07500000000000001,0.8009275,0.02747269542200036,0.821025,0.005382552832996611,0.99875,0.6799614228456914,-0.02009749999999999
CIFAR10_ResNet20BN_fc_ours_dog-bird_b0.01_eps8_seed42_lam1_cosine_seldpp2_ce5_tgt10,ours_result/CIFAR10_ResNet20BN_fc_ours_dog-bird_b0.01_eps8_seed42_lam1_cosine_seldpp2_ce5_tgt10,epic,epic-s0.1-f2-d10,none,ResNet20BN,fc,ours,dpp2,dog-bird,42,0.01,0.0313725,10,40,0.45,0.2692582403567252,0.80672,0.01850624489192771,0.821025,0.005382552832996611,0.8984,0.6644333333333333,-0.014305000000000012
CIFAR10_ResNet20BN_fc_ours_frog-airplane_b0.01_eps8_seed42_lam1_cosine_seldpp2_ce5_tgt2,ours_result/CIFAR10_ResNet20BN_fc_ours_frog-airplane_b0.01_eps8_seed42_lam1_cosine_seldpp2_ce5_tgt2,epic,epic-s0.1-f2-d10,none,ResNet20BN,fc,ours,dpp2,frog-airplane,42,0.01,0.0313725,10,40,0.225,0.17500000000000002,0.8064274999999999,0.020817312356545943,0.821025,0.005382552832996611,0.9581,0.659550505050505,-0.014597500000000152
CIFAR10_ResNet20BN_fc_ours_dog-bird_b0.002_eps8_seed42_lam1_cosine_seldpp2_ce5_tgt10,ours_result/CIFAR10_ResNet20BN_fc_ours_dog-bird_b0.002_eps8_seed42_lam1_cosine_seldpp2_ce5_tgt10,epic,epic-s0.1-f2-d10,none,ResNet20BN,fc,ours,dpp2,dog-bird,42,0.002,0.0313725,10,40,0.15,0.2549509756796392,0.8105100000000001,0.015339879399786685,0.821025,0.005382552832996611,0.9945,0.6481648296593188,-0.010514999999999941
CIFAR10_ResNet20BN_gradmatch_ours_frog-airplane_b0.002_eps8_seed42_lam1_cosine_seldpp2_ce5_tgt10,ours_result/CIFAR10_ResNet20BN_gradmatch_ours_frog-airplane_b0.002_eps8_seed42_lam1_cosine_seldpp2_ce5_tgt10,friends,friends-friendly.bernoulli-e8-p5-clp16,none,ResNet20BN,gradmatch,ours,dpp2,frog-airplane,42,0.002,0.0313725,10,40,0.05,0.10000000000000002,0.743085,0.010567155482910248,0.7488999999999999,0.010102722405371727,,,-0.005814999999999904
CIFAR10_ConvNetBN_fc_random_dog-bird_b0.002_eps8_seed42_ce5_tgt50,ours_result/CIFAR10_ConvNetBN_fc_random_dog-bird_b0.002_eps8_seed42_ce5_tgt50,none,none+aug-standard,standard,ConvNetBN,fc,random,random,dog-bird,42,0.002,0.0313725,5,22,0.0,0.0,0.8540363636363636,0.017749149671169806,0.8632,0.005410637670367552,,,-0.009163636363636374
CIFAR10_ConvNetBN_fc_ours_dog-bird_b0.002_eps8_seed42_lam1_cosine_seldpp2_ce5_tgt50,ours_result/CIFAR10_ConvNetBN_fc_ours_dog-bird_b0.002_eps8_seed42_lam1_cosine_seldpp2_ce5_tgt50,none,none+aug-standard,standard,ConvNetBN,fc,ours,dpp2,dog-bird,42,0.002,0.0313725,5,22,0.06666666666666667,0.13333333333333333,0.852390909090909,0.018743214750238376,0.8632,0.005410637670367552,,,-0.01080909090909099
CIFAR10_ConvNetBN_fc_random_dog-bird_b0.01_eps8_seed42_ce5_tgt50,ours_result/CIFAR10_ConvNetBN_fc_random_dog-bird_b0.01_eps8_seed42_ce5_tgt50,none,none+aug-standard,standard,ConvNetBN,fc,random,random,dog-bird,42,0.01,0.0313725,5,20,0.0,0.0,0.8519,0.022909954168439543,0.8632,0.005410637670367552,,,-0.011299999999999977
CIFAR10_ConvNetBN_fc_ours_dog-bird_b0.01_eps8_seed42_lam1_cosine_seldpp2_ce5_tgt50,ours_result/CIFAR10_ConvNetBN_fc_ours_dog-bird_b0.01_eps8_seed42_lam1_cosine_seldpp2_ce5_tgt50,none,none+aug-standard,standard,ConvNetBN,fc,ours,dpp2,dog-bird,42,0.01,0.0313725,5,20,0.25,0.22360679774997896,0.85135,0.022154830173124782,0.8632,0.005410637670367552,,,-0.011849999999999916
CIFAR10_ConvNetBN_fc_random_dog-bird_b0.002_eps8_seed42_ce5_tgt50,ours_result/CIFAR10_ConvNetBN_fc_random_dog-bird_b0.002_eps8_seed42_ce5_tgt50,none,none+aug-cutout,cutout,ConvNetBN,fc,random,random,dog-bird,42,0.002,0.0313725,5,20,0.05,0.10000000000000002,0.8543050000000001,0.019022236330147945,0.8654250000000001,0.006465050270492868,,,-0.011120000000000019
CIFAR10_ConvNetBN_fc_ours_dog-bird_b0.002_eps8_seed42_lam1_cosine_seldpp2_ce5_tgt50,ours_result/CIFAR10_ConvNetBN_fc_ours_dog-bird_b0.002_eps8_seed42_lam1_cosine_seldpp2_ce5_tgt50,none,none+aug-cutout,cutout,ConvNetBN,fc,ours,dpp2,dog-bird,42,0.002,0.0313725,5,20,0.1,0.20000000000000004,0.85396,0.017271664656309183,0.8654250000000001,0.006465050270492868,,,-0.011465000000000058
CIFAR10_ConvNetBN_fc_random_dog-bird_b0.01_eps8_seed42_ce5_tgt50,ours_result/CIFAR10_ConvNetBN_fc_random_dog-bird_b0.01_eps8_seed42_ce5_tgt50,none,none+aug-cutout,cutout,ConvNetBN,fc,random,random,dog-bird,42,0.01,0.0313725,5,20,0.0,0.0,0.8541950000000001,0.017250897802723205,0.8654250000000001,0.006465050270492868,,,-0.011229999999999962
CIFAR10_ConvNetBN_fc_random_dog-bird_b0.002_eps8_seed42_ce5_tgt50,ours_result/CIFAR10_ConvNetBN_fc_random_dog-bird_b0.002_eps8_seed42_ce5_tgt50,none,none+aug-randaug,randaug,ConvNetBN,fc,random,random,dog-bird,42,0.002,0.0313725,5,20,0.0,0.0,0.84189,0.028250768131149986,0.859475,0.009640117997203133,,,-0.017584999999999962
CIFAR10_ConvNetBN_fc_ours_dog-bird_b0.01_eps8_seed42_lam1_cosine_seldpp2_ce5_tgt50,ours_result/CIFAR10_ConvNetBN_fc_ours_dog-bird_b0.01_eps8_seed42_lam1_cosine_seldpp2_ce5_tgt50,none,none+aug-cutout,cutout,ConvNetBN,fc,ours,dpp2,dog-bird,42,0.01,0.0313725,5,20,0.25,0.22360679774997896,0.8529500000000001,0.015635072753268538,0.8654250000000001,0.006465050270492868,,,-0.012475000000000014
CIFAR10_ResNet20BN_gradmatch_ours_dog-bird_b0.02_eps8_seed42_lam1_cosine_seldpp2_ce5_tgt14,ours_result/CIFAR10_ResNet20BN_gradmatch_ours_dog-bird_b0.02_eps8_seed42_lam1_cosine_seldpp2_ce5_tgt14,none,none+aug-standard,standard,ResNet20BN,gradmatch,ours,dpp2,dog-bird,42,0.02,0.0313725,5,27,0.8266666666666665,0.2585429257288709,0.8924814814814815,0.0027491462697754065,0.8966999999999999,0.0010606601717798273,,,-0.004218518518518399
CIFAR10_ConvNetBN_fc_ours_dog-bird_b0.01_eps8_seed42_lam1_cosine_seldpp2_ce5_tgt50,ours_result/CIFAR10_ConvNetBN_fc_ours_dog-bird_b0.01_eps8_seed42_lam1_cosine_seldpp2_ce5_tgt50,none,none+aug-randaug,randaug,ConvNetBN,fc,ours,dpp2,dog-bird,42,0.01,0.0313725,5,20,0.2,0.2915475947422651,0.84174,0.02385133958502123,0.859475,0.009640117997203133,,,-0.017734999999999945
CIFAR10_ConvNetBN_fc_random_dog-bird_b0.01_eps8_seed42_ce5_tgt50,ours_result/CIFAR10_ConvNetBN_fc_random_dog-bird_b0.01_eps8_seed42_ce5_tgt50,none,none+aug-randaug,randaug,ConvNetBN,fc,random,random,dog-bird,42,0.01,0.0313725,5,20,0.0,0.0,0.8427199999999999,0.021571824215860843,0.859475,0.009640117997203133,,,-0.016755000000000075
CIFAR10_ConvNetBN_fc_ours_dog-bird_b0.002_eps8_seed42_lam1_cosine_seldpp2_ce5_tgt50,ours_result/CIFAR10_ConvNetBN_fc_ours_dog-bird_b0.002_eps8_seed42_lam1_cosine_seldpp2_ce5_tgt50,none,none+aug-randaug,randaug,ConvNetBN,fc,ours,dpp2,dog-bird,42,0.002,0.0313725,5,20,0.1,0.20000000000000004,0.841465,0.03589611782630539,0.859475,0.009640117997203133,,,-0.01800999999999997
CIFAR10_ResNet20BN_fc_random_dog-bird_b0.002_eps8_seed42_ce5_tgt10,ours_result/CIFAR10_ResNet20BN_fc_random_dog-bird_b0.002_eps8_seed42_ce5_tgt10,friends,friends-friendly.bernoulli-e8-p5-clp16,none,ResNet20BN,fc,random,random,dog-bird,42,0.002,0.0313725,10,40,0.175,0.19525624189766638,0.745565,0.010142769592177471,0.7488999999999999,0.010102722405371727,,,-0.003334999999999866
CIFAR10_ResNet20BN_fc_ours_dog-bird_b0.002_eps8_seed42_lam1_cosine_seldpp2_ce5_tgt10,ours_result/CIFAR10_ResNet20BN_fc_ours_dog-bird_b0.002_eps8_seed42_lam1_cosine_seldpp2_ce5_tgt10,friends,friends-friendly.bernoulli-e8-p5-clp16,none,ResNet20BN,fc,ours,dpp2,dog-bird,42,0.002,0.0313725,10,40,0.1,0.16583123951777,0.74417,0.011019010844898916,0.7488999999999999,0.010102722405371727,,,-0.004729999999999901
CIFAR10_ResNet20BN_fc_random_dog-bird_b0.01_eps8_seed42_ce5_tgt10,ours_result/CIFAR10_ResNet20BN_fc_random_dog-bird_b0.01_eps8_seed42_ce5_tgt10,friends,friends-friendly.bernoulli-e8-p5-clp16,none,ResNet20BN,fc,random,random,dog-bird,42,0.01,0.0313725,10,40,0.15,0.19999999999999998,0.7470125,0.01076585313618945,0.7488999999999999,0.010102722405371727,,,-0.001887499999999931
CIFAR10_ResNet20BN_fc_ours_dog-bird_b0.01_eps8_seed42_lam1_cosine_seldpp2_ce5_tgt10,ours_result/CIFAR10_ResNet20BN_fc_ours_dog-bird_b0.01_eps8_seed42_lam1_cosine_seldpp2_ce5_tgt10,friends,friends-friendly.bernoulli-e8-p5-clp16,none,ResNet20BN,fc,ours,dpp2,dog-bird,42,0.01,0.0313725,10,40,0.15,0.2,0.7452475,0.008982816582230758,0.7488999999999999,0.010102722405371727,,,-0.0036524999999999475
CIFAR10_ResNet20BN_fc_random_dog-bird_b0.002_eps8_seed42_ce5_tgt10,ours_result/CIFAR10_ResNet20BN_fc_random_dog-bird_b0.002_eps8_seed42_ce5_tgt10,friends,friends-friendly.bernoulli-e8-p5-clp16,none,ResNet20BN,fc,random,random,dog-bird,42,0.002,0.0313725,10,40,0.175,0.19525624189766638,0.745565,0.010142769592177471,0.7488999999999999,0.010102722405371727,,,-0.003334999999999866
CIFAR10_ResNet20BN_fc_ours_dog-bird_b0.002_eps8_seed42_lam1_cosine_seldpp2_ce5_tgt10,ours_result/CIFAR10_ResNet20BN_fc_ours_dog-bird_b0.002_eps8_seed42_lam1_cosine_seldpp2_ce5_tgt10,friends,friends-friendly.bernoulli-e8-p5-clp16,none,ResNet20BN,fc,ours,dpp2,dog-bird,42,0.002,0.0313725,10,40,0.1,0.16583123951777,0.74417,0.011019010844898916,0.7488999999999999,0.010102722405371727,,,-0.004729999999999901
CIFAR10_ResNet20BN_fc_random_dog-bird_b0.01_eps8_seed42_ce5_tgt10,ours_result/CIFAR10_ResNet20BN_fc_random_dog-bird_b0.01_eps8_seed42_ce5_tgt10,friends,friends-friendly.bernoulli-e8-p5-clp16,none,ResNet20BN,fc,random,random,dog-bird,42,0.01,0.0313725,10,40,0.15,0.19999999999999998,0.7470125,0.01076585313618945,0.7488999999999999,0.010102722405371727,,,-0.001887499999999931
CIFAR10_ResNet20BN_fc_ours_dog-bird_b0.01_eps8_seed42_lam1_cosine_seldpp2_ce5_tgt10,ours_result/CIFAR10_ResNet20BN_fc_ours_dog-bird_b0.01_eps8_seed42_lam1_cosine_seldpp2_ce5_tgt10,friends,friends-friendly.bernoulli-e8-p5-clp16,none,ResNet20BN,fc,ours,dpp2,dog-bird,42,0.01,0.0313725,10,40,0.15,0.2,0.7452475,0.008982816582230758,0.7488999999999999,0.010102722405371727,,,-0.0036524999999999475
CIFAR10_ResNet20BN_fc_random_frog-airplane_b0.002_eps8_seed42_ce5_tgt2,ours_result/CIFAR10_ResNet20BN_fc_random_frog-airplane_b0.002_eps8_seed42_ce5_tgt2,friends,friends-friendly.bernoulli-e8-p5-clp16,none,ResNet20BN,fc,random,random,frog-airplane,42,0.002,0.0313725,10,40,0.0,0.0,0.7435674999999999,0.010408347311172884,0.7488999999999999,0.010102722405371727,,,-0.005332499999999962
CIFAR10_ResNet20BN_fc_ours_frog-airplane_b0.002_eps8_seed42_lam1_cosine_seldpp2_ce5_tgt2,ours_result/CIFAR10_ResNet20BN_fc_ours_frog-airplane_b0.002_eps8_seed42_lam1_cosine_seldpp2_ce5_tgt2,friends,friends-friendly.bernoulli-e8-p5-clp16,none,ResNet20BN,fc,ours,dpp2,frog-airplane,42,0.002,0.0313725,10,40,0.075,0.11456439237389598,0.744705,0.008583674912297185,0.7488999999999999,0.010102722405371727,,,-0.004194999999999949
CIFAR10_ResNet20BN_fc_random_frog-airplane_b0.01_eps8_seed42_ce5_tgt2,ours_result/CIFAR10_ResNet20BN_fc_random_frog-airplane_b0.01_eps8_seed42_ce5_tgt2,friends,friends-friendly.bernoulli-e8-p5-clp16,none,ResNet20BN,fc,random,random,frog-airplane,42,0.01,0.0313725,10,40,0.1,0.12247448713915891,0.7435750000000001,0.009416415188382456,0.7488999999999999,0.010102722405371727,,,-0.005324999999999802
CIFAR10_ResNet20BN_fc_ours_frog-airplane_b0.01_eps8_seed42_lam1_cosine_seldpp2_ce5_tgt2,ours_result/CIFAR10_ResNet20BN_fc_ours_frog-airplane_b0.01_eps8_seed42_lam1_cosine_seldpp2_ce5_tgt2,friends,friends-friendly.bernoulli-e8-p5-clp16,none,ResNet20BN,fc,ours,dpp2,frog-airplane,42,0.01,0.0313725,10,40,0.05,0.15000000000000002,0.74041,0.011147349460746265,0.7488999999999999,0.010102722405371727,,,-0.008489999999999887
CIFAR10_ConvNetBN_gradmatch_random_dog-bird_b0.02_eps8_seed42_ce5_tgt70,ours_result/CIFAR10_ConvNetBN_gradmatch_random_dog-bird_b0.02_eps8_seed42_ce5_tgt70,epic,epic-s0.5-f2-d10,none,ConvNetBN,gradmatch,random,random,dog-bird,42,0.02,0.0313725,1,5,0.0,0.0,0.70594,0.047126960436675754,0.7143200000000001,0.02803108274755007,0.925,0.9694979591836734,-0.008380000000000054
CIFAR10_ConvNetBN_gradmatch_random_dog-bird_b0.02_eps8_seed42_ce5_tgt70,ours_result/CIFAR10_ConvNetBN_gradmatch_random_dog-bird_b0.02_eps8_seed42_ce5_tgt70,epic,epic-s0.3-f2-d10,none,ConvNetBN,gradmatch,random,random,dog-bird,42,0.02,0.0313725,1,5,0.0,0.0,0.74076,0.02260359263480036,0.72578,0.05743550818091542,0.7582,0.9100285714285714,0.014979999999999993
CIFAR10_ConvNetBN_gradmatch_random_dog-bird_b0.02_eps8_seed42_ce5_tgt70,ours_result/CIFAR10_ConvNetBN_gradmatch_random_dog-bird_b0.02_eps8_seed42_ce5_tgt70,epic,epic-s0.2-f2-d10,none,ConvNetBN,gradmatch,random,random,dog-bird,42,0.02,0.0313725,1,5,0.2,0.0,0.7183600000000001,0.08155367802864565,0.76944,0.012258482777244492,0.682,0.8710897959183672,-0.0510799999999999
CIFAR10_ConvNetBN_gradmatch_random_dog-bird_b0.02_eps8_seed42_ce5_tgt70,ours_result/CIFAR10_ConvNetBN_gradmatch_random_dog-bird_b0.02_eps8_seed42_ce5_tgt70,epic,epic-s0.1-f2-d10,none,ConvNetBN,gradmatch,random,random,dog-bird,42,0.02,0.0313725,1,5,0.2,0.0,0.77348,0.012318019321303242,0.78288,0.013591968216560857,0.32720000000000005,0.6610244897959184,-0.009400000000000075
CIFAR10_ConvNetBN_gradmatch_random_dog-bird_b0.02_eps8_seed42_ce5_tgt70,ours_result/CIFAR10_ConvNetBN_gradmatch_random_dog-bird_b0.02_eps8_seed42_ce5_tgt70,epic,epic-s0.05-f2-d10,none,ConvNetBN,gradmatch,random,random,dog-bird,42,0.02,0.0313725,1,5,0.8,0.0,0.8028600000000001,0.004795664708880312,0.8033199999999999,0.007474864547267718,0.060799999999999986,0.24671836734693878,-0.0004599999999997939
CIFAR10_ConvNetBN_gradmatch_random_dog-bird_b0.02_eps8_seed42_ce5_tgt70,ours_result/CIFAR10_ConvNetBN_gradmatch_random_dog-bird_b0.02_eps8_seed42_ce5_tgt70,friends,friends-friendly.bernoulli-e2-p5-clp16,none,ConvNetBN,gradmatch,random,random,dog-bird,42,0.02,0.0313725,1,5,0.0,0.0,0.74956,0.009363888081347414,0.75736,0.008429851718743352,,,-0.007800000000000029
CIFAR10_ConvNetBN_gradmatch_random_dog-bird_b0.02_eps8_seed42_ce5_tgt70,ours_result/CIFAR10_ConvNetBN_gradmatch_random_dog-bird_b0.02_eps8_seed42_ce5_tgt70,friends,friends-friendly.bernoulli-e4-p5-clp16,none,ConvNetBN,gradmatch,random,random,dog-bird,42,0.02,0.0313725,1,5,0.2,0.0,0.7543599999999999,0.005905455105239575,0.7558999999999999,0.010284162581367521,,,-0.0015399999999999858
CIFAR10_ConvNetBN_gradmatch_random_dog-bird_b0.02_eps8_seed42_ce5_tgt70,ours_result/CIFAR10_ConvNetBN_gradmatch_random_dog-bird_b0.02_eps8_seed42_ce5_tgt70,friends,friends-friendly.bernoulli-e6-p5-clp16,none,ConvNetBN,gradmatch,random,random,dog-bird,42,0.02,0.0313725,1,5,0.0,0.0,0.75082,0.007292571562898799,0.7532,0.0051737800494415925,,,-0.0023799999999999377
CIFAR10_ConvNetBN_gradmatch_random_dog-bird_b0.02_eps8_seed42_ce5_tgt70,ours_result/CIFAR10_ConvNetBN_gradmatch_random_dog-bird_b0.02_eps8_seed42_ce5_tgt70,friends,friends-friendly.bernoulli-e8-p5-clp16,none,ConvNetBN,gradmatch,random,random,dog-bird,42,0.02,0.0313725,1,5,0.0,0.0,0.7472,0.005094310551978564,0.7538,0.008065977932030309,,,-0.00660000000000005
CIFAR10_ConvNetBN_gradmatch_random_dog-bird_b0.02_eps8_seed42_ce5_tgt70,ours_result/CIFAR10_ConvNetBN_gradmatch_random_dog-bird_b0.02_eps8_seed42_ce5_tgt70,friends,friends-friendly.bernoulli-e12-p5-clp16,none,ConvNetBN,gradmatch,random,random,dog-bird,42,0.02,0.0313725,1,5,0.0,0.0,0.7388000000000001,0.007958140486319645,0.7388600000000001,0.008587339518151113,,,-5.999999999994898e-05
CIFAR10_ConvNetBN_gradmatch_random_dog-bird_b0.02_eps8_seed42_ce5_tgt70,ours_result/CIFAR10_ConvNetBN_gradmatch_random_dog-bird_b0.02_eps8_seed42_ce5_tgt70,friends,friends-friendly.bernoulli-e1-p5-clp16,none,ConvNetBN,gradmatch,random,random,dog-bird,42,0.02,0.0313725,1,5,0.0,0.0,0.7554000000000001,0.007630203142774092,0.75834,0.0071455160765335965,,,-0.0029399999999999427
CIFAR10_ConvNetBN_gradmatch_random_dog-bird_b0.005_eps8_seed42_craftnoaug_ce5,ours_result/CIFAR10_ConvNetBN_gradmatch_random_dog-bird_b0.005_eps8_seed42_craftnoaug_ce5,none,none+aug-standard,standard,ConvNetBN,gradmatch,random,random,dog-bird,42,0.005,0.0313725,5,25,0.04,0.08,0.8540000000000001,0.016597662486024962,0.85732,0.01271682350274629,,,-0.0033199999999998786
CIFAR10_ConvNetBN_gradmatch_random_dog-bird_b0.02_eps8_seed42_ce5_tgt70,ours_result/CIFAR10_ConvNetBN_gradmatch_random_dog-bird_b0.02_eps8_seed42_ce5_tgt70,friends,friends-friendly.bernoulli-e0.5-p5-clp16,none,ConvNetBN,gradmatch,random,random,dog-bird,42,0.02,0.0313725,1,5,0.0,0.0,0.7513799999999999,0.009276076756905376,0.7579,0.010279494150978436,,,-0.006520000000000081
CIFAR10_ConvNetBN_gradmatch_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_seldpp2_craftnoaug_ce5,ours_result/CIFAR10_ConvNetBN_gradmatch_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_seldpp2_craftnoaug_ce5,none,none+aug-standard,standard,ConvNetBN,gradmatch,ours,dpp2,dog-bird,42,0.005,0.0313725,5,25,0.2,0.30983866769659335,0.8540559999999999,0.016888885812865222,0.85732,0.01271682350274629,,,-0.0032640000000000446
CIFAR10_ConvNetBN_gradmatch_random_dog-bird_b0.02_eps8_seed42_ce5_tgt70,ours_result/CIFAR10_ConvNetBN_gradmatch_random_dog-bird_b0.02_eps8_seed42_ce5_tgt70,friends,friends-friendly.bernoulli-e8-p5-clp8,none,ConvNetBN,gradmatch,random,random,dog-bird,42,0.02,0.0313725,1,5,0.2,0.0,0.78208,0.005266649789002462,0.78484,0.0037723202409127364,,,-0.0027599999999999847
CIFAR10_ConvNetBN_gradmatch_random_dog-bird_b0.005_eps8_seed42_craftcropflip_ce5,ours_result/CIFAR10_ConvNetBN_gradmatch_random_dog-bird_b0.005_eps8_seed42_craftcropflip_ce5,none,none+aug-standard,standard,ConvNetBN,gradmatch,random,random,dog-bird,42,0.005,0.0313725,5,25,0.04,0.08,0.8551639999999999,0.015299748494664873,0.85732,0.01271682350274629,,,-0.0021560000000000468
CIFAR10_ConvNetBN_gradmatch_random_dog-bird_b0.02_eps8_seed42_ce5_tgt70,ours_result/CIFAR10_ConvNetBN_gradmatch_random_dog-bird_b0.02_eps8_seed42_ce5_tgt70,friends,friends-friendly.bernoulli-e8-p5-clp4,none,ConvNetBN,gradmatch,random,random,dog-bird,42,0.02,0.0313725,1,5,0.2,0.0,0.7939200000000001,0.0038937899275641244,0.80016,0.004718728642335755,,,-0.006239999999999912
CIFAR10_ConvNetBN_gradmatch_random_dog-bird_b0.02_eps8_seed42_ce5_tgt70,ours_result/CIFAR10_ConvNetBN_gradmatch_random_dog-bird_b0.02_eps8_seed42_ce5_tgt70,friends,friends-friendly.bernoulli-e8-p5-clp2,none,ConvNetBN,gradmatch,random,random,dog-bird,42,0.02,0.0313725,1,5,0.2,0.0,0.79784,0.003996298287165279,0.7996000000000001,0.0018772320048411767,,,-0.0017600000000000948
CIFAR10_ConvNetBN_gradmatch_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_seldpp2_craftcropflip_ce5,ours_result/CIFAR10_ConvNetBN_gradmatch_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_seldpp2_craftcropflip_ce5,none,none+aug-standard,standard,ConvNetBN,gradmatch,ours,dpp2,dog-bird,42,0.005,0.0313725,5,25,0.16,0.32,0.8552600000000001,0.018079557516709307,0.85732,0.01271682350274629,,,-0.0020599999999998397
CIFAR10_ConvNetBN_sapa_random_dog-bird_b0.005_eps8_seed42_craftnoaug_worst0.05_ce5,ours_result/CIFAR10_ConvNetBN_sapa_random_dog-bird_b0.005_eps8_seed42_craftnoaug_worst0.05_ce5,none,none+aug-standard,standard,ConvNetBN,sapa,random,random,dog-bird,42,0.005,0.0313725,5,25,0.0,0.0,0.854104,0.018153247202635676,0.85732,0.01271682350274629,,,-0.0032159999999999966
