index	category	job_file	configuration	profile
25	ensemble	job_025_k30_bp_b0005_vr20_sconv.sh	category=ensemble attack=fc budget=0.005 V=ResNet20BN S=ConvNetBN K=30 component=basis base=ours jacobian=off craft_steps=250 targets=8 victims=6	attack_if
26	ensemble	job_026_k3_bp_b0005_vr20_sr20.sh	category=ensemble attack=fc budget=0.005 V=ResNet20BN S=ResNet20BN K=3 component=basis base=ours jacobian=off craft_steps=250 targets=8 victims=6	attack_if
27	ensemble	job_027_k10_bp_b0005_vr20_svgg.sh	category=ensemble attack=fc budget=0.005 V=ResNet20BN S=VGG13BN K=10 component=basis base=ours jacobian=off craft_steps=250 targets=8 victims=6	attack_if
28	ensemble	job_028_k10_bp_b0005_vvgg_sconv.sh	category=ensemble attack=fc budget=0.005 V=VGG13BN S=ConvNetBN K=10 component=basis base=ours jacobian=off craft_steps=250 targets=8 victims=6	attack_if
29	ensemble	job_029_k30_bp_b0005_vvgg_sconv.sh	category=ensemble attack=fc budget=0.005 V=VGG13BN S=ConvNetBN K=30 component=basis base=ours jacobian=off craft_steps=250 targets=8 victims=6	attack_if
30	ensemble	job_030_k10_bp_b0005_vvgg_sr20.sh	category=ensemble attack=fc budget=0.005 V=VGG13BN S=ResNet20BN K=10 component=basis base=ours jacobian=off craft_steps=250 targets=8 victims=6	attack_if
31	ensemble	job_031_k30_bp_b0005_vvgg_sr20.sh	category=ensemble attack=fc budget=0.005 V=VGG13BN S=ResNet20BN K=30 component=basis base=ours jacobian=off craft_steps=250 targets=8 victims=6	attack_if
32	ensemble	job_032_k3_bp_b0005_vvgg_svgg.sh	category=ensemble attack=fc budget=0.005 V=VGG13BN S=VGG13BN K=3 component=basis base=ours jacobian=off craft_steps=250 targets=8 victims=6	attack_if
33	ensemble	job_033_k10_bp_b0005_vvgg_svgg.sh	category=ensemble attack=fc budget=0.005 V=VGG13BN S=VGG13BN K=10 component=basis base=ours jacobian=off craft_steps=250 targets=8 victims=6	attack_if
34	ensemble	job_034_k3_gm_b0002_vconv_sconv.sh	category=ensemble attack=gradmatch budget=0.002 V=ConvNetBN S=ConvNetBN K=3 component=basis base=ours jacobian=off craft_steps=250 targets=8 victims=6	attack_if
35	ensemble	job_035_k30_gm_b0002_vconv_sr20.sh	category=ensemble attack=gradmatch budget=0.002 V=ConvNetBN S=ResNet20BN K=30 component=basis base=ours jacobian=off craft_steps=250 targets=8 victims=6	attack_if
36	ensemble	job_036_k10_gm_b0002_vr20_sconv.sh	category=ensemble attack=gradmatch budget=0.002 V=ResNet20BN S=ConvNetBN K=10 component=basis base=ours jacobian=off craft_steps=250 targets=8 victims=6	attack_if
37	ensemble	job_037_k10_gm_b0002_vr20_sr20.sh	category=ensemble attack=gradmatch budget=0.002 V=ResNet20BN S=ResNet20BN K=10 component=basis base=ours jacobian=off craft_steps=250 targets=8 victims=6	attack_if
38	ensemble	job_038_k10_gm_b0002_vr20_svgg.sh	category=ensemble attack=gradmatch budget=0.002 V=ResNet20BN S=VGG13BN K=10 component=basis base=ours jacobian=off craft_steps=250 targets=8 victims=6	attack_if
39	ensemble	job_039_k30_gm_b0002_vvgg_sconv.sh	category=ensemble attack=gradmatch budget=0.002 V=VGG13BN S=ConvNetBN K=30 component=basis base=ours jacobian=off craft_steps=250 targets=8 victims=6	attack_if
40	ensemble	job_040_k10_gm_b0002_vvgg_sr20.sh	category=ensemble attack=gradmatch budget=0.002 V=VGG13BN S=ResNet20BN K=10 component=basis base=ours jacobian=off craft_steps=250 targets=8 victims=6	attack_if
41	ensemble	job_041_k3_gm_b0002_vvgg_svgg.sh	category=ensemble attack=gradmatch budget=0.002 V=VGG13BN S=VGG13BN K=3 component=basis base=ours jacobian=off craft_steps=250 targets=8 victims=6	attack_if
42	ensemble	job_042_k30_gm_b0002_vvgg_svgg.sh	category=ensemble attack=gradmatch budget=0.002 V=VGG13BN S=VGG13BN K=30 component=basis base=ours jacobian=off craft_steps=250 targets=8 victims=6	attack_if
43	ensemble	job_043_k10_gm_b0005_vconv_sconv.sh	category=ensemble attack=gradmatch budget=0.005 V=ConvNetBN S=ConvNetBN K=10 component=basis base=ours jacobian=off craft_steps=250 targets=8 victims=6	attack_if
44	ensemble	job_044_k30_gm_b0005_vconv_sconv.sh	category=ensemble attack=gradmatch budget=0.005 V=ConvNetBN S=ConvNetBN K=30 component=basis base=ours jacobian=off craft_steps=250 targets=8 victims=6	attack_if
45	ensemble	job_045_k10_gm_b0005_vconv_sr20.sh	category=ensemble attack=gradmatch budget=0.005 V=ConvNetBN S=ResNet20BN K=10 component=basis base=ours jacobian=off craft_steps=250 targets=8 victims=6	attack_if
46	ensemble	job_046_k3_gm_b0005_vconv_svgg.sh	category=ensemble attack=gradmatch budget=0.005 V=ConvNetBN S=VGG13BN K=3 component=basis base=ours jacobian=off craft_steps=250 targets=8 victims=6	attack_if
47	ensemble	job_047_k10_gm_b0005_vconv_svgg.sh	category=ensemble attack=gradmatch budget=0.005 V=ConvNetBN S=VGG13BN K=10 component=basis base=ours jacobian=off craft_steps=250 targets=8 victims=6	attack_if
48	ensemble	job_048_k30_gm_b0005_vr20_sconv.sh	category=ensemble attack=gradmatch budget=0.005 V=ResNet20BN S=ConvNetBN K=30 component=basis base=ours jacobian=off craft_steps=250 targets=8 victims=6	attack_if
49	ensemble	job_049_k10_gm_b0005_vr20_svgg.sh	category=ensemble attack=gradmatch budget=0.005 V=ResNet20BN S=VGG13BN K=10 component=basis base=ours jacobian=off craft_steps=250 targets=8 victims=6	attack_if
50	ensemble	job_050_k30_gm_b0005_vr20_svgg.sh	category=ensemble attack=gradmatch budget=0.005 V=ResNet20BN S=VGG13BN K=30 component=basis base=ours jacobian=off craft_steps=250 targets=8 victims=6	attack_if
51	ensemble	job_051_k3_gm_b0005_vvgg_sconv.sh	category=ensemble attack=gradmatch budget=0.005 V=VGG13BN S=ConvNetBN K=3 component=basis base=ours jacobian=off craft_steps=250 targets=8 victims=6	attack_if
52	ensemble	job_052_k30_gm_b0005_vvgg_sconv.sh	category=ensemble attack=gradmatch budget=0.005 V=VGG13BN S=ConvNetBN K=30 component=basis base=ours jacobian=off craft_steps=250 targets=8 victims=6	attack_if
53	ensemble	job_053_k3_gm_b0005_vvgg_svgg.sh	category=ensemble attack=gradmatch budget=0.005 V=VGG13BN S=VGG13BN K=3 component=basis base=ours jacobian=off craft_steps=250 targets=8 victims=6	attack_if
54	ensemble	job_054_k3_sapa_b0002_vconv_sconv.sh	category=ensemble attack=sapa budget=0.002 V=ConvNetBN S=ConvNetBN K=3 component=basis base=ours jacobian=off craft_steps=250 targets=8 victims=6	attack_if
55	ensemble	job_055_k10_sapa_b0002_vconv_sconv.sh	category=ensemble attack=sapa budget=0.002 V=ConvNetBN S=ConvNetBN K=10 component=basis base=ours jacobian=off craft_steps=250 targets=8 victims=6	attack_if
56	ensemble	job_056_k10_sapa_b0002_vconv_sr20.sh	category=ensemble attack=sapa budget=0.002 V=ConvNetBN S=ResNet20BN K=10 component=basis base=ours jacobian=off craft_steps=250 targets=8 victims=6	attack_if
57	ensemble	job_057_k30_sapa_b0002_vconv_sr20.sh	category=ensemble attack=sapa budget=0.002 V=ConvNetBN S=ResNet20BN K=30 component=basis base=ours jacobian=off craft_steps=250 targets=8 victims=6	attack_if
58	ensemble	job_058_k10_sapa_b0002_vconv_svgg.sh	category=ensemble attack=sapa budget=0.002 V=ConvNetBN S=VGG13BN K=10 component=basis base=ours jacobian=off craft_steps=250 targets=8 victims=6	attack_if
59	ensemble	job_059_k3_sapa_b0002_vr20_sconv.sh	category=ensemble attack=sapa budget=0.002 V=ResNet20BN S=ConvNetBN K=3 component=basis base=ours jacobian=off craft_steps=250 targets=8 victims=6	attack_if
60	ensemble	job_060_k10_sapa_b0002_vr20_sr20.sh	category=ensemble attack=sapa budget=0.002 V=ResNet20BN S=ResNet20BN K=10 component=basis base=ours jacobian=off craft_steps=250 targets=8 victims=6	attack_if
61	ensemble	job_061_k30_sapa_b0002_vr20_svgg.sh	category=ensemble attack=sapa budget=0.002 V=ResNet20BN S=VGG13BN K=30 component=basis base=ours jacobian=off craft_steps=250 targets=8 victims=6	attack_if
62	ensemble	job_062_k30_sapa_b0002_vvgg_sconv.sh	category=ensemble attack=sapa budget=0.002 V=VGG13BN S=ConvNetBN K=30 component=basis base=ours jacobian=off craft_steps=250 targets=8 victims=6	attack_if
63	ensemble	job_063_k10_sapa_b0002_vvgg_sr20.sh	category=ensemble attack=sapa budget=0.002 V=VGG13BN S=ResNet20BN K=10 component=basis base=ours jacobian=off craft_steps=250 targets=8 victims=6	attack_if
64	ensemble	job_064_k10_sapa_b0005_vconv_sr20.sh	category=ensemble attack=sapa budget=0.005 V=ConvNetBN S=ResNet20BN K=10 component=basis base=ours jacobian=off craft_steps=250 targets=8 victims=6	attack_if
65	ensemble	job_065_k3_sapa_b0005_vconv_svgg.sh	category=ensemble attack=sapa budget=0.005 V=ConvNetBN S=VGG13BN K=3 component=basis base=ours jacobian=off craft_steps=250 targets=8 victims=6	attack_if
66	ensemble	job_066_k10_sapa_b0005_vconv_svgg.sh	category=ensemble attack=sapa budget=0.005 V=ConvNetBN S=VGG13BN K=10 component=basis base=ours jacobian=off craft_steps=250 targets=8 victims=6	attack_if
67	ensemble	job_067_k10_sapa_b0005_vr20_sconv.sh	category=ensemble attack=sapa budget=0.005 V=ResNet20BN S=ConvNetBN K=10 component=basis base=ours jacobian=off craft_steps=250 targets=8 victims=6	attack_if
68	ensemble	job_068_k30_sapa_b0005_vr20_sconv.sh	category=ensemble attack=sapa budget=0.005 V=ResNet20BN S=ConvNetBN K=30 component=basis base=ours jacobian=off craft_steps=250 targets=8 victims=6	attack_if
69	ensemble	job_069_k30_sapa_b0005_vr20_svgg.sh	category=ensemble attack=sapa budget=0.005 V=ResNet20BN S=VGG13BN K=30 component=basis base=ours jacobian=off craft_steps=250 targets=8 victims=6	attack_if
70	ensemble	job_070_k10_sapa_b0005_vvgg_sconv.sh	category=ensemble attack=sapa budget=0.005 V=VGG13BN S=ConvNetBN K=10 component=basis base=ours jacobian=off craft_steps=250 targets=8 victims=6	attack_if
71	ensemble	job_071_k10_sapa_b0005_vvgg_sr20.sh	category=ensemble attack=sapa budget=0.005 V=VGG13BN S=ResNet20BN K=10 component=basis base=ours jacobian=off craft_steps=250 targets=8 victims=6	attack_if
72	ensemble	job_072_k30_sapa_b0005_vvgg_sr20.sh	category=ensemble attack=sapa budget=0.005 V=VGG13BN S=ResNet20BN K=30 component=basis base=ours jacobian=off craft_steps=250 targets=8 victims=6	attack_if
