combo,ranking,m,overlap
ConvNetBN/frog-airplane,"GRAFT  (as implemented, beta=0)",16,0.1016
ConvNetBN/frog-airplane,"GRAFT  (as implemented, beta=0)",22,0.1051
ConvNetBN/frog-airplane,"GRAFT  (as implemented, beta=0)",30,0.1167
ConvNetBN/frog-airplane,"GRAFT  (as implemented, beta=0)",40,0.1234
ConvNetBN/frog-airplane,"GRAFT  (as implemented, beta=0)",53,0.1450
ConvNetBN/frog-airplane,"GRAFT  (as implemented, beta=0)",72,0.1884
ConvNetBN/frog-airplane,"GRAFT  (as implemented, beta=0)",96,0.2070
ConvNetBN/frog-airplane,"GRAFT  (as implemented, beta=0)",130,0.2361
ConvNetBN/frog-airplane,"GRAFT  (as implemented, beta=0)",174,0.2601
ConvNetBN/frog-airplane,"GRAFT  (as implemented, beta=0)",234,0.2994
ConvNetBN/frog-airplane,"GRAFT  (as implemented, beta=0)",315,0.3323
ConvNetBN/frog-airplane,"GRAFT  (as implemented, beta=0)",423,0.3651
ConvNetBN/frog-airplane,"GRAFT  (as implemented, beta=0)",569,0.4114
ConvNetBN/frog-airplane,"GRAFT  (as implemented, beta=0)",765,0.4639
ConvNetBN/frog-airplane,"GRAFT  (as implemented, beta=0)",1029,0.5241
ConvNetBN/frog-airplane,"GRAFT  (as implemented, beta=0)",1383,0.5970
ConvNetBN/frog-airplane,"GRAFT  (as implemented, beta=0)",1860,0.6809
ConvNetBN/frog-airplane,"GRAFT  (as implemented, beta=0)",2500,0.7793
ConvNetBN/frog-airplane,"GRAFT+  (as implemented, beta=1)",5,0.7875
ConvNetBN/frog-airplane,"GRAFT+  (as implemented, beta=1)",7,0.8125
ConvNetBN/frog-airplane,"GRAFT+  (as implemented, beta=1)",9,0.8264
ConvNetBN/frog-airplane,"GRAFT+  (as implemented, beta=1)",12,0.8177
ConvNetBN/frog-airplane,"GRAFT+  (as implemented, beta=1)",16,0.7930
ConvNetBN/frog-airplane,"GRAFT+  (as implemented, beta=1)",22,0.7301
ConvNetBN/frog-airplane,"GRAFT+  (as implemented, beta=1)",30,0.6896
ConvNetBN/frog-airplane,"GRAFT+  (as implemented, beta=1)",40,0.6594
ConvNetBN/frog-airplane,"GRAFT+  (as implemented, beta=1)",53,0.6333
ConvNetBN/frog-airplane,"GRAFT+  (as implemented, beta=1)",72,0.6233
ConvNetBN/frog-airplane,"GRAFT+  (as implemented, beta=1)",96,0.6133
ConvNetBN/frog-airplane,"GRAFT+  (as implemented, beta=1)",130,0.6087
ConvNetBN/frog-airplane,"GRAFT+  (as implemented, beta=1)",174,0.5945
ConvNetBN/frog-airplane,"GRAFT+  (as implemented, beta=1)",234,0.6034
ConvNetBN/frog-airplane,"GRAFT+  (as implemented, beta=1)",315,0.6024
ConvNetBN/frog-airplane,"GRAFT+  (as implemented, beta=1)",423,0.6082
ConvNetBN/frog-airplane,"GRAFT+  (as implemented, beta=1)",569,0.6168
ConvNetBN/frog-airplane,"GRAFT+  (as implemented, beta=1)",765,0.6369
ConvNetBN/frog-airplane,"GRAFT+  (as implemented, beta=1)",1029,0.6582
ConvNetBN/frog-airplane,"GRAFT+  (as implemented, beta=1)",1383,0.6937
ConvNetBN/frog-airplane,"GRAFT+  (as implemented, beta=1)",1860,0.7412
ConvNetBN/frog-airplane,"GRAFT+  (as implemented, beta=1)",2500,0.8079
