index	category	job_file	configuration
48	ensemble	job_048_k30_gm_b0005_vr20_sconv.sh	category=ensemble attack=gradmatch budget=0.005 V=ResNet20BN S=ConvNetBN K=30 component=basis base=ours jacobian=off craft_steps=250 targets=8 victims=6
49	ensemble	job_049_k10_gm_b0005_vr20_svgg.sh	category=ensemble attack=gradmatch budget=0.005 V=ResNet20BN S=VGG13BN K=10 component=basis base=ours jacobian=off craft_steps=250 targets=8 victims=6
50	ensemble	job_050_k30_gm_b0005_vr20_svgg.sh	category=ensemble attack=gradmatch budget=0.005 V=ResNet20BN S=VGG13BN K=30 component=basis base=ours jacobian=off craft_steps=250 targets=8 victims=6
51	ensemble	job_051_k3_gm_b0005_vvgg_sconv.sh	category=ensemble attack=gradmatch budget=0.005 V=VGG13BN S=ConvNetBN K=3 component=basis base=ours jacobian=off craft_steps=250 targets=8 victims=6
52	ensemble	job_052_k30_gm_b0005_vvgg_sconv.sh	category=ensemble attack=gradmatch budget=0.005 V=VGG13BN S=ConvNetBN K=30 component=basis base=ours jacobian=off craft_steps=250 targets=8 victims=6
53	ensemble	job_053_k3_gm_b0005_vvgg_svgg.sh	category=ensemble attack=gradmatch budget=0.005 V=VGG13BN S=VGG13BN K=3 component=basis base=ours jacobian=off craft_steps=250 targets=8 victims=6
54	ensemble	job_054_k3_sapa_b0002_vconv_sconv.sh	category=ensemble attack=sapa budget=0.002 V=ConvNetBN S=ConvNetBN K=3 component=basis base=ours jacobian=off craft_steps=250 targets=8 victims=6
55	ensemble	job_055_k10_sapa_b0002_vconv_sconv.sh	category=ensemble attack=sapa budget=0.002 V=ConvNetBN S=ConvNetBN K=10 component=basis base=ours jacobian=off craft_steps=250 targets=8 victims=6
56	ensemble	job_056_k10_sapa_b0002_vconv_sr20.sh	category=ensemble attack=sapa budget=0.002 V=ConvNetBN S=ResNet20BN K=10 component=basis base=ours jacobian=off craft_steps=250 targets=8 victims=6
57	ensemble	job_057_k30_sapa_b0002_vconv_sr20.sh	category=ensemble attack=sapa budget=0.002 V=ConvNetBN S=ResNet20BN K=30 component=basis base=ours jacobian=off craft_steps=250 targets=8 victims=6
58	ensemble	job_058_k10_sapa_b0002_vconv_svgg.sh	category=ensemble attack=sapa budget=0.002 V=ConvNetBN S=VGG13BN K=10 component=basis base=ours jacobian=off craft_steps=250 targets=8 victims=6
59	ensemble	job_059_k3_sapa_b0002_vr20_sconv.sh	category=ensemble attack=sapa budget=0.002 V=ResNet20BN S=ConvNetBN K=3 component=basis base=ours jacobian=off craft_steps=250 targets=8 victims=6
60	ensemble	job_060_k10_sapa_b0002_vr20_sr20.sh	category=ensemble attack=sapa budget=0.002 V=ResNet20BN S=ResNet20BN K=10 component=basis base=ours jacobian=off craft_steps=250 targets=8 victims=6
61	ensemble	job_061_k30_sapa_b0002_vr20_svgg.sh	category=ensemble attack=sapa budget=0.002 V=ResNet20BN S=VGG13BN K=30 component=basis base=ours jacobian=off craft_steps=250 targets=8 victims=6
62	ensemble	job_062_k30_sapa_b0002_vvgg_sconv.sh	category=ensemble attack=sapa budget=0.002 V=VGG13BN S=ConvNetBN K=30 component=basis base=ours jacobian=off craft_steps=250 targets=8 victims=6
63	ensemble	job_063_k10_sapa_b0002_vvgg_sr20.sh	category=ensemble attack=sapa budget=0.002 V=VGG13BN S=ResNet20BN K=10 component=basis base=ours jacobian=off craft_steps=250 targets=8 victims=6
64	ensemble	job_064_k10_sapa_b0005_vconv_sr20.sh	category=ensemble attack=sapa budget=0.005 V=ConvNetBN S=ResNet20BN K=10 component=basis base=ours jacobian=off craft_steps=250 targets=8 victims=6
65	ensemble	job_065_k3_sapa_b0005_vconv_svgg.sh	category=ensemble attack=sapa budget=0.005 V=ConvNetBN S=VGG13BN K=3 component=basis base=ours jacobian=off craft_steps=250 targets=8 victims=6
66	ensemble	job_066_k10_sapa_b0005_vconv_svgg.sh	category=ensemble attack=sapa budget=0.005 V=ConvNetBN S=VGG13BN K=10 component=basis base=ours jacobian=off craft_steps=250 targets=8 victims=6
67	ensemble	job_067_k10_sapa_b0005_vr20_sconv.sh	category=ensemble attack=sapa budget=0.005 V=ResNet20BN S=ConvNetBN K=10 component=basis base=ours jacobian=off craft_steps=250 targets=8 victims=6
68	ensemble	job_068_k30_sapa_b0005_vr20_sconv.sh	category=ensemble attack=sapa budget=0.005 V=ResNet20BN S=ConvNetBN K=30 component=basis base=ours jacobian=off craft_steps=250 targets=8 victims=6
69	ensemble	job_069_k30_sapa_b0005_vr20_svgg.sh	category=ensemble attack=sapa budget=0.005 V=ResNet20BN S=VGG13BN K=30 component=basis base=ours jacobian=off craft_steps=250 targets=8 victims=6
70	ensemble	job_070_k10_sapa_b0005_vvgg_sconv.sh	category=ensemble attack=sapa budget=0.005 V=VGG13BN S=ConvNetBN K=10 component=basis base=ours jacobian=off craft_steps=250 targets=8 victims=6
71	ensemble	job_071_k10_sapa_b0005_vvgg_sr20.sh	category=ensemble attack=sapa budget=0.005 V=VGG13BN S=ResNet20BN K=10 component=basis base=ours jacobian=off craft_steps=250 targets=8 victims=6
72	ensemble	job_072_k30_sapa_b0005_vvgg_sr20.sh	category=ensemble attack=sapa budget=0.005 V=VGG13BN S=ResNet20BN K=30 component=basis base=ours jacobian=off craft_steps=250 targets=8 victims=6
