dataset,class_pair,target_id,surrogate_id,n_candidates,spearman_neg_margin_residual_dot,margin_source,cache_shard
CIFAR10,dog-bird,1257,20,5000,0.9967444594615441,direct,/scratch/mmoslem3/attack_if/results/margin_residual_chain_candidates/CIFAR10/ConvNetBN/dog-bird/target_1257/panel_b_surrogate_020.npz
CIFAR10,dog-bird,1257,21,5000,0.9966503070980125,direct,/scratch/mmoslem3/attack_if/results/margin_residual_chain_candidates/CIFAR10/ConvNetBN/dog-bird/target_1257/panel_b_surrogate_021.npz
CIFAR10,dog-bird,1257,22,5000,0.9969386824695475,direct,/scratch/mmoslem3/attack_if/results/margin_residual_chain_candidates/CIFAR10/ConvNetBN/dog-bird/target_1257/panel_b_surrogate_022.npz
CIFAR10,dog-bird,1257,23,5000,0.9965598983983134,direct,/scratch/mmoslem3/attack_if/results/margin_residual_chain_candidates/CIFAR10/ConvNetBN/dog-bird/target_1257/panel_b_surrogate_023.npz
CIFAR10,dog-bird,1257,24,5000,0.996899069123963,direct,/scratch/mmoslem3/attack_if/results/margin_residual_chain_candidates/CIFAR10/ConvNetBN/dog-bird/target_1257/panel_b_surrogate_024.npz
CIFAR10,dog-bird,1257,25,5000,0.9957835129592393,direct,/scratch/mmoslem3/attack_if/results/margin_residual_chain_candidates/CIFAR10/ConvNetBN/dog-bird/target_1257/panel_b_surrogate_025.npz
CIFAR10,dog-bird,1257,26,5000,0.9967833181753329,direct,/scratch/mmoslem3/attack_if/results/margin_residual_chain_candidates/CIFAR10/ConvNetBN/dog-bird/target_1257/panel_b_surrogate_026.npz
CIFAR10,dog-bird,1257,27,5000,0.996407006248194,direct,/scratch/mmoslem3/attack_if/results/margin_residual_chain_candidates/CIFAR10/ConvNetBN/dog-bird/target_1257/panel_b_surrogate_027.npz
CIFAR10,dog-bird,1257,28,5000,0.9963112804924514,direct,/scratch/mmoslem3/attack_if/results/margin_residual_chain_candidates/CIFAR10/ConvNetBN/dog-bird/target_1257/panel_b_surrogate_028.npz
CIFAR10,dog-bird,1257,29,5000,0.9968381716175271,direct,/scratch/mmoslem3/attack_if/results/margin_residual_chain_candidates/CIFAR10/ConvNetBN/dog-bird/target_1257/panel_b_surrogate_029.npz
CIFAR10,dog-bird,1257,30,5000,0.9839366908774678,direct,/scratch/mmoslem3/attack_if/results/margin_residual_chain_candidates/CIFAR10/ConvNetBN/dog-bird/target_1257/panel_b_surrogate_030.npz
