model,attack,pair,tags,budget,asr_random,asr_dpp,budget_equiv,multiplier,censored
ConvNetBN,sapa,dog-bird,worst0.05_ce5_tgt70,0.001,0.0,13.333333333333334,0.006597539553864474,6.597539553864474,0
ConvNetBN,sapa,dog-bird,worst0.05_ce5_tgt70,0.002,0.0,36.66666666666667,0.01414213562373095,7.0710678118654755,0
ConvNetBN,sapa,dog-bird,worst0.05_ce5_tgt70,0.005,6.666666666666667,38.333333333333336,0.014768261459394994,2.9536522918789987,0
ConvNetBN,sapa,dog-bird,worst0.05_ce5_tgt70,0.01,23.333333333333336,60.0,0.025936791093020196,2.5936791093020197,0
ConvNetBN,sapa,dog-bird,worst0.05_ce5_tgt70,0.02,50.0,86.66666666666666,0.04000000000000001,2.0000000000000004,1
ConvNetBN,sapa,dog-bird,worst0.05_ce5_tgt70,0.04,76.66666666666667,91.66666666666667,0.04000000000000001,1.0000000000000002,1
ConvNetBN,sapa,frog-airplane,worst0.05_ce5_tgt35,0.001,0.0,6.666666666666667,0.01681792830507429,16.81792830507429,0
ConvNetBN,sapa,frog-airplane,worst0.05_ce5_tgt35,0.002,0.0,1.6666666666666667,0.01,5.0,0
ConvNetBN,sapa,frog-airplane,worst0.05_ce5_tgt35,0.005,0.0,6.666666666666667,0.01681792830507429,3.3635856610148585,0
ConvNetBN,sapa,frog-airplane,worst0.05_ce5_tgt35,0.01,1.6666666666666667,15.0,0.026390158215457888,2.639015821545789,0
ConvNetBN,sapa,frog-airplane,worst0.05_ce5_tgt35,0.02,8.333333333333334,26.666666666666668,0.04000000000000001,2.0000000000000004,1
ConvNetBN,sapa,frog-airplane,worst0.05_ce5_tgt35,0.04,25.0,60.0,0.04000000000000001,1.0000000000000002,1
ResNet20BN,fc,dog-bird,ce5_tgt10,0.001,11.666666666666668,23.333333333333332,0.0031622776601683794,3.1622776601683795,0
ResNet20BN,fc,dog-bird,ce5_tgt10,0.002,16.666666666666668,33.333333333333336,0.005946035575013605,2.9730177875068025,0
ResNet20BN,fc,dog-bird,ce5_tgt10,0.005,30.0,51.66666666666667,0.016406707120152762,3.2813414240305523,0
ResNet20BN,fc,dog-bird,ce5_tgt10,0.01,43.33333333333333,50.0,0.014859942891369488,1.4859942891369489,0
ResNet20BN,fc,dog-bird,ce5_tgt10,0.02,55.0,38.33333333333333,0.007711054127039704,0.3855527063519852,0
ResNet20BN,fc,dog-bird,ce5_tgt10,0.04,48.33333333333333,26.666666666666668,0.003976353643835253,0.09940884109588131,0
ResNet20BN,fc,frog-airplane,ce5_tgt2,0.001,8.333333333333334,11.666666666666668,0.002714417616594907,2.7144176165949068,0
ResNet20BN,fc,frog-airplane,ce5_tgt2,0.002,8.333333333333334,11.666666666666668,0.002714417616594907,1.3572088082974534,0
ResNet20BN,fc,frog-airplane,ce5_tgt2,0.005,18.333333333333336,28.333333333333332,0.018114473285278137,3.6228946570556273,0
ResNet20BN,fc,frog-airplane,ce5_tgt2,0.01,16.666666666666664,43.333333333333336,0.04000000000000001,4.000000000000001,1
ResNet20BN,fc,frog-airplane,ce5_tgt2,0.02,30.0,33.333333333333336,0.04000000000000001,2.0000000000000004,0
ResNet20BN,fc,frog-airplane,ce5_tgt2,0.04,33.333333333333336,28.333333333333336,0.018114473285278137,0.4528618321319534,0
ResNet20BN,gradmatch,dog-bird,ce5_tgt14,0.001,15.0,51.666666666666664,0.007711054127039704,7.711054127039703,0
ResNet20BN,gradmatch,dog-bird,ce5_tgt14,0.002,31.666666666666668,56.66666666666667,0.01,5.0,0
ResNet20BN,gradmatch,dog-bird,ce5_tgt14,0.005,43.333333333333336,78.33333333333333,0.02208179027347625,4.41635805469525,0
ResNet20BN,gradmatch,dog-bird,ce5_tgt14,0.01,56.66666666666667,91.66666666666667,0.03281341424030553,3.281341424030553,0
ResNet20BN,gradmatch,dog-bird,ce5_tgt14,0.02,75.0,100.0,0.04000000000000001,2.0000000000000004,1
ResNet20BN,gradmatch,dog-bird,ce5_tgt14,0.04,98.33333333333333,100.0,0.04000000000000001,1.0000000000000002,1
ResNet20BN,gradmatch,frog-airplane,ce5_tgt10,0.001,1.6666666666666667,15.0,0.006433324490047158,6.433324490047158,0
ResNet20BN,gradmatch,frog-airplane,ce5_tgt10,0.002,0.0,31.666666666666668,0.012080894444044473,6.0404472220222365,0
ResNet20BN,gradmatch,frog-airplane,ce5_tgt10,0.005,8.333333333333334,39.99999999999999,0.01655506559769621,3.3110131195392416,0
ResNet20BN,gradmatch,frog-airplane,ce5_tgt10,0.01,26.666666666666668,78.33333333333334,0.04000000000000001,4.000000000000001,1
ResNet20BN,gradmatch,frog-airplane,ce5_tgt10,0.02,45.00000000000001,85.0,0.04000000000000001,2.0000000000000004,1
ResNet20BN,gradmatch,frog-airplane,ce5_tgt10,0.04,70.0,96.66666666666666,0.04000000000000001,1.0000000000000002,1
