model,attack,pair,budget,eps,seed,tags,target_idx,n_victims,sel_a,asr_a,sel_b,asr_b,gain
ConvNetBN,fc,dog-bird,0.005,8,42,selarchResNet20BN_ce5_tgt50,2540,4,random,25.0,dpp2,75.0,50.0
ConvNetBN,fc,dog-bird,0.005,8,42,selarchResNet20BN_ce5_tgt50,3725,4,random,0.0,dpp2,100.0,100.0
ConvNetBN,fc,dog-bird,0.005,8,42,selarchResNet20BN_ce5_tgt50,3875,4,random,0.0,dpp2,75.0,75.0
ConvNetBN,fc,dog-bird,0.005,8,42,selarchResNet20BN_ce5_tgt50,5169,4,random,0.0,dpp2,75.0,75.0
ConvNetBN,fc,dog-bird,0.005,8,42,selarchResNet20BN_ce5_tgt50,5705,4,random,0.0,dpp2,75.0,75.0
ConvNetBN,fc,dog-bird,0.005,8,42,selarchVGG13BN_ce5_tgt50,2540,4,random,25.0,dpp2,75.0,50.0
ConvNetBN,fc,dog-bird,0.005,8,42,selarchVGG13BN_ce5_tgt50,3725,4,random,0.0,dpp2,75.0,75.0
ConvNetBN,fc,dog-bird,0.005,8,42,selarchVGG13BN_ce5_tgt50,3875,4,random,0.0,dpp2,50.0,50.0
ConvNetBN,fc,dog-bird,0.005,8,42,selarchVGG13BN_ce5_tgt50,5169,4,random,25.0,dpp2,100.0,75.0
ConvNetBN,fc,dog-bird,0.005,8,42,selarchVGG13BN_ce5_tgt50,5705,4,random,25.0,dpp2,50.0,25.0
ConvNetBN,fc,dog-bird,0.01,8,42,ce5_tgt50,2540,4,random,50.0,dpp2,100.0,50.0
ConvNetBN,fc,dog-bird,0.01,8,42,ce5_tgt50,3725,4,random,75.0,dpp2,100.0,25.0
ConvNetBN,fc,dog-bird,0.01,8,42,ce5_tgt50,3875,4,random,0.0,dpp2,75.0,75.0
ConvNetBN,fc,dog-bird,0.01,8,42,ce5_tgt50,5169,4,random,50.0,dpp2,100.0,50.0
ConvNetBN,fc,dog-bird,0.01,8,42,ce5_tgt50,5705,4,random,75.0,dpp2,100.0,25.0
ConvNetBN,fc,dog-bird,0.01,8,42,ce5_tgt50,6335,4,random,25.0,dpp2,75.0,50.0
ConvNetBN,fc,dog-bird,0.01,8,42,ce5_tgt50,7488,4,random,0.0,dpp2,75.0,75.0
ConvNetBN,fc,dog-bird,0.01,8,42,ce5_tgt50,7663,4,random,0.0,dpp2,100.0,100.0
ConvNetBN,fc,dog-bird,0.01,8,42,ce5_tgt50,8129,4,random,50.0,dpp2,100.0,50.0
ConvNetBN,fc,dog-bird,0.01,8,42,ce5_tgt50,9831,4,random,75.0,dpp2,100.0,25.0
ConvNetBN,fc,dog-cat,0.005,8,42,ce5,2034,5,random,40.0,dpp2,100.0,60.0
ConvNetBN,fc,dog-cat,0.005,8,42,ce5,4375,5,random,0.0,dpp2,100.0,100.0
ConvNetBN,fc,dog-cat,0.005,8,42,ce5,5493,5,random,20.0,dpp2,100.0,80.0
ConvNetBN,fc,dog-cat,0.005,8,42,ce5,5530,5,random,40.0,dpp2,100.0,60.0
ConvNetBN,fc,dog-cat,0.005,8,42,ce5,607,5,random,100.0,dpp2,100.0,0.0
ConvNetBN,fc,frog-airplane,0.002,8,42,ce5_tgt20,1596,4,random,0.0,dpp2,25.0,25.0
ConvNetBN,fc,frog-airplane,0.002,8,42,ce5_tgt20,1776,4,random,0.0,dpp2,0.0,0.0
ConvNetBN,fc,frog-airplane,0.002,8,42,ce5_tgt20,2091,4,random,0.0,dpp2,0.0,0.0
ConvNetBN,fc,frog-airplane,0.002,8,42,ce5_tgt20,3158,4,random,0.0,dpp2,0.0,0.0
ConvNetBN,fc,frog-airplane,0.002,8,42,ce5_tgt20,5354,4,random,0.0,dpp2,75.0,75.0
ConvNetBN,fc,frog-airplane,0.002,8,42,ce5_tgt20,6006,4,random,0.0,dpp2,0.0,0.0
ConvNetBN,fc,frog-airplane,0.002,8,42,ce5_tgt20,6191,4,random,0.0,dpp2,0.0,0.0
ConvNetBN,fc,frog-airplane,0.002,8,42,ce5_tgt20,7010,4,random,0.0,dpp2,0.0,0.0
ConvNetBN,fc,frog-airplane,0.002,8,42,ce5_tgt20,7511,4,random,0.0,dpp2,0.0,0.0
ConvNetBN,fc,frog-airplane,0.002,8,42,ce5_tgt20,857,4,random,0.0,dpp2,0.0,0.0
ConvNetBN,fc,frog-airplane,0.01,8,42,ce5_tgt20,1596,4,random,0.0,dpp2,25.0,25.0
ConvNetBN,fc,frog-airplane,0.01,8,42,ce5_tgt20,1776,4,random,0.0,dpp2,0.0,0.0
ConvNetBN,fc,frog-airplane,0.01,8,42,ce5_tgt20,2091,4,random,0.0,dpp2,50.0,50.0
ConvNetBN,fc,frog-airplane,0.01,8,42,ce5_tgt20,3158,4,random,50.0,dpp2,25.0,-25.0
ConvNetBN,fc,frog-airplane,0.01,8,42,ce5_tgt20,5354,4,random,0.0,dpp2,75.0,75.0
ConvNetBN,fc,frog-airplane,0.01,8,42,ce5_tgt20,6006,4,random,0.0,dpp2,50.0,50.0
ConvNetBN,fc,frog-airplane,0.01,8,42,ce5_tgt20,6191,4,random,0.0,dpp2,50.0,50.0
ConvNetBN,fc,frog-airplane,0.01,8,42,ce5_tgt20,7010,4,random,0.0,dpp2,0.0,0.0
ConvNetBN,fc,frog-airplane,0.01,8,42,ce5_tgt20,7511,4,random,0.0,dpp2,0.0,0.0
ConvNetBN,fc,frog-airplane,0.01,8,42,ce5_tgt20,857,4,random,0.0,dpp2,0.0,0.0
ConvNetBN,fc,frog-ship,0.005,8,42,ce5,132,5,random,0.0,dpp2,20.0,20.0
ConvNetBN,fc,frog-ship,0.005,8,42,ce5,1347,5,random,0.0,dpp2,0.0,0.0
ConvNetBN,fc,frog-ship,0.005,8,42,ce5,3695,5,random,0.0,dpp2,0.0,0.0
ConvNetBN,fc,frog-ship,0.005,8,42,ce5,73,5,random,0.0,dpp2,0.0,0.0
ConvNetBN,fc,frog-ship,0.005,8,42,ce5,7485,5,random,0.0,dpp2,0.0,0.0
ConvNetBN,fc,horse-deer,0.005,8,42,ce5,1341,5,random,0.0,dpp2,100.0,100.0
ConvNetBN,fc,horse-deer,0.005,8,42,ce5,2180,5,random,0.0,dpp2,100.0,100.0
ConvNetBN,fc,horse-deer,0.005,8,42,ce5,2353,5,random,20.0,dpp2,100.0,80.0
ConvNetBN,fc,horse-deer,0.005,8,42,ce5,5296,5,random,20.0,dpp2,100.0,80.0
ConvNetBN,fc,horse-deer,0.005,8,42,ce5,5414,5,random,0.0,dpp2,100.0,100.0
