model,attack,pair,budget,tags,target_idx,n_victims,asr_a,asr_b,gain,target_score,clean_asr,craft_obj_a,craft_obj_b,cta_a,cta_b
ConvNetBN,fc,airplane-bird,0.005,ce5,1083,5,0.0,100.0,100.0,1.489546062449082e-13,0.0,0.1379622370004654,0.09851253777742386,0.8037,0.7962
ConvNetBN,fc,airplane-bird,0.005,ce5,160,5,60.0,60.0,0.0,0.02895222418010235,0.0,0.1721801906824112,0.12747865915298462,0.8084,0.8076
ConvNetBN,fc,airplane-bird,0.005,ce5,6277,5,20.0,100.0,80.0,0.00044744997285306454,0.0,0.11398576945066452,0.07628603279590607,0.8009,0.8039
ConvNetBN,fc,airplane-bird,0.005,ce5,8956,5,40.0,80.0,40.0,0.0011702589690685272,0.0,0.1514855921268463,0.11580952256917953,0.8086,0.8146
ConvNetBN,fc,airplane-bird,0.005,ce5,9915,5,0.0,100.0,100.0,1.6999358649627538e-06,0.0,0.13907790184020996,0.10539114475250244,0.8096,0.8076
ConvNetBN,fc,cat-truck,0.005,ce5,2174,5,0.0,40.0,40.0,2.35467739057027e-11,0.0,0.20474381744861603,0.1747172772884369,0.8066,0.797
ConvNetBN,fc,cat-truck,0.005,ce5,4761,5,0.0,0.0,0.0,7.298678154910032e-12,0.0,0.1691809892654419,0.14756210148334503,0.7996,0.8032
ConvNetBN,fc,cat-truck,0.005,ce5,6579,5,0.0,20.0,20.0,3.4397356615576494e-21,0.0,0.2135920524597168,0.1783093363046646,0.8146,0.8176
ConvNetBN,fc,cat-truck,0.005,ce5,9378,5,0.0,40.0,40.0,7.024519277365471e-08,0.0,0.19328780472278595,0.17035308480262756,0.7967,0.7933
ConvNetBN,fc,cat-truck,0.005,ce5,9743,5,0.0,40.0,40.0,3.929202459679619e-15,0.0,0.1812368631362915,0.1580437868833542,0.8184,0.8054
ConvNetBN,fc,dog-bird,0.002,ce5,1126,5,0.0,0.0,0.0,1.7626258230762915e-09,0.0,0.10668636858463287,0.07167313247919083,0.8086,0.8022
ConvNetBN,fc,dog-bird,0.002,ce5,3522,5,0.0,80.0,80.0,1.0458599319917994e-07,0.0,0.15910044312477112,0.12234540283679962,0.8122,0.8115
ConvNetBN,fc,dog-bird,0.002,ce5,3741,5,0.0,60.0,60.0,1.4595719903809368e-06,0.0,0.14878523349761963,0.1197679191827774,0.8162,0.8123
ConvNetBN,fc,dog-bird,0.002,ce5,6857,5,0.0,80.0,80.0,0.017041103914380074,0.0,0.14021573960781097,0.10825406759977341,0.7995,0.8021
ConvNetBN,fc,dog-bird,0.002,ce5,8252,5,0.0,80.0,80.0,2.1669634975296503e-09,0.0,0.12488014996051788,0.09041439741849899,0.7895,0.7944
ConvNetBN,fc,dog-bird,0.002,ce5_tgt50,2540,4,0.0,75.0,75.0,0.002384867984801531,0.0,,0.14495626091957092,0.7999,0.8059
ConvNetBN,fc,dog-bird,0.002,ce5_tgt50,3725,4,0.0,100.0,100.0,9.324157872470096e-06,0.0,0.23783810436725616,0.19359593093395233,0.7955,0.8057
ConvNetBN,fc,dog-bird,0.002,ce5_tgt50,3875,4,0.0,25.0,25.0,0.00016527115076314658,0.0,0.19052457809448242,0.15651531517505646,0.7882,0.8062
ConvNetBN,fc,dog-bird,0.002,ce5_tgt50,5169,4,25.0,100.0,75.0,3.866208544422989e-07,0.0,0.11341054737567902,0.0737982913851738,0.812,0.7937
ConvNetBN,fc,dog-bird,0.002,ce5_tgt50,5705,4,0.0,75.0,75.0,1.3196719805819157e-07,0.0,0.1110287681221962,0.06882382184267044,0.8052,0.7979
ConvNetBN,fc,dog-bird,0.002,ce5_tgt50,6335,4,0.0,75.0,75.0,3.996947634732351e-05,0.0,0.14406649768352509,0.10262540727853775,0.8003,0.7993
ConvNetBN,fc,dog-bird,0.002,ce5_tgt50,7488,4,0.0,25.0,25.0,4.690542846219614e-05,0.0,0.1467592567205429,0.11561597883701324,0.7981,0.7989
ConvNetBN,fc,dog-bird,0.002,ce5_tgt50,7663,4,0.0,100.0,100.0,7.964348469613469e-07,0.0,0.12000676244497299,0.0751737654209137,0.8115,0.8097
ConvNetBN,fc,dog-bird,0.002,ce5_tgt50,8129,4,0.0,75.0,75.0,9.496261554886587e-06,0.0,0.14006349444389343,0.1012873649597168,0.8017,0.8012
ConvNetBN,fc,dog-bird,0.002,ce5_tgt50,9831,4,0.0,75.0,75.0,3.946538373877928e-10,0.0,0.2515554130077362,0.21201209723949432,0.8073,0.8015
ConvNetBN,fc,dog-bird,0.005,ce5,1126,5,0.0,0.0,0.0,1.7626258230762915e-09,0.0,0.10768544673919678,0.07764885574579239,0.8121,0.8016
ConvNetBN,fc,dog-bird,0.005,ce5,3522,5,20.0,100.0,80.0,1.0458599319917994e-07,0.0,0.16291135549545288,0.12983135879039764,0.8086,0.8116
ConvNetBN,fc,dog-bird,0.005,ce5,3741,5,20.0,100.0,80.0,1.4595719903809368e-06,0.0,0.15062777698040009,0.1247534528374672,0.8089,0.8105
ConvNetBN,fc,dog-bird,0.005,ce5,6857,5,60.0,100.0,40.0,0.017041103914380074,0.0,0.1400499790906906,0.11414094269275665,0.7944,0.8025
ConvNetBN,fc,dog-bird,0.005,ce5,8252,5,20.0,100.0,80.0,2.1669634975296503e-09,0.0,0.12400410324335098,0.09473194181919098,0.7986,0.8023
ConvNetBN,fc,dog-bird,0.005,selarchResNet20BN_ce5_tgt50,2540,4,25.0,75.0,50.0,0.001182038802653551,0.0,0.17348264157772064,0.1661132574081421,0.7997,0.8002
ConvNetBN,fc,dog-bird,0.005,selarchResNet20BN_ce5_tgt50,3725,4,0.0,100.0,100.0,6.882719958412054e-07,0.0,0.23645904660224915,0.23548899590969086,0.7983,0.8012
ConvNetBN,fc,dog-bird,0.005,selarchResNet20BN_ce5_tgt50,3875,4,0.0,75.0,75.0,8.299622095364612e-06,0.0,0.19135057926177979,0.1903166025876999,0.7924,0.7872
ConvNetBN,fc,dog-bird,0.005,selarchResNet20BN_ce5_tgt50,5169,4,0.0,75.0,75.0,4.304568435031797e-08,0.0,0.11488675326108932,0.1038275882601738,0.8159,0.8181
ConvNetBN,fc,dog-bird,0.005,selarchResNet20BN_ce5_tgt50,5705,4,0.0,75.0,75.0,1.8982251503985026e-07,0.0,0.1124483123421669,0.09747201204299927,0.812,0.8045
ConvNetBN,fc,dog-bird,0.005,selarchVGG13BN_ce5_tgt50,2540,4,25.0,75.0,50.0,0.001182038802653551,0.0,0.17348259687423706,0.164559006690979,0.7986,0.8055
ConvNetBN,fc,dog-bird,0.005,selarchVGG13BN_ce5_tgt50,3725,4,0.0,75.0,75.0,6.882719958412054e-07,0.0,0.23645921051502228,0.23898008465766907,0.799,0.8003
ConvNetBN,fc,dog-bird,0.005,selarchVGG13BN_ce5_tgt50,3875,4,0.0,50.0,50.0,8.299622095364612e-06,0.0,0.19135072827339172,0.1917446404695511,0.7929,0.7979
ConvNetBN,fc,dog-bird,0.005,selarchVGG13BN_ce5_tgt50,5169,4,25.0,100.0,75.0,4.304568435031797e-08,0.0,0.11488638073205948,0.10960683971643448,0.8171,0.816
ConvNetBN,fc,dog-bird,0.005,selarchVGG13BN_ce5_tgt50,5705,4,25.0,50.0,25.0,1.8982251503985026e-07,0.0,0.11244828999042511,0.10460777580738068,0.8094,0.8024
ConvNetBN,fc,dog-bird,0.01,ce5_tgt50,2540,4,50.0,100.0,50.0,0.002384867984801531,0.0,0.17334334552288055,0.15192683041095734,0.7913,0.8105
ConvNetBN,fc,dog-bird,0.01,ce5_tgt50,3725,4,75.0,100.0,25.0,9.324157872470096e-06,0.0,0.23533132672309875,0.20593523979187012,0.7904,0.8099
ConvNetBN,fc,dog-bird,0.01,ce5_tgt50,3875,4,0.0,75.0,75.0,0.00016527115076314658,0.0,0.19147814810276031,0.16987277567386627,0.7936,0.8071
ConvNetBN,fc,dog-bird,0.01,ce5_tgt50,5169,4,50.0,100.0,50.0,3.866208544422989e-07,0.0,0.11508021503686905,0.08563969284296036,0.815,0.7855
ConvNetBN,fc,dog-bird,0.01,ce5_tgt50,5705,4,75.0,100.0,25.0,1.3196719805819157e-07,0.0,,0.08198466151952744,0.8102,0.7881
ConvNetBN,fc,dog-bird,0.01,ce5_tgt50,6335,4,25.0,75.0,50.0,3.996947634732351e-05,0.0,0.14665572345256805,0.11579300463199615,0.7978,0.8023
ConvNetBN,fc,dog-bird,0.01,ce5_tgt50,7488,4,0.0,75.0,75.0,4.690542846219614e-05,0.0,0.14943182468414307,0.1240760087966919,0.8017,0.8048
ConvNetBN,fc,dog-bird,0.01,ce5_tgt50,7663,4,0.0,100.0,100.0,7.964348469613469e-07,0.0,0.1196795329451561,0.08769650757312775,0.8137,0.8081
ConvNetBN,fc,dog-bird,0.01,ce5_tgt50,8129,4,50.0,100.0,50.0,9.496261554886587e-06,0.0,0.1407678872346878,0.1118149533867836,0.8007,0.8052
ConvNetBN,fc,dog-bird,0.01,ce5_tgt50,9831,4,75.0,100.0,25.0,3.946538373877928e-10,0.0,0.2503349781036377,0.22247909009456635,0.8038,0.7993
ConvNetBN,fc,dog-cat,0.005,ce5,2034,5,40.0,100.0,60.0,9.978157322620973e-05,0.0,0.0926031544804573,0.05054757744073868,0.8071,0.7979
ConvNetBN,fc,dog-cat,0.005,ce5,4375,5,0.0,100.0,100.0,0.0001877899921964854,0.0,0.11949694156646729,0.08094904571771622,0.8073,0.8083
ConvNetBN,fc,dog-cat,0.005,ce5,5493,5,20.0,100.0,80.0,0.004478775430470705,0.0,0.12247548252344131,0.09051035344600677,0.8111,0.814
ConvNetBN,fc,dog-cat,0.005,ce5,5530,5,40.0,100.0,60.0,0.0019310472998768091,0.0,0.13059772551059723,0.10217404365539551,0.802,0.7947
ConvNetBN,fc,dog-cat,0.005,ce5,607,5,100.0,100.0,0.0,0.002276861807331443,0.0,0.13131394982337952,0.10795970261096954,0.808,0.8096
ConvNetBN,fc,frog-airplane,0.002,ce5_tgt20,1596,4,0.0,25.0,25.0,1.168794187833555e-05,0.0,0.17571747303009033,0.13983601331710815,0.807,0.7935
