target_index,attack,selection,restart,step,iteration,objective,normalized_objective,best_objective,normalized_best_objective
3741,gradmatch,random,0,0,0,0.8585532307624817,1.0,0.8585532307624817,1.0
3741,gradmatch,random,0,10,10,0.5432869791984558,0.6327936053276062,0.5432869791984558,0.6327936053276062
3741,gradmatch,random,0,20,20,0.4734818935394287,0.5514881014823914,0.4734818935394287,0.5514881014823914
3741,gradmatch,random,0,30,30,0.49153295159339905,0.5725131034851074,0.4734818935394287,0.5514881014823914
3741,gradmatch,random,0,40,40,0.6273483037948608,0.7307040095329285,0.4228247106075287,0.4924851357936859
3741,gradmatch,random,0,50,50,0.4610145092010498,0.5369667410850525,0.4069599211215973,0.47400662302970886
3741,gradmatch,random,0,60,60,0.4041000306606293,0.4706755578517914,0.3847264349460602,0.4481101632118225
3741,gradmatch,random,0,70,70,0.4770607352256775,0.5556565523147583,0.36716875433921814,0.42765986919403076
3741,gradmatch,random,0,80,80,0.47486624121665955,0.5531005263328552,0.36241596937179565,0.42212405800819397
3741,gradmatch,random,0,90,90,0.410259872674942,0.4778502583503723,0.36241596937179565,0.42212405800819397
3741,gradmatch,random,0,100,100,0.40929970145225525,0.47673189640045166,0.36095577478408813,0.420423299074173
3741,gradmatch,random,0,110,110,0.37184375524520874,0.43310508131980896,0.36095577478408813,0.420423299074173
3741,gradmatch,random,0,120,120,0.46422749757766724,0.5407090187072754,0.35276755690574646,0.4108860492706299
3741,gradmatch,random,0,130,130,0.36334070563316345,0.42320114374160767,0.35276755690574646,0.4108860492706299
3741,gradmatch,random,0,140,140,0.4658041000366211,0.5425453782081604,0.35276755690574646,0.4108860492706299
3741,gradmatch,random,0,150,150,0.3505755066871643,0.408332884311676,0.3505755066871643,0.408332884311676
3741,gradmatch,random,0,160,160,0.5600903034210205,0.6523652672767639,0.3505755066871643,0.408332884311676
3741,gradmatch,random,0,170,170,0.4234046936035156,0.4931606650352478,0.34863942861557007,0.4060778319835663
3741,gradmatch,random,0,180,180,0.41048502922058105,0.47811248898506165,0.34863942861557007,0.4060778319835663
3741,gradmatch,random,0,190,190,0.6128541231155396,0.7138219475746155,0.34863942861557007,0.4060778319835663
3741,gradmatch,random,0,200,200,0.5048478841781616,0.5880216360092163,0.34863942861557007,0.4060778319835663
3741,gradmatch,random,0,210,210,0.4779330790042877,0.5566726326942444,0.34863942861557007,0.4060778319835663
3741,gradmatch,random,0,220,220,0.47131434082984924,0.5489634275436401,0.34863942861557007,0.4060778319835663
3741,gradmatch,random,0,230,230,0.4256225526332855,0.49574393033981323,0.34538429975509644,0.4022864103317261
3741,gradmatch,random,0,240,240,0.35407644510269165,0.41241058707237244,0.34538429975509644,0.4022864103317261
3741,gradmatch,random,1,0,250,0.8465642929077148,0.9860358834266663,0.34538429975509644,0.4022864103317261
3741,gradmatch,random,1,10,260,0.64197838306427,0.7477444410324097,0.34538429975509644,0.4022864103317261
3741,gradmatch,random,1,20,270,0.6283193230628967,0.7318350076675415,0.34538429975509644,0.4022864103317261
3741,gradmatch,random,1,30,280,0.7283209562301636,0.8483119606971741,0.34538429975509644,0.4022864103317261
3741,gradmatch,random,1,40,290,0.3987232446670532,0.46441295742988586,0.34538429975509644,0.4022864103317261
3741,gradmatch,random,1,50,300,0.45249271392822266,0.527040958404541,0.34538429975509644,0.4022864103317261
3741,gradmatch,random,1,60,310,0.5372421145439148,0.6257528066635132,0.34538429975509644,0.4022864103317261
3741,gradmatch,random,1,70,320,0.48447102308273315,0.5642877221107483,0.34538429975509644,0.4022864103317261
3741,gradmatch,random,1,80,330,0.4524998068809509,0.5270492434501648,0.34538429975509644,0.4022864103317261
3741,gradmatch,random,1,90,340,0.5356103181838989,0.6238521933555603,0.34538429975509644,0.4022864103317261
3741,gradmatch,random,1,100,350,0.40221500396728516,0.4684799909591675,0.34538429975509644,0.4022864103317261
3741,gradmatch,random,1,110,360,0.4673013687133789,0.5442893505096436,0.34538429975509644,0.4022864103317261
3741,gradmatch,random,1,120,370,0.38632047176361084,0.44996681809425354,0.34538429975509644,0.4022864103317261
3741,gradmatch,random,1,130,380,0.3754829466342926,0.4373438060283661,0.34538429975509644,0.4022864103317261
3741,gradmatch,random,1,140,390,0.40665102005004883,0.4736468493938446,0.34538429975509644,0.4022864103317261
3741,gradmatch,random,1,150,400,0.6172835826873779,0.718981146812439,0.3431491255760193,0.39968299865722656
3741,gradmatch,random,1,160,410,0.5028985738754272,0.5857511758804321,0.341407835483551,0.39765483140945435
3741,gradmatch,random,1,170,420,0.37464389204978943,0.4363665282726288,0.3406763970851898,0.3968028724193573
3741,gradmatch,random,1,180,430,0.36225372552871704,0.4219350814819336,0.3406763970851898,0.3968028724193573
3741,gradmatch,random,1,190,440,0.45849961042404175,0.5340374708175659,0.3406763970851898,0.3968028724193573
3741,gradmatch,random,1,200,450,0.33676502108573914,0.39224711060523987,0.33676502108573914,0.39224711060523987
3741,gradmatch,random,1,210,460,0.4355166554450989,0.5072680711746216,0.3313218057155609,0.3859071135520935
3741,gradmatch,random,1,220,470,0.3983874022960663,0.464021772146225,0.3313218057155609,0.3859071135520935
3741,gradmatch,random,1,230,480,0.4635389745235443,0.5399070978164673,0.3313218057155609,0.3859071135520935
3741,gradmatch,random,1,240,490,0.5686306953430176,0.6623126864433289,0.3295266926288605,0.38381627202033997
3741,gradmatch,random,2,0,500,0.7987644076347351,0.9303609728813171,0.3295266926288605,0.38381627202033997
3741,gradmatch,random,2,10,510,0.5504692792892456,0.641159176826477,0.3295266926288605,0.38381627202033997
3741,gradmatch,random,2,20,520,0.6624959111213684,0.7716422080993652,0.3295266926288605,0.38381627202033997
3741,gradmatch,random,2,30,530,0.47752100229263306,0.5561926364898682,0.3295266926288605,0.38381627202033997
3741,gradmatch,random,2,40,540,0.5090833902359009,0.5929549336433411,0.3295266926288605,0.38381627202033997
3741,gradmatch,random,2,50,550,0.4679076671600342,0.5449955463409424,0.3295266926288605,0.38381627202033997
3741,gradmatch,random,2,60,560,0.3965384364128113,0.46186819672584534,0.3295266926288605,0.38381627202033997
3741,gradmatch,random,2,70,570,0.44561728835105896,0.5190327763557434,0.3295266926288605,0.38381627202033997
3741,gradmatch,random,2,80,580,0.36267775297164917,0.4224289655685425,0.3295266926288605,0.38381627202033997
3741,gradmatch,random,2,90,590,0.36619314551353455,0.42652350664138794,0.3295266926288605,0.38381627202033997
3741,gradmatch,random,2,100,600,0.35494858026504517,0.41342639923095703,0.3295266926288605,0.38381627202033997
3741,gradmatch,random,2,110,610,0.4492277204990387,0.5232380628585815,0.3295266926288605,0.38381627202033997
3741,gradmatch,random,2,120,620,0.4362157881259918,0.508082389831543,0.3295266926288605,0.38381627202033997
3741,gradmatch,random,2,130,630,0.5906235575675964,0.6879288554191589,0.3295266926288605,0.38381627202033997
3741,gradmatch,random,2,140,640,0.3443681299686432,0.40110284090042114,0.3295266926288605,0.38381627202033997
3741,gradmatch,random,2,150,650,0.5547763705253601,0.6461758613586426,0.3295266926288605,0.38381627202033997
3741,gradmatch,random,2,160,660,0.4033096432685852,0.4697549641132355,0.3295266926288605,0.38381627202033997
3741,gradmatch,random,2,170,670,0.3363282084465027,0.39173832535743713,0.3295266926288605,0.38381627202033997
3741,gradmatch,random,2,180,680,0.41971778869628906,0.4888663589954376,0.3295266926288605,0.38381627202033997
3741,gradmatch,random,2,190,690,0.6693220138549805,0.7795929312705994,0.3295266926288605,0.38381627202033997
3741,gradmatch,random,2,200,700,0.553314745426178,0.6444734334945679,0.3295266926288605,0.38381627202033997
3741,gradmatch,random,2,210,710,0.5203853249549866,0.6061188578605652,0.3295266926288605,0.38381627202033997
3741,gradmatch,random,2,220,720,0.4660707414150238,0.542855978012085,0.3295266926288605,0.38381627202033997
3741,gradmatch,random,2,230,730,0.44688335061073303,0.5205074548721313,0.3295266926288605,0.38381627202033997
3741,gradmatch,random,2,240,740,0.4055235981941223,0.4723336696624756,0.3295266926288605,0.38381627202033997
3741,gradmatch,random,3,0,750,0.8031646609306335,0.9354861378669739,0.3295266926288605,0.38381627202033997
3741,gradmatch,random,3,10,760,0.5816166996955872,0.6774381399154663,0.3295266926288605,0.38381627202033997
3741,gradmatch,random,3,20,770,0.4759732782840729,0.5543899536132812,0.3295266926288605,0.38381627202033997
3741,gradmatch,random,3,30,780,0.46465903520584106,0.5412116646766663,0.3295266926288605,0.38381627202033997
3741,gradmatch,random,3,40,790,0.4061747193336487,0.47309204936027527,0.3295266926288605,0.38381627202033997
3741,gradmatch,random,3,50,800,0.4427221715450287,0.5156607031822205,0.3295266926288605,0.38381627202033997
3741,gradmatch,random,3,60,810,0.4260389804840088,0.496228963136673,0.3295266926288605,0.38381627202033997
3741,gradmatch,random,3,70,820,0.5451308488845825,0.6349412202835083,0.3295266926288605,0.38381627202033997
3741,gradmatch,random,3,80,830,0.6935661435127258,0.8078312873840332,0.3295266926288605,0.38381627202033997
3741,gradmatch,random,3,90,840,0.4437851905822754,0.5168988704681396,0.3295266926288605,0.38381627202033997
3741,gradmatch,random,3,100,850,0.3534993529319763,0.41173842549324036,0.3295266926288605,0.38381627202033997
3741,gradmatch,random,3,110,860,0.40488672256469727,0.47159186005592346,0.3295266926288605,0.38381627202033997
3741,gradmatch,random,3,120,870,0.5054709315299988,0.5887473225593567,0.3295266926288605,0.38381627202033997
3741,gradmatch,random,3,130,880,0.39236411452293396,0.45700615644454956,0.3295266926288605,0.38381627202033997
3741,gradmatch,random,3,140,890,0.5603867769241333,0.6527105569839478,0.3295266926288605,0.38381627202033997
3741,gradmatch,random,3,150,900,0.3881717324256897,0.45212307572364807,0.3295266926288605,0.38381627202033997
3741,gradmatch,random,3,160,910,0.5025238990783691,0.5853148102760315,0.3295266926288605,0.38381627202033997
3741,gradmatch,random,3,170,920,0.3878799080848694,0.4517831802368164,0.3295266926288605,0.38381627202033997
3741,gradmatch,random,3,180,930,0.3386557996273041,0.394449383020401,0.3295266926288605,0.38381627202033997
3741,gradmatch,random,3,190,940,0.44751834869384766,0.5212470889091492,0.3295266926288605,0.38381627202033997
3741,gradmatch,random,3,200,950,0.36781930923461914,0.4284175932407379,0.3295266926288605,0.38381627202033997
3741,gradmatch,random,3,210,960,0.39121970534324646,0.4556732177734375,0.3295266926288605,0.38381627202033997
3741,gradmatch,random,3,220,970,0.5143830180168152,0.5991277098655701,0.3295266926288605,0.38381627202033997
3741,gradmatch,random,3,230,980,0.400160551071167,0.46608707308769226,0.3295266926288605,0.38381627202033997
3741,gradmatch,random,3,240,990,0.39089235663414,0.4552919268608093,0.3295266926288605,0.38381627202033997
3741,gradmatch,random,4,0,1000,0.8113014101982117,0.9449634552001953,0.3295266926288605,0.38381627202033997
