target_index,selection,m,mean_score,mean_relevance,mean_boundary,mean_offdiag_similarity,effective_rank,overlap_with_greedy,overlap_with_random
843,random,250,-0.05574878677725792,0.241302490234375,0.025401409715414047,0.2932916581630707,221.90240765853196,15,250
843,greedy,250,-2.3969459533691406,0.3210463523864746,-0.6292203664779663,0.31387242674827576,219.39682149970537,250,15
843,dpp,250,-2.3961381912231445,0.32086020708084106,-0.6321649551391602,0.31335800886154175,219.60471196022553,247,16
1257,random,250,0.1114383116364479,0.2445165067911148,0.06501880288124084,0.2919226288795471,221.63552245972468,13,250
1257,greedy,250,-2.3909552097320557,0.3278713524341583,-0.6070119142532349,0.310799777507782,220.317915070636,250,13
1257,dpp,250,-2.3905553817749023,0.3278675079345703,-0.6063598990440369,0.3101474344730377,220.43546773152573,246,13
8252,random,250,0.0015793610364198685,0.2762713134288788,0.012796856462955475,0.29434457421302795,221.33766723553683,14,250
8252,greedy,250,-2.444300651550293,0.3562895953655243,-0.6747579574584961,0.3340241014957428,219.51261673224695,250,14
8252,dpp,250,-2.4431164264678955,0.3558902144432068,-0.6822301149368286,0.3327609896659851,220.0063551438051,244,14
8730,random,250,0.09095283597707748,0.25691890716552734,0.04699534922838211,0.2978588938713074,221.64987824250719,10,250
8730,greedy,250,-2.348860502243042,0.3405565917491913,-0.6089494228363037,0.32057398557662964,221.0430910450253,250,10
8730,dpp,250,-2.347482919692993,0.34030231833457947,-0.6129046082496643,0.31878647208213806,221.4854231762681,244,11
8055,random,250,-0.06742069125175476,0.23078413307666779,-0.050852540880441666,0.29344284534454346,221.8080330356962,12,250
8055,greedy,250,-2.786766767501831,0.3344864547252655,-0.6841477751731873,0.31633293628692627,216.67135436916715,250,12
8055,dpp,250,-2.7860019207000732,0.3342449963092804,-0.6879335045814514,0.3138626515865326,216.93856262328217,245,11
5859,random,250,0.04274008423089981,0.2764732241630554,0.044576454907655716,0.29788002371788025,221.10568239634395,15,250
5859,greedy,250,-2.489912748336792,0.3719846308231354,-0.6102847456932068,0.34157127141952515,219.15435722683438,250,15
5859,dpp,250,-2.4893593788146973,0.3716237246990204,-0.6168583035469055,0.34036707878112793,219.31914550216996,245,15
8954,random,250,-0.08241719007492065,0.23645375669002533,-0.04381220415234566,0.2965550720691681,221.82576829160135,9,250
8954,greedy,250,-3.005718469619751,0.3689222037792206,-0.6871092319488525,0.3394448459148407,215.45071492672446,250,9
8954,dpp,250,-3.0044829845428467,0.3680479824542999,-0.7010077834129333,0.3366383910179138,215.7354305676196,245,9
821,random,250,-0.019453980028629303,0.28688836097717285,0.03519098088145256,0.2949155569076538,221.9104096283369,18,250
821,greedy,250,-2.335733413696289,0.36756059527397156,-0.6216033101081848,0.33549702167510986,217.28023382379652,250,18
821,dpp,250,-2.33479380607605,0.3672538697719574,-0.6268638968467712,0.33332160115242004,217.70472031104845,242,17
1547,random,250,0.021365631371736526,0.2083711326122284,0.025488074868917465,0.29323896765708923,222.1248079303048,6,250
1547,greedy,250,-2.6600990295410156,0.3088029623031616,-0.6013303399085999,0.30081719160079956,217.8837218938534,250,6
1547,dpp,250,-2.6597559452056885,0.3084527850151062,-0.6078006625175476,0.2997775077819824,218.06658224511852,247,6
4427,random,250,-0.02977597899734974,0.23968909680843353,-0.0570346936583519,0.287393718957901,222.28772197065126,10,250
4427,greedy,250,-2.5305399894714355,0.3274098038673401,-0.6201429963111877,0.31452542543411255,216.7870134818413,250,10
4427,dpp,250,-2.5298335552215576,0.3266023099422455,-0.6372689604759216,0.31332650780677795,217.3187421501094,243,11
