run_dir,dataset,model,attack,pair,budget,eps,seed,tags,selection,lam,dist,target_idx,victim_id,success,clean_test_acc,clean_asr,target_score,craft_obj,num_poisons
CIFAR10_ConvNetBN_fc_ours_airplane-bird_b0.005_eps8_seed42_lam1_cosine_seldpp2_ce5,CIFAR10,ConvNetBN,fc,airplane-bird,0.005,8,42,ce5,dpp2,1,cosine,1083,0,1,0.8053,0.0,1.489546062449082e-13,0.09851253777742386,250.0
CIFAR10_ConvNetBN_fc_ours_airplane-bird_b0.005_eps8_seed42_lam1_cosine_seldpp2_ce5,CIFAR10,ConvNetBN,fc,airplane-bird,0.005,8,42,ce5,dpp2,1,cosine,1083,1,1,0.8058,0.0,1.489546062449082e-13,0.09851253777742386,250.0
CIFAR10_ConvNetBN_fc_ours_airplane-bird_b0.005_eps8_seed42_lam1_cosine_seldpp2_ce5,CIFAR10,ConvNetBN,fc,airplane-bird,0.005,8,42,ce5,dpp2,1,cosine,1083,2,1,0.7996,0.0,1.489546062449082e-13,0.09851253777742386,250.0
CIFAR10_ConvNetBN_fc_ours_airplane-bird_b0.005_eps8_seed42_lam1_cosine_seldpp2_ce5,CIFAR10,ConvNetBN,fc,airplane-bird,0.005,8,42,ce5,dpp2,1,cosine,1083,3,1,0.8077,0.0,1.489546062449082e-13,0.09851253777742386,250.0
CIFAR10_ConvNetBN_fc_ours_airplane-bird_b0.005_eps8_seed42_lam1_cosine_seldpp2_ce5,CIFAR10,ConvNetBN,fc,airplane-bird,0.005,8,42,ce5,dpp2,1,cosine,1083,4,1,0.7962,0.0,1.489546062449082e-13,0.09851253777742386,250.0
CIFAR10_ConvNetBN_fc_ours_airplane-bird_b0.005_eps8_seed42_lam1_cosine_seldpp2_ce5,CIFAR10,ConvNetBN,fc,airplane-bird,0.005,8,42,ce5,dpp2,1,cosine,160,0,0,0.8156,0.0,0.02895222418010235,0.12747865915298462,250.0
CIFAR10_ConvNetBN_fc_ours_airplane-bird_b0.005_eps8_seed42_lam1_cosine_seldpp2_ce5,CIFAR10,ConvNetBN,fc,airplane-bird,0.005,8,42,ce5,dpp2,1,cosine,160,1,1,0.8095,0.0,0.02895222418010235,0.12747865915298462,250.0
CIFAR10_ConvNetBN_fc_ours_airplane-bird_b0.005_eps8_seed42_lam1_cosine_seldpp2_ce5,CIFAR10,ConvNetBN,fc,airplane-bird,0.005,8,42,ce5,dpp2,1,cosine,160,2,0,0.7446,0.0,0.02895222418010235,0.12747865915298462,250.0
CIFAR10_ConvNetBN_fc_ours_airplane-bird_b0.005_eps8_seed42_lam1_cosine_seldpp2_ce5,CIFAR10,ConvNetBN,fc,airplane-bird,0.005,8,42,ce5,dpp2,1,cosine,160,3,1,0.8039,0.0,0.02895222418010235,0.12747865915298462,250.0
CIFAR10_ConvNetBN_fc_ours_airplane-bird_b0.005_eps8_seed42_lam1_cosine_seldpp2_ce5,CIFAR10,ConvNetBN,fc,airplane-bird,0.005,8,42,ce5,dpp2,1,cosine,160,4,1,0.8076,0.0,0.02895222418010235,0.12747865915298462,250.0
