selector,selected_mean_margin,selected_mean_relevance,selected_mean_residual_norm,selected_mean_abs_head_interaction,selected_mean_abs_backbone_interaction,gradmatch_asr,gradmatch_cta,sapa_asr,sapa_cta
Full,5.347587096118927,0.3042260170638561,0.029533108173440382,1.6227797515891862,18.194670773601533,0.32,0.805864,0.28,0.8052079999999999
No margin,5.721026089191437,0.31248688039183614,0.026810244257288014,1.5207907779975942,17.219590124797822,0.36,0.80432,0.36,0.804876
High margin,17.110129950523376,0.310640709900856,0.0001981520945703507,0.015179367077902873,0.14740181608200073,0.0,0.8049680000000001,0.0,0.803788
