dataset,model,attack,base,class_pair,seed,num_surrogate,coef,budget,num_poisons,epsilon,target_difficulty,target_margin_low,target_margin_high,target_id,target_diff,victim_id,success,clean_test_acc
CIFAR10,ResNet20BN,GRAD,ours,dog-bird,42,5,1.0,0.05,2500,0.0616,0.02,0.05,0.5,5797,0.017542272806167603,0,0,0.8454227113556778
CIFAR10,ResNet20BN,GRAD,ours,dog-bird,42,5,1.0,0.05,2500,0.0616,0.02,0.05,0.5,5797,0.017542272806167603,1,0,0.8438219109554778
CIFAR10,ResNet20BN,GRAD,ours,dog-bird,42,5,1.0,0.05,2500,0.0616,0.02,0.05,0.5,5797,0.017542272806167603,2,0,0.847023511755878
