model,attack,base,class_pair,pair_order,seed,budget,num_poisons,epsilon,fc_mode,lambda_margin,base_dist,use_jacobian_score,jacobian_weight,jacobian_batch_size,jacobian_backend,num_surrogates,craft_ensemble,restarts,craft_steps,craft_alpha,target_select,num_targets,num_trials,asr_mean,asr_std,cta_post_mean,cta_post_std,cta_baseline_mean,cta_baseline_std,cta_drop_mean
ConvNetBN,fc,random,dog-bird,poison-target,42,0.001,50,0.0313725,sample,1.0,l2,False,1.0,64,,1,1,1,2,0.0039216,50,1,1,0.0,0.0,0.5703,0.0,0.5668,0.0,0.0035000000000000586
ConvNetBN,fc,random,dog-bird,poison-target,42,0.001,50,0.0313725,sample,1.0,l2,False,1.0,64,,1,1,1,2,0.0039216,50,1,1,0.0,0.0,0.5703,0.0,0.5668,0.0,0.0035000000000000586
