dataset,poison_rho,train_set_size,candidate_count,m,candidate_fraction,hybrid_scale,method_left,method_right,target_pools,budget_valid,mean_overlap_fraction,median_overlap_fraction,q25_overlap_fraction,q75_overlap_fraction,mean_jaccard
SVHN,0.002,73257,4659,147,0.031551835157759174,standardized,graft_plus,random,10,True,0.031551835157759174,0.031551835157759174,0.031551835157759174,0.031551835157759174,0.016028786391887477
SVHN,0.002,73257,4659,147,0.031551835157759174,standardized,hybrid,graft,10,True,0.33945578231292517,0.3333333333333333,0.30272108843537415,0.37074829931972786,0.20566253033605633
SVHN,0.002,73257,4659,147,0.031551835157759174,standardized,hybrid,graft_plus,10,True,0.7850340136054422,0.7857142857142857,0.7772108843537415,0.7942176870748299,0.6465269510510907
SVHN,0.002,73257,4659,147,0.031551835157759174,standardized,hybrid,hybrid,10,True,1.0,1.0,1.0,1.0,1.0
SVHN,0.002,73257,4659,147,0.031551835157759174,standardized,hybrid,random,10,True,0.031551835157759174,0.031551835157759174,0.031551835157759174,0.031551835157759174,0.016028786391887477
SVHN,0.002,73257,4659,147,0.031551835157759174,standardized,random,random,10,True,1.0,1.0,1.0,1.0,1.0
SVHN,0.005,73257,4659,366,0.07855763039278815,standardized,exact,exact,10,True,1.0,1.0,1.0,1.0,1.0
SVHN,0.005,73257,4659,366,0.07855763039278815,standardized,exact,graft,10,True,0.16994535519125684,0.16666666666666669,0.1564207650273224,0.1796448087431694,0.09297730233738717
SVHN,0.005,73257,4659,366,0.07855763039278815,standardized,exact,graft_plus,10,True,0.6442622950819672,0.6434426229508197,0.6318306010928962,0.6475409836065574,0.47535031547821704
SVHN,0.005,73257,4659,366,0.07855763039278815,standardized,exact,hybrid,10,True,0.5076502732240437,0.505464480874317,0.48838797814207646,0.5191256830601093,0.34056957051256653
SVHN,0.005,73257,4659,366,0.07855763039278815,standardized,exact,random,10,True,0.07855763039278815,0.07855763039278815,0.07855763039278815,0.07855763039278815,0.04088471849865951
SVHN,0.005,73257,4659,366,0.07855763039278815,standardized,graft,graft,10,True,1.0,1.0,1.0,1.0,1.0
SVHN,0.005,73257,4659,366,0.07855763039278815,standardized,graft,graft_plus,10,True,0.5150273224043717,0.5109289617486339,0.4979508196721312,0.5368852459016393,0.34744659559141156
SVHN,0.005,73257,4659,366,0.07855763039278815,standardized,graft,random,10,True,0.07855763039278815,0.07855763039278815,0.07855763039278815,0.07855763039278815,0.04088471849865951
SVHN,0.005,73257,4659,366,0.07855763039278815,standardized,graft_plus,graft_plus,10,True,1.0,1.0,1.0,1.0,1.0
SVHN,0.005,73257,4659,366,0.07855763039278815,standardized,graft_plus,random,10,True,0.07855763039278815,0.07855763039278815,0.07855763039278815,0.07855763039278815,0.04088471849865951
SVHN,0.005,73257,4659,366,0.07855763039278815,standardized,hybrid,graft,10,True,0.507103825136612,0.5040983606557377,0.4959016393442623,0.5129781420765027,0.3397675010483886
SVHN,0.005,73257,4659,366,0.07855763039278815,standardized,hybrid,graft_plus,10,True,0.7510928961748635,0.7459016393442623,0.7281420765027322,0.76775956284153,0.6020673595781862
SVHN,0.005,73257,4659,366,0.07855763039278815,standardized,hybrid,hybrid,10,True,1.0,1.0,1.0,1.0,1.0
SVHN,0.005,73257,4659,366,0.07855763039278815,standardized,hybrid,random,10,True,0.07855763039278815,0.07855763039278815,0.07855763039278815,0.07855763039278815,0.04088471849865951
SVHN,0.005,73257,4659,366,0.07855763039278815,standardized,random,random,10,True,1.0,1.0,1.0,1.0,1.0
SVHN,0.01,73257,4659,733,0.15732989911998282,standardized,exact,exact,10,True,1.0,1.0,1.0,1.0,1.0
SVHN,0.01,73257,4659,733,0.15732989911998282,standardized,exact,graft,10,True,0.31678035470668486,0.3124147339699863,0.3035470668485675,0.3356070941336971,0.1885375946844316
SVHN,0.01,73257,4659,733,0.15732989911998282,standardized,exact,graft_plus,10,True,0.619781718963165,0.6227830832196453,0.614256480218281,0.6275579809004093,0.4492476853901854
SVHN,0.01,73257,4659,733,0.15732989911998282,standardized,exact,hybrid,10,True,0.4597544338335607,0.46248294679399726,0.44440654843110505,0.4710095497953615,0.29871049976064645
SVHN,0.01,73257,4659,733,0.15732989911998282,standardized,exact,random,10,True,0.1573298991199828,0.15732989911998282,0.15732989911998282,0.15732989911998282,0.08538147932440301
SVHN,0.01,73257,4659,733,0.15732989911998282,standardized,graft,graft,10,True,1.0,1.0,1.0,1.0,1.0
SVHN,0.01,73257,4659,733,0.15732989911998282,standardized,graft,graft_plus,10,True,0.6942701227830831,0.6875852660300137,0.669849931787176,0.7237380627557981,0.5326552032199172
SVHN,0.01,73257,4659,733,0.15732989911998282,standardized,graft,random,10,True,0.1573298991199828,0.15732989911998282,0.15732989911998282,0.15732989911998282,0.08538147932440301
SVHN,0.01,73257,4659,733,0.15732989911998282,standardized,graft_plus,graft_plus,10,True,1.0,1.0,1.0,1.0,1.0
SVHN,0.01,73257,4659,733,0.15732989911998282,standardized,graft_plus,random,10,True,0.1573298991199828,0.15732989911998282,0.15732989911998282,0.15732989911998282,0.08538147932440301
SVHN,0.01,73257,4659,733,0.15732989911998282,standardized,hybrid,graft,10,True,0.5639836289222374,0.5620736698499318,0.555593451568895,0.5668485675306958,0.39285741147998027
SVHN,0.01,73257,4659,733,0.15732989911998282,standardized,hybrid,graft_plus,10,True,0.6778990450204639,0.6773533424283765,0.6637107776261938,0.6916780354706685,0.5129768339019878
SVHN,0.01,73257,4659,733,0.15732989911998282,standardized,hybrid,hybrid,10,True,1.0,1.0,1.0,1.0,1.0
SVHN,0.01,73257,4659,733,0.15732989911998282,standardized,hybrid,random,10,True,0.1573298991199828,0.15732989911998282,0.15732989911998282,0.15732989911998282,0.08538147932440301
SVHN,0.01,73257,4659,733,0.15732989911998282,standardized,random,random,10,True,1.0,1.0,1.0,1.0,1.0
SVHN,0.02,73257,4659,1465,0.31444515990555916,standardized,exact,exact,10,True,1.0,1.0,1.0,1.0,1.0
SVHN,0.02,73257,4659,1465,0.31444515990555916,standardized,exact,graft,10,True,0.5239590443686007,0.5252559726962458,0.5092150170648464,0.5392491467576792,0.3552103371332368
SVHN,0.02,73257,4659,1465,0.31444515990555916,standardized,exact,graft_plus,10,True,0.6611604095563139,0.6590443686006826,0.6527303754266212,0.6703071672354949,0.49392693551964656
SVHN,0.02,73257,4659,1465,0.31444515990555916,standardized,exact,hybrid,10,True,0.4597952218430034,0.4559726962457338,0.45204778156996583,0.4713310580204778,0.29862667528640896
SVHN,0.02,73257,4659,1465,0.31444515990555916,standardized,exact,random,10,True,0.31444515990555916,0.31444515990555916,0.31444515990555916,0.31444515990555916,0.1865529097160321
SVHN,0.02,73257,4659,1465,0.31444515990555916,standardized,graft,graft,10,True,1.0,1.0,1.0,1.0,1.0
SVHN,0.02,73257,4659,1465,0.31444515990555916,standardized,graft,graft_plus,10,True,0.8436860068259385,0.8385665529010239,0.8322525597269624,0.8580204778156997,0.7302746041908424
SVHN,0.02,73257,4659,1465,0.31444515990555916,standardized,graft,random,10,True,0.31444515990555916,0.31444515990555916,0.31444515990555916,0.31444515990555916,0.1865529097160321
SVHN,0.02,73257,4659,1465,0.31444515990555916,standardized,graft_plus,graft_plus,10,True,1.0,1.0,1.0,1.0,1.0
SVHN,0.02,73257,4659,1465,0.31444515990555916,standardized,graft_plus,random,10,True,0.31444515990555916,0.31444515990555916,0.31444515990555916,0.31444515990555916,0.1865529097160321
SVHN,0.02,73257,4659,1465,0.31444515990555916,standardized,hybrid,graft,10,True,0.5647781569965871,0.5651877133105803,0.5542662116040955,0.5767918088737202,0.3936325377686179
SVHN,0.02,73257,4659,1465,0.31444515990555916,standardized,hybrid,graft_plus,10,True,0.5868941979522184,0.5883959044368601,0.5781569965870307,0.5979522184300341,0.4154777252234011
SVHN,0.02,73257,4659,1465,0.31444515990555916,standardized,hybrid,hybrid,10,True,1.0,1.0,1.0,1.0,1.0
SVHN,0.02,73257,4659,1465,0.31444515990555916,standardized,hybrid,random,10,True,0.31444515990555916,0.31444515990555916,0.31444515990555916,0.31444515990555916,0.1865529097160321
SVHN,0.02,73257,4659,1465,0.31444515990555916,standardized,random,random,10,True,1.0,1.0,1.0,1.0,1.0
SVHN,0.04,73257,4659,2930,0.6288903198111183,standardized,exact,exact,10,True,1.0,1.0,1.0,1.0,1.0
SVHN,0.04,73257,4659,2930,0.6288903198111183,standardized,exact,graft,10,True,0.7745392491467576,0.7754266211604095,0.7670648464163823,0.778754266211604,0.6320959666683039
SVHN,0.04,73257,4659,2930,0.6288903198111183,standardized,exact,graft_plus,10,True,0.7922525597269624,0.7902730375426621,0.7897610921501707,0.7970136518771331,0.6560012768181748
SVHN,0.04,73257,4659,2930,0.6288903198111183,standardized,exact,hybrid,10,True,0.6891467576791809,0.6872013651877134,0.682679180887372,0.6948805460750853,0.5257712048869203
SVHN,0.04,73257,4659,2930,0.6288903198111183,standardized,exact,random,10,True,0.6288903198111183,0.6288903198111183,0.6288903198111183,0.6288903198111183,0.45867251095804634
SVHN,0.04,73257,4659,2930,0.6288903198111183,standardized,graft,graft,10,True,1.0,1.0,1.0,1.0,1.0
SVHN,0.04,73257,4659,2930,0.6288903198111183,standardized,graft,graft_plus,10,True,0.9682593856655292,0.9704778156996587,0.9635665529010239,0.9741467576791809,0.9385827067948668
SVHN,0.04,73257,4659,2930,0.6288903198111183,standardized,graft,random,10,True,0.6288903198111183,0.6288903198111183,0.6288903198111183,0.6288903198111183,0.45867251095804634
SVHN,0.04,73257,4659,2930,0.6288903198111183,standardized,graft_plus,graft_plus,10,True,1.0,1.0,1.0,1.0,1.0
SVHN,0.04,73257,4659,2930,0.6288903198111183,standardized,graft_plus,random,10,True,0.6288903198111183,0.6288903198111183,0.6288903198111183,0.6288903198111183,0.45867251095804634
SVHN,0.04,73257,4659,2930,0.6288903198111183,standardized,hybrid,graft,10,True,0.6386006825938566,0.6397610921501706,0.6306313993174061,0.6464163822525597,0.46918261342004497
SVHN,0.04,73257,4659,2930,0.6288903198111183,standardized,hybrid,graft_plus,10,True,0.6245392491467576,0.6242320819112628,0.620221843003413,0.6295221843003413,0.45410354946497344
SVHN,0.04,73257,4659,2930,0.6288903198111183,standardized,hybrid,hybrid,10,True,1.0,1.0,1.0,1.0,1.0
SVHN,0.04,73257,4659,2930,0.6288903198111183,standardized,hybrid,random,10,True,0.6288903198111183,0.6288903198111183,0.6288903198111183,0.6288903198111183,0.45867251095804634
SVHN,0.04,73257,4659,2930,0.6288903198111183,standardized,random,random,10,True,1.0,1.0,1.0,1.0,1.0
