dataset,poison_rho,train_set_size,candidate_count,m,candidate_fraction,hybrid_scale,method_left,method_right,target_pools,budget_valid,mean_overlap_fraction,median_overlap_fraction,q25_overlap_fraction,q75_overlap_fraction,mean_jaccard
CIFAR10,0.002,50000,5000,100,0.02,standardized,exact,random,60,True,0.020000000000000004,0.02,0.02,0.02,0.0101010101010101
CIFAR10,0.002,50000,5000,100,0.02,standardized,graft,graft,60,True,1.0,1.0,1.0,1.0,1.0
CIFAR10,0.002,50000,5000,100,0.02,standardized,graft,graft_plus,60,True,0.19183333333333336,0.175,0.14,0.23,0.10804088752127977
CIFAR10,0.002,50000,5000,100,0.02,standardized,graft,random,60,True,0.020000000000000004,0.02,0.02,0.02,0.0101010101010101
CIFAR10,0.002,50000,5000,100,0.02,standardized,graft_plus,graft_plus,60,True,1.0,1.0,1.0,1.0,1.0
CIFAR10,0.002,50000,5000,100,0.02,standardized,graft_plus,random,60,True,0.020000000000000004,0.02,0.02,0.02,0.0101010101010101
CIFAR10,0.002,50000,5000,100,0.02,standardized,hybrid,graft,60,True,0.19149999999999998,0.18,0.1575,0.21,0.1073611938462967
CIFAR10,0.002,50000,5000,100,0.02,standardized,hybrid,graft_plus,60,True,0.8748333333333334,0.87,0.85,0.91,0.7792349005465758
CIFAR10,0.002,50000,5000,100,0.02,standardized,hybrid,hybrid,60,True,1.0,1.0,1.0,1.0,1.0
CIFAR10,0.002,50000,5000,100,0.02,standardized,hybrid,random,60,True,0.020000000000000004,0.02,0.02,0.02,0.0101010101010101
CIFAR10,0.002,50000,5000,100,0.02,standardized,random,random,60,True,1.0,1.0,1.0,1.0,1.0
CIFAR10,0.005,50000,5000,250,0.05,standardized,exact,exact,60,True,1.0,1.0,1.0,1.0,1.0
CIFAR10,0.005,50000,5000,250,0.05,standardized,exact,graft,60,True,0.13226666666666664,0.138,0.10099999999999999,0.161,0.07164551531763581
CIFAR10,0.005,50000,5000,250,0.05,standardized,exact,graft_plus,60,True,0.7276666666666665,0.728,0.7,0.756,0.5736048158882305
CIFAR10,0.005,50000,5000,250,0.05,standardized,exact,hybrid,60,True,0.6913333333333335,0.68,0.656,0.72,0.5304643267712823
CIFAR10,0.005,50000,5000,250,0.05,standardized,exact,random,60,True,0.04999999999999998,0.05,0.05,0.05,0.02564102564102563
CIFAR10,0.005,50000,5000,250,0.05,standardized,graft,graft,60,True,1.0,1.0,1.0,1.0,1.0
CIFAR10,0.005,50000,5000,250,0.05,standardized,graft,graft_plus,60,True,0.3478666666666666,0.336,0.296,0.392,0.2138628752275194
CIFAR10,0.005,50000,5000,250,0.05,standardized,graft,random,60,True,0.04999999999999998,0.05,0.05,0.05,0.02564102564102563
CIFAR10,0.005,50000,5000,250,0.05,standardized,graft_plus,graft_plus,60,True,1.0,1.0,1.0,1.0,1.0
CIFAR10,0.005,50000,5000,250,0.05,standardized,graft_plus,random,60,True,0.04999999999999998,0.05,0.05,0.05,0.02564102564102563
CIFAR10,0.005,50000,5000,250,0.05,standardized,hybrid,graft,60,True,0.31759999999999994,0.312,0.272,0.34,0.19109123773394715
CIFAR10,0.005,50000,5000,250,0.05,standardized,hybrid,graft_plus,60,True,0.8686666666666666,0.87,0.855,0.888,0.7685116504226444
CIFAR10,0.005,50000,5000,250,0.05,standardized,hybrid,hybrid,60,True,1.0,1.0,1.0,1.0,1.0
CIFAR10,0.005,50000,5000,250,0.05,standardized,hybrid,random,60,True,0.04999999999999998,0.05,0.05,0.05,0.02564102564102563
CIFAR10,0.005,50000,5000,250,0.05,standardized,random,random,60,True,1.0,1.0,1.0,1.0,1.0
CIFAR10,0.01,50000,5000,500,0.1,standardized,exact,exact,60,True,1.0,1.0,1.0,1.0,1.0
CIFAR10,0.01,50000,5000,500,0.1,standardized,exact,graft,60,True,0.21493333333333334,0.222,0.183,0.242,0.12151302600502745
