dataset,model,class_pair,target_idx,poison_rho,train_set_size,candidate_count,m,candidate_fraction,budget_valid,invalid_reason,hybrid_scale,method_left,method_right,intersection,overlap_fraction,jaccard
CIFAR10,ConvNetBN,dog-bird,843,0.04,50000,5000,2000,0.4,True,,standardized,random,random,2000.0,1.0,1.0
CIFAR10,ConvNetBN,dog-bird,1257,0.001,50000,5000,50,0.01,True,,standardized,exact,exact,50.0,1.0,1.0
CIFAR10,ConvNetBN,dog-bird,1257,0.001,50000,5000,50,0.01,True,,standardized,exact,hybrid,36,0.72,0.5625
CIFAR10,ConvNetBN,dog-bird,1257,0.001,50000,5000,50,0.01,True,,standardized,exact,graft,5,0.1,0.05263157894736842
CIFAR10,ConvNetBN,dog-bird,1257,0.001,50000,5000,50,0.01,True,,standardized,exact,graft_plus,35,0.7,0.5384615384615384
CIFAR10,ConvNetBN,dog-bird,1257,0.001,50000,5000,50,0.01,True,,standardized,exact,random,0.5,0.01,0.005025125628140704
CIFAR10,ConvNetBN,dog-bird,1257,0.001,50000,5000,50,0.01,True,,standardized,hybrid,hybrid,50.0,1.0,1.0
CIFAR10,ConvNetBN,dog-bird,1257,0.001,50000,5000,50,0.01,True,,standardized,hybrid,graft,9,0.18,0.0989010989010989
CIFAR10,ConvNetBN,dog-bird,1257,0.001,50000,5000,50,0.01,True,,standardized,hybrid,graft_plus,46,0.92,0.8518518518518519
CIFAR10,ConvNetBN,dog-bird,1257,0.001,50000,5000,50,0.01,True,,standardized,hybrid,random,0.5,0.01,0.005025125628140704
CIFAR10,ConvNetBN,dog-bird,1257,0.001,50000,5000,50,0.01,True,,standardized,graft,graft,50.0,1.0,1.0
CIFAR10,ConvNetBN,dog-bird,1257,0.001,50000,5000,50,0.01,True,,standardized,graft,graft_plus,12,0.24,0.13636363636363635
CIFAR10,ConvNetBN,dog-bird,1257,0.001,50000,5000,50,0.01,True,,standardized,graft,random,0.5,0.01,0.005025125628140704
CIFAR10,ConvNetBN,dog-bird,1257,0.001,50000,5000,50,0.01,True,,standardized,graft_plus,graft_plus,50.0,1.0,1.0
CIFAR10,ConvNetBN,dog-bird,1257,0.001,50000,5000,50,0.01,True,,standardized,graft_plus,random,0.5,0.01,0.005025125628140704
CIFAR10,ConvNetBN,dog-bird,1257,0.001,50000,5000,50,0.01,True,,standardized,random,random,50.0,1.0,1.0
CIFAR10,ConvNetBN,dog-bird,1257,0.002,50000,5000,100,0.02,True,,standardized,exact,exact,100.0,1.0,1.0
CIFAR10,ConvNetBN,dog-bird,1257,0.002,50000,5000,100,0.02,True,,standardized,exact,hybrid,76,0.76,0.6129032258064516
CIFAR10,ConvNetBN,dog-bird,1257,0.002,50000,5000,100,0.02,True,,standardized,exact,graft,12,0.12,0.06382978723404255
CIFAR10,ConvNetBN,dog-bird,1257,0.002,50000,5000,100,0.02,True,,standardized,exact,graft_plus,76,0.76,0.6129032258064516
