index	alpha	config	cell	file	model	attack	pair	budget	target_select	num_targets	num_victims	walltime
16	0.25	07	epic	defextra_a025_016_resnet20_gm_b001_epic.sh	ResNet20BN	gradmatch	dog-bird	0.01	14	5	4	0-02:00:00
17	0.25	07	friends	defextra_a025_017_resnet20_gm_b001_friends.sh	ResNet20BN	gradmatch	dog-bird	0.01	14	5	4	0-02:00:00
18	0.25	08	friends	defextra_a025_018_resnet20_sapa_b001_friends.sh	ResNet20BN	sapa	dog-bird	0.01	14	5	4	0-02:00:00
19	0.25	09	attack	defextra_a025_019_vgg13_gm_b0005_nodef.sh	VGG13BN	gradmatch	dog-bird	0.005	50	5	1	0-03:00:00
20	0.25	09	epic	defextra_a025_020_vgg13_gm_b0005_epic.sh	VGG13BN	gradmatch	dog-bird	0.005	50	5	4	0-02:00:00
21	0.25	09	friends	defextra_a025_021_vgg13_gm_b0005_friends.sh	VGG13BN	gradmatch	dog-bird	0.005	50	5	4	0-02:00:00
22	0.25	10	attack	defextra_a025_022_vgg13_gm_b001_nodef.sh	VGG13BN	gradmatch	dog-bird	0.01	50	5	1	0-04:00:00
23	0.25	10	epic	defextra_a025_023_vgg13_gm_b001_epic.sh	VGG13BN	gradmatch	dog-bird	0.01	50	5	4	0-02:00:00
24	0.25	10	friends	defextra_a025_024_vgg13_gm_b001_friends.sh	VGG13BN	gradmatch	dog-bird	0.01	50	5	4	0-02:00:00
25	0.25	12	attack	defextra_a025_025_vgg13_sapa_b001_nodef.sh	VGG13BN	sapa	dog-bird	0.01	50	5	1	0-03:45:00
26	0.25	12	epic	defextra_a025_026_vgg13_sapa_b001_epic.sh	VGG13BN	sapa	dog-bird	0.01	50	5	4	0-02:00:00
27	0.25	12	friends	defextra_a025_027_vgg13_sapa_b001_friends.sh	VGG13BN	sapa	dog-bird	0.01	50	5	4	0-02:00:00
28	0.1	01	attack	defextra_a01_028_convnet_bp_b001_nodef.sh	ConvNetBN	fc	dog-bird	0.01	50	5	1	0-01:45:00
29	0.1	01	epic	defextra_a01_029_convnet_bp_b001_epic.sh	ConvNetBN	fc	dog-bird	0.01	50	5	4	0-01:45:00
30	0.1	01	friends	defextra_a01_030_convnet_bp_b001_friends.sh	ConvNetBN	fc	dog-bird	0.01	50	5	4	0-01:45:00
31	0.1	02	attack	defextra_a01_031_convnet_bp_b002_nodef.sh	ConvNetBN	fc	dog-bird	0.02	50	5	1	0-01:45:00
32	0.1	02	epic	defextra_a01_032_convnet_bp_b002_epic.sh	ConvNetBN	fc	dog-bird	0.02	50	5	4	0-01:45:00
33	0.1	02	friends	defextra_a01_033_convnet_bp_b002_friends.sh	ConvNetBN	fc	dog-bird	0.02	50	5	4	0-01:45:00
34	0.1	03	attack	defextra_a01_034_convnet_gm_b002_nodef.sh	ConvNetBN	gradmatch	dog-bird	0.02	70	5	1	0-03:00:00
35	0.1	03	epic	defextra_a01_035_convnet_gm_b002_epic.sh	ConvNetBN	gradmatch	dog-bird	0.02	70	5	4	0-01:45:00
36	0.1	03	friends	defextra_a01_036_convnet_gm_b002_friends.sh	ConvNetBN	gradmatch	dog-bird	0.02	70	5	4	0-01:45:00
37	0.1	04	attack	defextra_a01_037_convnet_sapa_b002_nodef.sh	ConvNetBN	sapa	dog-bird	0.02	70	5	1	0-03:00:00
38	0.1	04	epic	defextra_a01_038_convnet_sapa_b002_epic.sh	ConvNetBN	sapa	dog-bird	0.02	70	5	4	0-01:45:00
39	0.1	04	friends	defextra_a01_039_convnet_sapa_b002_friends.sh	ConvNetBN	sapa	dog-bird	0.02	70	5	4	0-01:45:00
40	0.1	05	attack	defextra_a01_040_resnet20_bp_b001_nodef.sh	ResNet20BN	fc	dog-bird	0.01	10	5	1	0-02:15:00
41	0.1	05	epic	defextra_a01_041_resnet20_bp_b001_epic.sh	ResNet20BN	fc	dog-bird	0.01	10	5	4	0-02:00:00
42	0.1	05	friends	defextra_a01_042_resnet20_bp_b001_friends.sh	ResNet20BN	fc	dog-bird	0.01	10	5	4	0-02:00:00
43	0.1	06	attack	defextra_a01_043_resnet20_gm_b0002_nodef.sh	ResNet20BN	gradmatch	dog-bird	0.002	14	5	1	0-02:45:00
44	0.1	06	epic	defextra_a01_044_resnet20_gm_b0002_epic.sh	ResNet20BN	gradmatch	dog-bird	0.002	14	5	4	0-02:00:00
45	0.1	06	friends	defextra_a01_045_resnet20_gm_b0002_friends.sh	ResNet20BN	gradmatch	dog-bird	0.002	14	5	4	0-02:00:00
46	0.1	07	attack	defextra_a01_046_resnet20_gm_b001_nodef.sh	ResNet20BN	gradmatch	dog-bird	0.01	14	5	1	0-03:45:00
47	0.1	07	epic	defextra_a01_047_resnet20_gm_b001_epic.sh	ResNet20BN	gradmatch	dog-bird	0.01	14	5	4	0-02:00:00
48	0.1	07	friends	defextra_a01_048_resnet20_gm_b001_friends.sh	ResNet20BN	gradmatch	dog-bird	0.01	14	5	4	0-02:00:00
49	0.1	08	attack	defextra_a01_049_resnet20_sapa_b001_nodef.sh	ResNet20BN	sapa	dog-bird	0.01	14	5	1	0-03:15:00
50	0.1	08	epic	defextra_a01_050_resnet20_sapa_b001_epic.sh	ResNet20BN	sapa	dog-bird	0.01	14	5	4	0-02:00:00
51	0.1	08	friends	defextra_a01_051_resnet20_sapa_b001_friends.sh	ResNet20BN	sapa	dog-bird	0.01	14	5	4	0-02:00:00
52	0.1	09	attack	defextra_a01_052_vgg13_gm_b0005_nodef.sh	VGG13BN	gradmatch	dog-bird	0.005	50	5	1	0-03:00:00
53	0.1	09	epic	defextra_a01_053_vgg13_gm_b0005_epic.sh	VGG13BN	gradmatch	dog-bird	0.005	50	5	4	0-02:00:00
54	0.1	09	friends	defextra_a01_054_vgg13_gm_b0005_friends.sh	VGG13BN	gradmatch	dog-bird	0.005	50	5	4	0-02:00:00
55	0.1	10	attack	defextra_a01_055_vgg13_gm_b001_nodef.sh	VGG13BN	gradmatch	dog-bird	0.01	50	5	1	0-04:00:00
56	0.1	10	epic	defextra_a01_056_vgg13_gm_b001_epic.sh	VGG13BN	gradmatch	dog-bird	0.01	50	5	4	0-02:00:00
57	0.1	10	friends	defextra_a01_057_vgg13_gm_b001_friends.sh	VGG13BN	gradmatch	dog-bird	0.01	50	5	4	0-02:00:00
58	0.1	11	attack	defextra_a01_058_vgg13_sapa_b0005_nodef.sh	VGG13BN	sapa	dog-bird	0.005	50	5	1	0-02:45:00
59	0.1	11	epic	defextra_a01_059_vgg13_sapa_b0005_epic.sh	VGG13BN	sapa	dog-bird	0.005	50	5	4	0-02:00:00
60	0.1	11	friends	defextra_a01_060_vgg13_sapa_b0005_friends.sh	VGG13BN	sapa	dog-bird	0.005	50	5	4	0-02:00:00
61	0.1	12	attack	defextra_a01_061_vgg13_sapa_b001_nodef.sh	VGG13BN	sapa	dog-bird	0.01	50	5	1	0-03:45:00
62	0.1	12	epic	defextra_a01_062_vgg13_sapa_b001_epic.sh	VGG13BN	sapa	dog-bird	0.01	50	5	4	0-02:00:00
63	0.1	12	friends	defextra_a01_063_vgg13_sapa_b001_friends.sh	VGG13BN	sapa	dog-bird	0.01	50	5	4	0-02:00:00
