index	file	model	attack	pair	budget	defense	selection	jacobian	command
17	missing_defense_017_resnet20_gradmatch_dog_bird_b0_002_friends_ours_std.sh	ResNet20BN	gradmatch	dog-bird	0.002	friends	ours	0	USE_JACOBIAN_SCORE=0 JACOBIAN_WEIGHT=1.0 JACOBIAN_BATCH_SIZE=64 CLASS_PAIR=dog-bird MODEL=ResNet20BN ATTACK=gradmatch BUDGETS=0.002 SELS=ours SEL_ALPHA=2.0 DEFENSES=friends NUM_TARGETS=7 NUM_VICTIMS=5 sh defense.sh
18	missing_defense_018_resnet20_gradmatch_dog_bird_b0_002_friends_ours_j.sh	ResNet20BN	gradmatch	dog-bird	0.002	friends	ours	1	USE_JACOBIAN_SCORE=1 JACOBIAN_WEIGHT=1.0 JACOBIAN_BATCH_SIZE=64 CLASS_PAIR=dog-bird MODEL=ResNet20BN ATTACK=gradmatch BUDGETS=0.002 SELS=ours SEL_ALPHA=2.0 DEFENSES=friends NUM_TARGETS=7 NUM_VICTIMS=5 sh defense.sh
19	missing_defense_019_resnet20_gradmatch_dog_bird_b0_01_epic_ours_std.sh	ResNet20BN	gradmatch	dog-bird	0.01	epic	ours	0	USE_JACOBIAN_SCORE=0 JACOBIAN_WEIGHT=1.0 JACOBIAN_BATCH_SIZE=64 CLASS_PAIR=dog-bird MODEL=ResNet20BN ATTACK=gradmatch BUDGETS=0.01 SELS=ours SEL_ALPHA=2.0 DEFENSES=epic NUM_TARGETS=7 NUM_VICTIMS=5 sh defense.sh
20	missing_defense_020_resnet20_gradmatch_dog_bird_b0_01_epic_ours_j.sh	ResNet20BN	gradmatch	dog-bird	0.01	epic	ours	1	USE_JACOBIAN_SCORE=1 JACOBIAN_WEIGHT=1.0 JACOBIAN_BATCH_SIZE=64 CLASS_PAIR=dog-bird MODEL=ResNet20BN ATTACK=gradmatch BUDGETS=0.01 SELS=ours SEL_ALPHA=2.0 DEFENSES=epic NUM_TARGETS=7 NUM_VICTIMS=5 sh defense.sh
21	missing_defense_021_resnet20_gradmatch_dog_bird_b0_01_epic_dpp_j.sh	ResNet20BN	gradmatch	dog-bird	0.01	epic	dpp	1	USE_JACOBIAN_SCORE=1 JACOBIAN_WEIGHT=1.0 JACOBIAN_BATCH_SIZE=64 CLASS_PAIR=dog-bird MODEL=ResNet20BN ATTACK=gradmatch BUDGETS=0.01 SELS=dpp SEL_ALPHA=2.0 DEFENSES=epic NUM_TARGETS=7 NUM_VICTIMS=5 sh defense.sh
22	missing_defense_022_resnet20_gradmatch_dog_bird_b0_01_friends_ours_std.sh	ResNet20BN	gradmatch	dog-bird	0.01	friends	ours	0	USE_JACOBIAN_SCORE=0 JACOBIAN_WEIGHT=1.0 JACOBIAN_BATCH_SIZE=64 CLASS_PAIR=dog-bird MODEL=ResNet20BN ATTACK=gradmatch BUDGETS=0.01 SELS=ours SEL_ALPHA=2.0 DEFENSES=friends NUM_TARGETS=7 NUM_VICTIMS=5 sh defense.sh
23	missing_defense_023_resnet20_gradmatch_dog_bird_b0_01_friends_ours_j.sh	ResNet20BN	gradmatch	dog-bird	0.01	friends	ours	1	USE_JACOBIAN_SCORE=1 JACOBIAN_WEIGHT=1.0 JACOBIAN_BATCH_SIZE=64 CLASS_PAIR=dog-bird MODEL=ResNet20BN ATTACK=gradmatch BUDGETS=0.01 SELS=ours SEL_ALPHA=2.0 DEFENSES=friends NUM_TARGETS=7 NUM_VICTIMS=5 sh defense.sh
24	missing_defense_024_resnet20_gradmatch_dog_bird_b0_01_friends_dpp_j.sh	ResNet20BN	gradmatch	dog-bird	0.01	friends	dpp	1	USE_JACOBIAN_SCORE=1 JACOBIAN_WEIGHT=1.0 JACOBIAN_BATCH_SIZE=64 CLASS_PAIR=dog-bird MODEL=ResNet20BN ATTACK=gradmatch BUDGETS=0.01 SELS=dpp SEL_ALPHA=2.0 DEFENSES=friends NUM_TARGETS=7 NUM_VICTIMS=5 sh defense.sh
25	missing_defense_025_resnet20_sapa_dog_bird_b0_01_epic_ours_std.sh	ResNet20BN	sapa	dog-bird	0.01	epic	ours	0	USE_JACOBIAN_SCORE=0 JACOBIAN_WEIGHT=1.0 JACOBIAN_BATCH_SIZE=64 CLASS_PAIR=dog-bird MODEL=ResNet20BN ATTACK=sapa TARGET_SELECT=14 BUDGETS=0.01 SELS=ours SEL_ALPHA=2.0 DEFENSES=epic NUM_TARGETS=7 NUM_VICTIMS=5 sh defense.sh
26	missing_defense_026_resnet20_sapa_dog_bird_b0_01_epic_ours_j.sh	ResNet20BN	sapa	dog-bird	0.01	epic	ours	1	USE_JACOBIAN_SCORE=1 JACOBIAN_WEIGHT=1.0 JACOBIAN_BATCH_SIZE=64 CLASS_PAIR=dog-bird MODEL=ResNet20BN ATTACK=sapa TARGET_SELECT=14 BUDGETS=0.01 SELS=ours SEL_ALPHA=2.0 DEFENSES=epic NUM_TARGETS=7 NUM_VICTIMS=5 sh defense.sh
