index	category	job_file	configuration
1	k_pattern	job_001_k10_bp_b0002_vconv_svgg.sh	category=k_pattern attack=fc budget=0.002 V=ConvNetBN S=VGG13BN K=10 base=ours base_dist=cosine lambda_margin=1 jacobian=off craft_steps=250 targets=10 victims=6; table K10=28.3 exceeds fixed K20=25
2	k_pattern	job_002_k3_bp_b0002_vr20_sconv.sh	category=k_pattern attack=fc budget=0.002 V=ResNet20BN S=ConvNetBN K=3 base=ours base_dist=cosine lambda_margin=1 jacobian=off craft_steps=250 targets=10 victims=6; table K3=40 exceeds fixed K20=35
3	k_pattern	job_003_k10_bp_b0002_vr20_sr20.sh	category=k_pattern attack=fc budget=0.002 V=ResNet20BN S=ResNet20BN K=10 base=ours base_dist=cosine lambda_margin=1 jacobian=off craft_steps=250 targets=10 victims=6; table K10=33.3 exceeds fixed K20=25
4	k_pattern	job_004_k10_bp_b0002_vvgg_sconv.sh	category=k_pattern attack=fc budget=0.002 V=VGG13BN S=ConvNetBN K=10 base=ours base_dist=cosine lambda_margin=1 jacobian=off craft_steps=250 targets=10 victims=6; table K10=78.3 exceeds fixed K20=70
5	k_pattern	job_005_k1_bp_b0002_vvgg_svgg.sh	category=k_pattern attack=fc budget=0.002 V=VGG13BN S=VGG13BN K=1 base=ours base_dist=cosine lambda_margin=1 jacobian=off craft_steps=250 targets=10 victims=6; table K1=46.7 exceeds fixed K20=36.7
6	k_pattern	job_006_k10_bp_b0005_vconv_sr20.sh	category=k_pattern attack=fc budget=0.005 V=ConvNetBN S=ResNet20BN K=10 base=ours base_dist=cosine lambda_margin=1 jacobian=off craft_steps=250 targets=10 victims=6; table K10=71.7 exceeds fixed K20=70
7	k_pattern	job_007_k10_bp_b0005_vconv_svgg.sh	category=k_pattern attack=fc budget=0.005 V=ConvNetBN S=VGG13BN K=10 base=ours base_dist=cosine lambda_margin=1 jacobian=off craft_steps=250 targets=10 victims=6; table K10=58.3 exceeds fixed K20=55
8	k_pattern	job_008_k10_bp_b0005_vr20_svgg.sh	category=k_pattern attack=fc budget=0.005 V=ResNet20BN S=VGG13BN K=10 base=ours base_dist=cosine lambda_margin=1 jacobian=off craft_steps=250 targets=10 victims=6; table K10=46.7 exceeds fixed K20=30
9	k_pattern	job_009_k10_bp_b0005_vvgg_svgg.sh	category=k_pattern attack=fc budget=0.005 V=VGG13BN S=VGG13BN K=10 base=ours base_dist=cosine lambda_margin=1 jacobian=off craft_steps=250 targets=10 victims=6; table K10=60 exceeds fixed K20=51.7
10	k_pattern	job_010_k10_gm_b0002_vr20_sconv.sh	category=k_pattern attack=gradmatch budget=0.002 V=ResNet20BN S=ConvNetBN K=10 base=ours base_dist=cosine lambda_margin=1 jacobian=off craft_steps=250 targets=10 victims=6; table K10=56.7 exceeds fixed K20=55
11	k_pattern	job_011_k3_gm_b0002_vr20_sr20.sh	category=k_pattern attack=gradmatch budget=0.002 V=ResNet20BN S=ResNet20BN K=3 base=ours base_dist=cosine lambda_margin=1 jacobian=off craft_steps=250 targets=10 victims=6; table K3=60 exceeds fixed K20=58.3
12	k_pattern	job_012_k10_gm_b0002_vr20_svgg.sh	category=k_pattern attack=gradmatch budget=0.002 V=ResNet20BN S=VGG13BN K=10 base=ours base_dist=cosine lambda_margin=1 jacobian=off craft_steps=250 targets=10 victims=6; table K10=51.7 exceeds fixed K20=35
13	k_pattern	job_013_k10_gm_b0002_vvgg_sr20.sh	category=k_pattern attack=gradmatch budget=0.002 V=VGG13BN S=ResNet20BN K=10 base=ours base_dist=cosine lambda_margin=1 jacobian=off craft_steps=250 targets=10 victims=6; table K10=76.7 exceeds fixed K20=75
14	k_pattern	job_014_k3_gm_b0005_vconv_sconv.sh	category=k_pattern attack=gradmatch budget=0.005 V=ConvNetBN S=ConvNetBN K=3 base=ours base_dist=cosine lambda_margin=1 jacobian=off craft_steps=250 targets=10 victims=6; table K3=56.7 exceeds fixed K20=50
15	k_pattern	job_015_k3_gm_b0005_vconv_sr20.sh	category=k_pattern attack=gradmatch budget=0.005 V=ConvNetBN S=ResNet20BN K=3 base=ours base_dist=cosine lambda_margin=1 jacobian=off craft_steps=250 targets=10 victims=6; table K3=36.7 exceeds fixed K20=30
16	k_pattern	job_016_k10_gm_b0005_vconv_svgg.sh	category=k_pattern attack=gradmatch budget=0.005 V=ConvNetBN S=VGG13BN K=10 base=ours base_dist=cosine lambda_margin=1 jacobian=off craft_steps=250 targets=10 victims=6; table K10=33.3 exceeds fixed K20=25
17	k_pattern	job_017_k10_sapa_b0002_vconv_sconv.sh	category=k_pattern attack=sapa budget=0.002 V=ConvNetBN S=ConvNetBN K=10 base=ours base_dist=cosine lambda_margin=1 jacobian=off craft_steps=250 targets=10 victims=6; table K10=28.3 exceeds fixed K20=26.7
18	k_pattern	job_018_k10_sapa_b0002_vvgg_sr20.sh	category=k_pattern attack=sapa budget=0.002 V=VGG13BN S=ResNet20BN K=10 base=ours base_dist=cosine lambda_margin=1 jacobian=off craft_steps=250 targets=10 victims=6; table K10=88.3 exceeds fixed K20=75
19	k_pattern	job_019_k10_sapa_b0005_vconv_sr20.sh	category=k_pattern attack=sapa budget=0.005 V=ConvNetBN S=ResNet20BN K=10 base=ours base_dist=cosine lambda_margin=1 jacobian=off craft_steps=250 targets=10 victims=6; table K10=46.7 exceeds fixed K20=30
20	k_pattern	job_020_k10_sapa_b0005_vconv_svgg.sh	category=k_pattern attack=sapa budget=0.005 V=ConvNetBN S=VGG13BN K=10 base=ours base_dist=cosine lambda_margin=1 jacobian=off craft_steps=250 targets=10 victims=6; table K10=31.7 exceeds fixed K20=30
21	k_pattern	job_021_k3_sapa_b0005_vr20_sconv.sh	category=k_pattern attack=sapa budget=0.005 V=ResNet20BN S=ConvNetBN K=3 base=ours base_dist=cosine lambda_margin=1 jacobian=off craft_steps=250 targets=10 victims=6; table K3=80 exceeds fixed K20=70
22	k_pattern	job_022_k3_sapa_b0005_vvgg_sconv.sh	category=k_pattern attack=sapa budget=0.005 V=VGG13BN S=ConvNetBN K=3 base=ours base_dist=cosine lambda_margin=1 jacobian=off craft_steps=250 targets=10 victims=6; table K3=100 exceeds fixed K20=95
23	ensemble_below_rand	job_023_k3_bp_b0002_vr20_svgg.sh	category=ensemble_below_rand attack=fc budget=0.002 V=ResNet20BN S=VGG13BN K=3 base=ours base_dist=cosine lambda_margin=1 jacobian=off craft_steps=250 targets=10 victims=6; table BASIS=13.3 below RAND=16.7
