index	file	K	budget	attack	selector	victim	method	run_name	estimate	walltime	command
273	cross_273_k3_fc_b0_005_sresnet20_aconvnet_random.sh	3	0.005	fc	ResNet20BN	ConvNetBN	random	CIFAR10_ConvNetBN_fc_random_dog-bird_b0.005_eps8_seed42_selarchResNet20BN_K3_ce5_tgt50	0-01:00:00	0-01:45:00	SEL_K=3 BUDGET=0.005 ATTACKS=fc MODELS=ConvNetBN SELECTOR_MODELS=ResNet20BN SELECTIONS=random RUN_MATCHED=1 NUM_TARGETS=5 NUM_VICTIMS=4 sh cross_arch.sh
274	cross_274_k3_fc_b0_005_sresnet20_aresnet20_random.sh	3	0.005	fc	ResNet20BN	ResNet20BN	random	CIFAR10_ResNet20BN_fc_random_dog-bird_b0.005_eps8_seed42_K3_ce5_tgt10	0-01:30:00	0-02:15:00	SEL_K=3 BUDGET=0.005 ATTACKS=fc MODELS=ResNet20BN SELECTOR_MODELS=ResNet20BN SELECTIONS=random RUN_MATCHED=1 NUM_TARGETS=5 NUM_VICTIMS=4 sh cross_arch.sh
275	cross_275_k3_fc_b0_005_sresnet20_avgg13_random.sh	3	0.005	fc	ResNet20BN	VGG13BN	random	CIFAR10_VGG13BN_fc_random_dog-bird_b0.005_eps8_seed42_selarchResNet20BN_K3_ce5_tgt3	0-01:15:00	0-02:00:00	SEL_K=3 BUDGET=0.005 ATTACKS=fc MODELS=VGG13BN SELECTOR_MODELS=ResNet20BN SELECTIONS=random RUN_MATCHED=1 NUM_TARGETS=5 NUM_VICTIMS=4 sh cross_arch.sh
276	cross_276_k3_fc_b0_005_svgg13_aconvnet_random.sh	3	0.005	fc	VGG13BN	ConvNetBN	random	CIFAR10_ConvNetBN_fc_random_dog-bird_b0.005_eps8_seed42_selarchVGG13BN_K3_ce5_tgt50	0-01:00:00	0-01:45:00	SEL_K=3 BUDGET=0.005 ATTACKS=fc MODELS=ConvNetBN SELECTOR_MODELS=VGG13BN SELECTIONS=random RUN_MATCHED=1 NUM_TARGETS=5 NUM_VICTIMS=4 sh cross_arch.sh
277	cross_277_k3_fc_b0_005_svgg13_aresnet20_random.sh	3	0.005	fc	VGG13BN	ResNet20BN	random	CIFAR10_ResNet20BN_fc_random_dog-bird_b0.005_eps8_seed42_selarchVGG13BN_K3_ce5_tgt10	0-01:30:00	0-02:15:00	SEL_K=3 BUDGET=0.005 ATTACKS=fc MODELS=ResNet20BN SELECTOR_MODELS=VGG13BN SELECTIONS=random RUN_MATCHED=1 NUM_TARGETS=5 NUM_VICTIMS=4 sh cross_arch.sh
278	cross_278_k3_fc_b0_005_svgg13_avgg13_random.sh	3	0.005	fc	VGG13BN	VGG13BN	random	CIFAR10_VGG13BN_fc_random_dog-bird_b0.005_eps8_seed42_K3_ce5_tgt3	0-01:15:00	0-02:00:00	SEL_K=3 BUDGET=0.005 ATTACKS=fc MODELS=VGG13BN SELECTOR_MODELS=VGG13BN SELECTIONS=random RUN_MATCHED=1 NUM_TARGETS=5 NUM_VICTIMS=4 sh cross_arch.sh
279	cross_279_k3_fc_b0_005_sconvnet_aconvnet_greedy.sh	3	0.005	fc	ConvNetBN	ConvNetBN	greedy	CIFAR10_ConvNetBN_fc_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_K3_ce5_tgt50	0-01:00:00	0-01:45:00	SEL_K=3 BUDGET=0.005 ATTACKS=fc MODELS=ConvNetBN SELECTOR_MODELS=ConvNetBN SELECTIONS=greedy RUN_MATCHED=1 NUM_TARGETS=5 NUM_VICTIMS=4 sh cross_arch.sh
280	cross_280_k3_fc_b0_005_sconvnet_aresnet20_greedy.sh	3	0.005	fc	ConvNetBN	ResNet20BN	greedy	CIFAR10_ResNet20BN_fc_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_selarchConvNetBN_K3_ce5_tgt10	0-01:30:00	0-02:15:00	SEL_K=3 BUDGET=0.005 ATTACKS=fc MODELS=ResNet20BN SELECTOR_MODELS=ConvNetBN SELECTIONS=greedy RUN_MATCHED=1 NUM_TARGETS=5 NUM_VICTIMS=4 sh cross_arch.sh
281	cross_281_k3_fc_b0_005_sconvnet_avgg13_greedy.sh	3	0.005	fc	ConvNetBN	VGG13BN	greedy	CIFAR10_VGG13BN_fc_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_selarchConvNetBN_K3_ce5_tgt3	0-01:15:00	0-02:00:00	SEL_K=3 BUDGET=0.005 ATTACKS=fc MODELS=VGG13BN SELECTOR_MODELS=ConvNetBN SELECTIONS=greedy RUN_MATCHED=1 NUM_TARGETS=5 NUM_VICTIMS=4 sh cross_arch.sh
282	cross_282_k3_fc_b0_005_sresnet20_aconvnet_greedy.sh	3	0.005	fc	ResNet20BN	ConvNetBN	greedy	CIFAR10_ConvNetBN_fc_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_selarchResNet20BN_K3_ce5_tgt50	0-01:00:00	0-01:45:00	SEL_K=3 BUDGET=0.005 ATTACKS=fc MODELS=ConvNetBN SELECTOR_MODELS=ResNet20BN SELECTIONS=greedy RUN_MATCHED=1 NUM_TARGETS=5 NUM_VICTIMS=4 sh cross_arch.sh
283	cross_283_k3_fc_b0_005_sresnet20_aresnet20_greedy.sh	3	0.005	fc	ResNet20BN	ResNet20BN	greedy	CIFAR10_ResNet20BN_fc_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_K3_ce5_tgt10	0-01:30:00	0-02:15:00	SEL_K=3 BUDGET=0.005 ATTACKS=fc MODELS=ResNet20BN SELECTOR_MODELS=ResNet20BN SELECTIONS=greedy RUN_MATCHED=1 NUM_TARGETS=5 NUM_VICTIMS=4 sh cross_arch.sh
284	cross_284_k3_fc_b0_005_sresnet20_avgg13_greedy.sh	3	0.005	fc	ResNet20BN	VGG13BN	greedy	CIFAR10_VGG13BN_fc_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_selarchResNet20BN_K3_ce5_tgt3	0-01:15:00	0-02:00:00	SEL_K=3 BUDGET=0.005 ATTACKS=fc MODELS=VGG13BN SELECTOR_MODELS=ResNet20BN SELECTIONS=greedy RUN_MATCHED=1 NUM_TARGETS=5 NUM_VICTIMS=4 sh cross_arch.sh
285	cross_285_k3_fc_b0_005_svgg13_aconvnet_greedy.sh	3	0.005	fc	VGG13BN	ConvNetBN	greedy	CIFAR10_ConvNetBN_fc_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_selarchVGG13BN_K3_ce5_tgt50	0-01:00:00	0-01:45:00	SEL_K=3 BUDGET=0.005 ATTACKS=fc MODELS=ConvNetBN SELECTOR_MODELS=VGG13BN SELECTIONS=greedy RUN_MATCHED=1 NUM_TARGETS=5 NUM_VICTIMS=4 sh cross_arch.sh
286	cross_286_k3_fc_b0_005_svgg13_aresnet20_greedy.sh	3	0.005	fc	VGG13BN	ResNet20BN	greedy	CIFAR10_ResNet20BN_fc_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_selarchVGG13BN_K3_ce5_tgt10	0-01:30:00	0-02:15:00	SEL_K=3 BUDGET=0.005 ATTACKS=fc MODELS=ResNet20BN SELECTOR_MODELS=VGG13BN SELECTIONS=greedy RUN_MATCHED=1 NUM_TARGETS=5 NUM_VICTIMS=4 sh cross_arch.sh
287	cross_287_k3_fc_b0_005_svgg13_avgg13_greedy.sh	3	0.005	fc	VGG13BN	VGG13BN	greedy	CIFAR10_VGG13BN_fc_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_K3_ce5_tgt3	0-01:15:00	0-02:00:00	SEL_K=3 BUDGET=0.005 ATTACKS=fc MODELS=VGG13BN SELECTOR_MODELS=VGG13BN SELECTIONS=greedy RUN_MATCHED=1 NUM_TARGETS=5 NUM_VICTIMS=4 sh cross_arch.sh
288	cross_288_k3_fc_b0_005_sconvnet_aconvnet_dpp.sh	3	0.005	fc	ConvNetBN	ConvNetBN	dpp	CIFAR10_ConvNetBN_fc_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_seldpp2_K3_ce5_tgt50	0-01:00:00	0-01:45:00	SEL_K=3 BUDGET=0.005 ATTACKS=fc MODELS=ConvNetBN SELECTOR_MODELS=ConvNetBN SELECTIONS=dpp RUN_MATCHED=1 NUM_TARGETS=5 NUM_VICTIMS=4 sh cross_arch.sh
289	cross_289_k3_fc_b0_005_sconvnet_avgg13_dpp.sh	3	0.005	fc	ConvNetBN	VGG13BN	dpp	CIFAR10_VGG13BN_fc_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_seldpp2_selarchConvNetBN_K3_ce5_tgt3	0-01:15:00	0-02:00:00	SEL_K=3 BUDGET=0.005 ATTACKS=fc MODELS=VGG13BN SELECTOR_MODELS=ConvNetBN SELECTIONS=dpp RUN_MATCHED=1 NUM_TARGETS=5 NUM_VICTIMS=4 sh cross_arch.sh
290	cross_290_k3_fc_b0_005_sresnet20_aresnet20_dpp.sh	3	0.005	fc	ResNet20BN	ResNet20BN	dpp	CIFAR10_ResNet20BN_fc_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_seldpp2_K3_ce5_tgt10	0-01:30:00	0-02:15:00	SEL_K=3 BUDGET=0.005 ATTACKS=fc MODELS=ResNet20BN SELECTOR_MODELS=ResNet20BN SELECTIONS=dpp RUN_MATCHED=1 NUM_TARGETS=5 NUM_VICTIMS=4 sh cross_arch.sh
291	cross_291_k3_fc_b0_005_sresnet20_avgg13_dpp.sh	3	0.005	fc	ResNet20BN	VGG13BN	dpp	CIFAR10_VGG13BN_fc_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_seldpp2_selarchResNet20BN_K3_ce5_tgt3	0-01:15:00	0-02:00:00	SEL_K=3 BUDGET=0.005 ATTACKS=fc MODELS=VGG13BN SELECTOR_MODELS=ResNet20BN SELECTIONS=dpp RUN_MATCHED=1 NUM_TARGETS=5 NUM_VICTIMS=4 sh cross_arch.sh
292	cross_292_k3_fc_b0_005_svgg13_avgg13_dpp.sh	3	0.005	fc	VGG13BN	VGG13BN	dpp	CIFAR10_VGG13BN_fc_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_seldpp2_K3_ce5_tgt3	0-01:15:00	0-02:00:00	SEL_K=3 BUDGET=0.005 ATTACKS=fc MODELS=VGG13BN SELECTOR_MODELS=VGG13BN SELECTIONS=dpp RUN_MATCHED=1 NUM_TARGETS=5 NUM_VICTIMS=4 sh cross_arch.sh
293	cross_293_k20_fc_b0_005_sconvnet_aconvnet_greedy.sh	20	0.005	fc	ConvNetBN	ConvNetBN	greedy	CIFAR10_ConvNetBN_fc_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_ce5_tgt50	0-01:00:00	0-01:45:00	SEL_K=20 BUDGET=0.005 ATTACKS=fc MODELS=ConvNetBN SELECTOR_MODELS=ConvNetBN SELECTIONS=greedy RUN_MATCHED=1 NUM_TARGETS=5 NUM_VICTIMS=4 sh cross_arch.sh
294	cross_294_k20_fc_b0_005_sconvnet_aresnet20_greedy.sh	20	0.005	fc	ConvNetBN	ResNet20BN	greedy	CIFAR10_ResNet20BN_fc_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_selarchConvNetBN_ce5_tgt10	0-01:30:00	0-02:15:00	SEL_K=20 BUDGET=0.005 ATTACKS=fc MODELS=ResNet20BN SELECTOR_MODELS=ConvNetBN SELECTIONS=greedy RUN_MATCHED=1 NUM_TARGETS=5 NUM_VICTIMS=4 sh cross_arch.sh
295	cross_295_k20_fc_b0_005_sconvnet_avgg13_greedy.sh	20	0.005	fc	ConvNetBN	VGG13BN	greedy	CIFAR10_VGG13BN_fc_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_selarchConvNetBN_ce5_tgt3	0-01:15:00	0-02:00:00	SEL_K=20 BUDGET=0.005 ATTACKS=fc MODELS=VGG13BN SELECTOR_MODELS=ConvNetBN SELECTIONS=greedy RUN_MATCHED=1 NUM_TARGETS=5 NUM_VICTIMS=4 sh cross_arch.sh
296	cross_296_k20_fc_b0_005_sresnet20_aconvnet_greedy.sh	20	0.005	fc	ResNet20BN	ConvNetBN	greedy	CIFAR10_ConvNetBN_fc_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_selarchResNet20BN_ce5_tgt50	0-01:00:00	0-01:45:00	SEL_K=20 BUDGET=0.005 ATTACKS=fc MODELS=ConvNetBN SELECTOR_MODELS=ResNet20BN SELECTIONS=greedy RUN_MATCHED=1 NUM_TARGETS=5 NUM_VICTIMS=4 sh cross_arch.sh
297	cross_297_k20_fc_b0_005_sresnet20_aresnet20_greedy.sh	20	0.005	fc	ResNet20BN	ResNet20BN	greedy	CIFAR10_ResNet20BN_fc_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_ce5_tgt10	0-01:30:00	0-02:15:00	SEL_K=20 BUDGET=0.005 ATTACKS=fc MODELS=ResNet20BN SELECTOR_MODELS=ResNet20BN SELECTIONS=greedy RUN_MATCHED=1 NUM_TARGETS=5 NUM_VICTIMS=4 sh cross_arch.sh
298	cross_298_k20_fc_b0_005_sresnet20_avgg13_greedy.sh	20	0.005	fc	ResNet20BN	VGG13BN	greedy	CIFAR10_VGG13BN_fc_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_selarchResNet20BN_ce5_tgt3	0-01:15:00	0-02:00:00	SEL_K=20 BUDGET=0.005 ATTACKS=fc MODELS=VGG13BN SELECTOR_MODELS=ResNet20BN SELECTIONS=greedy RUN_MATCHED=1 NUM_TARGETS=5 NUM_VICTIMS=4 sh cross_arch.sh
299	cross_299_k20_fc_b0_005_svgg13_aconvnet_greedy.sh	20	0.005	fc	VGG13BN	ConvNetBN	greedy	CIFAR10_ConvNetBN_fc_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_selarchVGG13BN_ce5_tgt50	0-01:00:00	0-01:45:00	SEL_K=20 BUDGET=0.005 ATTACKS=fc MODELS=ConvNetBN SELECTOR_MODELS=VGG13BN SELECTIONS=greedy RUN_MATCHED=1 NUM_TARGETS=5 NUM_VICTIMS=4 sh cross_arch.sh
300	cross_300_k20_fc_b0_005_svgg13_aresnet20_greedy.sh	20	0.005	fc	VGG13BN	ResNet20BN	greedy	CIFAR10_ResNet20BN_fc_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_selarchVGG13BN_ce5_tgt10	0-01:30:00	0-02:15:00	SEL_K=20 BUDGET=0.005 ATTACKS=fc MODELS=ResNet20BN SELECTOR_MODELS=VGG13BN SELECTIONS=greedy RUN_MATCHED=1 NUM_TARGETS=5 NUM_VICTIMS=4 sh cross_arch.sh
301	cross_301_k20_fc_b0_005_svgg13_avgg13_greedy.sh	20	0.005	fc	VGG13BN	VGG13BN	greedy	CIFAR10_VGG13BN_fc_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_ce5_tgt3	0-01:15:00	0-02:00:00	SEL_K=20 BUDGET=0.005 ATTACKS=fc MODELS=VGG13BN SELECTOR_MODELS=VGG13BN SELECTIONS=greedy RUN_MATCHED=1 NUM_TARGETS=5 NUM_VICTIMS=4 sh cross_arch.sh
