index	file	K	budget	attack	selector	victim	method	run_name	estimate	walltime	command
313	cross_313_k1_gradmatch_b0_005_sconvnet_avgg13_greedy.sh	1	0.005	gradmatch	ConvNetBN	VGG13BN	greedy	CIFAR10_VGG13BN_gradmatch_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_selarchConvNetBN_K1_ce5_tgt50	0-02:15:00	0-03:00:00	SEL_K=1 BUDGET=0.005 ATTACKS=gradmatch MODELS=VGG13BN SELECTOR_MODELS=ConvNetBN SELECTIONS=greedy RUN_MATCHED=1 NUM_TARGETS=5 NUM_VICTIMS=4 sh cross_arch.sh
314	cross_314_k1_gradmatch_b0_005_sresnet20_aconvnet_greedy.sh	1	0.005	gradmatch	ResNet20BN	ConvNetBN	greedy	CIFAR10_ConvNetBN_gradmatch_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_selarchResNet20BN_K1_ce5_tgt70	0-01:15:00	0-02:00:00	SEL_K=1 BUDGET=0.005 ATTACKS=gradmatch MODELS=ConvNetBN SELECTOR_MODELS=ResNet20BN SELECTIONS=greedy RUN_MATCHED=1 NUM_TARGETS=5 NUM_VICTIMS=4 sh cross_arch.sh
315	cross_315_k1_gradmatch_b0_005_sresnet20_aresnet20_greedy.sh	1	0.005	gradmatch	ResNet20BN	ResNet20BN	greedy	CIFAR10_ResNet20BN_gradmatch_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_K1_ce5_tgt14	0-02:15:00	0-03:00:00	SEL_K=1 BUDGET=0.005 ATTACKS=gradmatch MODELS=ResNet20BN SELECTOR_MODELS=ResNet20BN SELECTIONS=greedy RUN_MATCHED=1 NUM_TARGETS=5 NUM_VICTIMS=4 sh cross_arch.sh
316	cross_316_k1_gradmatch_b0_005_sresnet20_avgg13_greedy.sh	1	0.005	gradmatch	ResNet20BN	VGG13BN	greedy	CIFAR10_VGG13BN_gradmatch_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_selarchResNet20BN_K1_ce5_tgt50	0-02:15:00	0-03:00:00	SEL_K=1 BUDGET=0.005 ATTACKS=gradmatch MODELS=VGG13BN SELECTOR_MODELS=ResNet20BN SELECTIONS=greedy RUN_MATCHED=1 NUM_TARGETS=5 NUM_VICTIMS=4 sh cross_arch.sh
317	cross_317_k1_gradmatch_b0_005_svgg13_aconvnet_greedy.sh	1	0.005	gradmatch	VGG13BN	ConvNetBN	greedy	CIFAR10_ConvNetBN_gradmatch_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_selarchVGG13BN_K1_ce5_tgt70	0-01:15:00	0-02:00:00	SEL_K=1 BUDGET=0.005 ATTACKS=gradmatch MODELS=ConvNetBN SELECTOR_MODELS=VGG13BN SELECTIONS=greedy RUN_MATCHED=1 NUM_TARGETS=5 NUM_VICTIMS=4 sh cross_arch.sh
318	cross_318_k1_gradmatch_b0_005_svgg13_aresnet20_greedy.sh	1	0.005	gradmatch	VGG13BN	ResNet20BN	greedy	CIFAR10_ResNet20BN_gradmatch_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_selarchVGG13BN_K1_ce5_tgt14	0-02:15:00	0-03:00:00	SEL_K=1 BUDGET=0.005 ATTACKS=gradmatch MODELS=ResNet20BN SELECTOR_MODELS=VGG13BN SELECTIONS=greedy RUN_MATCHED=1 NUM_TARGETS=5 NUM_VICTIMS=4 sh cross_arch.sh
319	cross_319_k1_gradmatch_b0_005_svgg13_avgg13_greedy.sh	1	0.005	gradmatch	VGG13BN	VGG13BN	greedy	CIFAR10_VGG13BN_gradmatch_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_K1_ce5_tgt50	0-02:15:00	0-03:00:00	SEL_K=1 BUDGET=0.005 ATTACKS=gradmatch MODELS=VGG13BN SELECTOR_MODELS=VGG13BN SELECTIONS=greedy RUN_MATCHED=1 NUM_TARGETS=5 NUM_VICTIMS=4 sh cross_arch.sh
320	cross_320_k1_gradmatch_b0_005_sconvnet_aconvnet_dpp.sh	1	0.005	gradmatch	ConvNetBN	ConvNetBN	dpp	CIFAR10_ConvNetBN_gradmatch_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_seldpp2_K1_ce5_tgt70	0-01:15:00	0-02:00:00	SEL_K=1 BUDGET=0.005 ATTACKS=gradmatch MODELS=ConvNetBN SELECTOR_MODELS=ConvNetBN SELECTIONS=dpp RUN_MATCHED=1 NUM_TARGETS=5 NUM_VICTIMS=4 sh cross_arch.sh
321	cross_321_k1_gradmatch_b0_005_sresnet20_aresnet20_dpp.sh	1	0.005	gradmatch	ResNet20BN	ResNet20BN	dpp	CIFAR10_ResNet20BN_gradmatch_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_seldpp2_K1_ce5_tgt14	0-02:15:00	0-03:00:00	SEL_K=1 BUDGET=0.005 ATTACKS=gradmatch MODELS=ResNet20BN SELECTOR_MODELS=ResNet20BN SELECTIONS=dpp RUN_MATCHED=1 NUM_TARGETS=5 NUM_VICTIMS=4 sh cross_arch.sh
322	cross_322_k1_gradmatch_b0_005_svgg13_avgg13_dpp.sh	1	0.005	gradmatch	VGG13BN	VGG13BN	dpp	CIFAR10_VGG13BN_gradmatch_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_seldpp2_K1_ce5_tgt50	0-02:15:00	0-03:00:00	SEL_K=1 BUDGET=0.005 ATTACKS=gradmatch MODELS=VGG13BN SELECTOR_MODELS=VGG13BN SELECTIONS=dpp RUN_MATCHED=1 NUM_TARGETS=5 NUM_VICTIMS=4 sh cross_arch.sh
323	cross_323_k3_gradmatch_b0_005_sconvnet_aconvnet_random.sh	3	0.005	gradmatch	ConvNetBN	ConvNetBN	random	CIFAR10_ConvNetBN_gradmatch_random_dog-bird_b0.005_eps8_seed42_K3_ce5_tgt70	0-01:15:00	0-02:00:00	SEL_K=3 BUDGET=0.005 ATTACKS=gradmatch MODELS=ConvNetBN SELECTOR_MODELS=ConvNetBN SELECTIONS=random RUN_MATCHED=1 NUM_TARGETS=5 NUM_VICTIMS=4 sh cross_arch.sh
324	cross_324_k3_gradmatch_b0_005_sconvnet_aresnet20_random.sh	3	0.005	gradmatch	ConvNetBN	ResNet20BN	random	CIFAR10_ResNet20BN_gradmatch_random_dog-bird_b0.005_eps8_seed42_selarchConvNetBN_K3_ce5_tgt14	0-02:15:00	0-03:00:00	SEL_K=3 BUDGET=0.005 ATTACKS=gradmatch MODELS=ResNet20BN SELECTOR_MODELS=ConvNetBN SELECTIONS=random RUN_MATCHED=1 NUM_TARGETS=5 NUM_VICTIMS=4 sh cross_arch.sh
325	cross_325_k3_gradmatch_b0_005_sconvnet_avgg13_random.sh	3	0.005	gradmatch	ConvNetBN	VGG13BN	random	CIFAR10_VGG13BN_gradmatch_random_dog-bird_b0.005_eps8_seed42_selarchConvNetBN_K3_ce5_tgt50	0-02:15:00	0-03:00:00	SEL_K=3 BUDGET=0.005 ATTACKS=gradmatch MODELS=VGG13BN SELECTOR_MODELS=ConvNetBN SELECTIONS=random RUN_MATCHED=1 NUM_TARGETS=5 NUM_VICTIMS=4 sh cross_arch.sh
326	cross_326_k3_gradmatch_b0_005_sresnet20_aconvnet_random.sh	3	0.005	gradmatch	ResNet20BN	ConvNetBN	random	CIFAR10_ConvNetBN_gradmatch_random_dog-bird_b0.005_eps8_seed42_selarchResNet20BN_K3_ce5_tgt70	0-01:15:00	0-02:00:00	SEL_K=3 BUDGET=0.005 ATTACKS=gradmatch MODELS=ConvNetBN SELECTOR_MODELS=ResNet20BN SELECTIONS=random RUN_MATCHED=1 NUM_TARGETS=5 NUM_VICTIMS=4 sh cross_arch.sh
327	cross_327_k3_gradmatch_b0_005_sresnet20_aresnet20_random.sh	3	0.005	gradmatch	ResNet20BN	ResNet20BN	random	CIFAR10_ResNet20BN_gradmatch_random_dog-bird_b0.005_eps8_seed42_K3_ce5_tgt14	0-02:15:00	0-03:00:00	SEL_K=3 BUDGET=0.005 ATTACKS=gradmatch MODELS=ResNet20BN SELECTOR_MODELS=ResNet20BN SELECTIONS=random RUN_MATCHED=1 NUM_TARGETS=5 NUM_VICTIMS=4 sh cross_arch.sh
328	cross_328_k3_gradmatch_b0_005_sresnet20_avgg13_random.sh	3	0.005	gradmatch	ResNet20BN	VGG13BN	random	CIFAR10_VGG13BN_gradmatch_random_dog-bird_b0.005_eps8_seed42_selarchResNet20BN_K3_ce5_tgt50	0-02:15:00	0-03:00:00	SEL_K=3 BUDGET=0.005 ATTACKS=gradmatch MODELS=VGG13BN SELECTOR_MODELS=ResNet20BN SELECTIONS=random RUN_MATCHED=1 NUM_TARGETS=5 NUM_VICTIMS=4 sh cross_arch.sh
329	cross_329_k3_gradmatch_b0_005_svgg13_aconvnet_random.sh	3	0.005	gradmatch	VGG13BN	ConvNetBN	random	CIFAR10_ConvNetBN_gradmatch_random_dog-bird_b0.005_eps8_seed42_selarchVGG13BN_K3_ce5_tgt70	0-01:15:00	0-02:00:00	SEL_K=3 BUDGET=0.005 ATTACKS=gradmatch MODELS=ConvNetBN SELECTOR_MODELS=VGG13BN SELECTIONS=random RUN_MATCHED=1 NUM_TARGETS=5 NUM_VICTIMS=4 sh cross_arch.sh
330	cross_330_k3_gradmatch_b0_005_svgg13_aresnet20_random.sh	3	0.005	gradmatch	VGG13BN	ResNet20BN	random	CIFAR10_ResNet20BN_gradmatch_random_dog-bird_b0.005_eps8_seed42_selarchVGG13BN_K3_ce5_tgt14	0-02:15:00	0-03:00:00	SEL_K=3 BUDGET=0.005 ATTACKS=gradmatch MODELS=ResNet20BN SELECTOR_MODELS=VGG13BN SELECTIONS=random RUN_MATCHED=1 NUM_TARGETS=5 NUM_VICTIMS=4 sh cross_arch.sh
331	cross_331_k3_gradmatch_b0_005_svgg13_avgg13_random.sh	3	0.005	gradmatch	VGG13BN	VGG13BN	random	CIFAR10_VGG13BN_gradmatch_random_dog-bird_b0.005_eps8_seed42_K3_ce5_tgt50	0-02:15:00	0-03:00:00	SEL_K=3 BUDGET=0.005 ATTACKS=gradmatch MODELS=VGG13BN SELECTOR_MODELS=VGG13BN SELECTIONS=random RUN_MATCHED=1 NUM_TARGETS=5 NUM_VICTIMS=4 sh cross_arch.sh
332	cross_332_k3_gradmatch_b0_005_sconvnet_aconvnet_greedy.sh	3	0.005	gradmatch	ConvNetBN	ConvNetBN	greedy	CIFAR10_ConvNetBN_gradmatch_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_K3_ce5_tgt70	0-01:15:00	0-02:00:00	SEL_K=3 BUDGET=0.005 ATTACKS=gradmatch MODELS=ConvNetBN SELECTOR_MODELS=ConvNetBN SELECTIONS=greedy RUN_MATCHED=1 NUM_TARGETS=5 NUM_VICTIMS=4 sh cross_arch.sh
333	cross_333_k3_gradmatch_b0_005_sconvnet_aresnet20_greedy.sh	3	0.005	gradmatch	ConvNetBN	ResNet20BN	greedy	CIFAR10_ResNet20BN_gradmatch_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_selarchConvNetBN_K3_ce5_tgt14	0-02:15:00	0-03:00:00	SEL_K=3 BUDGET=0.005 ATTACKS=gradmatch MODELS=ResNet20BN SELECTOR_MODELS=ConvNetBN SELECTIONS=greedy RUN_MATCHED=1 NUM_TARGETS=5 NUM_VICTIMS=4 sh cross_arch.sh
334	cross_334_k3_gradmatch_b0_005_sconvnet_avgg13_greedy.sh	3	0.005	gradmatch	ConvNetBN	VGG13BN	greedy	CIFAR10_VGG13BN_gradmatch_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_selarchConvNetBN_K3_ce5_tgt50	0-02:15:00	0-03:00:00	SEL_K=3 BUDGET=0.005 ATTACKS=gradmatch MODELS=VGG13BN SELECTOR_MODELS=ConvNetBN SELECTIONS=greedy RUN_MATCHED=1 NUM_TARGETS=5 NUM_VICTIMS=4 sh cross_arch.sh
335	cross_335_k3_gradmatch_b0_005_sresnet20_aconvnet_greedy.sh	3	0.005	gradmatch	ResNet20BN	ConvNetBN	greedy	CIFAR10_ConvNetBN_gradmatch_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_selarchResNet20BN_K3_ce5_tgt70	0-01:15:00	0-02:00:00	SEL_K=3 BUDGET=0.005 ATTACKS=gradmatch MODELS=ConvNetBN SELECTOR_MODELS=ResNet20BN SELECTIONS=greedy RUN_MATCHED=1 NUM_TARGETS=5 NUM_VICTIMS=4 sh cross_arch.sh
336	cross_336_k3_gradmatch_b0_005_sresnet20_aresnet20_greedy.sh	3	0.005	gradmatch	ResNet20BN	ResNet20BN	greedy	CIFAR10_ResNet20BN_gradmatch_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_K3_ce5_tgt14	0-02:15:00	0-03:00:00	SEL_K=3 BUDGET=0.005 ATTACKS=gradmatch MODELS=ResNet20BN SELECTOR_MODELS=ResNet20BN SELECTIONS=greedy RUN_MATCHED=1 NUM_TARGETS=5 NUM_VICTIMS=4 sh cross_arch.sh
337	cross_337_k3_gradmatch_b0_005_sresnet20_avgg13_greedy.sh	3	0.005	gradmatch	ResNet20BN	VGG13BN	greedy	CIFAR10_VGG13BN_gradmatch_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_selarchResNet20BN_K3_ce5_tgt50	0-02:15:00	0-03:00:00	SEL_K=3 BUDGET=0.005 ATTACKS=gradmatch MODELS=VGG13BN SELECTOR_MODELS=ResNet20BN SELECTIONS=greedy RUN_MATCHED=1 NUM_TARGETS=5 NUM_VICTIMS=4 sh cross_arch.sh
338	cross_338_k3_gradmatch_b0_005_svgg13_aconvnet_greedy.sh	3	0.005	gradmatch	VGG13BN	ConvNetBN	greedy	CIFAR10_ConvNetBN_gradmatch_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_selarchVGG13BN_K3_ce5_tgt70	0-01:15:00	0-02:00:00	SEL_K=3 BUDGET=0.005 ATTACKS=gradmatch MODELS=ConvNetBN SELECTOR_MODELS=VGG13BN SELECTIONS=greedy RUN_MATCHED=1 NUM_TARGETS=5 NUM_VICTIMS=4 sh cross_arch.sh
339	cross_339_k3_gradmatch_b0_005_svgg13_aresnet20_greedy.sh	3	0.005	gradmatch	VGG13BN	ResNet20BN	greedy	CIFAR10_ResNet20BN_gradmatch_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_selarchVGG13BN_K3_ce5_tgt14	0-02:15:00	0-03:00:00	SEL_K=3 BUDGET=0.005 ATTACKS=gradmatch MODELS=ResNet20BN SELECTOR_MODELS=VGG13BN SELECTIONS=greedy RUN_MATCHED=1 NUM_TARGETS=5 NUM_VICTIMS=4 sh cross_arch.sh
340	cross_340_k3_gradmatch_b0_005_svgg13_avgg13_greedy.sh	3	0.005	gradmatch	VGG13BN	VGG13BN	greedy	CIFAR10_VGG13BN_gradmatch_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_K3_ce5_tgt50	0-02:15:00	0-03:00:00	SEL_K=3 BUDGET=0.005 ATTACKS=gradmatch MODELS=VGG13BN SELECTOR_MODELS=VGG13BN SELECTIONS=greedy RUN_MATCHED=1 NUM_TARGETS=5 NUM_VICTIMS=4 sh cross_arch.sh
341	cross_341_k3_gradmatch_b0_005_sconvnet_aconvnet_dpp.sh	3	0.005	gradmatch	ConvNetBN	ConvNetBN	dpp	CIFAR10_ConvNetBN_gradmatch_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_seldpp2_K3_ce5_tgt70	0-01:15:00	0-02:00:00	SEL_K=3 BUDGET=0.005 ATTACKS=gradmatch MODELS=ConvNetBN SELECTOR_MODELS=ConvNetBN SELECTIONS=dpp RUN_MATCHED=1 NUM_TARGETS=5 NUM_VICTIMS=4 sh cross_arch.sh
342	cross_342_k3_gradmatch_b0_005_sconvnet_aresnet20_dpp.sh	3	0.005	gradmatch	ConvNetBN	ResNet20BN	dpp	CIFAR10_ResNet20BN_gradmatch_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_seldpp2_selarchConvNetBN_K3_ce5_tgt14	0-02:15:00	0-03:00:00	SEL_K=3 BUDGET=0.005 ATTACKS=gradmatch MODELS=ResNet20BN SELECTOR_MODELS=ConvNetBN SELECTIONS=dpp RUN_MATCHED=1 NUM_TARGETS=5 NUM_VICTIMS=4 sh cross_arch.sh
343	cross_343_k3_gradmatch_b0_005_sconvnet_avgg13_dpp.sh	3	0.005	gradmatch	ConvNetBN	VGG13BN	dpp	CIFAR10_VGG13BN_gradmatch_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_seldpp2_selarchConvNetBN_K3_ce5_tgt50	0-02:15:00	0-03:00:00	SEL_K=3 BUDGET=0.005 ATTACKS=gradmatch MODELS=VGG13BN SELECTOR_MODELS=ConvNetBN SELECTIONS=dpp RUN_MATCHED=1 NUM_TARGETS=5 NUM_VICTIMS=4 sh cross_arch.sh
344	cross_344_k3_gradmatch_b0_005_sresnet20_aconvnet_dpp.sh	3	0.005	gradmatch	ResNet20BN	ConvNetBN	dpp	CIFAR10_ConvNetBN_gradmatch_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_seldpp2_selarchResNet20BN_K3_ce5_tgt70	0-01:15:00	0-02:00:00	SEL_K=3 BUDGET=0.005 ATTACKS=gradmatch MODELS=ConvNetBN SELECTOR_MODELS=ResNet20BN SELECTIONS=dpp RUN_MATCHED=1 NUM_TARGETS=5 NUM_VICTIMS=4 sh cross_arch.sh
345	cross_345_k3_gradmatch_b0_005_sresnet20_aresnet20_dpp.sh	3	0.005	gradmatch	ResNet20BN	ResNet20BN	dpp	CIFAR10_ResNet20BN_gradmatch_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_seldpp2_K3_ce5_tgt14	0-02:15:00	0-03:00:00	SEL_K=3 BUDGET=0.005 ATTACKS=gradmatch MODELS=ResNet20BN SELECTOR_MODELS=ResNet20BN SELECTIONS=dpp RUN_MATCHED=1 NUM_TARGETS=5 NUM_VICTIMS=4 sh cross_arch.sh
346	cross_346_k3_gradmatch_b0_005_sresnet20_avgg13_dpp.sh	3	0.005	gradmatch	ResNet20BN	VGG13BN	dpp	CIFAR10_VGG13BN_gradmatch_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_seldpp2_selarchResNet20BN_K3_ce5_tgt50	0-02:15:00	0-03:00:00	SEL_K=3 BUDGET=0.005 ATTACKS=gradmatch MODELS=VGG13BN SELECTOR_MODELS=ResNet20BN SELECTIONS=dpp RUN_MATCHED=1 NUM_TARGETS=5 NUM_VICTIMS=4 sh cross_arch.sh
347	cross_347_k3_gradmatch_b0_005_svgg13_aconvnet_dpp.sh	3	0.005	gradmatch	VGG13BN	ConvNetBN	dpp	CIFAR10_ConvNetBN_gradmatch_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_seldpp2_selarchVGG13BN_K3_ce5_tgt70	0-01:15:00	0-02:00:00	SEL_K=3 BUDGET=0.005 ATTACKS=gradmatch MODELS=ConvNetBN SELECTOR_MODELS=VGG13BN SELECTIONS=dpp RUN_MATCHED=1 NUM_TARGETS=5 NUM_VICTIMS=4 sh cross_arch.sh
348	cross_348_k3_gradmatch_b0_005_svgg13_aresnet20_dpp.sh	3	0.005	gradmatch	VGG13BN	ResNet20BN	dpp	CIFAR10_ResNet20BN_gradmatch_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_seldpp2_selarchVGG13BN_K3_ce5_tgt14	0-02:15:00	0-03:00:00	SEL_K=3 BUDGET=0.005 ATTACKS=gradmatch MODELS=ResNet20BN SELECTOR_MODELS=VGG13BN SELECTIONS=dpp RUN_MATCHED=1 NUM_TARGETS=5 NUM_VICTIMS=4 sh cross_arch.sh
349	cross_349_k3_gradmatch_b0_005_svgg13_avgg13_dpp.sh	3	0.005	gradmatch	VGG13BN	VGG13BN	dpp	CIFAR10_VGG13BN_gradmatch_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_seldpp2_K3_ce5_tgt50	0-02:15:00	0-03:00:00	SEL_K=3 BUDGET=0.005 ATTACKS=gradmatch MODELS=VGG13BN SELECTOR_MODELS=VGG13BN SELECTIONS=dpp RUN_MATCHED=1 NUM_TARGETS=5 NUM_VICTIMS=4 sh cross_arch.sh
350	cross_350_k20_gradmatch_b0_005_sconvnet_aconvnet_greedy.sh	20	0.005	gradmatch	ConvNetBN	ConvNetBN	greedy	CIFAR10_ConvNetBN_gradmatch_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_ce5_tgt70	0-01:15:00	0-02:00:00	SEL_K=20 BUDGET=0.005 ATTACKS=gradmatch MODELS=ConvNetBN SELECTOR_MODELS=ConvNetBN SELECTIONS=greedy RUN_MATCHED=1 NUM_TARGETS=5 NUM_VICTIMS=4 sh cross_arch.sh
351	cross_351_k20_gradmatch_b0_005_sconvnet_aresnet20_greedy.sh	20	0.005	gradmatch	ConvNetBN	ResNet20BN	greedy	CIFAR10_ResNet20BN_gradmatch_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_selarchConvNetBN_ce5_tgt14	0-02:15:00	0-03:00:00	SEL_K=20 BUDGET=0.005 ATTACKS=gradmatch MODELS=ResNet20BN SELECTOR_MODELS=ConvNetBN SELECTIONS=greedy RUN_MATCHED=1 NUM_TARGETS=5 NUM_VICTIMS=4 sh cross_arch.sh
352	cross_352_k20_gradmatch_b0_005_sconvnet_avgg13_greedy.sh	20	0.005	gradmatch	ConvNetBN	VGG13BN	greedy	CIFAR10_VGG13BN_gradmatch_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_selarchConvNetBN_ce5_tgt50	0-02:15:00	0-03:00:00	SEL_K=20 BUDGET=0.005 ATTACKS=gradmatch MODELS=VGG13BN SELECTOR_MODELS=ConvNetBN SELECTIONS=greedy RUN_MATCHED=1 NUM_TARGETS=5 NUM_VICTIMS=4 sh cross_arch.sh
353	cross_353_k20_gradmatch_b0_005_sresnet20_aconvnet_greedy.sh	20	0.005	gradmatch	ResNet20BN	ConvNetBN	greedy	CIFAR10_ConvNetBN_gradmatch_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_selarchResNet20BN_ce5_tgt70	0-01:15:00	0-02:00:00	SEL_K=20 BUDGET=0.005 ATTACKS=gradmatch MODELS=ConvNetBN SELECTOR_MODELS=ResNet20BN SELECTIONS=greedy RUN_MATCHED=1 NUM_TARGETS=5 NUM_VICTIMS=4 sh cross_arch.sh
354	cross_354_k20_gradmatch_b0_005_sresnet20_aresnet20_greedy.sh	20	0.005	gradmatch	ResNet20BN	ResNet20BN	greedy	CIFAR10_ResNet20BN_gradmatch_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_ce5_tgt14	0-02:15:00	0-03:00:00	SEL_K=20 BUDGET=0.005 ATTACKS=gradmatch MODELS=ResNet20BN SELECTOR_MODELS=ResNet20BN SELECTIONS=greedy RUN_MATCHED=1 NUM_TARGETS=5 NUM_VICTIMS=4 sh cross_arch.sh
355	cross_355_k20_gradmatch_b0_005_sresnet20_avgg13_greedy.sh	20	0.005	gradmatch	ResNet20BN	VGG13BN	greedy	CIFAR10_VGG13BN_gradmatch_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_selarchResNet20BN_ce5_tgt50	0-02:15:00	0-03:00:00	SEL_K=20 BUDGET=0.005 ATTACKS=gradmatch MODELS=VGG13BN SELECTOR_MODELS=ResNet20BN SELECTIONS=greedy RUN_MATCHED=1 NUM_TARGETS=5 NUM_VICTIMS=4 sh cross_arch.sh
356	cross_356_k20_gradmatch_b0_005_svgg13_aconvnet_greedy.sh	20	0.005	gradmatch	VGG13BN	ConvNetBN	greedy	CIFAR10_ConvNetBN_gradmatch_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_selarchVGG13BN_ce5_tgt70	0-01:15:00	0-02:00:00	SEL_K=20 BUDGET=0.005 ATTACKS=gradmatch MODELS=ConvNetBN SELECTOR_MODELS=VGG13BN SELECTIONS=greedy RUN_MATCHED=1 NUM_TARGETS=5 NUM_VICTIMS=4 sh cross_arch.sh
357	cross_357_k20_gradmatch_b0_005_svgg13_aresnet20_greedy.sh	20	0.005	gradmatch	VGG13BN	ResNet20BN	greedy	CIFAR10_ResNet20BN_gradmatch_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_selarchVGG13BN_ce5_tgt14	0-02:15:00	0-03:00:00	SEL_K=20 BUDGET=0.005 ATTACKS=gradmatch MODELS=ResNet20BN SELECTOR_MODELS=VGG13BN SELECTIONS=greedy RUN_MATCHED=1 NUM_TARGETS=5 NUM_VICTIMS=4 sh cross_arch.sh
358	cross_358_k20_gradmatch_b0_005_svgg13_avgg13_greedy.sh	20	0.005	gradmatch	VGG13BN	VGG13BN	greedy	CIFAR10_VGG13BN_gradmatch_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_ce5_tgt50	0-02:15:00	0-03:00:00	SEL_K=20 BUDGET=0.005 ATTACKS=gradmatch MODELS=VGG13BN SELECTOR_MODELS=VGG13BN SELECTIONS=greedy RUN_MATCHED=1 NUM_TARGETS=5 NUM_VICTIMS=4 sh cross_arch.sh
359	cross_359_k1_sapa_b0_005_sconvnet_aconvnet_random.sh	1	0.005	sapa	ConvNetBN	ConvNetBN	random	CIFAR10_ConvNetBN_sapa_random_dog-bird_b0.005_eps8_seed42_K1_worst0.05_ce5_tgt70	0-01:15:00	0-02:00:00	SEL_K=1 BUDGET=0.005 ATTACKS=sapa MODELS=ConvNetBN SELECTOR_MODELS=ConvNetBN SELECTIONS=random RUN_MATCHED=1 NUM_TARGETS=5 NUM_VICTIMS=4 sh cross_arch.sh
360	cross_360_k1_sapa_b0_005_sconvnet_aresnet20_random.sh	1	0.005	sapa	ConvNetBN	ResNet20BN	random	CIFAR10_ResNet20BN_sapa_random_dog-bird_b0.005_eps8_seed42_selarchConvNetBN_K1_worst0.05_ce5_tgt14	0-02:00:00	0-02:45:00	SEL_K=1 BUDGET=0.005 ATTACKS=sapa MODELS=ResNet20BN SELECTOR_MODELS=ConvNetBN SELECTIONS=random RUN_MATCHED=1 NUM_TARGETS=5 NUM_VICTIMS=4 sh cross_arch.sh
361	cross_361_k1_sapa_b0_005_sconvnet_avgg13_random.sh	1	0.005	sapa	ConvNetBN	VGG13BN	random	CIFAR10_VGG13BN_sapa_random_dog-bird_b0.005_eps8_seed42_selarchConvNetBN_K1_worst0.05_ce5_tgt50	0-02:00:00	0-02:45:00	SEL_K=1 BUDGET=0.005 ATTACKS=sapa MODELS=VGG13BN SELECTOR_MODELS=ConvNetBN SELECTIONS=random RUN_MATCHED=1 NUM_TARGETS=5 NUM_VICTIMS=4 sh cross_arch.sh
362	cross_362_k1_sapa_b0_005_sresnet20_aconvnet_random.sh	1	0.005	sapa	ResNet20BN	ConvNetBN	random	CIFAR10_ConvNetBN_sapa_random_dog-bird_b0.005_eps8_seed42_selarchResNet20BN_K1_worst0.05_ce5_tgt70	0-01:15:00	0-02:00:00	SEL_K=1 BUDGET=0.005 ATTACKS=sapa MODELS=ConvNetBN SELECTOR_MODELS=ResNet20BN SELECTIONS=random RUN_MATCHED=1 NUM_TARGETS=5 NUM_VICTIMS=4 sh cross_arch.sh
363	cross_363_k1_sapa_b0_005_sresnet20_aresnet20_random.sh	1	0.005	sapa	ResNet20BN	ResNet20BN	random	CIFAR10_ResNet20BN_sapa_random_dog-bird_b0.005_eps8_seed42_K1_worst0.05_ce5_tgt14	0-02:00:00	0-02:45:00	SEL_K=1 BUDGET=0.005 ATTACKS=sapa MODELS=ResNet20BN SELECTOR_MODELS=ResNet20BN SELECTIONS=random RUN_MATCHED=1 NUM_TARGETS=5 NUM_VICTIMS=4 sh cross_arch.sh
