target_id,rand_mean_cosine,basis_mean_cosine,basis_minus_rand,num_bases,num_surrogates,representation
2540,0.2320314347743988,0.3495863378047943,0.11755490303039551,50,1,ConvNetBN surrogate seed 1042
8129,0.23384937644004822,0.39534157514572144,0.16149219870567322,50,1,ConvNetBN surrogate seed 1042
3725,0.23795343935489655,0.33071598410606384,0.0927625447511673,50,1,ConvNetBN surrogate seed 1042
5705,0.27236759662628174,0.40689292550086975,0.134525328874588,50,1,ConvNetBN surrogate seed 1042
7663,0.1780940294265747,0.37065422534942627,0.19256019592285156,50,1,ConvNetBN surrogate seed 1042
3875,0.24799379706382751,0.3833233714103699,0.13532957434654236,50,1,ConvNetBN surrogate seed 1042
5169,0.23558267951011658,0.33143067359924316,0.09584799408912659,50,1,ConvNetBN surrogate seed 1042
6335,0.23974692821502686,0.36789023876190186,0.128143310546875,50,1,ConvNetBN surrogate seed 1042
7488,0.222793310880661,0.33485907316207886,0.11206576228141785,50,1,ConvNetBN surrogate seed 1042
9831,0.23607535660266876,0.37336644530296326,0.1372910887002945,50,1,ConvNetBN surrogate seed 1042
