dataset,model,attack,base,class_pair,seed,num_surrogate,coef,craft_ensemble,budget,num_poisons,epsilon,target_difficulty,target_margin_low,target_margin_high,target_id,target_diff,victim_id,success,clean_test_acc
CIFAR10,ResNet20BN,FC,ours,dog-bird,42,5,10.0,5,0.02,1000,0.0313,0.05,0.05,0.5,2205,0.518938422203064,0,0,0.8668600580174052
CIFAR10,ResNet20BN,FC,ours,dog-bird,42,5,10.0,5,0.02,1000,0.0313,0.05,0.05,0.5,2205,0.518938422203064,1,0,0.86926077823347
