index	account	selector	attack	budget	model	K	targets	victims	craft_steps	fus_iters	fus_alpha	fus_search_epochs	time_limit	run_name	job_file
20	aip-boyuwang	gao-forgetting	gradmatch	0.005	ResNet20BN	20	10	6	250	0			0-02:30:00	CIFAR10_ResNet20BN_gradmatch_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_selgao-forgetting_ep10_K20_ce5_tgt14	job_20_forget_gm_b0005_r20.sh
21	aip-yiweilu	gao-forgetting	sapa	0.002	ConvNetBN	20	10	6	250	0			0-02:30:00	CIFAR10_ConvNetBN_sapa_ours_dog-bird_b0.002_eps8_seed42_lam1_cosine_selgao-forgetting_ep10_K20_worst0.05_ce5_tgt70	job_21_forget_sapa_b0002_conv.sh
22	aip-boyuwang	gao-forgetting	sapa	0.002	ResNet20BN	20	10	6	250	0			0-02:30:00	CIFAR10_ResNet20BN_sapa_ours_dog-bird_b0.002_eps8_seed42_lam1_cosine_selgao-forgetting_ep10_K20_worst0.05_ce5_tgt14	job_22_forget_sapa_b0002_r20.sh
23	aip-boyuwang	gao-forgetting	sapa	0.005	ConvNetBN	20	10	6	250	0			0-02:30:00	CIFAR10_ConvNetBN_sapa_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_selgao-forgetting_ep10_K20_worst0.05_ce5_tgt70	job_23_forget_sapa_b0005_conv.sh
24	aip-yiweilu	gao-forgetting	sapa	0.005	ResNet20BN	20	10	6	250	0			0-02:30:00	CIFAR10_ResNet20BN_sapa_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_selgao-forgetting_ep10_K20_worst0.05_ce5_tgt14	job_24_forget_sapa_b0005_r20.sh
25	aip-boyuwang	fus	gradmatch	0.002	ConvNetBN	20	10	6	250	10	0.5	50	0-12:00:00	CIFAR10_ConvNetBN_gradmatch_ours_dog-bird_b0.002_eps8_seed42_lam1_cosine_selfus_i10_a0.5_e50_ps0_pr0_K20_ce5_tgt70	job_25_fus_gm_b0002_conv.sh
26	aip-boyuwang	fus	gradmatch	0.002	ResNet20BN	20	10	6	250	10	0.5	50	0-12:00:00	CIFAR10_ResNet20BN_gradmatch_ours_dog-bird_b0.002_eps8_seed42_lam1_cosine_selfus_i10_a0.5_e50_ps0_pr0_K20_ce5_tgt14	job_26_fus_gm_b0002_r20.sh
27	aip-yiweilu	fus	gradmatch	0.005	ConvNetBN	20	10	6	250	10	0.5	50	0-12:00:00	CIFAR10_ConvNetBN_gradmatch_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_selfus_i10_a0.5_e50_ps0_pr0_K20_ce5_tgt70	job_27_fus_gm_b0005_conv.sh
28	aip-boyuwang	fus	gradmatch	0.005	ResNet20BN	20	10	6	250	10	0.5	50	0-12:00:00	CIFAR10_ResNet20BN_gradmatch_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_selfus_i10_a0.5_e50_ps0_pr0_K20_ce5_tgt14	job_28_fus_gm_b0005_r20.sh
29	aip-boyuwang	fus	sapa	0.002	ConvNetBN	20	10	6	250	10	0.5	50	0-12:00:00	CIFAR10_ConvNetBN_sapa_ours_dog-bird_b0.002_eps8_seed42_lam1_cosine_selfus_i10_a0.5_e50_ps0_pr0_K20_worst0.05_ce5_tgt70	job_29_fus_sapa_b0002_conv.sh
30	aip-yiweilu	fus	sapa	0.002	ResNet20BN	20	10	6	250	10	0.5	50	0-12:00:00	CIFAR10_ResNet20BN_sapa_ours_dog-bird_b0.002_eps8_seed42_lam1_cosine_selfus_i10_a0.5_e50_ps0_pr0_K20_worst0.05_ce5_tgt14	job_30_fus_sapa_b0002_r20.sh
31	aip-boyuwang	fus	sapa	0.005	ConvNetBN	20	10	6	250	10	0.5	50	0-12:00:00	CIFAR10_ConvNetBN_sapa_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_selfus_i10_a0.5_e50_ps0_pr0_K20_worst0.05_ce5_tgt70	job_31_fus_sapa_b0005_conv.sh
32	aip-boyuwang	fus	sapa	0.005	ResNet20BN	20	10	6	250	10	0.5	50	0-12:00:00	CIFAR10_ResNet20BN_sapa_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_selfus_i10_a0.5_e50_ps0_pr0_K20_worst0.05_ce5_tgt14	job_32_fus_sapa_b0005_r20.sh
